energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.51416715,-0.51417356,0.74892181,-0.74894276,0.15202898,-0.15203124,0.11655857,-0.11655611,0.00000000,-0.00000000,0.00236424,-0.00236430,0.23327677,-0.23328178,0.07367916,-0.07367936,0.00000000,-0.00000000
-5.99399700,0.49324555,-0.49325145,0.68974657,-0.68976679,0.14523965,-0.14524183,0.12146689,-0.12146431,0.00000000,-0.00000000,0.00207313,-0.00207317,0.21995994,-0.21996482,0.07061194,-0.07061193,0.00000000,-0.00000000
-5.98799400,0.47467909,-0.47468448,0.63403907,-0.63405836,0.13882067,-0.13882275,0.12699444,-0.12699180,0.00000000,-0.00000000,0.00182097,-0.00182101,0.20725328,-0.20725799,0.06842751,-0.06842732,0.00000000,-0.00000000
-5.98199100,0.45850455,-0.45850942,0.58224340,-0.58226161,0.13283035,-0.13283232,0.13301490,-0.13301226,0.00000000,-0.00000000,0.00160733,-0.00160736,0.19529718,-0.19530166,0.06700679,-0.06700646,0.00000000,-0.00000000
-5.97598799,0.44472809,-0.44473245,0.53472003,-0.53473703,0.12731468,-0.12731652,0.13940440,-0.13940180,0.00000000,-0.00000000,0.00143143,-0.00143145,0.18420661,-0.18421084,0.06623587,-0.06623544,0.00000000,-0.00000000
-5.96998499,0.43332757,-0.43333146,0.49174493,-0.49176063,0.12230716,-0.12230887,0.14604462,-0.14604212,0.00000000,-0.00000000,0.00129226,-0.00129228,0.17407089,-0.17407483,0.06600752,-0.06600702,0.00000000,-0.00000000
-5.96398199,0.42425615,-0.42425959,0.45351115,-0.45352548,0.11782944,-0.11783102,0.15282594,-0.15282359,0.00000000,-0.00000000,0.00118861,-0.00118863,0.16495423,-0.16495788,0.06622277,-0.06622224,0.00000000,-0.00000000
-5.95797899,0.41744675,-0.41744979,0.42013236,-0.42014528,0.11389234,-0.11389378,0.15965025,-0.15964809,0.00000000,-0.00000000,0.00111917,-0.00111918,0.15689722,-0.15690057,0.06679230,-0.06679177,0.00000000,-0.00000000
-5.95197599,0.41281706,-0.41281973,0.39164784,-0.39165936,0.11049738,-0.11049869,0.16643338,-0.16643145,0.00000000,-0.00000000,0.00108250,-0.00108251,0.14991879,-0.14992183,0.06763767,-0.06763715,0.00000000,-0.00000000
-5.94597299,0.41027442,-0.41027677,0.36802852,-0.36803865,0.10763855,-0.10763974,0.17310697,-0.17310529,0.00000000,-0.00000000,0.00107713,-0.00107713,0.14401865,-0.14402139,0.06869226,-0.06869176,0.00000000,-0.00000000
-5.93996998,0.40972029,-0.40972236,0.34918335,-0.34919214,0.10530415,-0.10530521,0.17961964,-0.17961822,0.00000000,-0.00000000,0.00110150,-0.00110150,0.13917983,-0.13918229,0.06990192,-0.06990147,0.00000000,-0.00000000
-5.93396698,0.41105389,-0.41105571,0.33496574,-0.33497323,0.10347862,-0.10347956,0.18593741,-0.18593627,0.00000000,-0.00000000,0.00115403,-0.00115402,0.13537130,-0.13537349,0.07122534,-0.07122494,0.00000000,-0.00000000
-5.92796398,0.41417471,-0.41417630,0.32517964,-0.32518592,0.10214422,-0.10214505,0.19204329,-0.19204242,0.00000000,-0.00000000,0.00123303,-0.00123302,0.13255034,-0.13255229,0.07263397,-0.07263361,0.00000000,-0.00000000
-5.92196098,0.41898376,-0.41898514,0.31958503,-0.31959018,0.10128243,-0.10128316,0.19793611,-0.19793551,0.00000000,-0.00000000,0.00133672,-0.00133670,0.13066468,-0.13066641,0.07411158,-0.07411127,0.00000000,-0.00000000
-5.91595798,0.42538358,-0.42538477,0.31790266,-0.31790677,0.10087505,-0.10087567,0.20362853,-0.20362817,0.00000000,-0.00000000,0.00146319,-0.00146317,0.12965424,-0.12965575,0.07565359,-0.07565331,0.00000000,-0.00000000
-5.90995498,0.43327694,-0.43327793,0.31981808,-0.31982124,0.10090489,-0.10090540,0.20914444,-0.20914430,0.00000000,-0.00000000,0.00161036,-0.00161034,0.12945243,-0.12945376,0.07726591,-0.07726564,0.00000000,-0.00000000
-5.90395198,0.44256455,-0.44256533,0.32498498,-0.32498729,0.10135612,-0.10135650,0.21451586,-0.21451590,0.00000000,-0.00000000,0.00177594,-0.00177591,0.12998720,-0.12998836,0.07896361,-0.07896334,0.00000000,-0.00000000
-5.89794897,0.45314207,-0.45314262,0.33302818,-0.33302975,0.10221427,-0.10221453,0.21977949,-0.21977967,0.00000000,-0.00000000,0.00195741,-0.00195737,0.13118159,-0.13118259,0.08076934,-0.08076904,0.00000000,-0.00000000
-5.89194597,0.46489666,-0.46489697,0.34354638,-0.34354731,0.10346596,-0.10346609,0.22497311,-0.22497338,0.00000000,-0.00000000,0.00215199,-0.00215196,0.13295415,-0.13295501,0.08271155,-0.08271120,0.00000000,-0.00000000
-5.88594297,0.47770363,-0.47770366,0.35611505,-0.35611544,0.10509833,-0.10509831,0.23013209,-0.23013240,0.00000000,-0.00000000,0.00235667,-0.00235663,0.13521919,-0.13521992,0.08482266,-0.08482222,0.00000000,-0.00000000
-5.87993997,0.49142343,-0.49142314,0.37028979,-0.37028974,0.10709837,-0.10709819,0.23528615,-0.23528645,0.00000000,-0.00000000,0.00256814,-0.00256811,0.13788700,-0.13788762,0.08713712,-0.08713656,0.00000000,-0.00000000
-5.87393697,0.50589942,-0.50589879,0.38561036,-0.38560996,0.10945220,-0.10945184,0.24045660,-0.24045683,0.00000000,-0.00000000,0.00278291,-0.00278287,0.14086419,-0.14086471,0.08968957,-0.08968887,0.00000000,-0.00000000
-5.86793397,0.52095677,-0.52095576,0.40160566,-0.40160502,0.11214425,-0.11214370,0.24565415,-0.24565428,0.00000000,-0.00000000,0.00299726,-0.00299722,0.14405421,-0.14405464,0.09251302,-0.09251214,0.00000000,-0.00000000
-5.86193097,0.53640260,-0.53640118,0.41779982,-0.41779902,0.11515664,-0.11515588,0.25087752,-0.25087750,0.00000000,-0.00000000,0.00320736,-0.00320733,0.14735814,-0.14735849,0.09563718,-0.09563608,0.00000000,-0.00000000
-5.85592796,0.55202757,-0.55202571,0.43371927,-0.43371840,0.11846860,-0.11846762,0.25611274,-0.25611253,0.00000000,-0.00000000,0.00340932,-0.00340928,0.15067585,-0.15067613,0.09908692,-0.09908559,0.00000000,-0.00000000
-5.84992496,0.56760888,-0.56760658,0.44890096,-0.44890011,0.12205608,-0.12205487,0.26133333,-0.26133290,0.00000000,-0.00000000,0.00359925,-0.00359922,0.15390742,-0.15390764,0.10288099,-0.10287940,0.00000000,-0.00000000
-5.84392196,0.58291462,-0.58291187,0.46290133,-0.46290057,0.12589156,-0.12589010,0.26650121,-0.26650053,0.00000000,-0.00000000,0.00377341,-0.00377338,0.15695497,-0.15695514,0.10703090,-0.10702902,0.00000000,-0.00000000
-5.83791896,0.59770924,-0.59770603,0.47530581,-0.47530520,0.12994404,-0.12994234,0.27156827,-0.27156732,0.00000000,-0.00000000,0.00392826,-0.00392823,0.15972466,-0.15972479,0.11154003,-0.11153786,0.00000000,-0.00000000
-5.83191596,0.61175984,-0.61175618,0.48573849,-0.48573810,0.13417928,-0.13417733,0.27647856,-0.27647733,0.00000000,-0.00000000,0.00406057,-0.00406055,0.16212894,-0.16212904,0.11640309,-0.11640062,0.00000000,-0.00000000
-5.82591296,0.62484306,-0.62483897,0.49387157,-0.49387145,0.13856010,-0.13855791,0.28117084,-0.28116933,0.00000000,-0.00000000,0.00416754,-0.00416752,0.16408879,-0.16408887,0.12160571,-0.12160293,0.00000000,-0.00000000
-5.81990995,0.63675204,-0.63674755,0.49943403,-0.49943422,0.14304699,-0.14304455,0.28558142,-0.28557964,0.00000000,-0.00000000,0.00424686,-0.00424685,0.16553599,-0.16553606,0.12712444,-0.12712137,0.00000000,-0.00000000
-5.81390695,0.64730332,-0.64729846,0.50221920,-0.50221973,0.14759875,-0.14759609,0.28964710,-0.28964505,0.00000000,-0.00000000,0.00429681,-0.00429680,0.16641518,-0.16641524,0.13292700,-0.13292364,0.00000000,-0.00000000
-5.80790395,0.65634313,-0.65633795,0.50209069,-0.50209159,0.15217331,-0.15217045,0.29330803,-0.29330573,0.00000000,-0.00000000,0.00431626,-0.00431626,0.16668558,-0.16668566,0.13897288,-0.13896927,0.00000000,-0.00000000
-5.80190095,0.66375298,-0.66374753,0.49898659,-0.49898785,0.15672869,-0.15672564,0.29651047,-0.29650794,0.00000000,-0.00000000,0.00430480,-0.00430481,0.16632245,-0.16632253,0.14521433,-0.14521049,0.00000000,-0.00000000
-5.79589795,0.66945432,-0.66944865,0.49292139,-0.49292300,0.16122396,-0.16122074,0.29920920,-0.29920648,0.00000000,-0.00000000,0.00426267,-0.00426267,0.16531792,-0.16531802,0.15159768,-0.15159364,0.00000000,-0.00000000
-5.78989495,0.67341202,-0.67340618,0.48398577,-0.48398772,0.16562042,-0.16561707,0.30136967,-0.30136679,0.00000000,-0.00000000,0.00419076,-0.00419078,0.16368149,-0.16368160,0.15806513,-0.15806093,0.00000000,-0.00000000
