energy_ev,total_up,Pb_p_up,Pb_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,3.28928561,0.32059064,0.00865012,0.87614836,2.98821608,0.16305216,0.00000000
-5.99399700,3.26532489,0.30962405,0.00865601,0.87638203,2.96477878,0.16123764,0.00000000
-5.98799400,3.23838998,0.29894205,0.00866014,0.87606383,2.93867747,0.15910168,0.00000000
-5.98199100,3.20870330,0.28850743,0.00866193,0.87478523,2.91024488,0.15664649,0.00000000
-5.97598799,3.17659657,0.27828946,0.00866126,0.87218247,2.87990824,0.15387994,0.00000000
-5.96998499,3.14249869,0.26826490,0.00865838,0.86794684,2.84817458,0.15081545,0.00000000
-5.96398199,3.10692097,0.25841892,0.00865389,0.86183340,2.81561377,0.14747181,0.00000000
-5.95797899,3.07044011,0.24874562,0.00864872,0.85366766,2.78283983,0.14387301,0.00000000
-5.95197599,3.03367946,0.23924837,0.00864402,0.84335013,2.75049116,0.14004786,0.00000000
-5.94597299,2.99728902,0.22993983,0.00864112,0.83085836,2.71921024,0.13602968,0.00000000
-5.93996998,2.96192485,0.22084165,0.00864146,0.81624661,2.68962336,0.13185583,0.00000000
-5.93396698,2.92822851,0.21198397,0.00864647,0.79964285,2.66232113,0.12756717,0.00000000
-5.92796398,2.89680720,0.20340461,0.00865753,0.78124356,2.63784037,0.12320742,0.00000000
-5.92196098,2.86821539,0.19514809,0.00867584,0.76130629,2.61664806,0.11882247,0.00000000
-5.91595798,2.84293859,0.18726444,0.00870238,0.74014042,2.59912804,0.11445958,0.00000000
-5.90995498,2.82138005,0.17980790,0.00873781,0.71809653,2.58557094,0.11016658,0.00000000
-5.90395198,2.80385099,0.17283554,0.00878246,0.69555481,2.57616797,0.10599100,0.00000000
-5.89794897,2.79056480,0.16640582,0.00883624,0.67291314,2.57100878,0.10197921,0.00000000
-5.89194597,2.78163558,0.16057720,0.00889865,0.65057509,2.57008362,0.09817562,0.00000000
-5.88594297,2.77708114,0.15540673,0.00896877,0.62893857,2.57328977,0.09462188,0.00000000
-5.87993997,2.77683014,0.15094874,0.00904531,0.60838535,2.58044185,0.09135623,0.00000000
-5.87393697,2.78073308,0.14725358,0.00912661,0.58927185,2.59128550,0.08841288,0.00000000
-5.86793397,2.78857633,0.14436644,0.00921078,0.57192141,2.60551370,0.08582154,0.00000000
-5.86193097,2.80009815,0.14232619,0.00929568,0.55661805,2.62278455,0.08360703,0.00000000
-5.85592796,2.81500579,0.14116432,0.00937910,0.54360192,2.64273955,0.08178903,0.00000000
-5.84992496,2.83299205,0.14090384,0.00945883,0.53306608,2.66502093,0.08038182,0.00000000
-5.84392196,2.85375035,0.14155821,0.00953276,0.52515478,2.68928698,0.07939422,0.00000000
-5.83791896,2.87698684,0.14313022,0.00959895,0.51996260,2.71522414,0.07882946,0.00000000
-5.83191596,2.90242868,0.14561098,0.00965576,0.51753469,2.74255488,0.07868514,0.00000000
-5.82591296,2.92982782,0.14897873,0.00970189,0.51786750,2.77104083,0.07895317,0.00000000
-5.81990995,2.95895965,0.15319787,0.00973640,0.52090999,2.80048081,0.07961979,0.00000000
-5.81390695,2.98961692,0.15821802,0.00975878,0.52656519,2.83070385,0.08066547,0.00000000
-5.80790395,3.02159919,0.16397323,0.00976891,0.53469200,2.86155777,0.08206495,0.00000000
-5.80190095,3.05469880,0.17038154,0.00976702,0.54510726,2.89289427,0.08378729,0.00000000
-5.79589795,3.08868465,0.17734481,0.00975368,0.55758824,2.92455168,0.08579596,0.00000000
-5.78989495,3.12328537,0.18474909,0.00972972,0.57187564,2.95633713,0.08804909,0.00000000
-5.78389195,3.15817352,0.19246553,0.00969611,0.58767731,2.98800957,0.09049984,0.00000000
-5.77788894,3.19295278,0.20035180,0.00965393,0.60467303,3.01926554,0.09309696,0.00000000
-5.77188594,3.22714955,0.20825438,0.00960425,0.62252038,3.04972923,0.09578556,0.00000000
-5.76588294,3.26021050,0.21601134,0.00954808,0.64086203,3.07894818,0.09850814,0.00000000
-5.75987994,3.29150718,0.22345587,0.00948628,0.65933450,3.10639559,0.10120583,0.00000000
-5.75387694,3.32034802,0.23042037,0.00941952,0.67757836,3.13147992,0.10381992,0.00000000
-5.74787394,3.34599800,0.23674100,0.00934828,0.69524983,3.15356168,0.10629346,0.00000000
-5.74187094,3.36770533,0.24226251,0.00927281,0.71203347,3.17197704,0.10857323,0.00000000
-5.73586793,3.38473410,0.24684330,0.00919320,0.72765576,3.18606728,0.11061158,0.00000000
-5.72986493,3.39640137,0.25036026,0.00910937,0.74189886,3.19521253,0.11236848,0.00000000
-5.72386193,3.40211678,0.25271343,0.00902119,0.75461418,3.19886819,0.11381334,0.00000000
-5.71785893,3.40142244,0.25383010,0.00892851,0.76573503,3.19660182,0.11492683,0.00000000
-5.71185593,3.39403093,0.25366816,0.00883127,0.77528764,3.18812854,0.11570224,0.00000000
-5.70585293,3.37985893,0.25221862,0.00872959,0.78339989,3.17334266,0.11614673,0.00000000
-5.69984992,3.35905463,0.24950703,0.00862384,0.79030700,3.15234372,0.11628192,0.00000000
-5.69384692,3.33201693,0.24559384,0.00851471,0.79635374,3.12545532,0.11614418,0.00000000
-5.68784392,3.29940526,0.24057354,0.00840327,0.80199252,3.09323541,0.11578422,0.00000000
-5.68184092,3.26213906,0.23457273,0.00829102,0.80777699,3.05647732,0.11526625,0.00000000
-5.67583792,3.22138664,0.22774697,0.00817989,0.81435121,3.01620130,0.11466649,0.00000000
-5.66983492,3.17854370,0.22027685,0.00807223,0.82243409,2.97363674,0.11407114,0.00000000
-5.66383192,3.13520230,0.21236308,0.00797076,0.83279953,2.93019578,0.11357395,0.00000000
-5.65782891,3.09311134,0.20422106,0.00787855,0.84625268,2.88743943,0.11327324,0.00000000
-5.65182591,3.05413041,0.19607503,0.00779888,0.86360281,2.84703775,0.11326869,0.00000000
-5.64582291,3.02017870,0.18815193,0.00773520,0.88563377,2.81072552,0.11365786,0.00000000
-5.63981991,2.99318098,0.18067539,0.00769098,0.91307302,2.78025544,0.11453265,0.00000000
-5.63381691,2.97501286,0.17385981,0.00766960,0.94656023,2.75735048,0.11597573,0.00000000
-5.62781391,2.96744716,0.16790496,0.00767426,0.98661688,2.74365717,0.11805717,0.00000000
-5.62181091,2.97210334,0.16299096,0.00770781,1.03361792,2.74070137,0.12083138,0.00000000
-5.61580790,2.99040141,0.15927407,0.00777269,1.08776693,2.74984774,0.12433441,0.00000000
-5.60980490,3.02352187,0.15688309,0.00787079,1.14907593,2.77226406,0.12858178,0.00000000
-5.60380190,3.07237230,0.15591665,0.00800342,1.21735082,2.80889102,0.13356702,0.00000000
-5.59779890,3.13756153,0.15644126,0.00817120,1.29218349,2.86041795,0.13926073,0.00000000
-5.59179590,3.21938148,0.15849020,0.00837405,1.37295116,2.92726467,0.14561056,0.00000000
-5.58579290,3.31779670,0.16206320,0.00861115,1.45882331,3.00956935,0.15254187,0.00000000
-5.57978989,3.43244145,0.16712687,0.00888095,1.54877626,3.10718221,0.15995910,0.00000000
-5.57378689,3.56262377,0.17361580,0.00918118,1.64161520,3.21966460,0.16774798,0.00000000
-5.56778389,3.70733600,0.18143429,0.00950890,1.73600283,3.34629310,0.17577834,0.00000000
-5.56178089,3.86527112,0.19045866,0.00986053,1.83049380,3.48606823,0.18390746,0.00000000
