energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up
-6.00000000,0.65615686,0.01141564,0.03570727,0.32852773,0.12481825,0.00053350,0.24442607
-5.99399700,0.65232911,0.01259179,0.03647334,0.33753195,0.12130109,0.00061075,0.24368991
-5.98799400,0.65057882,0.01405439,0.03739754,0.34745914,0.11837203,0.00069547,0.24336984
-5.98199100,0.65112618,0.01579824,0.03848593,0.35834196,0.11608726,0.00078753,0.24354467
-5.97598799,0.65411510,0.01781632,0.03973880,0.37017806,0.11448989,0.00088661,0.24426692
-5.96998499,0.65960514,0.02009910,0.04115052,0.38292562,0.11360815,0.00099217,0.24555980
-5.96398199,0.66756625,0.02263388,0.04270957,0.39650044,0.11345382,0.00110344,0.24741553
-5.95797899,0.67787693,0.02540407,0.04439889,0.41077482,0.11402136,0.00121943,0.24979469
-5.95197599,0.69032576,0.02838865,0.04619637,0.42557841,0.11528736,0.00133893,0.25262702
-5.94597299,0.70461646,0.03156168,0.04807567,0.44070119,0.11721071,0.00146048,0.25581347
-5.93996998,0.72037638,0.03489210,0.05000721,0.45589846,0.11973328,0.00158248,0.25922949
-5.93396698,0.73716813,0.03834353,0.05195927,0.47089772,0.12278108,0.00170312,0.26272957
-5.92796398,0.75450387,0.04187455,0.05389931,0.48540729,0.12626612,0.00182048,0.26615267
-5.92196098,0.77186187,0.04543896,0.05579523,0.49912610,0.13008858,0.00193259,0.26932847
-5.91595798,0.78870442,0.04898652,0.05761672,0.51175438,0.13413946,0.00203742,0.27208407
-5.90995498,0.80449650,0.05246376,0.05933640,0.52300467,0.13830358,0.00213302,0.27425088
-5.90395198,0.81872438,0.05581511,0.06093095,0.53261255,0.14246271,0.00221749,0.27567140
-5.89794897,0.83091316,0.05898418,0.06238195,0.54034662,0.14649890,0.00228915,0.27620548
-5.89194597,0.84064273,0.06191517,0.06367647,0.54601716,0.15029773,0.00234647,0.27573590
-5.88594297,0.84756115,0.06455440,0.06480735,0.54948301,0.15375147,0.00238825,0.27417290
-5.87993997,0.85139516,0.06685188,0.06577322,0.55065638,0.15676192,0.00241356,0.27145750
-5.87393697,0.85195716,0.06876277,0.06657813,0.54950529,0.15924297,0.00242184,0.26756350
-5.86793397,0.84914856,0.07024883,0.06723089,0.54605351,0.16112266,0.00241287,0.26249802
-5.86193097,0.84295937,0.07127963,0.06774420,0.54037817,0.16234474,0.00238682,0.25630066
-5.85592796,0.83346427,0.07183356,0.06813348,0.53260502,0.16286962,0.00234422,0.24904130
-5.84992496,0.82081542,0.07189860,0.06841563,0.52290183,0.16267478,0.00228595,0.24081678
-5.84392196,0.80523256,0.07147267,0.06860766,0.51147021,0.16175459,0.00221322,0.23174657
-5.83791896,0.78699100,0.07056378,0.06872543,0.49853635,0.16011954,0.00212748,0.22196779
-5.83191596,0.76640825,0.06918975,0.06878235,0.48434131,0.15779500,0.00203044,0.21162974
-5.82591296,0.74383003,0.06737763,0.06878841,0.46913118,0.15481962,0.00192397,0.20088838
-5.81990995,0.71961649,0.06516279,0.06874938,0.45314797,0.15124335,0.00181003,0.18990089
-5.81390695,0.69412923,0.06258778,0.06866626,0.43662128,0.14712530,0.00169065,0.17882075
-5.80790395,0.66771984,0.05970100,0.06853522,0.41976147,0.14253148,0.00156785,0.16779329
-5.80190095,0.64072044,0.05655511,0.06834767,0.40275447,0.13753258,0.00144357,0.15695224
-5.79589795,0.61343649,0.05320551,0.06809089,0.38575836,0.13220181,0.00131964,0.14641703
-5.78989495,0.58614213,0.04970867,0.06774875,0.36890181,0.12661305,0.00119775,0.13629116
-5.78389195,0.55907801,0.04612057,0.06730282,0.35228435,0.12083909,0.00107938,0.12666148
-5.77788894,0.53245146,0.04249528,0.06673362,0.33597817,0.11495032,0.00096583,0.11759837
-5.77188594,0.50643877,0.03888362,0.06602196,0.32003139,0.10901370,0.00085815,0.10915676
-5.76588294,0.48118906,0.03533207,0.06515032,0.30447216,0.10309200,0.00075719,0.10137769
-5.75987994,0.45682945,0.03188193,0.06410415,0.28931363,0.09724339,0.00066357,0.09429047
-5.75387694,0.43347083,0.02856867,0.06287305,0.27455905,0.09152133,0.00057771,0.08791497
-5.74787394,0.41121380,0.02542154,0.06145173,0.26020681,0.08597459,0.00049986,0.08226420
-5.74187094,0.39015434,0.02246350,0.05984071,0.24625517,0.08064746,0.00043010,0.07734662
-5.73586793,0.37038864,0.01971122,0.05804671,0.23270621,0.07558011,0.00036838,0.07316841
-5.72986493,0.35201692,0.01717542,0.05608270,0.21956893,0.07080889,0.00031457,0.06973526
-5.72386193,0.33514584,0.01486130,0.05396770,0.20686145,0.06636669,0.00026849,0.06705382
-5.71785893,0.31988950,0.01276908,0.05172618,0.19461198,0.06228321,0.00022994,0.06513259
-5.71185593,0.30636895,0.01089469,0.04938732,0.18285898,0.05858516,0.00019875,0.06398235
-5.70585293,0.29471036,0.00923043,0.04698392,0.17165022,0.05529639,0.00017481,0.06361609
-5.69984992,0.28504200,0.00776575,0.04455128,0.16104121,0.05243783,0.00015813,0.06404853
-5.69384692,0.27749032,0.00648789,0.04212594,0.15109296,0.05002746,0.00014887,0.06529524
-5.68784392,0.27217557,0.00538262,0.03974437,0.14186939,0.04808017,0.00014743,0.06737158
-5.68184092,0.26920713,0.00443480,0.03744180,0.13343465,0.04660759,0.00015442,0.07029147
-5.67583792,0.26867922,0.00362894,0.03525110,0.12585047,0.04561796,0.00017084,0.07406616
-5.66983492,0.27066716,0.00294968,0.03320183,0.11917384,0.04511608,0.00019803,0.07870317
-5.66383192,0.27522459,0.00238214,0.03131954,0.11345509,0.04510333,0.00023781,0.08420540
-5.65782891,0.28238205,0.00191225,0.02962523,0.10873670,0.04557791,0.00029258,0.09057072
-5.65182591,0.29214709,0.00152695,0.02813518,0.10505267,0.04653524,0.00036536,0.09779192
-5.64582291,0.30450599,0.00121438,0.02686093,0.10242872,0.04796854,0.00045992,0.10585724
-5.63981991,0.31942734,0.00096391,0.02580955,0.10088331,0.04986968,0.00058091,0.11475142
-5.63381691,0.33686732,0.00076624,0.02498416,0.10042925,0.05223027,0.00073396,0.12445742
-5.62781391,0.35677656,0.00061339,0.02438463,0.10107615,0.05504292,0.00092580,0.13495856
-5.62181091,0.37910841,0.00049865,0.02400840,0.10283326,0.05830266,0.00116441,0.14624126
-5.61580790,0.40382830,0.00041657,0.02385149,0.10571284,0.06200857,0.00145913,0.15829816
-5.60980490,0.43092371,0.00036284,0.02390950,0.10973373,0.06616532,0.00182075,0.17113147
-5.60380190,0.46041440,0.00033430,0.02417867,0.11492499,0.07078489,0.00226163,0.18475645
-5.59779890,0.49236216,0.00032882,0.02465685,0.12132939,0.07588797,0.00279573,0.19920484
