energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.70799499,-1.70800509,0.31594890,-0.31594930,0.58088854,-0.58089424,0.06709680,-0.06709691,0.00000000,-0.00000000,0.00940613,-0.00940620,0.27209620,-0.27209803,0.02148841,-0.02148844,0.62813797,-0.62814097
-5.99399700,1.76611129,-1.76612238,0.30923378,-0.30923453,0.61741356,-0.61741944,0.06853508,-0.06853525,0.00000000,-0.00000000,0.01006654,-0.01006661,0.28122626,-0.28122818,0.02135570,-0.02135574,0.64625608,-0.64625955
-5.98799400,1.84357421,-1.84358617,0.30985376,-0.30985486,0.65732005,-0.65732604,0.07114520,-0.07114544,0.00000000,-0.00000000,0.01083654,-0.01083662,0.29263203,-0.29263401,0.02156768,-0.02156774,0.67321565,-0.67321955
-5.98199100,1.93908580,-1.93909852,0.31753767,-0.31753914,0.70021280,-0.70021884,0.07488746,-0.07488776,0.00000000,-0.00000000,0.01170063,-0.01170072,0.30607216,-0.30607418,0.02210319,-0.02210326,0.70857407,-0.70857837
-5.97598799,2.05126876,-2.05128211,0.33202637,-0.33202820,0.74568215,-0.74568819,0.07970973,-0.07971009,0.00000000,-0.00000000,0.01264342,-0.01264351,0.32129530,-0.32129734,0.02293777,-0.02293785,0.75186473,-0.75186939
-5.96998499,2.17870465,-2.17871850,0.35307684,-0.35307904,0.79332071,-0.79332669,0.08554808,-0.08554849,0.00000000,-0.00000000,0.01364967,-0.01364976,0.33804895,-0.33805098,0.02404414,-0.02404423,0.80260660,-0.80261160
-5.96398199,2.31997287,-2.31998712,0.38046539,-0.38046797,0.84274063,-0.84274650,0.09232751,-0.09232798,0.00000000,-0.00000000,0.01470439,-0.01470448,0.35608862,-0.35609061,0.02539276,-0.02539287,0.86031379,-0.86031909
-5.95797899,2.47368954,-2.47370410,0.41398985,-0.41399281,0.89359063,-0.89359636,0.09996288,-0.09996339,0.00000000,-0.00000000,0.01579292,-0.01579302,0.37518688,-0.37518882,0.02695242,-0.02695253,0.92450466,-0.92451023
-5.95197599,2.63854507,-2.63855985,0.45347099,-0.45347433,0.94557225,-0.94557782,0.10836002,-0.10836058,0.00000000,-0.00000000,0.01690107,-0.01690116,0.39514222,-0.39514409,0.02869076,-0.02869088,0.99471058,-0.99471640
-5.94597299,2.81333929,-2.81335425,0.49875330,-0.49875704,0.99845443,-0.99845983,0.11741714,-0.11741773,0.00000000,-0.00000000,0.01801524,-0.01801534,0.41578720,-0.41578900,0.03057500,-0.03057512,1.07048387,-1.07048993
-5.93996998,2.99701285,-2.99702795,0.54970506,-0.54970920,1.05208577,-1.05209100,0.12702634,-0.12702696,0.00000000,-0.00000000,0.01912260,-0.01912269,0.43699579,-0.43699753,0.03257250,-0.03257263,1.15140480,-1.15141108
-5.93396698,3.18867327,-3.18868853,0.60621771,-0.60622226,1.10640379,-1.10640888,0.13707541,-0.13707606,0.00000000,-0.00000000,0.02021119,-0.02021128,0.45868942,-0.45869110,0.03465146,-0.03465159,1.23708714,-1.23709363
-5.92796398,3.38761449,-3.38762994,0.66820437,-0.66820932,1.16144050,-1.16144549,0.14744976,-0.14745042,0.00000000,-0.00000000,0.02127008,-0.02127016,0.48084141,-0.48084305,0.03678160,-0.03678173,1.32718218,-1.32718888
-5.92196098,3.59332825,-3.59334395,0.73559731,-0.73560268,1.21732381,-1.21732876,0.15803436,-0.15803504,0.00000000,-0.00000000,0.02228947,-0.02228955,0.50347958,-0.50348121,0.03893472,-0.03893485,1.42138053,-1.42138745
