energy_ev,total_up,Hf_p_up,Hf_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,3.23879611,1.21733329,0.54330815,0.98024376,0.59705823,0.01052543,0.55860592,0.01261602,1.64059962
-5.99399700,3.18367903,1.20664980,0.53467025,0.96851311,0.57525643,0.00983555,0.54944963,0.01268001,1.61356721
-5.98799400,3.12556040,1.19499029,0.52696068,0.95360293,0.55250190,0.00914311,0.54147973,0.01275447,1.58268494
-5.98199100,3.06555653,1.18276024,0.52026228,0.93586303,0.52915846,0.00845720,0.53483158,0.01284817,1.54856007
-5.97598799,3.00472016,1.17035063,0.51462985,0.91565720,0.50557457,0.00778596,0.52961815,0.01296963,1.51178796
-5.96998499,2.94401324,1.15812915,0.51008899,0.89335182,0.48207598,0.00713646,0.52592776,0.01312683,1.47293528
-5.96398199,2.88428527,1.14643291,0.50663591,0.86930570,0.45895971,0.00651463,0.52382213,0.01332697,1.43252616
-5.95797899,2.82625769,1.13556320,0.50423819,0.84386160,0.43648948,0.00592526,0.52333519,0.01357614,1.39103216
-5.95197599,2.77051534,1.12578233,0.50283659,0.81733981,0.41489273,0.00537193,0.52447241,0.01387917,1.34886610
-5.94597299,2.71750480,1.11731290,0.50234782,0.79003381,0.39435912,0.00485712,0.52721114,0.01423940,1.30637999
-5.93996998,2.66753974,1.11033922,0.50266827,0.76220821,0.37504051,0.00438228,0.53150176,0.01465856,1.26386676
-5.93396698,2.62081250,1.10501103,0.50367857,0.73409865,0.35705224,0.00394789,0.53726985,0.01513669,1.22156545
-5.92796398,2.57741123,1.10144900,0.50524885,0.70591359,0.34047548,0.00355363,0.54441935,0.01567211,1.17966913
-5.92196098,2.53734116,1.09975179,0.50724442,0.67783749,0.32536052,0.00319847,0.55283665,0.01626147,1.13833494
-5.91595798,2.50054886,1.10000415,0.50953171,0.65003504,0.31173073,0.00288082,0.56239544,0.01689984,1.09769528
-5.90995498,2.46694793,1.10228545,0.51198425,0.62265597,0.29958686,0.00259865,0.57296231,0.01758092,1.05786923
-5.90395198,2.43644447,1.10667816,0.51448828,0.59583992,0.28891159,0.00234966,0.58440273,0.01829721,1.01897357
-5.89794897,2.40896106,1.11327555,0.51694799,0.56972104,0.27967399,0.00213131,0.59658719,0.01904031,0.98113236
-5.89194597,2.38445783,1.12218814,0.51928982,0.54443187,0.27183375,0.00194101,0.60939730,0.01980123,0.94448458
-5.88594297,2.36294938,1.13354828,0.52146599,0.52010621,0.26534508,0.00177616,0.62273137,0.02057072,0.90918944
-5.87993997,2.34451689,1.14751249,0.52345671,0.49688087,0.26016004,0.00163421,0.63650938,0.02133961,0.87542890
-5.87393697,2.32931464,1.16426124,0.52527133,0.47489605,0.25623131,0.00151276,0.65067683,0.02209915,0.84340741
-5.86793397,2.31757075,1.18399603,0.52694802,0.45429454,0.25351433,0.00140956,0.66520743,0.02284134,0.81334900
-5.86193097,2.30958222,1.20693370,0.52855225,0.43521968,0.25196882,0.00132254,0.68010427,0.02355921,0.78549192
-5.85592796,2.30570451,1.23329822,0.53017397,0.41781237,0.25155958,0.00124984,0.69539944,0.02424705,0.76008128
-5.84992496,2.30633634,1.26331027,0.53192363,0.40220728,0.25225676,0.00118980,0.71115204,0.02490055,0.73736019
-5.84392196,2.31190067,1.29717515,0.53392723,0.38852865,0.25403556,0.00114097,0.72744460,0.02551697,0.71755998
-5.83791896,2.32282257,1.33506961,0.53632063,0.37688584,0.25687539,0.00110207,0.74437809,0.02609509,0.70089019
-5.83191596,2.33950559,1.37712834,0.53924326,0.36736908,0.26075864,0.00107200,0.76206562,0.02663518,0.68752879
-5.82591296,2.36230750,1.42343103,0.54283162,0.36004557,0.26566911,0.00104984,0.78062536,0.02713885,0.67761333
-5.81990995,2.39151678,1.47399066,0.54721275,0.35495623,0.27159018,0.00103476,0.80017271,0.02760889,0.67123343
-5.81390695,2.42733120,1.52874396,0.55249805,0.35211333,0.27850280,0.00102610,0.82081240,0.02804891,0.66842498
-5.80790395,2.46983929,1.58754471,0.55877760,0.35149909,0.28638334,0.00102326,0.84263084,0.02846313,0.66916646
-5.80190095,2.51900590,1.65016033,0.56611538,0.35306523,0.29520160,0.00102577,0.86568903,0.02885597,0.67337727
-5.79589795,2.57466248,1.71627235,0.57454545,0.35673376,0.30491872,0.00103321,0.89001664,0.02923172,0.68091843
-5.78989495,2.63650255,1.78548084,0.58406931,0.36239865,0.31548549,0.00104522,0.91560739,0.02959420,0.69159530
-5.78389195,2.70408273,1.85731267,0.59465463,0.36992848,0.32684074,0.00106149,0.94241606,0.02994648,0.70516226
-5.77788894,2.77682918,1.93123355,0.60623525,0.37916987,0.33891029,0.00108175,0.97035740,0.03029057,0.72132917
-5.77188594,2.85404927,2.00666305,0.61871259,0.38995146,0.35160615,0.00110575,0.99930683,0.03062727,0.73976899
-5.76588294,2.93494791,2.08299212,0.63195830,0.40208841,0.36482636,0.00113327,1.02910308,0.03095606,0.76012656
-5.75987994,3.01864781,2.15960205,0.64581803,0.41538692,0.37845534,0.00116407,1.05955248,0.03127502,0.78202777
-5.75387694,3.10421272,2.23588402,0.66011625,0.42964889,0.39236470,0.00119791,1.09043474,0.03158092,0.80508901
-5.74787394,3.19067259,2.31125809,0.67466168,0.44467629,0.40641479,0.00123453,1.12150994,0.03186935,0.82892630
-5.74187094,3.27704957,2.38519060,0.68925338,0.46027512,0.42045668,0.00127365,1.15252622,0.03213494,0.85316391
-5.73586793,3.36238364,2.45720908,0.70368686,0.47625891,0.43433465,0.00131493,1.18322792,0.03237161,0.87744206
-5.72986493,3.44575682,2.52691393,0.71776039,0.49245154,0.44788917,0.00135800,1.21336366,0.03257288,0.90142356
-5.72386193,3.52631498,2.59398601,0.73128075,0.50868935,0.46096019,0.00140240,1.24269384,0.03273227,0.92479919
-5.71785893,3.60328641,2.65819014,0.74406865,0.52482265,0.47339066,0.00144764,1.27099750,0.03284360,0.94729174
-5.71185593,3.67599654,2.71937408,0.75596332,0.54071640,0.48503021,0.00149315,1.29807786,0.03290134,0.96865877
-5.70585293,3.74387848,2.77746337,0.76682621,0.55625045,0.49573878,0.00153831,1.32376656,0.03290096,0.98869412
-5.69984992,3.80647907,2.83245237,0.77654373,0.57131913,0.50539016,0.00158243,1.34792640,0.03283912,1.00722823
-5.69384692,3.86346076,2.88439217,0.78502894,0.58583061,0.51387527,0.00162480,1.37045251,0.03271394,1.02412762
-5.68784392,3.91459941,2.93337616,0.79222227,0.59970595,0.52110504,0.00166466,1.39127194,0.03252508,1.03929357
-5.68184092,3.95977868,2.97952424,0.79809117,0.61287811,0.52701286,0.00170128,1.41034201,0.03227383,1.05266031
-5.67583792,3.99898152,3.02296669,0.80262895,0.62529105,0.53155649,0.00173390,1.42764736,0.03196306,1.06419296
-5.66983492,4.03227966,3.06382865,0.80585291,0.63689900,0.53471936,0.00176184,1.44319614,0.03159715,1.07388536
-5.66383192,4.05982174,3.10221609,0.80780183,0.64766609,0.53651124,0.00178447,1.45701565,0.03118180,1.08175803
-5.65782891,4.08182098,3.13820415,0.80853311,0.65756632,0.53696831,0.00180124,1.46914753,0.03072388,1.08785637
-5.65182591,4.09854310,3.17182840,0.80811959,0.66658397,0.53615254,0.00181173,1.47964317,0.03023113,1.09224921
-5.64582291,4.11029510,3.20307928,0.80664647,0.67471440,0.53415060,0.00181565,1.48855922,0.02971190,1.09502781
-5.63981991,4.11741556,3.23190023,0.80420813,0.68196525,0.53107217,0.00181285,1.49595381,0.02917489,1.09630518
-5.63381691,4.12026668,3.25818909,0.80090529,0.68835792,0.52704791,0.00180335,1.50188341,0.02862889,1.09621585
-5.62781391,4.11922840,3.28180279,0.79684250,0.69392924,0.52222699,0.00178732,1.50640061,0.02808247,1.09491587
-5.62181091,4.11469474,3.30256479,0.79212597,0.69873324,0.51677452,0.00176510,1.50955292,0.02754384,1.09258310
-5.61580790,4.10707217,3.32027487,0.78686188,0.70284279,0.51086872,0.00173719,1.51138245,0.02702061,1.08941751
-5.60980490,4.09677995,3.33472045,0.78115516,0.70635113,0.50469816,0.00170421,1.51192663,0.02651971,1.08564147
-5.60380190,4.08425209,3.34568893,0.77510876,0.70937298,0.49845900,0.00166691,1.51121972,0.02604728,1.08149997
