energy_ev,total_up,Al_p_up,Al_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
3.19059530,3.29621015,0.86954502,0.00000000,3.13708984,0.25564159,1.00001017,0.00000000
3.19659830,3.28066927,0.83771626,0.00000000,3.08628689,0.25753929,0.97904462,0.00000000
3.20260130,3.27064392,0.80957222,0.00000000,3.05676535,0.26105444,0.95948604,0.00000000
3.20860430,3.26674470,0.78569968,0.00000000,3.04978243,0.26622517,0.94190774,0.00000000
3.21460730,3.26924304,0.76654765,0.00000000,3.06592436,0.27303710,0.92676018,0.00000000
3.22061031,3.27806705,0.75241829,0.00000000,3.10509432,0.28142293,0.91435605,0.00000000
3.22661331,3.29281006,0.74346210,0.00000000,3.16651984,0.29126375,0.90486117,0.00000000
3.23261631,3.31275134,0.73967741,0.00000000,3.24877925,0.30239178,0.89829164,0.00000000
3.23861931,3.33688790,0.74091386,0.00000000,3.34984622,0.31459482,0.89451728,0.00000000
3.24462231,3.36397604,0.74687992,0.00000000,3.46715106,0.32762196,0.89327107,0.00000000
3.25062531,3.39258098,0.75715386,0.00000000,3.59765691,0.34119063,0.89416422,0.00000000
3.25662831,3.42113242,0.77119799,0.00000000,3.73794873,0.35499462,0.89670607,0.00000000
3.26263132,3.44798415,0.78837561,0.00000000,3.88433235,0.36871291,0.90032776,0.00000000
3.26863432,3.47147530,0.80797026,0.00000000,4.03294089,0.38201908,0.90440878,0.00000000
3.27463732,3.48999099,0.82920668,0.00000000,4.17984524,0.39459082,0.90830491,0.00000000
3.28064032,3.50202036,0.85127291,0.00000000,4.32116538,0.40611940,0.91137642,0.00000000
3.28664332,3.50620976,0.87334293,0.00000000,4.45317914,0.41631870,0.91301533,0.00000000
3.29264632,3.50140944,0.89459928,0.00000000,4.57242494,0.42493351,0.91267028,0.00000000
3.29864932,3.48671206,0.91425499,0.00000000,4.67579534,0.43174676,0.90986833,0.00000000
3.30465233,3.46148183,0.93157424,0.00000000,4.76061828,0.43658549,0.90423255,0.00000000
3.31065533,3.42537340,0.94589119,0.00000000,4.82472355,0.43932530,0.89549480,0.00000000
3.31665833,3.37833995,0.95662645,0.00000000,4.86649213,0.43989319,0.88350347,0.00000000
3.32266133,3.32063042,0.96330066,0.00000000,4.88488707,0.43826854,0.86822580,0.00000000
3.32866433,3.25277611,0.96554494,0.00000000,4.87946485,0.43448247,0.84974504,0.00000000
3.33466733,3.17556739,0.96310776,0.00000000,4.85036722,0.42861540,0.82825281,0.00000000
3.34067034,3.09002156,0.95585815,0.00000000,4.79829396,0.42079298,0.80403709,0.00000000
3.34667334,2.99734319,0.94378521,0.00000000,4.72445802,0.41118068,0.77746671,0.00000000
3.35267634,2.89887863,0.92699395,0.00000000,4.63052508,0.39997715,0.74897318,0.00000000
3.35867934,2.79606655,0.90569767,0.00000000,4.51854003,0.38740675,0.71903078,0.00000000
3.36468234,2.69038656,0.88020735,0.00000000,4.39084367,0.37371141,0.68813587,0.00000000
3.37068534,2.58330786,0.85091832,0.00000000,4.24998306,0.35914234,0.65678649,0.00000000
3.37668834,2.47624019,0.81829488,0.00000000,4.09861926,0.34395180,0.62546310,0.00000000
3.38269135,2.37048880,0.78285354,0.00000000,3.93943615,0.32838527,0.59461116,0.00000000
3.38869435,2.26721532,0.74514541,0.00000000,3.77505407,0.31267438,0.56462644,0.00000000
3.39469735,2.16740605,0.70573859,0.00000000,3.60795143,0.29703075,0.53584336,0.00000000
3.40070035,2.07184872,0.66520109,0.00000000,3.44039725,0.28164102,0.50852677,0.00000000
3.40670335,1.98111864,0.62408503,0.00000000,3.27439686,0.26666324,0.48286739,0.00000000
3.41270635,1.89557447,0.58291256,0.00000000,3.11165241,0.25222453,0.45898074,0.00000000
3.41870935,1.81536366,0.54216398,0.00000000,2.95353895,0.23842032,0.43690954,0.00000000
3.42471236,1.74043702,0.50226844,0.00000000,2.80109630,0.22531477,0.41662916,0.00000000
3.43071536,1.67057151,0.46359727,0.00000000,2.65503603,0.21294258,0.39805570,0.00000000
3.43671836,1.60540009,0.42646019,0.00000000,2.51576224,0.20131180,0.38105621,0.00000000
3.44272136,1.54444713,0.39110417,0.00000000,2.38340432,0.19040761,0.36546039,0.00000000
3.44872436,1.48716752,0.35771485,0.00000000,2.25785924,0.18019675,0.35107330,0.00000000
3.45472736,1.43298789,0.32642021,0.00000000,2.13884089,0.17063234,0.33768831,0.00000000
3.46073037,1.38134787,0.29729619,0.00000000,2.02593353,0.16165896,0.32509991,0.00000000
3.46673337,1.33173977,0.27037369,0.00000000,1.91864663,0.15321765,0.31311572,0.00000000
3.47273637,1.28374496,0.24564680,0.00000000,1.81646840,0.14525062,0.30156738,0.00000000
3.47873937,1.23706568,0.22308154,0.00000000,1.71891569,0.13770556,0.29031992,0.00000000
3.48474237,1.19155091,0.20262490,0.00000000,1.62557824,0.13053933,0.27927947,0.00000000
3.49074537,1.14721583,0.18421370,0.00000000,1.53615570,0.12372091,0.26839901,0.00000000
3.49674837,1.10425404,0.16778295,0.00000000,1.45048657,0.11723367,0.25768231,0.00000000
3.50275138,1.06304266,0.15327360,0.00000000,1.36856826,0.11107671,0.24718598,0.00000000
3.50875438,1.02414022,0.14063921,0.00000000,1.29056843,0.10526552,0.23701975,0.00000000
3.51475738,0.98827787,0.12985164,0.00000000,1.21682787,0.09983185,0.22734519,0.00000000
3.52076038,0.95634433,0.12090554,0.00000000,1.14785564,0.09482293,0.21837300,0.00000000
3.52676338,0.92936552,0.11382161,0.00000000,1.08431735,0.09030007,0.21035912,0.00000000
3.53276638,0.90847934,0.10864863,0.00000000,1.02701776,0.08633680,0.20359977,0.00000000
3.53876938,0.89490674,0.10546430,0.00000000,0.97687878,0.08301666,0.19842568,0.00000000
3.54477239,0.88991966,0.10437477,0.00000000,0.93491393,0.08043063,0.19519554,0.00000000
3.55077539,0.89480673,0.10551302,0.00000000,0.90220035,0.07867442,0.19428888,0.00000000
3.55677839,0.91083731,0.10903610,0.00000000,0.87984902,0.07784562,0.19609826,0.00000000
3.56278139,0.93922460,0.11512107,0.00000000,0.86897414,0.07804076,0.20102090,0.00000000
3.56878439,0.98108833,0.12395992,0.00000000,0.87066183,0.07935242,0.20944980,0.00000000
3.57478739,1.03741764,0.13575329,0.00000000,0.88593879,0.08186630,0.22176410,0.00000000
3.58079040,1.10903464,0.15070311,0.00000000,0.91574095,0.08565839,0.23831897,0.00000000
3.58679340,1.19655931,0.16900426,0.00000000,0.96088251,0.09079218,0.25943487,0.00000000
3.59279640,1.30037653,0.19083535,0.00000000,1.02202539,0.09731606,0.28538639,0.00000000
3.59879940,1.42060579,0.21634875,0.00000000,1.09964967,0.10526079,0.31639072,0.00000000
3.60480240,1.55707473,0.24566018,0.00000000,1.19402511,0.11463717,0.35259617,0.00000000
3.61080540,1.70929744,0.27883812,0.00000000,1.30518486,0.12543405,0.39407098,0.00000000
3.61680840,1.87645860,0.31589348,0.00000000,1.43290166,0.13761655,0.44079279,0.00000000
3.62281141,2.05740466,0.35676975,0.00000000,1.57666798,0.15112475,0.49263955,0.00000000
3.62881441,2.25064310,0.40133449,0.00000000,1.73568099,0.16587286,0.54938200,0.00000000
3.63481741,2.45435097,0.44937224,0.00000000,1.90883372,0.18174897,0.61067878,0.00000000
3.64082041,2.66639327,0.50057968,0.00000000,2.09471358,0.19861548,0.67607427,0.00000000
3.64682341,2.88435193,0.55456330,0.00000000,2.29160948,0.21631028,0.74500003,0.00000000
3.65282641,3.10556548,0.61084018,0.00000000,2.49752828,0.23464876,0.81677991,0.00000000
3.65882941,3.32717903,0.66884194,0.00000000,2.71022143,0.25342656,0.89063930,0.00000000
3.66483242,3.54620392,0.72792229,0.00000000,2.92722167,0.27242327,0.96571840,0.00000000
3.67083542,3.75958553,0.78736800,0.00000000,3.14588960,0.29140677,1.04108944,0.00000000
3.67683842,3.96427749,0.84641320,0.00000000,3.36346911,0.31013829,1.11577736,0.00000000
3.68284142,4.15731989,0.90425665,0.00000000,3.57715020,0.32837802,1.18878339,0.00000000
3.68884442,4.33591868,0.96008147,0.00000000,3.78413708,0.34589093,1.25911072,0.00000000
3.69484742,4.49752324,1.01307656,0.00000000,3.98171893,0.36245286,1.32579105,0.00000000
3.70085043,4.63989887,1.06245888,0.00000000,4.16734061,0.37785631,1.38791126,0.00000000
3.70685343,4.76119103,1.10749573,0.00000000,4.33866993,0.39191593,1.44463856,0.00000000
3.71285643,4.85997835,1.14752595,0.00000000,4.49365854,0.40447336,1.49524336,0.00000000
3.71885943,4.93531182,1.18197910,0.00000000,4.63059344,0.41540110,1.53911846,0.00000000
3.72486243,4.98673806,1.21039173,0.00000000,4.74813641,0.42460539,1.57579381,0.00000000
3.73086543,5.01430545,1.23241998,0.00000000,4.84534949,0.43202780,1.60494602,0.00000000
3.73686843,5.01855249,1.24784783,0.00000000,4.92170509,0.43764549,1.62640227,0.00000000
3.74287144,5.00047875,1.25659077,0.00000000,4.97708036,0.44147017,1.64013847,0.00000000
3.74887444,4.96149960,1.25869456,0.00000000,5.01173613,0.44354576,1.64627181,0.00000000
3.75487744,4.90338669,1.25432942,0.00000000,5.02628173,0.44394484,1.64504830,0.00000000
3.76088044,4.82819700,1.24377980,0.00000000,5.02162784,0.44276421,1.63682603,0.00000000
3.76688344,4.73819357,1.22743055,0.00000000,4.99893002,0.44011967,1.62205513,0.00000000
3.77288644,4.63576173,1.20575000,0.00000000,4.95952628,0.43614036,1.60125572,0.00000000
3.77888944,4.52332451,1.17927113,0.00000000,4.90487219,0.43096299,1.57499494,0.00000000
3.78489245,4.40326112,1.14857163,0.00000000,4.83647710,0.42472618,1.54386438,0.00000000
3.79089545,4.27783191,1.11425382,0.00000000,4.75584482,0.41756530,1.50845916,0.00000000
3.79689845,4.14911292,1.07692561,0.00000000,4.66442182,0.40960797,1.46935938,0.00000000
3.80290145,4.01894249,1.03718296,0.00000000,4.56355527,0.40097041,1.42711508,0.00000000
3.80890445,3.88888155,0.99559489,0.00000000,4.45446244,0.39175489,1.38223485,0.00000000
3.81490745,3.76018865,0.95269122,0.00000000,4.33821243,0.38204824,1.33517865,0.00000000
3.82091046,3.63380987,0.90895355,0.00000000,4.21572004,0.37192137,1.28635452,0.00000000
