energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,2.01002005,0.00354911,0.11803733,0.59148388,0.73819143,1.12754249,0.00000000,0.65429658,0.18561871
-5.99399700,2.06771466,0.00343389,0.12479014,0.61423939,0.75102830,1.15940298,0.00000000,0.67861017,0.19624631
-5.98799400,2.12685224,0.00331726,0.13217482,0.63712752,0.76333115,1.19158242,0.00000000,0.70396400,0.20742374
-5.98199100,2.18635232,0.00320066,0.14013273,0.65971392,0.77482864,1.22341230,0.00000000,0.72980898,0.21902091
-5.97598799,2.24498285,0.00308527,0.14858701,0.68152423,0.78521459,1.25414739,0.00000000,0.75553595,0.23088611
-5.96998499,2.30139535,0.00297201,0.15744368,0.70205787,0.79415754,1.28298803,0.00000000,0.78049480,0.24284909
-5.96398199,2.35416639,0.00286157,0.16659326,0.72080364,0.80131230,1.30910596,0.00000000,0.80401566,0.25472509
-5.95797899,2.40184370,0.00275433,0.17591291,0.73725643,0.80633287,1.33167246,0.00000000,0.82543120,0.26631925
-5.95197599,2.44299521,0.00265044,0.18526887,0.75093447,0.80888638,1.34988770,0.00000000,0.84409918,0.27743168
-5.94597299,2.47625864,0.00254983,0.19451944,0.76139622,0.80866706,1.36300989,0.00000000,0.85942432,0.28786270
-5.93996998,2.50038972,0.00245224,0.20351812,0.76825625,0.80540976,1.37038310,0.00000000,0.87087860,0.29741826
-5.93396698,2.51430682,0.00235725,0.21211709,0.77119943,0.79890216,1.37146225,0.00000000,0.87801911,0.30591529
-5.92796398,2.51713003,0.00226433,0.22017082,0.76999259,0.78899521,1.36583429,0.00000000,0.88050278,0.31318682
-5.92196098,2.50821320,0.00217293,0.22753977,0.76449338,0.77561111,1.35323452,0.00000000,0.87809743,0.31908665
-5.91595798,2.48716745,0.00208245,0.23409412,0.75465574,0.75874859,1.33355736,0.00000000,0.87068860,0.32349360
-5.90995498,2.45387543,0.00199236,0.23971737,0.74053177,0.73848505,1.30686108,0.00000000,0.85828226,0.32631496
-5.90395198,2.40849590,0.00190219,0.24430987,0.72227012,0.71497571,1.27336642,0.00000000,0.84100310,0.32748923
-5.89794897,2.35145864,0.00181156,0.24779207,0.70011078,0.68844962,1.23344921,0.00000000,0.81908880,0.32698812
-5.89194597,2.28345042,0.00172025,0.25010744,0.67437670,0.65920298,1.18762737,0.00000000,0.79288060,0.32481755
-5.88594297,2.20539276,0.00162815,0.25122509,0.64546270,0.62758996,1.13654324,0.00000000,0.76281077,0.32101795
-5.87993997,2.11841291,0.00153533,0.25114184,0.61382217,0.59401166,1.08094188,0.00000000,0.72938759,0.31566367
-5.87393697,2.02380966,0.00144196,0.24988384,0.57995217,0.55890374,1.02164667,0.00000000,0.69317865,0.30886165
-5.86793397,1.92301544,0.00134839,0.24750765,0.54437779,0.52272325,0.95953322,0.00000000,0.65479317,0.30074939
-5.86193097,1.81755683,0.00125505,0.24410062,0.50763624,0.48593542,0.89550291,0.00000000,0.61486433,0.29149236
-5.85592796,1.70901484,0.00116248,0.23978071,0.47026157,0.44900093,0.83045705,0.00000000,0.57403200,0.28128091
-5.84992496,1.59898680,0.00107129,0.23469564,0.43277047,0.41236414,0.76527298,0.00000000,0.53292692,0.27032676
-5.84392196,1.48905109,0.00098212,0.22902136,0.39564974,0.37644290,0.70078267,0.00000000,0.49215654,0.25885920
-5.83791896,1.38073585,0.00089564,0.22295978,0.35934584,0.34162006,0.63775482,0.00000000,0.45229310,0.24712111
-5.83191596,1.27549245,0.00081251,0.21673597,0.32425671,0.30823715,0.57688076,0.00000000,0.41386418,0.23536485
-5.82591296,1.17467415,0.00073338,0.21059467,0.29072619,0.27659010,0.51876453,0.00000000,0.37734577,0.22384804
-5.81990995,1.07952017,0.00065884,0.20479617,0.25904078,0.24692723,0.46391705,0.00000000,0.34315794,0.21282943
-5.81390695,0.99114496,0.00058945,0.19961173,0.22942889,0.21944924,0.41275443,0.00000000,0.31166284,0.20256474
-5.80790395,0.91053226,0.00052570,0.19531848,0.20206231,0.19431105,0.36559982,0.00000000,0.28316485,0.19330258
-5.80190095,0.83853338,0.00046803,0.19219392,0.17705943,0.17162525,0.32268860,0.00000000,0.25791260,0.18528051
-5.79589795,0.77586895,0.00041685,0.19051010,0.15449021,0.15146678,0.28417602,0.00000000,0.23610227,0.17872111
-5.78989495,0.72313322,0.00037251,0.19052759,0.13438214,0.13387855,0.25014696,0.00000000,0.21788203,0.17382832
-5.78389195,0.68080015,0.00033532,0.19248931,0.11672710,0.11887751,0.22062680,0.00000000,0.20335696,0.17078376
-5.77788894,0.64923038,0.00030561,0.19661438,0.10148854,0.10646097,0.19559298,0.00000000,0.19259421,0.16974336
-5.77188594,0.62867833,0.00028367,0.20309208,0.08860870,0.09661264,0.17498652,0.00000000,0.18562803,0.17083409
-5.76588294,0.61929873,0.00026985,0.21207612,0.07801548,0.08930816,0.15872279,0.00000000,0.18246427,0.17415102
-5.75987994,0.62115222,0.00026447,0.22367928,0.06962875,0.08451994,0.14670132,0.00000000,0.18308425,0.17975462
-5.75387694,0.63420943,0.00026794,0.23796870,0.06336586,0.08222079,0.13881395,0.00000000,0.18744780,0.18766855
-5.74787394,0.65835356,0.00028066,0.25496187,0.05914602,0.08238659,0.13495123,0.00000000,0.19549525,0.19787783
-5.74187094,0.69338131,0.00030312,0.27462354,0.05689373,0.08499743,0.13500681,0.00000000,0.20714858,0.21032761
-5.73586793,0.73900225,0.00033580,0.29686366,0.05654093,0.09003761,0.13887967,0.00000000,0.22231154,0.22492264
-5.72986493,0.79483703,0.00037924,0.32153660,0.05802802,0.09749415,0.14647434,0.00000000,0.24086897,0.24152745
-5.72386193,0.86041460,0.00043396,0.34844149,0.06130374,0.10735411,0.15769916,0.00000000,0.26268531,0.25996731
-5.71785893,0.93516896,0.00050049,0.37732407,0.06632401,0.11960080,0.17246268,0.00000000,0.28760274,0.28003020
-5.71185593,1.01843603,0.00057927,0.40787989,0.07304980,0.13420899,0.19066872,0.00000000,0.31543873,0.30146951
-5.70585293,1.10945101,0.00067071,0.43975881,0.08144436,0.15113952,0.21221019,0.00000000,0.34598367,0.32400783
-5.69984992,1.20734686,0.00077506,0.47257095,0.09146973,0.17033343,0.23696220,0.00000000,0.37899842,0.34734138
-5.69384692,1.31115448,0.00089243,0.50589369,0.10308295,0.19170602,0.26477490,0.00000000,0.41421225,0.37114548
-5.68784392,1.41980490,0.00102270,0.53927977,0.11623210,0.21514130,0.29546647,0.00000000,0.45132129,0.39508042
-5.68184092,1.53213413,0.00116553,0.57226625,0.13085241,0.24048689,0.32881672,0.00000000,0.48998777,0.41879809
-5.67583792,1.64689087,0.00132030,0.60438395,0.14686260,0.26755010,0.36456183,0.00000000,0.52984009,0.44194879
-5.66983492,1.76274736,0.00148606,0.63516731,0.16416177,0.29609519,0.40239053,0.00000000,0.57047417,0.46418826
-5.66383192,1.87831354,0.00166154,0.66416420,0.18262697,0.32584238,0.44194223,0.00000000,0.61145588,0.48518468
-5.65782891,1.99215452,0.00184513,0.69094552,0.20211162,0.35646866,0.48280726,0.00000000,0.65232498,0.50462535
-5.65182591,2.10281135,0.00203488,0.71511436,0.22244493,0.38761064,0.52452949,0.00000000,0.69260041,0.52222302
-5.64582291,2.20882458,0.00222851,0.73631428,0.24343242,0.41886946,0.56661142,0.00000000,0.73178696,0.53772153
-5.63981991,2.30876053,0.00242344,0.75423676,0.26485762,0.44981787,0.60852170,0.00000000,0.76938340,0.55090073
-5.63381691,2.40123949,0.00261684,0.76862747,0.28648491,0.48000907,0.64970498,0.00000000,0.80489176,0.56158050
-5.62781391,2.48496527,0.00280572,0.77929127,0.30806343,0.50898740,0.68959378,0.00000000,0.83782772,0.56962386
-5.62181091,2.55875529,0.00298692,0.78609594,0.32933211,0.53630019,0.72762198,0.00000000,0.86773176,0.57493908
-5.61580790,2.62157025,0.00315728,0.78897451,0.35002547,0.56151060,0.76323963,0.00000000,0.89418083,0.57748080
-5.60980490,2.67254256,0.00331367,0.78792622,0.36988015,0.58421083,0.79592830,0.00000000,0.91680005,0.57725022
-5.60380190,2.71100231,0.00345312,0.78301620,0.38864188,0.60403507,0.82521651,0.00000000,0.93527425,0.57429435
-5.59779890,2.73650003,0.00357289,0.77437382,0.40607266,0.62067184,0.85069467,0.00000000,0.94935864,0.56870449
-5.59179590,2.74882512,0.00367056,0.76219002,0.42195786,0.63387494,0.87202876,0.00000000,0.95888841,0.56061399
-5.58579290,2.74801924,0.00374413,0.74671337,0.43611304,0.64347263,0.88897230,0.00000000,0.96378676,0.55019531
-5.57978989,2.73438395,0.00379206,0.72824541,0.44839006,0.64937463,0.90137611,0.00000000,0.96407092,0.53765669
-5.57378689,2.70848208,0.00381336,0.70713508,0.45868249,0.65157643,0.90919530,0.00000000,0.95985601,0.52323826
