energy_ev,total_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,1.35994779,0.32049612,0.83306482,0.00079995,0.08321495,0.44318832,0.00043590
-5.99399700,1.33969531,0.31692023,0.82158712,0.00086865,0.07968905,0.43662141,0.00043761
-5.98799400,1.31904978,0.31358854,0.80995741,0.00094388,0.07591318,0.43002507,0.00043911
-5.98199100,1.29905612,0.31073358,0.79883225,0.00102575,0.07196746,0.42372370,0.00044067
-5.97598799,1.28073541,0.30857487,0.78885860,0.00111429,0.06793467,0.41802732,0.00044257
-5.96998499,1.26506181,0.30731438,0.78066029,0.00120935,0.06389841,0.41322390,0.00044507
-5.96398199,1.25294303,0.30713318,0.77482666,0.00131061,0.05994145,0.40957298,0.00044840
-5.95797899,1.24520511,0.30818923,0.77190360,0.00141761,0.05614421,0.40730083,0.00045278
-5.95197599,1.24258173,0.31061656,0.77238730,0.00152973,0.05258333,0.40659720,0.00045839
-5.94597299,1.24570816,0.31452567,0.77672063,0.00164619,0.04933050,0.40761374,0.00046539
-5.93996998,1.25511955,0.32000511,0.78529189,0.00176610,0.04645147,0.41046396,0.00047390
-5.93396698,1.27125282,0.32712403,0.79843558,0.00188844,0.04400517,0.41522450,0.00048402
-5.92796398,1.29445165,0.33593537,0.81643471,0.00201213,0.04204313,0.42193761,0.00049581
-5.92196098,1.32497321,0.34647957,0.83952386,0.00213606,0.04060888,0.43061426,0.00050932
-5.91595798,1.36299573,0.35878828,0.86789248,0.00225909,0.03973755,0.44123773,0.00052458
-5.90995498,1.40862586,0.37288789,0.90168766,0.00238012,0.03945558,0.45376717,0.00054161
-5.90395198,1.46190461,0.38880244,0.94101589,0.00249816,0.03978038,0.46814088,0.00056041
-5.89794897,1.52281126,0.40655573,0.98594314,0.00261228,0.04072012,0.48427898,0.00058099
-5.89194597,1.59126455,0.42617235,1.03649325,0.00272172,0.04227355,0.50208519,0.00060336
-5.88594297,1.66712089,0.44767761,1.09264431,0.00282591,0.04442976,0.52144777,0.00062751
-5.87993997,1.75016976,0.47109612,1.15432334,0.00292443,0.04716816,0.54223944,0.00065346
-5.87393697,1.84012669,0.49644930,1.22139954,0.00301709,0.05045835,0.56431644,0.00068119
-5.86793397,1.93662454,0.52375181,1.29367679,0.00310391,0.05426025,0.58751705,0.00071070
-5.86193097,2.03920429,0.55300728,1.37088600,0.00318510,0.05852431,0.61165964,0.00074197
-5.85592796,2.14730639,0.58420349,1.45267837,0.00326104,0.06319190,0.63654086,0.00077498
-5.84992496,2.26026413,0.61730755,1.53862038,0.00333231,0.06819601,0.66193416,0.00080966
-5.84392196,2.37730032,0.65226134,1.62819128,0.00339957,0.07346211,0.68758919,0.00084594
-5.83791896,2.49752848,0.68897773,1.72078422,0.00346362,0.07890936,0.71323233,0.00088372
-5.83191596,2.61995952,0.72733786,1.81571117,0.00352526,0.08445205,0.73856871,0.00092284
-5.82591296,2.74351447,0.76718991,1.91221248,0.00358534,0.09000139,0.76328591,0.00096314
-5.81990995,2.86704354,0.80834949,2.00947081,0.00364464,0.09546746,0.78705929,0.00100441
-5.81390695,2.98935119,0.85060187,2.10662939,0.00370388,0.10076135,0.80955911,0.00104644
-5.80790395,3.10922650,0.89370606,2.20281408,0.00376363,0.10579749,0.83045897,0.00108897
-5.80190095,3.22547768,0.93740054,2.29715824,0.00382435,0.11049589,0.84944544,0.00113173
-5.79589795,3.33696914,0.98141061,2.38882946,0.00388630,0.11478441,0.86622825,0.00117447
-5.78989495,3.44265921,1.02545678,2.47705676,0.00394956,0.11860084,0.88055072,0.00121691
-5.78389195,3.54163657,1.06926392,2.56115679,0.00401401,0.12189468,0.89219953,0.00125883
-5.77788894,3.63315316,1.11257064,2.64055763,0.00407934,0.12462862,0.90101362,0.00130000
-5.77188594,3.71665165,1.15513830,2.71481876,0.00414506,0.12677951,0.90689129,0.00134025
-5.76588294,3.79178573,1.19675913,2.78364599,0.00421051,0.12833891,0.90979528,0.00137942
-5.75987994,3.85843170,1.23726303,2.84690031,0.00427492,0.12931310,0.90975533,0.00141742
-5.75387694,3.91669060,1.27652247,2.90460007,0.00433741,0.12972247,0.90686800,0.00145422
-5.74787394,3.96688032,1.31445522,2.95691611,0.00439702,0.12960049,0.90129369,0.00148979
-5.74187094,4.00951807,1.35102480,3.00416010,0.00445279,0.12899214,0.89325096,0.00152419
-5.73586793,4.04529376,1.38623836,3.04676642,0.00450376,0.12795195,0.88300838,0.00155748
-5.72986493,4.07503583,1.42014234,3.08526863,0.00454901,0.12654169,0.87087425,0.00158976
-5.72386193,4.09967112,1.45281592,3.12027172,0.00458771,0.12482793,0.85718481,0.00162114
-5.71785893,4.12018096,1.48436275,3.15242148,0.00461910,0.12287937,0.84229148,0.00165171
-5.71185593,4.13755582,1.51490147,3.18237281,0.00464257,0.12076431,0.82654772,0.00168158
-5.70585293,4.15275087,1.54455544,3.21075845,0.00465765,0.11854817,0.81029628,0.00171081
-5.69984992,4.16664478,1.57344246,3.23815992,0.00466399,0.11629131,0.79385738,0.00173943
-5.69384692,4.18000378,1.60166488,3.26508204,0.00466139,0.11404715,0.77751838,0.00176744
-5.68784392,4.19345277,1.62930092,3.29193224,0.00464979,0.11186065,0.76152540,0.00179478
-5.68184092,4.20745468,1.65639743,3.31900567,0.00462929,0.10976733,0.74607720,0.00182134
-5.67583792,4.22229883,1.68296471,3.34647656,0.00460006,0.10779269,0.73132155,0.00184697
-5.66983492,4.23809852,1.70897342,3.37439606,0.00456244,0.10595208,0.71735408,0.00187147
-5.66383192,4.25479744,1.73435398,3.40269628,0.00451681,0.10425106,0.70421955,0.00189461
-5.65782891,4.27218411,1.75899808,3.43119996,0.00446368,0.10268617,0.69191536,0.00191614
-5.65182591,4.28991307,1.78276249,3.45963488,0.00440360,0.10124594,0.68039692,0.00193581
-5.64582291,4.30753118,1.80547457,3.48765189,0.00433721,0.09991229,0.66958462,0.00195334
-5.63981991,4.32450741,1.82693933,3.51484535,0.00426519,0.09866201,0.65937181,0.00196851
-5.63381691,4.34026411,1.84694741,3.54077449,0.00418827,0.09746840,0.64963355,0.00198111
-5.62781391,4.35420801,1.86528364,3.56498460,0.00410723,0.09630292,0.64023548,0.00199097
-5.62181091,4.36575945,1.88173553,3.58702674,0.00402288,0.09513681,0.63104257,0.00199797
-5.61580790,4.37437828,1.89610148,3.60647509,0.00393611,0.09394254,0.62192740,0.00200206
-5.60980490,4.37958552,1.90819803,3.62294114,0.00384780,0.09269521,0.61277751,0.00200325
-5.60380190,4.38098010,1.91786613,3.63608434,0.00375893,0.09137363,0.60350181,0.00200160
-5.59779890,4.37825033,1.92497604,3.64561901,0.00367048,0.08996127,0.59403577,0.00199725
-5.59179590,4.37118030,1.92943083,3.65131767,0.00358350,0.08844693,0.58434530,0.00199036
-5.58579290,4.35965133,1.93116847,3.65301115,0.00349908,0.08682519,0.57442937,0.00198117
-5.57978989,4.34363948,1.93016259,3.65058603,0.00341833,0.08509659,0.56432121,0.00196994
-5.57378689,4.32320954,1.92642205,3.64398012,0.00334241,0.08326766,0.55408835,0.00195696
-5.56778389,4.29850662,1.91998950,3.63317676,0.00327250,0.08135065,0.54383128,0.00194254
-5.56178089,4.26974609,1.91093922,3.61819858,0.00320980,0.07936321,0.53368105,0.00192698
-5.55577789,4.23720276,1.89937433,3.59910153,0.00315550,0.07732773,0.52379576,0.00191062
-5.54977489,4.20119976,1.88542370,3.57596962,0.00311077,0.07527073,0.51435600,0.00189373
-5.54377189,4.16209791,1.86923857,3.54891066,0.00307675,0.07322196,0.50555938,0.00187661
-5.53776888,4.12028545,1.85098910,3.51805337,0.00305452,0.07121353,0.49761430,0.00185952
-5.53176588,4.07616854,1.83086088,3.48354559,0.00304507,0.06927887,0.49073290,0.00184270
-5.52576288,4.03016233,1.80905134,3.44555354,0.00304926,0.06745170,0.48512351,0.00182636
-5.51975988,3.98268227,1.78576610,3.40426168,0.00306782,0.06576491,0.48098273,0.00181067
-5.51375688,3.93413571,1.76121520,3.35987285,0.00310128,0.06424946,0.47848718,0.00179579
-5.50775388,3.88491321,1.73560915,3.31260808,0.00314996,0.06293331,0.47778549,0.00178184
-5.50175088,3.83537967,1.70915481,3.26270578,0.00321393,0.06184034,0.47899044,0.00176888
-5.49574787,3.78586515,1.68205106,3.21041990,0.00329296,0.06098942,0.48217189,0.00175698
-5.48974487,3.73665549,1.65448441,3.15601690,0.00338653,0.06039361,0.48735062,0.00174615
-5.48374187,3.68798326,1.62662467,3.09977151,0.00349376,0.06005938,0.49449354,0.00173635
-5.47773887,3.64001935,1.59862083,3.04196156,0.00361343,0.05998623,0.50351052,0.00172752
-5.47173587,3.59286612,1.57059752,2.98286206,0.00374398,0.06016637,0.51425321,0.00171953
-5.46573287,3.54655285,1.54265226,2.92273933,0.00388347,0.06058473,0.52651609,0.00171224
-5.45972986,3.50103427,1.51485388,2.86184555,0.00402968,0.06121920,0.54003981,0.00170543
