energy_ev,total_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,7.84779523,3.91475368,3.57757054,0.04771133,2.80489684,1.53840772,0.02108759
-5.99399700,8.08577896,3.93291705,3.72856336,0.04869943,2.90243381,1.56241124,0.02150548
-5.98799400,8.31232615,3.94261823,3.87464799,0.04951889,2.99519844,1.58514049,0.02188066
-5.98199100,8.52497059,3.94389904,4.01421094,0.05015784,3.08212285,1.60644401,0.02220745
-5.97598799,8.72146007,3.93693162,4.14574388,0.05060723,3.16223766,1.62618618,0.02248116
-5.96998499,8.89977082,3.92198277,4.26787083,0.05086082,3.23468785,1.64423353,0.02269812
-5.96398199,9.05812134,3.89937991,4.37937347,0.05091520,3.29874695,1.66044294,0.02285558
-5.95797899,9.19498667,3.86948068,4.47921411,0.05076972,3.35382947,1.67465261,0.02295168
-5.95197599,9.30911335,3.83264818,4.56655565,0.05042636,3.39950111,1.68667660,0.02298539
-5.94597299,9.39953508,3.78923310,4.64077795,0.04988962,3.43548657,1.69630313,0.02295644
-5.93996998,9.46558841,3.73956330,4.70148991,0.04916634,3.46167450,1.70329706,0.02286529
-5.93396698,9.50692742,3.68394087,4.74853648,0.04826555,3.47811932,1.70740606,0.02271305
-5.92796398,9.52353591,3.62264623,4.78200037,0.04719821,3.48503946,1.70837009,0.02250144
-5.92196098,9.51573541,3.55594797,4.80219755,0.04597705,3.48281179,1.70593342,0.02223279
-5.91595798,9.48418752,3.48411710,4.80966676,0.04461633,3.47196218,1.69985827,0.02190997
-5.90995498,9.42988869,3.40744386,4.80515262,0.04313158,3.45315195,1.68993908,0.02153636
-5.90395198,9.35415662,3.32625532,4.78958291,0.04153943,3.42716051,1.67601629,0.02111586
-5.89794897,9.25860727,3.24093189,4.76404032,0.03985730,3.39486453,1.65798882,0.02065283
-5.89194597,9.14512244,3.15192110,4.72972972,0.03810320,3.35721409,1.63582425,0.02015205
