energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,1.90027494,0.00439436,0.26771988,0.21948574,1.08567600,0.90844315,0.65819072,0.00000000
-5.99399700,1.92203604,0.00445392,0.27545144,0.21290518,1.06792943,0.93063133,0.65299415,0.00000000
-5.98799400,1.94284610,0.00450891,0.28310799,0.20620752,1.04801925,0.95291995,0.64711236,0.00000000
-5.98199100,1.96255968,0.00456029,0.29058580,0.19943655,1.02626186,0.97509109,0.64068426,0.00000000
-5.97598799,1.98098941,0.00460914,0.29777068,0.19264361,1.00297554,0.99689327,0.63384706,0.00000000
-5.96998499,1.99789333,0.00465656,0.30453903,0.18588532,0.97846650,1.01803812,0.62672656,0.00000000
-5.96398199,2.01296661,0.00470372,0.31075972,0.17922144,0.95301717,1.03819948,0.61942858,0.00000000
-5.95797899,2.02583873,0.00475180,0.31629679,0.17271306,0.92687716,1.05701544,0.61203204,0.00000000
-5.95197599,2.03607675,0.00480207,0.32101293,0.16642127,0.90025761,1.07409328,0.60458414,0.00000000
-5.94597299,2.04319492,0.00485588,0.32477354,0.16040632,0.87332888,1.08901772,0.59709816,0.00000000
-5.93996998,2.04667029,0.00491472,0.32745141,0.15472742,0.84622164,1.10136189,0.58955364,0.00000000
-5.93396698,2.04596370,0.00498028,0.32893156,0.14944300,0.81903110,1.11070088,0.58189923,0.00000000
-5.92796398,2.04054480,0.00505454,0.32911607,0.14461152,0.79182378,1.11662699,0.57405785,0.00000000
-5.92196098,2.02991992,0.00513983,0.32792874,0.14029251,0.76464632,1.11876604,0.56593375,0.00000000
-5.91595798,2.01366081,0.00523889,0.32531911,0.13654786,0.73753540,1.11679383,0.55742115,0.00000000
-5.90995498,1.99143269,0.00535497,0.32126578,0.13344304,0.71052813,1.11045175,0.54841367,0.00000000
-5.90395198,1.96301974,0.00549182,0.31577858,0.13104820,0.68367207,1.09956069,0.53881413,0.00000000
-5.89794897,1.92834633,0.00565376,0.30889980,0.12943877,0.65703401,1.08403235,0.52854397,0.00000000
-5.89194597,1.88749284,0.00584559,0.30070391,0.12869557,0.63070717,1.06387742,0.51755175,0.00000000
-5.88594297,1.84070461,0.00607258,0.29129620,0.12890421,0.60481607,1.03920983,0.50582013,0.00000000
-5.87993997,1.78839382,0.00634034,0.28081005,0.13015364,0.57951885,1.01024715,0.49337109,0.00000000
-5.87393697,1.73113363,0.00665466,0.26940308,0.13253388,0.55500700,0.97730663,0.48026884,0.00000000
-5.86793397,1.66964508,0.00702132,0.25725240,0.13613294,0.53150236,0.94079747,0.46662046,0.00000000
-5.86193097,1.60477719,0.00744584,0.24454905,0.14103283,0.50925166,0.90120935,0.45257416,0.00000000
-5.85592796,1.53748133,0.00793320,0.23149197,0.14730506,0.48851902,0.85909795,0.43831528,0.00000000
-5.84992496,1.46878101,0.00848752,0.21828179,0.15500559,0.46957670,0.81506813,0.42406033,0.00000000
-5.84392196,1.39973869,0.00911177,0.20511461,0.16416951,0.45269472,0.76975557,0.41004926,0.00000000
-5.83791896,1.33142124,0.00980746,0.19217618,0.17480580,0.43812989,0.72380774,0.39653666,0.00000000
-5.83191596,1.26486552,0.01057428,0.17963664,0.18689241,0.42611491,0.67786504,0.38378211,0.00000000
-5.82591296,1.20104589,0.01140993,0.16764601,0.20037194,0.41684793,0.63254301,0.37204034,0.00000000
-5.81990995,1.14084491,0.01230985,0.15633066,0.21514831,0.41048329,0.58841624,0.36155167,0.00000000
-5.81390695,1.08502864,0.01326713,0.14579076,0.23108469,0.40712368,0.54600468,0.35253321,0.00000000
-5.80790395,1.03422730,0.01427242,0.13609892,0.24800284,0.40681428,0.50576273,0.34517123,0.00000000
-5.80190095,0.98892221,0.01531402,0.12729989,0.26568422,0.40953898,0.46807159,0.33961508,0.00000000
-5.79589795,0.94943913,0.01637801,0.11941131,0.28387280,0.41521894,0.43323472,0.33597287,0.00000000
-5.78989495,0.91594829,0.01744854,0.11242548,0.30227978,0.42371342,0.40147673,0.33430914,0.00000000
-5.78389195,0.88847056,0.01850817,0.10631196,0.32059001,0.43482304,0.37294529,0.33464449,0.00000000
-5.77788894,0.86688959,0.01953833,0.10102087,0.33847005,0.44829510,0.34771581,0.33695726,0.00000000
-5.77188594,0.85096876,0.02051988,0.09648669,0.35557755,0.46383085,0.32579863,0.34118699,0.00000000
-5.76588294,0.84037237,0.02143369,0.09263249,0.37157161,0.48109449,0.30714805,0.34723955,0.00000000
-5.75987994,0.83468969,0.02226130,0.08937423,0.38612380,0.49972332,0.29167281,0.35499365,0.00000000
-5.75387694,0.83346093,0.02298554,0.08662506,0.39892922,0.51933893,0.27924749,0.36430826,0.00000000
-5.74787394,0.83620383,0.02359121,0.08429951,0.40971725,0.53955874,0.26972417,0.37503081,0.00000000
-5.74187094,0.84243976,0.02406559,0.08231724,0.41826140,0.56000773,0.26294399,0.38700553,0.00000000
-5.73586793,0.85171823,0.02439902,0.08060638,0.42438780,0.58032965,0.25874807,0.40008167,0.00000000
-5.72986493,0.86363892,0.02458524,0.07910636,0.42798203,0.60019752,0.25698740,0.41412118,0.00000000
-5.72386193,0.87787029,0.02462174,0.07776999,0.42899377,0.61932298,0.25753147,0.42900549,0.00000000
-5.71785893,0.89416423,0.02450984,0.07656500,0.42743915,0.63746413,0.26027517,0.44464111,0.00000000
-5.71185593,0.91236627,0.02425476,0.07547480,0.42340070,0.65443156,0.26514406,0.46096374,0.00000000
-5.70585293,0.93242100,0.02386544,0.07449860,0.41702476,0.67009254,0.27209774,0.47794075,0.00000000
-5.69984992,0.95437279,0.02335428,0.07365091,0.40851671,0.68437301,0.28113136,0.49557188,0.00000000
-5.69384692,0.97836176,0.02273670,0.07296037,0.39813391,0.69725746,0.29227530,0.51388819,0.00000000
-5.68784392,1.00461544,0.02203069,0.07246820,0.38617708,0.70878673,0.30559316,0.53294922,0.00000000
-5.68184092,1.03343648,0.02125612,0.07222611,0.37298013,0.71905374,0.32117816,0.55283849,0.00000000
-5.67583792,1.06518696,0.02043413,0.07229394,0.35889925,0.72819745,0.33914817,0.57365762,0.00000000
-5.66983492,1.10027009,0.01958642,0.07273701,0.34430150,0.73639522,0.35963958,0.59551922,0.00000000
-5.66383192,1.13910992,0.01873454,0.07362337,0.32955351,0.74385394,0.38280025,0.61853890,0.00000000
-5.65782891,1.18212988,0.01789921,0.07502097,0.31501075,0.75080020,0.40878178,0.64282674,0.00000000
-5.65182591,1.22973095,0.01709967,0.07699484,0.30100764,0.75746997,0.43773132,0.66847864,0.00000000
-5.64582291,1.28227019,0.01635316,0.07960443,0.28784905,0.76409815,0.46978317,0.69556777,0.00000000
-5.63981991,1.34004034,0.01567440,0.08290105,0.27580326,0.77090834,0.50505042,0.72413672,0.00000000
-5.63381691,1.40325114,0.01507525,0.08692554,0.26509657,0.77810331,0.54361683,0.75419043,0.00000000
-5.62781391,1.47201298,0.01456443,0.09170629,0.25590976,0.78585637,0.58552921,0.78569042,0.00000000
-5.62181091,1.54632328,0.01414738,0.09725750,0.24837616,0.79430408,0.63079034,0.81855038,0.00000000
-5.61580790,1.62605602,0.01382622,0.10357775,0.24258144,0.80354037,0.67935288,0.85263346,0.00000000
-5.60980490,1.71095480,0.01359985,0.11064907,0.23856488,0.81361244,0.73111424,0.88775126,0.00000000
-5.60380190,1.80062946,0.01346406,0.11843627,0.23632183,0.82451838,0.78591270,0.92366464,0.00000000
-5.59779890,1.89455663,0.01341189,0.12688675,0.23580734,0.83620657,0.84352492,0.96008633,0.00000000
-5.59179590,1.99208400,0.01343387,0.13593078,0.23694055,0.84857700,0.90366510,0.99668525,0.00000000
-5.58579290,2.09243861,0.01351850,0.14548213,0.23960959,0.86148418,0.96598578,1.03309245,0.00000000
-5.57978989,2.19473871,0.01365266,0.15543924,0.24367695,0.87474170,1.03008062,1.06890849,0.00000000
-5.57378689,2.29800943,0.01382211,0.16568674,0.24898489,0.88812817,1.09548914,1.10371201,0.00000000
-5.56778389,2.40120163,0.01401196,0.17609753,0.25536089,0.90139439,1.16170339,1.13706945,0.00000000
-5.56178089,2.50321391,0.01420718,0.18653515,0.26262291,0.91427139,1.22817682,1.16854535,0.00000000
-5.55577789,2.60291711,0.01439305,0.19685658,0.27058439,0.92647926,1.29433492,1.19771327,0.00000000
-5.54977489,2.69918095,0.01455566,0.20691530,0.27905887,0.93773631,1.35958767,1.22416688,0.00000000
-5.54377189,2.79090192,0.01468223,0.21656464,0.28786422,0.94776839,1.42334343,1.24753093,0.00000000
-5.53776888,2.87703188,0.01476156,0.22566122,0.29682631,0.95631803,1.48502387,1.26747191,0.00000000
-5.53176588,2.95660633,0.01478421,0.23406843,0.30578224,0.96315313,1.54407952,1.28370788,0.00000000
-5.52576288,3.02877146,0.01474282,0.24165981,0.31458298,0.96807484,1.60000535,1.29601743,0.00000000
-5.51975988,3.09280896,0.01463219,0.24832227,0.32309542,0.97092454,1.65235570,1.30424725,0.00000000
-5.51375688,3.14815773,0.01444938,0.25395886,0.33120382,0.97158942,1.70075812,1.30831810,0.00000000
-5.50775388,3.19443131,0.01419371,0.25849124,0.33881062,0.97000666,1.74492529,1.30822907,0.00000000
-5.50175088,3.23143059,0.01386666,0.26186146,0.34583664,0.96616594,1.78466457,1.30405964,0.00000000
-5.49574787,3.25915076,0.01347180,0.26403314,0.35222067,0.96011018,1.81988479,1.29596964,0.00000000
-5.48974487,3.27778250,0.01301453,0.26499204,0.35791841,0.95193449,1.85059973,1.28419699,0.00000000
-5.48374187,3.28770693,0.01250186,0.26474579,0.36290096,0.94178334,1.87692829,1.26905309,0.00000000
-5.47773887,3.28948468,0.01194217,0.26332299,0.36715281,0.92984597,1.89909133,1.25091608,0.00000000
-5.47173587,3.28383942,0.01134485,0.26077172,0.37066945,0.91635044,1.91740516,1.23022218,0.00000000
-5.46573287,3.27163653,0.01072005,0.25715733,0.37345490,0.90155626,1.93227216,1.20745517,0.00000000
-5.45972986,3.25385784,0.01007833,0.25255992,0.37551900,0.88574617,1.94416898,1.18313467,0.00000000
-5.45372686,3.23157355,0.00943036,0.24707140,0.37687491,0.86921727,1.95363269,1.15780324,0.00000000
-5.44772386,3.20591241,0.00878668,0.24079238,0.37753684,0.85227193,1.96124574,1.13201308,0.00000000
-5.44172086,3.17803148,0.00815738,0.23382904,0.37751813,0.83520885,1.96762005,1.10631254,0.00000000
-5.43571786,3.14908648,0.00755197,0.22629004,0.37682988,0.81831456,1.97338111,1.08123293,0.00000000
-5.42971486,3.12020369,0.00697912,0.21828375,0.37548012,0.80185579,1.97915240,1.05727609,0.00000000
-5.42371186,3.09245444,0.00644657,0.20991574,0.37347367,0.78607286,1.98554060,1.03490300,0.00000000
-5.41770885,3.06683243,0.00596101,0.20128673,0.37081258,0.77117434,1.99312193,1.01452374,0.00000000
-5.41170585,3.04423451,0.00552801,0.19249096,0.36749720,0.75733301,2.00242977,0.99648896,0.00000000
-5.40570285,3.02544497,0.00515201,0.18361510,0.36352760,0.74468325,2.01394358,0.98108311,0.00000000
-5.39969985,3.01112318,0.00483628,0.17473766,0.35890549,0.73331974,2.02807931,0.96851930,0.00000000
-5.39369685,3.00179456,0.00458295,0.16592876,0.35363613,0.72329736,2.04518097,0.95893608,0.00000000
-5.38769385,2.99784441,0.00439305,0.15725035,0.34773039,0.71463220,2.06551349,0.95239578,0.00000000
-5.38169085,2.99951450,0.00426655,0.14875675,0.34120649,0.70730352,2.08925677,0.94888467,0.00000000
-5.37568784,3.00690189,0.00420238,0.14049541,0.33409145,0.70125632,2.11650080,0.94831467,0.00000000
-5.36968484,3.01996007,0.00419854,0.13250784,0.32642207,0.69640466,2.14724211,0.95052662,0.00000000
-5.36368184,3.03850207,0.00425212,0.12483057,0.31824528,0.69263526,2.18138140,0.95529503,0.00000000
-5.35767884,3.06220575,0.00435938,0.11749620,0.30961789,0.68981155,2.21872279,0.96233428,0.00000000
-5.35167584,3.09062122,0.00451584,0.11053432,0.30060575,0.68777784,2.25897483,0.97130624,0.00000000
-5.34567284,3.12318068,0.00471630,0.10397242,0.29128234,0.68636382,2.30175336,0.98182912,0.00000000
-5.33966983,3.15921078,0.00495499,0.09783660,0.28172686,0.68538922,2.34658683,0.99348772,0.00000000
-5.33366683,3.19794763,0.00522560,0.09215223,0.27202204,0.68466857,2.39292380,1.00584462,0.00000000
-5.32766383,3.23855453,0.00552145,0.08694438,0.26225181,0.68401628,2.44014308,1.01845246,0.00000000
-5.32166083,3.28014232,0.00583557,0.08223818,0.25249886,0.68325170,2.48756619,1.03086685,0.00000000
-5.31565783,3.32179192,0.00616085,0.07805907,0.24284252,0.68220439,2.53447205,1.04265966,0.00000000
-5.30965483,3.36257862,0.00649016,0.07443281,0.23335678,0.68071927,2.58011359,1.05343232,0.00000000
-5.30365183,3.40159744,0.00681658,0.07138549,0.22410884,0.67866174,2.62373562,1.06282864,0.00000000
-5.29764882,3.43798853,0.00713347,0.06894339,0.21515807,0.67592229,2.66459350,1.07054667,0.00000000
-5.29164582,3.47096168,0.00743473,0.06713266,0.20655552,0.67242077,2.70197173,1.07634909,0.00000000
-5.28564282,3.49981880,0.00771487,0.06597898,0.19834394,0.66810975,2.73520187,1.08007160,0.00000000
-5.27963982,3.52397331,0.00796923,0.06550699,0.19055820,0.66297695,2.76367890,1.08162884,0.00000000
-5.27363682,3.54296535,0.00819408,0.06573967,0.18322614,0.65704647,2.78687543,1.08101748,0.00000000
-5.26763382,3.55647216,0.00838671,0.06669750,0.17636964,0.65037863,2.80435312,1.07831617,0.00000000
-5.26163082,3.56431288,0.00854552,0.06839753,0.17000580,0.64306840,2.81577090,1.07368228,0.00000000
-5.25562781,3.56644752,0.00867003,0.07085234,0.16414821,0.63524226,2.82088976,1.06734528,0.00000000
-5.24962481,3.56297016,0.00876086,0.07406884,0.15880801,0.62705362,2.81957392,1.05959717,0.00000000
-5.24362181,3.55409666,0.00881973,0.07804702,0.15399485,0.61867696,2.81178871,1.05078011,0.00000000
-5.23761881,3.54014749,0.00884928,0.08277870,0.14971747,0.61030076,2.79759519,1.04127181,0.00000000
-5.23161581,3.52152668,0.00885300,0.08824630,0.14598404,0.60211971,2.77714215,1.03146936,0.00000000
-5.22561281,3.49869793,0.00883503,0.09442163,0.14280212,0.59432640,2.75065592,1.02177206,0.00000000
-5.21960980,3.47215915,0.00879996,0.10126498,0.14017831,0.58710288,2.71842859,1.01256418,0.00000000
-5.21360680,3.44241672,0.00875263,0.10872432,0.13811760,0.58061263,2.68080537,1.00419828,0.00000000
-5.20760380,3.40996077,0.00869792,0.11673485,0.13662256,0.57499315,2.63817166,0.99697998,0.00000000
-5.20160080,3.37524272,0.00864050,0.12521895,0.13569229,0.57034963,2.59094038,0.99115477,0.00000000
-5.19559780,3.33865603,0.00858462,0.13408644,0.13532141,0.56675008,2.53954015,0.98689746,0.00000000
-5.18959480,3.30052099,0.00853396,0.14323540,0.13549901,0.56422192,2.48440462,0.98430470,0.00000000
-5.18359180,3.26107430,0.00849145,0.15255334,0.13620771,0.56275048,2.42596341,0.98339093,0.00000000
-5.17758879,3.22046345,0.00845915,0.16191888,0.13742295,0.56227924,2.36463465,0.98408783,0.00000000
-5.17158579,3.17874625,0.00843816,0.17120384,0.13911236,0.56271193,2.30081939,0.98624719,0.00000000
-5.16558279,3.13589519,0.00842861,0.18027561,0.14123555,0.56391628,2.23489776,0.98964720,0.00000000
-5.15957979,3.09180613,0.00842965,0.18899995,0.14374405,0.56572932,2.16722684,0.99400156,0.00000000
-5.15357679,3.04631093,0.00843951,0.19724391,0.14658160,0.56796389,2.09814006,0.99897119,0.00000000
-5.14757379,2.99919312,0.00845557,0.20487886,0.14968470,0.57041618,2.02794797,1.00417791,0.00000000
-5.14157079,2.95020582,0.00847453,0.21178355,0.15298338,0.57287384,1.95694005,1.00921949,0.00000000
-5.13556778,2.89909107,0.00849252,0.21784710,0.15640228,0.57512446,1.88538752,1.01368546,0.00000000
-5.12956478,2.84559968,0.00850529,0.22297173,0.15986186,0.57696391,1.81354664,1.01717306,0.00000000
-5.12356178,2.78951072,0.00850839,0.22707524,0.16327986,0.57820448,1.74166243,1.01930265,0.00000000
-5.11755878,2.73064993,0.00849739,0.23009312,0.16657285,0.57868229,1.66997263,1.01973222,0.00000000
-5.11155578,2.66890626,0.00846804,0.23198015,0.16965792,0.57826389,1.59871146,1.01817019,0.00000000
-5.10555278,2.60424615,0.00841643,0.23271160,0.17245446,0.57685177,1.52811320,1.01438647,0.00000000
-5.09954977,2.53672479,0.00833921,0.23228384,0.17488602,0.57438874,1.45841535,1.00822116,0.00000000
-5.09354677,2.46649437,0.00823365,0.23071445,0.17688208,0.57086094,1.38986118,0.99959083,0.00000000
-5.08754377,2.39380885,0.00809779,0.22804176,0.17837995,0.56629960,1.32270158,0.98849218,0.00000000
-5.08154077,2.31902519,0.00793052,0.22432395,0.17932647,0.56078140,1.25719608,0.97500319,0.00000000
-5.07553777,2.24260121,0.00773157,0.21963765,0.17967966,0.55442762,1.19361302,0.95928157,0.00000000
-5.06953477,2.16509005,0.00750158,0.21407614,0.17941022,0.54740194,1.13222875,0.94156093,0.00000000
-5.06353177,2.08713152,0.00724203,0.20774721,0.17850278,0.53990728,1.07332582,0.92214468,0.00000000
-5.05752876,2.00944065,0.00695521,0.20077081,0.17695689,0.53218146,1.01719031,0.90139800,0.00000000
-5.05152576,1.93279378,0.00664413,0.19327639,0.17478767,0.52449215,0.96410823,0.87973821,0.00000000
-5.04552276,1.85801274,0.00631243,0.18540027,0.17202619,0.51713097,0.91436110,0.85762384,0.00000000
-5.03951976,1.78594739,0.00596423,0.17728288,0.16871931,0.51040706,0.86822090,0.83554279,0.00000000
-5.03351676,1.71745733,0.00560405,0.16906602,0.16492923,0.50464026,0.82594445,0.81399994,0.00000000
-5.02751376,1.65339298,0.00523667,0.16089031,0.16073251,0.50015399,0.78776758,0.79350462,0.00000000
-5.02151076,1.59457690,0.00486696,0.15289273,0.15621876,0.49726800,0.75389908,0.77455820,0.00000000
-5.01550775,1.54178553,0.00449980,0.14520428,0.15148883,0.49629125,0.72451487,0.75764219,0.00000000
