energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-6.00000000,2.76514958,0.18338246,0.09059195,0.58825122,0.37485514,0.92416247,0.60535748,1.08415779,0.00000000
-5.99399700,2.81993747,0.19040940,0.09384537,0.60326350,0.37490743,0.95249693,0.62156000,1.10112680,0.00000000
-5.98799400,2.86922890,0.19648349,0.09681866,0.61623227,0.37503611,0.97695164,0.63632319,1.11626513,0.00000000
-5.98199100,2.91080764,0.20146993,0.09943590,0.62667759,0.37493649,0.99681782,0.64914342,1.12870303,0.00000000
-5.97598799,2.94272529,0.20525686,0.10162875,0.63418566,0.37433098,1.01150298,0.65957944,1.13767924,0.00000000
-5.96998499,2.96336602,0.20775887,0.10333893,0.63842158,0.37297861,1.02054888,0.66726679,1.14256555,0.00000000
-5.96398199,2.97149820,0.20891971,0.10452026,0.63913923,0.37068275,1.02364474,0.67192937,1.14288598,0.00000000
-5.95797899,2.96631068,0.20871397,0.10514038,0.63618794,0.36729684,1.02063535,0.67338748,1.13832983,0.00000000
-5.95197599,2.94743225,0.20714772,0.10518183,0.62951555,0.36272796,1.01152353,0.67156221,1.12875810,0.00000000
-5.94597299,2.91493374,0.20425798,0.10464262,0.61916795,0.35693806,0.99646697,0.66647575,1.11420311,0.00000000
-5.93996998,2.86931269,0.20011122,0.10353614,0.60528511,0.34994293,0.97576971,0.65824783,1.09486152,0.00000000
-5.93396698,2.81146172,0.19480073,0.10189057,0.58809381,0.34180907,0.94986849,0.64708840,1.07108107,0.00000000
-5.92796398,2.74262225,0.18844314,0.09974763,0.56789757,0.33264860,0.91931485,0.63328692,1.04334185,0.00000000
-5.92196098,2.66432604,0.18117431,0.09716090,0.54506422,0.32261265,0.88475376,0.61719880,1.01223310,0.00000000
-5.91595798,2.57832756,0.17314452,0.09419373,0.52001162,0.31188347,0.84689969,0.59922967,0.97842674,0.00000000
-5.90995498,2.48653042,0.16451346,0.09091684,0.49319246,0.30066583,0.80651140,0.57981822,0.94264879,0.00000000
-5.90395198,2.39091173,0.15544514,0.08740575,0.46507852,0.28917814,0.76436641,0.55941852,0.90565036,0.00000000
-5.89794897,2.29344768,0.14610283,0.08373821,0.43614534,0.27764364,0.72123640,0.53848244,0.86817929,0.00000000
-5.89194597,2.19604398,0.13664440,0.07999165,0.40685771,0.26628225,0.67786441,0.51744328,0.83095388,0.00000000
-5.88594297,2.10047413,0.12721821,0.07624082,0.37765673,0.25530333,0.63494477,0.49670105,0.79463989,0.00000000
-5.87993997,2.00832802,0.11795953,0.07255582,0.34894863,0.24489980,0.59310657,0.47661014,0.75983161,0.00000000
-5.87393697,1.92097286,0.10898786,0.06900042,0.32109603,0.23524362,0.55290094,0.45746991,0.72703777,0.00000000
-5.86793397,1.83952754,0.10040497,0.06563078,0.29441144,0.22648309,0.51479258,0.43951831,0.69667268,0.00000000
-5.86193097,1.76485077,0.09229387,0.06249475,0.26915338,0.21874166,0.47915554,0.42292888,0.66905266,0.00000000
-5.85592796,1.69754274,0.08471851,0.05963152,0.24552486,0.21211841,0.44627302,0.40781090,0.64439762,0.00000000
-5.84992496,1.63795914,0.07772429,0.05707172,0.22367416,0.20668995,0.41634089,0.39421258,0.62283728,0.00000000
-5.84392196,1.58623581,0.07133922,0.05483793,0.20369754,0.20251351,0.38947438,0.38212682,0.60442135,0.00000000
