energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,4.51461441,-4.55596512,1.11169042,-1.21590197,2.78911737,-2.83149704,0.00319670,-0.00370351,0.31064129,-0.28319104,1.08111451,-1.04086343,0.52831725,-0.47304515,0.04104312,-0.04170384,0.63147842,-0.67920264
-5.99399700,4.48337557,-4.53691280,1.09124027,-1.19358150,2.77430591,-2.81851370,0.00317788,-0.00365852,0.31154814,-0.28752946,1.08704826,-1.04997689,0.52488512,-0.47645394,0.04114319,-0.04178594,0.62030154,-0.67130823
-5.98799400,4.44358255,-4.50702093,1.07082467,-1.16966464,2.75416737,-2.79884459,0.00315883,-0.00361056,0.31148391,-0.29105769,1.09028066,-1.05656739,0.52023881,-0.47866090,0.04116682,-0.04175554,0.60819286,-0.66180192
-5.98199100,4.39628461,-4.46739770,1.05074231,-1.14459957,2.72930652,-2.77318431,0.00314071,-0.00356156,0.31048719,-0.29378244,1.09098600,-1.06076787,0.51449728,-0.47972704,0.04111797,-0.04162292,0.59538000,-0.65088149
-5.97598799,4.34266718,-4.41932272,1.03129402,-1.11884819,2.70041767,-2.74233511,0.00312476,-0.00351349,0.30861211,-0.29572523,1.08940890,-1.06276618,0.50779330,-0.47973273,0.04100126,-0.04139940,0.58210172,-0.63877013
-5.96998499,4.28403273,-4.36422053,1.01278303,-1.09288050,2.66827337,-2.70719111,0.00311231,-0.00346824,0.30592717,-0.29692112,1.08586259,-1.06280378,0.50027105,-0.47877482,0.04082193,-0.04109703,0.56860381,-0.62571277
-5.96398199,4.22177650,-4.30362902,0.99551377,-1.06716862,2.63370957,-2.66871893,0.00310475,-0.00342767,0.30251372,-0.29741713,1.08072453,-1.06117282,0.49208338,-0.47696341,0.04058572,-0.04072814,0.55513447,-0.61197154
-5.95797899,4.15735765,-4.23916354,0.97978925,-1.04218031,2.59760776,-2.62793579,0.00310360,-0.00339359,0.29846408,-0.29727025,1.07442935,-1.05821164,0.48338892,-0.47441802,0.04029888,-0.04030510,0.54193927,-0.59782049
-5.95197599,4.09226695,-4.17247810,0.96590693,-1.01837211,2.56087468,-2.58588533,0.00311045,-0.00336773,0.29387949,-0.29654523,1.06745935,-1.05429861,0.47434904,-0.47126371,0.03996795,-0.03983990,0.52925585,-0.58353964
-5.94597299,4.02799202,-4.10522502,0.95415314,-0.99618224,2.52442040,-2.54361251,0.00312702,-0.00335180,0.28886778,-0.29531229,1.06033259,-1.04984463,0.46512485,-0.46762702,0.03959975,-0.03934394,0.51730854,-0.56940857
-5.93996998,3.96598161,-4.03901455,0.94479629,-0.97602320,2.48913560,-2.50213822,0.00315512,-0.00334745,0.28354104,-0.29364477,1.05358906,-1.04528419,0.45587421,-0.46363204,0.03920119,-0.03882774,0.50630321,-0.55569984
-5.93396698,3.90761018,-3.97537598,0.93807919,-0.95827437,2.45586906,-2.46243469,0.00319668,-0.00335632,0.27801312,-0.29161688,1.04777514,-1.04106541,0.44674893,-0.45939690,0.03877921,-0.03830082,0.49642242,-0.54267237
-5.92796398,3.85414426,-3.91572173,0.93421086,-0.94327476,2.42540621,-2.42540269,0.00325370,-0.00338006,0.27239719,-0.28930167,1.04342718,-1.03763906,0.43789220,-0.45503050,0.03834058,-0.03777153,0.48782114,-0.53056514
