energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,1.04990173,-0.51847694,0.15894577,-0.07538205,0.37761619,-0.08213935,0.00067689,-0.00338424,0.26901081,-0.06636667,0.01872347,-0.01307157,0.18938766,-0.16488727,0.05961521,-0.06044432,0.07103275,-0.05311375
-5.99399700,1.11240083,-0.51742230,0.17058674,-0.07687087,0.39760434,-0.08152202,0.00069985,-0.00332816,0.28683509,-0.06634151,0.02100269,-0.01284733,0.20049480,-0.16407192,0.06334567,-0.05958865,0.07360178,-0.05380243
-5.98799400,1.17858166,-0.51375865,0.18337816,-0.07814589,0.41858885,-0.08044056,0.00072083,-0.00324967,0.30587551,-0.06599127,0.02341739,-0.01253894,0.21200069,-0.16237717,0.06705135,-0.05835562,0.07643690,-0.05430934
-5.98199100,1.24830365,-0.50764449,0.19732016,-0.07921314,0.44060757,-0.07892589,0.00073921,-0.00315042,0.32612772,-0.06533527,0.02594623,-0.01215235,0.22382477,-0.15985997,0.07070072,-0.05677340,0.07952288,-0.05463997
-5.97598799,1.32132815,-0.49928430,0.21239032,-0.08008146,0.46366913,-0.07701715,0.00075444,-0.00303249,0.34755348,-0.06439834,0.02856392,-0.01169526,0.23587629,-0.15659320,0.07426716,-0.05487767,0.08283625,-0.05480243
-5.96998499,1.39730961,-0.48891954,0.22854259,-0.08076165,0.48774581,-0.07476021,0.00076616,-0.00289828,0.37007634,-0.06320975,0.03124154,-0.01117677,0.24805493,-0.15266276,0.07773002,-0.05271044,0.08634551,-0.05480672
-5.96398199,1.47579089,-0.47681929,0.24570709,-0.08126578,0.51276741,-0.07220603,0.00077416,-0.00275045,0.39357879,-0.06180205,0.03394703,-0.01060715,0.26025207,-0.14816448,0.08107549,-0.05031877,0.09001175,-0.05466395
-5.95797899,1.55620332,-0.46327098,0.26379074,-0.08160670,0.53861681,-0.06940895,0.00077836,-0.00259187,0.41790095,-0.06020997,0.03664586,-0.00999747,0.27235241,-0.14320094,0.08429745,-0.04775343,0.09378966,-0.05438566
-5.95197599,1.63787202,-0.44857162,0.28267875,-0.08179773,0.56512752,-0.06642512,0.00077888,-0.00242547,0.44284113,-0.05846942,0.03930189,-0.00935931,0.28423621,-0.13787851,0.08739797,-0.04506756,0.09762877,-0.05398332
-5.94597299,1.72002674,-0.43302018,0.30223704,-0.08185268,0.59208346,-0.06331092,0.00077598,-0.00225421,0.46815839,-0.05661653,0.04187834,-0.00870444,0.29578194,-0.13230460,0.09038768,-0.04231539,0.10147508,-0.05346792
-5.93996998,1.80181830,-0.41691120,0.32231551,-0.08178621,0.61922138,-0.06012167,0.00077007,-0.00208098,0.49357711,-0.05468704,0.04433884,-0.00804460,0.30686930,-0.12658539,0.09328587,-0.03955111,0.10527283,-0.05284980
-5.93396698,1.88234015,-0.40053014,0.34275210,-0.08161435,0.64623586,-0.05691055,0.00076171,-0.00190853,0.51879357,-0.05271581,0.04664859,-0.00739121,0.31738272,-0.12082399,0.09612036,-0.03682787,0.10896654,-0.05213862
-5.92796398,1.96065466,-0.38415051,0.36337757,-0.08135544,0.67278681,-0.05372779,0.00075158,-0.00173943,0.54348434,-0.05073657,0.04877547,-0.00675523,0.32721491,-0.11511921,0.09892715,-0.03419695,0.11250304,-0.05134358
-5.92196098,2.03582319,-0.36803277,0.38402086,-0.08103121,0.69850940,-0.05062015,0.00074046,-0.00157598,0.56731621,-0.04878201,0.05069114,-0.00614704,0.33627076,-0.10956484,0.10174978,-0.03170720,0.11583356,-0.05047370
-5.91595798,2.10693882,-0.35242490,0.40451487,-0.08066800,0.72302598,-0.04763075,0.00072923,-0.00142025,0.58995729,-0.04688398,0.05237205,-0.00557633,0.34447108,-0.10424952,0.10463855,-0.02940466,0.11891573,-0.04953838
-5.90995498,2.17316046,-0.33756452,0.42470257,-0.08029813,0.74595950,-0.04479907,0.00071882,-0.00127398,0.61108888,-0.04507397,0.05380024,-0.00505218,0.35175635,-0.09925707,0.10764955,-0.02733233,0.12171544,-0.04854793
-5.90395198,2.23374702,-0.32368209,0.44444308,-0.07996113,0.76694795,-0.04216129,0.00071020,-0.00113861,0.63041748,-0.04338372,0.05496408,-0.00458301,0.35809015,-0.09466718,0.11084355,-0.02553018,0.12420845,-0.04751425
