energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,2.10898514,0.00604580,0.10001355,0.11384084,0.86076840,0.45140866,0.01828427,1.35914608
-5.99399700,2.11225715,0.00598524,0.10202198,0.11003295,0.84837502,0.45597148,0.01841401,1.35926272
-5.98799400,2.10501743,0.00589607,0.10407434,0.10593265,0.83202247,0.45822649,0.01843245,1.35209493
-5.98199100,2.08733142,0.00577756,0.10617753,0.10154285,0.81184550,0.45816214,0.01833842,1.33768983
-5.97598799,2.05948532,0.00563002,0.10834108,0.09688093,0.78805709,0.45581607,0.01813294,1.31624210
-5.96998499,2.02197014,0.00545466,0.11057508,0.09197668,0.76094049,0.45127208,0.01781918,1.28808503
-5.96398199,1.97545979,0.00525348,0.11288820,0.08686992,0.73083947,0.44465562,0.01740230,1.25367765
-5.95797899,1.92078429,0.00502915,0.11528555,0.08160809,0.69814723,0.43612814,0.01688935,1.21358837
-5.95197599,1.85889919,0.00478488,0.11776686,0.07624378,0.66329437,0.42588045,0.01628903,1.16847598
-5.94597299,1.79085254,0.00452425,0.12032479,0.07083242,0.62673644,0.41412547,0.01561144,1.11906869
-5.93996998,1.71775079,0.00425109,0.12294369,0.06543004,0.58894148,0.40109059,0.01486778,1.06614203
-5.93396698,1.64072491,0.00396935,0.12559873,0.06009138,0.55037799,0.38701016,0.01407002,1.01049653
-5.92796398,1.56089818,0.00368294,0.12825562,0.05486818,0.51150365,0.37211817,0.01323062,0.95293602
-5.92196098,1.47935681,0.00339568,0.13087085,0.04980791,0.47275526,0.35664169,0.01236218,0.89424727
-5.91595798,1.39712435,0.00311116,0.13339251,0.04495274,0.43454001,0.34079513,0.01147713,0.83518169
-5.90995498,1.31514085,0.00283268,0.13576177,0.04033889,0.39722834,0.32477568,0.01058744,0.77643969
-5.90395198,1.23424721,0.00256319,0.13791475,0.03599640,0.36114852,0.30875995,0.00970440,0.71865813
-5.89794897,1.15517512,0.00230526,0.13978501,0.03194903,0.32658305,0.29290200,0.00883836,0.66240106
-5.89194597,1.07854262,0.00206108,0.14130624,0.02821466,0.29376671,0.27733269,0.00799862,0.60815395
-5.88594297,1.00485501,0.00183243,0.14241538,0.02480576,0.26288637,0.26216040,0.00719326,0.55632144
-5.87993997,0.93451086,0.00162072,0.14305571,0.02173016,0.23408238,0.24747289,0.00642914,0.50722824
-5.87393697,0.86781226,0.00142705,0.14318000,0.01899195,0.20745127,0.23334023,0.00571184,0.46112322
-5.86793397,0.80497886,0.00125220,0.14275348,0.01659251,0.18304973,0.21981863,0.00504570,0.41818593
-5.86193097,0.74616461,0.00109674,0.14175651,0.01453161,0.16089949,0.20695486,0.00443392,0.37853545
-5.85592796,0.69147646,0.00096111,0.14018689,0.01280849,0.14099297,0.19479110,0.00387868,0.34224086
-5.84992496,0.64099406,0.00084565,0.13806161,0.01142307,0.12329942,0.18337001,0.00338125,0.30933287
-5.84392196,0.59478974,0.00075070,0.13541807,0.01037696,0.10777132,0.17273977,0.00294218,0.27981613
-5.83791896,0.55294781,0.00067673,0.13231468,0.00967448,0.09435079,0.16295889,0.00256151,0.25368173
-5.83191596,0.51558268,0.00062436,0.12883084,0.00932359,0.08297587,0.15410071,0.00223891,0.23091945
-5.82591296,0.48285515,0.00059447,0.12506631,0.00933660,0.07358641,0.14625728,0.00197393,0.21152926
-5.81990995,0.45498633,0.00058830,0.12113994,0.00973080,0.06612948,0.13954274,0.00176615,0.19553194
-5.81390695,0.43226904,0.00060751,0.11718794,0.01052881,0.06056409,0.13409591,0.00161537,0.18297830
-5.80790395,0.41507607,0.00065423,0.11336168,0.01175879,0.05686512,0.13008206,0.00152177,0.17395688
-5.80190095,0.40386537,0.00073116,0.10982500,0.01345433,0.05502643,0.12769389,0.00148605,0.16859995
-5.79589795,0.39918184,0.00084161,0.10675129,0.01565408,0.05506289,0.12715157,0.00150951,0.16708746
-5.78989495,0.40165562,0.00098950,0.10432026,0.01840115,0.05701153,0.12870185,0.00159418,0.16964908
-5.78389195,0.41199667,0.00117943,0.10271453,0.02174208,0.06093145,0.13261606,0.00174279,0.17656386
-5.77788894,0.43098571,0.00141664,0.10211598,0.02572568,0.06690275,0.13918719,0.00195885,0.18815776
-5.77188594,0.45946121,0.00170701,0.10270213,0.03040137,0.07502426,0.14872570,0.00224654,0.20479868
-5.76588294,0.49830262,0.00205704,0.10464229,0.03581740,0.08541016,0.16155425,0.00261071,0.22688910
-5.75987994,0.54840965,0.00247372,0.10809376,0.04201877,0.09818558,0.17800123,0.00305670,0.25485630
-5.75387694,0.61067782,0.00296447,0.11319792,0.04904486,0.11348107,0.19839300,0.00359022,0.28914009
-5.74787394,0.68597053,0.00353702,0.12007639,0.05692712,0.13142626,0.22304513,0.00421715,0.33017837
-5.74187094,0.77508794,0.00419924,0.12882725,0.06568652,0.15214271,0.25225242,0.00494329,0.37839057
-5.73586793,0.87873334,0.00495895,0.13952132,0.07533116,0.17573617,0.28627809,0.00577415,0.43415922
-5.72986493,0.99747770,0.00582371,0.15219872,0.08585400,0.20228848,0.32534229,0.00671462,0.49781033
-5.72386193,1.13172344,0.00680058,0.16686567,0.09723086,0.23184942,0.36961022,0.00776869,0.56959287
-5.71785893,1.28166872,0.00789589,0.18349178,0.10941883,0.26442872,0.41918024,0.00893914,0.64965806
-5.71185593,1.44727344,0.00911494,0.20200784,0.12235514,0.29998873,0.47407251,0.01022729,0.73803938
-5.70585293,1.62822863,0.01046171,0.22230439,0.13595667,0.33843792,0.53421852,0.01163266,0.83463399
-5.69984992,1.82393089,0.01193864,0.24423110,0.15012011,0.37962571,0.59945224,0.01315276,0.93918652
-5.69384692,2.03346330,0.01354630,0.26759720,0.16472290,0.42333894,0.66950323,0.01478286,1.05127622
-5.68784392,2.25558450,0.01528318,0.29217294,0.17962489,0.46930020,0.74399246,0.01651588,1.17030818
-5.68184092,2.48872722,0.01714545,0.31769236,0.19467083,0.51716840,0.82243116,0.01834227,1.29550968
-5.67583792,2.73100720,0.01912682,0.34385718,0.20969344,0.56654167,0.90422308,0.02025000,1.42593199
-5.66983492,2.98024325,0.02121832,0.37034201,0.22451726,0.61696261,0.98867055,0.02222466,1.56045842
-5.66383192,3.23398858,0.02340833,0.39680066,0.23896282,0.66792604,1.07498425,0.02424960,1.69781850
-5.65782891,3.48957300,0.02568247,0.42287342,0.25285131,0.71888885,1.16229671,0.02630614,1.83660846
-5.65182591,3.74415522,0.02802372,0.44819523,0.26600928,0.76928189,1.24967926,0.02837394,1.97531756
-5.64582291,3.99478358,0.03041252,0.47240436,0.27827332,0.81852344,1.33616183,0.03043133,2.11235948
-5.63981991,4.23846352,0.03282697,0.49515137,0.28949453,0.86603372,1.42075520,0.03245576,2.24610803
-5.63381691,4.47222914,0.03524309,0.51610796,0.29954247,0.91124998,1.50247461,0.03442430,2.37493578
-5.62781391,4.69321638,0.03763521,0.53497546,0.30830854,0.95364154,1.58036394,0.03631416,2.49725420
-5.62181091,4.89873474,0.03997632,0.55149252,0.31570854,0.99272416,1.65351958,0.03810316,2.61155392
-5.61580790,5.08633487,0.04223861,0.56544178,0.32168435,1.02807303,1.72111275,0.03977026,2.71644331
-5.60980490,5.25386901,0.04439392,0.57665511,0.32620468,1.05933403,1.78240948,0.04129605,2.81068396
-5.60380190,5.39954210,0.04641435,0.58501741,0.32926480,1.08623262,1.83678742,0.04266315,2.89322160
-5.59779890,5.52195136,0.04827281,0.59046861,0.33088545,1.10858013,1.88374867,0.04385657,2.96321124
-5.59179590,5.62011307,0.04994360,0.59300398,0.33111076,1.12627707,1.92292826,0.04486402,3.02003554
-5.58579290,5.69347560,0.05140304,0.59267270,0.33000567,1.13931364,1.95409798,0.04567612,3.06331598
-5.57978989,5.74191882,0.05262999,0.58957479,0.32765261,1.14776727,1.97716555,0.04628652,3.09291632
-5.57378689,5.76574034,0.05360639,0.58385660,0.32414800,1.15179761,1.99216943,0.04669195,3.10893886
-5.56778389,5.76562988,0.05431771,0.57570520,0.31959856,1.15163923,1.99926971,0.04689219,3.11171361
-5.56178089,5.74263361,0.05475337,0.56534181,0.31411760,1.14759252,1.99873571,0.04688998,3.10178148
-5.55577789,5.69811047,0.05490704,0.55301465,0.30782172,1.14001329,1.99093127,0.04669088,3.07987241
-5.54977489,5.63368323,0.05477687,0.53899169,0.30082773,1.12930171,1.97629833,0.04630301,3.04687971
-5.54377189,5.55118645,0.05436558,0.52355335,0.29325025,1.11589108,1.95534008,0.04573687,3.00383193
-5.53776888,5.45261414,0.05368052,0.50698570,0.28519981,1.10023693,1.92860424,0.04500506,2.95186365
-5.53176588,5.34006903,0.05273353,0.48957422,0.27678162,1.08280698,1.89666744,0.04412197,2.89218630
-5.52576288,5.21571563,0.05154075,0.47159840,0.26809496,1.06407219,1.86012128,0.04310358,2.82606024
-5.51975988,5.08173808,0.05012231,0.45332728,0.25923314,1.04449918,1.81956051,0.04196711,2.75476889
-5.51375688,4.94030403,0.04850192,0.43501594,0.25028391,1.02454411,1.77557350,0.04073081,2.67959546
-5.50775388,4.79353461,0.04670636,0.41690293,0.24133027,1.00464789,1.72873525,0.03941366,2.60180279
-5.50175088,4.64348045,0.04476497,0.39920866,0.23245141,0.98523272,1.67960253,0.03803515,2.52261615
-5.49574787,4.49210318,0.04270897,0.38213443,0.22372381,0.96669951,1.62871098,0.03661505,2.44320904
-5.48974487,4.34126128,0.04057085,0.36586217,0.21522217,0.94942606,1.57657379,0.03517312,2.36469148
-5.48374187,4.19269939,0.03838369,0.35055445,0.20702022,0.93376541,1.52368123,0.03372895,2.28810041
-5.47773887,4.04803964,0.03618047,0.33635489,0.19919114,0.92004429,1.47050078,0.03230165,2.21439153
-5.47173587,3.90877387,0.03399337,0.32338848,0.19180760,0.90856104,1.41747715,0.03090965,2.14443222
-5.46573287,3.77625571,0.03185323,0.31176185,0.18494141,0.89958300,1.36503185,0.02957042,2.07899475
-5.45972986,3.65169180,0.02978884,0.30156340,0.17866261,0.89334300,1.31356203,0.02830024,2.01874978
-5.45372686,3.53613160,0.02782648,0.29286304,0.17303826,0.89003503,1.26343830,0.02711392,1.96425957
-5.44772386,3.43045590,0.02598942,0.28571172,0.16813072,0.88980909,1.21500164,0.02602454,1.91597115
-5.44172086,3.33536412,0.02429750,0.28014057,0.16399573,0.89276539,1.16855950,0.02504323,1.87420948
-5.43571786,3.25136135,0.02276685,0.27615995,0.16068032,0.89894825,1.12438119,0.02417894,1.83917092
-5.42971486,3.17874580,0.02140962,0.27375821,0.15822055,0.90833995,1.08269316,0.02343821,1.81091762
-5.42371186,3.11759795,0.02023384,0.27290061,0.15663946,0.92085518,1.04367443,0.02282505,1.78937319
-5.41770885,3.06777274,0.01924336,0.27352827,0.15594511,0.93633640,1.00745266,0.02234078,1.77432056
-5.41170585,3.02889583,0.01843788,0.27555748,0.15612899,0.95455067,0.97410141,0.02198404,1.76540240
-5.40570285,3.00036529,0.01781307,0.27887944,0.15716486,0.97518847,0.94363888,0.02175071,1.76212486
-5.39969985,2.98135948,0.01736075,0.28336062,0.15900812,0.99786474,0.91602854,0.02163404,1.76386501
-5.39369685,2.97085191,0.01706924,0.28884372,0.16159571,1.02212262,0.89118177,0.02162479,1.76988215
-5.38769385,2.96763320,0.01692364,0.29514956,0.16484667,1.04743996,0.86896270,0.02171136,1.77933330
-5.38169085,2.97034007,0.01690634,0.30207965,0.16866335,1.07323864,0.84919509,0.02188018,1.79129250
-5.37568784,2.97749088,0.01699750,0.30941963,0.17293314,1.09889657,0.83167109,0.02211591,1.80477369
-5.36968484,2.98752666,0.01717558,0.31694344,0.17753088,1.12376224,0.81616153,0.02240192,1.81875652
-5.36368184,2.99885639,0.01741799,0.32441824,0.18232166,1.14717120,0.80242731,0.02272065,1.83221433
-5.35767884,3.00990500,0.01770168,0.33160974,0.18716404,1.16846413,0.79023129,0.02305407,1.84414332
-5.35167584,3.01916212,0.01800376,0.33828803,0.19191358,1.18700579,0.77935024,0.02338415,1.85359190
-5.34567284,3.02522985,0.01830218,0.34423349,0.19642649,1.20220413,0.76958598,0.02369328,1.85968910
