energy_ev,total_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,2.39542712,0.16746582,0.00021533,1.47236175,0.00000000,0.79182636,0.48354356
-5.99399700,2.40931447,0.17156818,0.00021485,1.47448818,0.00000000,0.79243804,0.48904099
-5.98799400,2.41285813,0.17489369,0.00021330,1.47042462,0.00000000,0.78943372,0.49254713
-5.98199100,2.40598000,0.17738730,0.00021071,1.46023524,0.00000000,0.78285388,0.49399823
-5.97598799,2.38870670,0.17900440,0.00020712,1.44403997,0.00000000,0.77277932,0.49334919
-5.96998499,2.36117188,0.17971211,0.00020258,1.42201302,0.00000000,0.75932998,0.49057545
-5.96398199,2.32361787,0.17949038,0.00019718,1.39438133,0.00000000,0.74266339,0.48567493
-5.95797899,2.27639649,0.17833281,0.00019097,1.36142318,0.00000000,0.72297264,0.47866970
-5.95197599,2.21996850,0.17624718,0.00018406,1.32346649,0.00000000,0.70048392,0.46960734
-5.94597299,2.15490133,0.17325563,0.00017653,1.28088690,0.00000000,0.67545357,0.45856192
-5.93996998,2.08186482,0.16939447,0.00016847,1.23410504,0.00000000,0.64816461,0.44563426
-5.93396698,2.00162447,0.16471363,0.00015998,1.18358314,0.00000000,0.61892263,0.43095153
-5.92796398,1.91503207,0.15927570,0.00015117,1.12982049,0.00000000,0.58805129,0.41466605
-5.92196098,1.82301378,0.15315467,0.00014212,1.07334779,0.00000000,0.55588721,0.39695331
-5.91595798,1.72655555,0.14643424,0.00013295,1.01472039,0.00000000,0.52277450,0.37800903
-5.90995498,1.62668628,0.13920597,0.00012373,0.95451026,0.00000000,0.48905899,0.35804564
-5.90395198,1.52445920,0.13156709,0.00011455,0.89329717,0.00000000,0.45508233,0.33728799
-5.89794897,1.42093196,0.12361830,0.00010551,0.83165898,0.00000000,0.42117606,0.31596860
-5.89194597,1.31714620,0.11546142,0.00009667,0.77016164,0.00000000,0.38765599,0.29432260
-5.88594297,1.21410729,0.10719703,0.00008810,0.70934910,0.00000000,0.35481696,0.27258255
-5.87993997,1.11276514,0.09892235,0.00007986,0.64973359,0.00000000,0.32292816,0.25097335
-5.87393697,1.01399668,0.09072911,0.00007200,0.59178664,0.00000000,0.29222929,0.22970748
-5.86793397,0.91859080,0.08270186,0.00006456,0.53593124,0.00000000,0.26292763,0.20898074
-5.86193097,0.82723621,0.07491643,0.00005757,0.48253543,0.00000000,0.23519607,0.18896857
-5.85592796,0.74051267,0.06743878,0.00005107,0.43190756,0.00000000,0.20917223,0.16982324
-5.84992496,0.65888585,0.06032426,0.00004506,0.38429341,0.00000000,0.18495866,0.15167186
-5.84392196,0.58270571,0.05361714,0.00003955,0.33987515,0.00000000,0.16262404,0.13461528
-5.83791896,0.51220849,0.04735060,0.00003455,0.29877220,0.00000000,0.14220537,0.11872786
-5.83191596,0.44752190,0.04154697,0.00003005,0.26104385,0.00000000,0.12371089,0.10405809
-5.82591296,0.38867310,0.03621828,0.00002604,0.22669332,0.00000000,0.10712373,0.09063000
-5.81990995,0.33559899,0.03136713,0.00002251,0.19567327,0.00000000,0.09240602,0.07844506
-5.81390695,0.28815827,0.02698763,0.00001945,0.16789212,0.00000000,0.07950332,0.06748475
-5.80790395,0.24614455,0.02306658,0.00001683,0.14322113,0.00000000,0.06834912,0.05771337
-5.80190095,0.20930001,0.01958469,0.00001465,0.12150186,0.00000000,0.05886925,0.04908109
-5.79589795,0.17732898,0.01651780,0.00001288,0.10255351,0.00000000,0.05098612,0.04152704
-5.78989495,0.14991096,0.01383814,0.00001151,0.08618020,0.00000000,0.04462251,0.03498241
-5.78389195,0.12671260,0.01151548,0.00001052,0.07217759,0.00000000,0.03970474,0.02937328
-5.77788894,0.10739832,0.00951820,0.00000991,0.06033897,0.00000000,0.03616536,0.02462325
-5.77188594,0.09163932,0.00781422,0.00000966,0.05046039,0.00000000,0.03394499,0.02065575
-5.76588294,0.07912081,0.00637185,0.00000976,0.04234500,0.00000000,0.03299346,0.01739591
-5.75987994,0.06954733,0.00516043,0.00001023,0.03580637,0.00000000,0.03327010,0.01477213
-5.75387694,0.06264633,0.00415086,0.00001105,0.03067087,0.00000000,0.03474329,0.01271715
-5.74787394,0.05816995,0.00331601,0.00001223,0.02677917,0.00000000,0.03738922,0.01116883
-5.74187094,0.05589513,0.00263095,0.00001376,0.02398694,0.00000000,0.04119000,0.01007050
-5.73586793,0.05562241,0.00207310,0.00001566,0.02216475,0.00000000,0.04613109,0.00937105
-5.72986493,0.05717351,0.00162233,0.00001792,0.02119743,0.00000000,0.05219832,0.00902473
-5.72386193,0.06038795,0.00126086,0.00002054,0.02098289,0.00000000,0.05937448,0.00899070
-5.71785893,0.06511907,0.00097321,0.00002353,0.02143068,0.00000000,0.06763572,0.00923250
-5.71185593,0.07122971,0.00074607,0.00002686,0.02246018,0.00000000,0.07694800,0.00971736
-5.70585293,0.07858773,0.00056809,0.00003054,0.02399888,0.00000000,0.08726360,0.01041544
-5.69984992,0.08706182,0.00042975,0.00003453,0.02598052,0.00000000,0.09851805,0.01129913
-5.69384692,0.09651766,0.00032310,0.00003881,0.02834342,0.00000000,0.11062759,0.01234233
-5.68784392,0.10681489,0.00024162,0.00004336,0.03102909,0.00000000,0.12348744,0.01351987
-5.68184092,0.11780479,0.00018003,0.00004811,0.03398105,0.00000000,0.13697087,0.01480703
-5.67583792,0.12932916,0.00013409,0.00005303,0.03714404,0.00000000,0.15092945,0.01617916
-5.66983492,0.14122020,0.00010047,0.00005806,0.04046368,0.00000000,0.16519433,0.01761152
-5.66383192,0.15330174,0.00007663,0.00006312,0.04388651,0.00000000,0.17957879,0.01907932
-5.65782891,0.16539158,0.00006071,0.00006816,0.04736046,0.00000000,0.19388199,0.02055782
-5.65182591,0.17730501,0.00005143,0.00007309,0.05083580,0.00000000,0.20789381,0.02202275
-5.64582291,0.18885942,0.00004807,0.00007785,0.05426644,0.00000000,0.22140071,0.02345080
-5.63981991,0.19987979,0.00005039,0.00008235,0.05761156,0.00000000,0.23419243,0.02482030
-5.63381691,0.21020484,0.00005868,0.00008654,0.06083763,0.00000000,0.24606921,0.02611198
-5.62781391,0.21969368,0.00007374,0.00009034,0.06392048,0.00000000,0.25684936,0.02730989
-5.62181091,0.22823259,0.00009696,0.00009370,0.06684766,0.00000000,0.26637679,0.02840231
-5.61580790,0.23574175,0.00013040,0.00009658,0.06962076,0.00000000,0.27452822,0.02938277
-5.60980490,0.24218151,0.00017688,0.00009896,0.07225774,0.00000000,0.28121967,0.03025099
-5.60380190,0.24755817,0.00024015,0.00010081,0.07479513,0.00000000,0.28641209,0.03101386
-5.59779890,0.25192872,0.00032507,0.00010214,0.07729004,0.00000000,0.29011566,0.03168629
-5.59179590,0.25540472,0.00043780,0.00010299,0.07982196,0.00000000,0.29239276,0.03229208
-5.58579290,0.25815485,0.00058606,0.00010338,0.08249420,0.00000000,0.29335934,0.03286455
-5.57978989,0.26040623,0.00077939,0.00010338,0.08543504,0.00000000,0.29318466,0.03344719
-5.57378689,0.26244454,0.00102949,0.00010307,0.08879849,0.00000000,0.29208946,0.03409408
-5.56778389,0.26461271,0.00135045,0.00010254,0.09276464,0.00000000,0.29034255,0.03487022
-5.56178089,0.26730853,0.00175916,0.00010191,0.09753962,0.00000000,0.28825613,0.03585170
-5.55577789,0.27098101,0.00227557,0.00010131,0.10335510,0.00000000,0.28617982,0.03712565
-5.54977489,0.27612581,0.00292298,0.00010086,0.11046738,0.00000000,0.28449395,0.03879013
-5.54377189,0.28327968,0.00372834,0.00010071,0.11915594,0.00000000,0.28360202,0.04095363
-5.53776888,0.29301404,0.00472232,0.00010100,0.12972149,0.00000000,0.28392298,0.04373455
-5.53176588,0.30592777,0.00593949,0.00010190,0.14248342,0.00000000,0.28588318,0.04726021
-5.52576288,0.32263920,0.00741820,0.00010354,0.15777656,0.00000000,0.28990862,0.05166572
-5.51975988,0.34377730,0.00920037,0.00010607,0.17594717,0.00000000,0.29641728,0.05709232
-5.51375688,0.36997196,0.01133110,0.00010962,0.19734809,0.00000000,0.30581191,0.06368549
-5.50775388,0.40184328,0.01385803,0.00011433,0.22233292,0.00000000,0.31847319,0.07159246
-5.50175088,0.43998980,0.01683051,0.00012031,0.25124908,0.00000000,0.33475336,0.08095936
-5.49574787,0.48497557,0.02029842,0.00012766,0.28442983,0.00000000,0.35497007,0.09192772
-5.48974487,0.53731594,0.02431084,0.00013645,0.32218509,0.00000000,0.37940063,0.10463065
-5.48374187,0.59746218,0.02891445,0.00014676,0.36479120,0.00000000,0.40827628,0.11918837
-5.47773887,0.66578499,0.03415163,0.00015862,0.41247967,0.00000000,0.44177662,0.13570350
