energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,9.95810888,0.02275359,1.56667307,2.90371058,0.69352089,5.18580829,4.63448872,0.10780944,2.77872273
-5.99399700,9.93039994,0.02253201,1.55095291,2.96327572,0.69538152,5.16912823,4.59290837,0.11042358,2.79744898
-5.98799400,9.90580167,0.02230039,1.53506230,3.02668512,0.69857137,5.15443524,4.55142183,0.11316264,2.81881412
-5.98199100,9.88483870,0.02206307,1.51908590,3.09364510,0.70312212,5.14223564,4.51051834,0.11599436,2.84287046
-5.97598799,9.86782222,0.02182409,1.50308883,3.16373613,0.70903022,5.13297570,4.47062197,0.11888059,2.86956850
-5.96998499,9.85484834,0.02158708,1.48711919,3.23641588,0.71625428,5.12704330,4.43209082,0.12177805,2.89875131
-5.96398199,9.84580604,0.02135523,1.47121168,3.31102621,0.72471356,5.12477292,4.39521950,0.12463929,2.93015285
-5.95797899,9.84039357,0.02113123,1.45539189,3.38680400,0.73428763,5.12645306,4.36024425,0.12741381,2.96340034
-5.95197599,9.83814191,0.02091732,1.43968089,3.46289563,0.74481737,5.13233476,4.32734972,0.13004942,2.99802055
-5.94597299,9.83844365,0.02071523,1.42409969,3.53837472,0.75610745,5.14263993,4.29667672,0.13249365,3.03345024
-5.93996998,9.84058542,0.02052625,1.40867311,3.61226268,0.76793015,5.15756832,4.26832986,0.13469527,3.06905006
-5.93396698,9.84378212,0.02035123,1.39343287,3.68355154,0.78003065,5.17730209,4.24238458,0.13660577,3.10412185
-5.92796398,9.84721107,0.02019064,1.37841945,3.75122831,0.79213355,5.20200705,4.21889270,0.13818081,3.13792846
-5.92196098,9.85004430,0.02004460,1.36368275,3.81430022,0.80395054,5.23183023,4.19788622,0.13938156,3.16971557
-5.91595798,9.85147787,0.01991291,1.34928137,3.87181995,0.81518884,5.26689346,4.17937900,0.14017581,3.19873469
-5.90995498,9.85075665,0.01979513,1.33528056,3.92291007,0.82556034,5.30728323,4.16336630,0.14053897,3.22426633
-5.90395198,9.84719423,0.01969060,1.32174906,3.96678593,0.83479084,5.35303724,4.14982237,0.14045468,3.24564273
-5.89794897,9.84018712,0.01959848,1.30875498,4.00277610,0.84262925,5.40412871,4.13869642,0.13991529,3.26226897
-5.89194597,9.82922355,0.01951785,1.29636117,4.03033975,0.84885622,5.46044937,4.12990737,0.13892190,3.27364195
-5.88594297,9.81388702,0.01944766,1.28462018,4.04908038,0.85329196,5.52179251,4.12333829,0.13748426,3.27936627
-5.87993997,9.79385526,0.01938689,1.27356950,4.05875537,0.85580284,5.58783757,4.11883089,0.13562026,3.27916668
-5.87393697,9.76889555,0.01933450,1.26322728,4.05928125,0.85630656,5.65813757,4.11618107,0.13335525,3.27289647
-5.86793397,9.73885752,0.01928952,1.25358885,4.05073437,0.85477557,5.73211089,4.11513608,0.13072113,3.26054174
-5.86193097,9.70366447,0.01925107,1.24462447,4.03334725,0.85123875,5.80903828,4.11539390,0.12775529,3.24222138
-5.85592796,9.66330447,0.01921840,1.23627845,4.00750070,0.84578115,5.88806624,4.11660534,0.12449938,3.21818297
-5.84992496,9.61782230,0.01919094,1.22846973,3.97371233,0.83854189,5.96821696,4.11837915,0.12099809,3.18879485
-5.84392196,9.56731303,0.01916829,1.22109402,3.93262174,0.82971032,6.04840520,4.12029005,0.11729790,3.15453485
-5.83791896,9.51191782,0.01915027,1.21402733,3.88497333,0.81952063,6.12746150,4.12188982,0.11344580,3.11597621
-5.83191596,9.45182239,0.01913690,1.20713083,3.83159722,0.80824510,6.20416117,4.12272072,0.10948825,3.07377135
-5.82591296,9.38725789,0.01912843,1.20025660,3.77338912,0.79618638,6.27725773,4.12233092,0.10547010,3.02863422
-5.81990995,9.31850403,0.01912529,1.19325409,3.71128987,0.78366902,6.34551933,4.12029100,0.10143377,2.98132181
-5.81390695,9.24589370,0.01912810,1.18597678,3.64626525,0.77103066,6.40776652,4.11621070,0.09741855,2.93261558
-5.80790395,9.16981822,0.01913764,1.17828871,3.57928674,0.75861322,6.46290929,4.10975503,0.09346010,2.88330342
-5.80190095,9.09073226,0.01915475,1.17007045,3.51131364,0.74675432,6.50998164,4.10065856,0.08959010,2.83416255
-5.79589795,9.00915735,0.01918033,1.16122418,3.44327693,0.73577932,6.54817171,4.08873725,0.08583605,2.78594397
-5.78989495,8.92568296,0.01921525,1.15167753,3.37606511,0.72599415,6.57684601,4.07389683,0.08222128,2.73935850
-5.78389195,8.84096434,0.01926029,1.14138604,3.31051220,0.71767910,6.59556646,4.05613734,0.07876500,2.69506496
-5.77788894,8.75571646,0.01931604,1.13033409,3.24738781,0.71108370,6.60409927,4.03555336,0.07548252,2.65366030
-5.77188594,8.67070377,0.01938285,1.11853425,3.18738926,0.70642284,6.60241555,4.01232983,0.07238550,2.61567180
-5.76588294,8.58672588,0.01946073,1.10602527,3.13113564,0.70387391,6.59068348,3.98673377,0.06948225,2.58155138
-5.75987994,8.50459951,0.01954931,1.09286880,3.07916349,0.70357512,6.56925295,3.95910228,0.06677813,2.55167168
-5.75387694,8.42513743,0.01964776,1.07914508,3.03192397,0.70562485,6.53863366,3.92982747,0.06427582,2.52632395
