energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,3.28995545,0.01291161,0.08916922,0.62081599,2.36922040,0.29678183,0.18904578,0.86619409,0.00000000
-5.99399700,3.40485646,0.01290825,0.09443909,0.63132846,2.44072549,0.30480532,0.20022115,0.90332464,0.00000000
-5.98799400,3.51410583,0.01295918,0.10027161,0.64421350,2.50246250,0.31425424,0.21212830,0.94226969,0.00000000
-5.98199100,3.61763602,0.01307600,0.10669771,0.65973319,2.55411725,0.32526313,0.22479970,0.98315630,0.00000000
-5.97598799,3.71558267,0.01326932,0.11374550,0.67812966,2.59560834,0.33795646,0.23826215,1.02612149,0.00000000
-5.96998499,3.80826609,0.01354846,0.12143886,0.69961591,2.62708166,0.35244412,0.25253396,1.07130352,0.00000000
-5.96398199,3.89616265,0.01392124,0.12979587,0.72436555,2.64889588,0.36881651,0.26762213,1.11883110,0.00000000
-5.95797899,3.97986732,0.01439371,0.13882724,0.75250194,2.66159966,0.38713959,0.28351956,1.16881073,0.00000000
-5.95197599,4.06004880,0.01496997,0.14853474,0.78408704,2.66590150,0.40744982,0.30020242,1.22131266,0.00000000
-5.94597299,4.13739958,0.01565206,0.15890961,0.81911060,2.66263397,0.42974936,0.31762786,1.27635604,0.00000000
-5.93996998,4.21258335,0.01643983,0.16993117,0.85748036,2.65271390,0.45400165,0.33573215,1.33389412,0.00000000
-5.93396698,4.28618260,0.01733095,0.18156562,0.89901380,2.63710050,0.48012768,0.35442945,1.39380022,0.00000000
-5.92796398,4.35864928,0.01832087,0.19376499,0.94343222,2.61675360,0.50800317,0.37361122,1.45585552,0.00000000
-5.92196098,4.43026119,0.01940299,0.20646658,0.99035767,2.59259383,0.53745686,0.39314656,1.51973951,0.00000000
-5.91595798,4.50108674,0.02056876,0.21959259,1.03931330,2.56546675,0.56827019,0.41288324,1.58502385,0.00000000
-5.90995498,4.57096007,0.02180796,0.23305030,1.08972748,2.53611242,0.60017853,0.43264980,1.65117053,0.00000000
-5.90395198,4.63946813,0.02310894,0.24673259,1.14094177,2.50514181,0.63287387,0.45225840,1.71753466,0.00000000
-5.89794897,4.70595072,0.02445895,0.26051897,1.19222291,2.47302084,0.66600932,0.47150856,1.78337231,0.00000000
-5.89194597,4.76951363,0.02584456,0.27427704,1.24277841,2.44006258,0.69920500,0.49019152,1.84785341,0.00000000
