energy_ev,total_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,1.51893384,0.44562736,1.22170683,0.00666304,0.05772332,0.39611782,0.00073838
-5.99399700,1.57808765,0.44622696,1.27503276,0.00709467,0.05809991,0.40733501,0.00077119
-5.98799400,1.63600846,0.44724411,1.32715297,0.00750455,0.05836746,0.41861352,0.00080134
-5.98199100,1.69172592,0.44861950,1.37714708,0.00788529,0.05854179,0.42981710,0.00082838
-5.97598799,1.74434433,0.45033455,1.42414700,0.00822976,0.05864703,0.44082021,0.00085189
-5.96998499,1.79306777,0.45240926,1.46736186,0.00853135,0.05871461,0.45151214,0.00087155
-5.96398199,1.83722314,0.45489840,1.50610178,0.00878413,0.05878206,0.46180048,0.00088710
-5.95797899,1.87627994,0.45788619,1.53979935,0.00898302,0.05889151,0.47161399,0.00089839
-5.95197599,1.90986590,0.46147965,1.56802779,0.00912402,0.05908796,0.48090450,0.00090537
-5.94597299,1.93777755,0.46580097,1.59051498,0.00920427,0.05941743,0.48964785,0.00090808
-5.93996998,1.95998517,0.47097900,1.60715244,0.00922221,0.05992500,0.49784374,0.00090669
-5.93396698,1.97663173,0.47714045,1.61799904,0.00917761,0.06065282,0.50551448,0.00090148
-5.92796398,1.98802574,0.48440093,1.62327889,0.00907157,0.06163824,0.51270275,0.00089282
-5.92196098,1.99462839,0.49285642,1.62337374,0.00890654,0.06291206,0.51946837,0.00088120
-5.91595798,1.99703542,0.50257545,1.61881001,0.00868620,0.06449692,0.52588440,0.00086717
-5.90995498,1.99595467,0.51359246,1.61024116,0.00841537,0.06640608,0.53203274,0.00085140
-5.90395198,1.99218044,0.52590265,1.59842619,0.00809989,0.06864248,0.53799943,0.00083460
-5.89794897,1.98656582,0.53945868,1.58420531,0.00774640,0.07119817,0.54387016,0.00081754
-5.89194597,1.97999451,0.55416948,1.56847393,0.00736219,0.07405418,0.54972609,0.00080101
-5.88594297,1.97335344,0.56990134,1.55215609,0.00695497,0.07718091,0.55564041,0.00078585
-5.87993997,1.96750750,0.58648139,1.53617865,0.00653271,0.08053884,0.56167584,0.00077286
-5.87393697,1.96327762,0.60370334,1.52144722,0.00610338,0.08407976,0.56788329,0.00076287
