energy_ev,total_up,Hg_p_up,Hg_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-5.61580790,1.34807762,0.28923063,0.20471257,0.12852809,0.00124488,0.16553363,0.41325041
-5.60980490,1.35203609,0.28735286,0.20859364,0.13383350,0.00121373,0.16698708,0.40319385
-5.60380190,1.35630375,0.28504512,0.21283658,0.13924125,0.00117913,0.16832064,0.39356070
-5.59779890,1.36127947,0.28250431,0.21741615,0.14475161,0.00114199,0.16962491,0.38447770
-5.59179590,1.36736035,0.27993839,0.22229739,0.15036031,0.00110331,0.17099238,0.37608291
-5.58579290,1.37492797,0.27756181,0.22743565,0.15605847,0.00106411,0.17251429,0.36852165
-5.57978989,1.38433611,0.27559116,0.23277725,0.16183293,0.00102542,0.17427772,0.36194222
-5.57378689,1.39590066,0.27424127,0.23826068,0.16766703,0.00098827,0.17636272,0.35649151
-5.56778389,1.40989197,0.27372193,0.24381838,0.17354178,0.00095367,0.17883985,0.35231090
-5.56178089,1.42653010,0.27423511,0.24937906,0.17943739,0.00092256,0.18176793,0.34953247
-5.55577789,1.44598270,0.27597280,0.25487046,0.18533509,0.00089581,0.18519234,0.34827578
-5.54977489,1.46836560,0.27911540,0.26022235,0.19121904,0.00087426,0.18914359,0.34864518
-5.54377189,1.49374551,0.28383056,0.26536974,0.19707835,0.00085860,0.19363646,0.35072773
-5.53776888,1.52214440,0.29027218,0.27025599,0.20290898,0.00084948,0.19866949,0.35459165
-5.53176588,1.55354499,0.29857967,0.27483576,0.20871536,0.00084742,0.20422497,0.36028516
-5.52576288,1.58789665,0.30887706,0.27907753,0.21451161,0.00085285,0.21026928,0.36783580
-5.51975988,1.62512114,0.32127193,0.28296551,0.22032230,0.00086611,0.21675368,0.37724988
-5.51375688,1.66511767,0.33585401,0.28650099,0.22618249,0.00088740,0.22361541,0.38851223
-5.50775388,1.70776675,0.35269340,0.28970274,0.23213718,0.00091685,0.23077915,0.40158593
-5.50175088,1.75293272,0.37183824,0.29260669,0.23823993,0.00095448,0.23815877,0.41641218
-5.49574787,1.80046467,0.39331211,0.29526469,0.24455086,0.00100019,0.24565933,0.43291024
-5.48974487,1.85019598,0.41711094,0.29774255,0.25113390,0.00105379,0.25317926,0.45097744
-5.48374187,1.90194246,0.44319988,0.30011730,0.25805353,0.00111496,0.26061281,0.47048938
-5.47773887,1.95549963,0.47151007,0.30247398,0.26537108,0.00118330,0.26785246,0.49130046
-5.47173587,2.01063944,0.50193575,0.30490196,0.27314075,0.00125829,0.27479146,0.51324465
-5.46573287,2.06710695,0.53433181,0.30749111,0.28140563,0.00133928,0.28132639,0.53613690
-5.45972986,2.12461742,0.56851219,0.31032801,0.29019384,0.00142555,0.28735949,0.55977502
-5.45372686,2.18285444,0.60424929,0.31349229,0.29951506,0.00151625,0.29280092,0.58394225
-5.44772386,2.24146930,0.64127461,0.31705343,0.30935765,0.00161046,0.29757072,0.60841048
-5.44172086,2.30008217,0.67928096,0.32106811,0.31968661,0.00170715,0.30160049,0.63294418
-5.43571786,2.35828506,0.71792607,0.32557827,0.33044236,0.00180525,0.30483462,0.65730491
-5.42971486,2.41564689,0.75683796,0.33060988,0.34154074,0.00190360,0.30723122,0.68125627
-5.42371186,2.47172047,0.79562171,0.33617257,0.35287396,0.00200104,0.30876244,0.70456937
-5.41770885,2.52605133,0.83386780,0.34226009,0.36431281,0.00209637,0.30941453,0.72702824
-5.41170585,2.57818801,0.87116147,0.34885147,0.37570989,0.00218842,0.30918733,0.74843541
-5.40570285,2.62769354,0.90709314,0.35591285,0.38690375,0.00227605,0.30809347,0.76861703
-5.39969985,2.67415756,0.94126918,0.36339987,0.39772396,0.00235820,0.30615720,0.78742761
-5.39369685,2.71720867,0.97332290,0.37126042,0.40799659,0.00243389,0.30341302,0.80475398
-5.38769385,2.75652633,1.00292502,0.37943757,0.41755018,0.00250227,0.29990414,0.82051837
-5.38169085,2.79185188,1.02979352,0.38787260,0.42622170,0.00256264,0.29568091,0.83468032
-5.37568784,2.82299813,1.05370196,0.39650788,0.43386232,0.00261444,0.29079925,0.84723756
-5.36968484,2.84985706,1.07448635,0.40528940,0.44034274,0.00265732,0.28531927,0.85822552
-5.36368184,2.87240513,1.09204984,0.41416902,0.44555775,0.00269110,0.27930396,0.86771560
-5.35767884,2.89070604,1.10636520,0.42310613,0.44942988,0.00271583,0.27281825,0.87581225
-5.35167584,2.90491057,1.11747489,0.43206869,0.45191201,0.00273171,0.26592821,0.88264893
-5.34567284,2.91525346,1.12548855,0.44103380,0.45298869,0.00273917,0.25870053,0.88838301
-5.33966983,2.92204731,1.13057821,0.44998749,0.45267631,0.00273879,0.25120229,0.89318994
-5.33366683,2.92567360,1.13297111,0.45892408,0.45102192,0.00273133,0.24350084,0.89725674
-5.32766383,2.92657111,1.13294067,0.46784493,0.44810100,0.00271765,0.23566379,0.90077519
-5.32166083,2.92522202,1.13079586,0.47675677,0.44401409,0.00269875,0.22775913,0.90393478
-5.31565783,2.92213627,1.12686932,0.48566979,0.43888263,0.00267569,0.21985526,0.90691586
-5.30965483,2.91783460,1.12150503,0.49459540,0.43284411,0.00264955,0.21202094,0.90988315
-5.30365183,2.91283108,1.11504569,0.50354405,0.42604677,0.00262146,0.20432506,0.91297979
-5.29764882,2.90761566,1.10782064,0.51252302,0.41864420,0.00259248,0.19683626,0.91632230
-5.29164582,2.90263770,1.10013474,0.52153446,0.41078992,0.00256365,0.18962225,0.91999651
-5.28564282,2.89829097,1.09225856,0.53057368,0.40263237,0.00253591,0.18274893,0.92405476
-5.27963982,2.89490112,1.08442053,0.53962798,0.39431032,0.00251009,0.17627925,0.92851441
-5.27363682,2.89271601,1.07680121,0.54867583,0.38594906,0.00248690,0.17027194,0.93335778
-5.26763382,2.89189961,1.06952989,0.55768680,0.37765743,0.00246690,0.16478004,0.93853362
-5.26163082,2.89252981,1.06268376,0.56662198,0.36952575,0.00245054,0.15984942,0.94396005
-5.25562781,2.89460031,1.05628956,0.57543512,0.36162479,0.00243807,0.15551734,0.94952885
-5.24962481,2.89802665,1.05032755,0.58407424,0.35400572,0.00242963,0.15181108,0.95511112
-5.24362181,2.90265606,1.04473773,0.59248393,0.34670099,0.00242523,0.14874681,0.96056385
-5.23761881,2.90828077,1.03942771,0.60060788,0.33972609,0.00242471,0.14632874,0.96573747
-5.23161581,2.91465402,1.03428204,0.60839189,0.33308199,0.00242786,0.14454863,0.97048367
-5.22561281,2.92150786,1.02917237,0.61578680,0.32675820,0.00243433,0.14338567,0.97466345
-5.21960980,2.92857181,1.02396787,0.62275148,0.32073611,0.00244372,0.14280685,0.97815478
-5.21360680,2.93559111,1.01854537,0.62925546,0.31499254,0.00245558,0.14276766,0.98085952
-5.20760380,2.94234347,1.01279872,0.63528107,0.30950324,0.00246940,0.14321337,0.98270925
-5.20160080,2.94865319,1.00664673,0.64082499,0.30424615,0.00248469,0.14408051,0.98366955
-5.19559780,2.95440161,1.00003932,0.64589883,0.29920423,0.00250092,0.14529874,0.98374240
-5.18959480,2.95953319,0.99296149,0.65052883,0.29436769,0.00251760,0.14679302,0.98296668
-5.18359180,2.96405655,0.98543495,0.65475455,0.28973565,0.00253422,0.14848579,0.98141640
-5.17758879,2.96804033,0.97751725,0.65862647,0.28531694,0.00255033,0.15029925,0.97919676
-5.17158579,2.97160406,0.96929851,0.66220268,0.28113018,0.00256549,0.15215764,0.97643833
-5.16558279,2.97490439,0.96089594,0.66554477,0.27720319,0.00257928,0.15398926,0.97328931
-5.15957979,2.97811755,0.95244650,0.66871301,0.27357169,0.00259133,0.15572836,0.96990655
