energy_ev,total_up,Hg_p_up,Hg_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-6.00000000,0.61503763,0.18443548,0.14439046,0.07735141,0.00070570,0.07969408,0.20196228
-5.99399700,0.60735123,0.18551832,0.14129537,0.07881695,0.00069837,0.07816176,0.19322191
-5.98799400,0.59975980,0.18640319,0.13831809,0.08018089,0.00069031,0.07649242,0.18456197
-5.98199100,0.59237848,0.18710032,0.13547567,0.08144071,0.00068173,0.07470202,0.17611765
-5.97598799,0.58532536,0.18763092,0.13278471,0.08259850,0.00067285,0.07280943,0.16802024
-5.96998499,0.57871737,0.18802631,0.13026033,0.08366103,0.00066394,0.07083610,0.16039411
-5.96398199,0.57266620,0.18832657,0.12791514,0.08463951,0.00065526,0.06880560,0.15335402
-5.95797899,0.56727435,0.18857868,0.12575849,0.08554906,0.00064709,0.06674300,0.14700280
-5.95197599,0.56263132,0.18883412,0.12379575,0.08640796,0.00063969,0.06467427,0.14142951
-5.94597299,0.55881024,0.18914616,0.12202792,0.08723656,0.00063333,0.06262555,0.13670794
-5.93996998,0.55586478,0.18956687,0.12045143,0.08805605,0.00062822,0.06062233,0.13289563
-5.93396698,0.55382670,0.19014396,0.11905815,0.08888699,0.00062457,0.05868871,0.13003337
-5.92796398,0.55270391,0.19091767,0.11783569,0.08974778,0.00062250,0.05684656,0.12814506
-5.92196098,0.55247935,0.19191785,0.11676789,0.09065319,0.00062213,0.05511487,0.12723810
-5.91595798,0.55311054,0.19316134,0.11583545,0.09161285,0.00062346,0.05350903,0.12730408
-5.90995498,0.55453004,0.19464992,0.11501675,0.09263008,0.00062647,0.05204033,0.12831996
-5.90395198,0.55664679,0.19636888,0.11428877,0.09370089,0.00063104,0.05071558,0.13024955
-5.89794897,0.55934836,0.19828636,0.11362798,0.09481338,0.00063699,0.04953691,0.13304529
-5.89194597,0.56250402,0.20035348,0.11301135,0.09594756,0.00064408,0.04850175,0.13665026
-5.88594297,0.56596873,0.20250543,0.11241724,0.09707564,0.00065200,0.04760299,0.14100045
-5.87993997,0.56958769,0.20466332,0.11182620,0.09816274,0.00066037,0.04682934,0.14602700
-5.87393697,0.57320155,0.20673689,0.11122171,0.09916810,0.00066881,0.04616592,0.15165857
-5.86793397,0.57665187,0.20862781,0.11059071,0.10004665,0.00067686,0.04559488,0.15782350
-5.86193097,0.57978674,0.21023355,0.10992403,0.10075093,0.00068409,0.04509626,0.16445184
-5.85592796,0.58246615,0.21145159,0.10921656,0.10123323,0.00069004,0.04464886,0.17147698
-5.84992496,0.58456700,0.21218372,0.10846730,0.10144789,0.00069429,0.04423114,0.17883697
-5.84392196,0.58598735,0.21234018,0.10767914,0.10135354,0.00069644,0.04382212,0.18647520
-5.83791896,0.58664969,0.21184363,0.10685857,0.10091532,0.00069615,0.04340223,0.19434064
