energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.35227277,0.00783159,0.11574610,0.01005533,0.00000000,0.01148513,0.76300245,0.25170854,0.29709473
-5.99399700,1.35085440,0.00792937,0.11747807,0.01020385,0.00000000,0.01164253,0.76061076,0.25085951,0.29529467
-5.98799400,1.34886117,0.00801871,0.11909173,0.01034939,0.00000000,0.01184764,0.75810307,0.25034850,0.29280276
-5.98199100,1.34676742,0.00810186,0.12062475,0.01049427,0.00000000,0.01210035,0.75574437,0.25030146,0.28974787
-5.97598799,1.34503190,0.00818127,0.12211366,0.01064072,0.00000000,0.01239957,0.75378797,0.25083966,0.28626372
-5.96998499,1.34408265,0.00825957,0.12359209,0.01079082,0.00000000,0.01274330,0.75246756,0.25207650,0.28248427
-5.96398199,1.34430379,0.00833954,0.12508942,0.01094642,0.00000000,0.01312879,0.75199023,0.25411448,0.27853932
-5.95797899,1.34602513,0.00842413,0.12662967,0.01110909,0.00000000,0.01355264,0.75253109,0.25704272,0.27455071
-5.95197599,1.34951496,0.00851644,0.12823074,0.01128010,0.00000000,0.01401100,0.75422959,0.26093497,0.27062921
-5.94597299,1.35497653,0.00861977,0.12990414,0.01146043,0.00000000,0.01449972,0.75718789,0.26584831,0.26687227
-5.93996998,1.36254817,0.00873768,0.13165508,0.01165081,0.00000000,0.01501451,0.76147114,0.27182240,0.26336275
-5.93396698,1.37230694,0.00887401,0.13348301,0.01185177,0.00000000,0.01555115,0.76710971,0.27887954,0.26016859
-5.92796398,1.38427535,0.00903287,0.13538242,0.01206375,0.00000000,0.01610560,0.77410311,0.28702510,0.25734332
-5.92196098,1.39843042,0.00921874,0.13734400,0.01228715,0.00000000,0.01667418,0.78242516,0.29624863,0.25492744
-5.91595798,1.41471442,0.00943636,0.13935589,0.01252244,0.00000000,0.01725359,0.79203007,0.30652515,0.25295035
-5.90995498,1.43304620,0.00969071,0.14140508,0.01277024,0.00000000,0.01784103,0.80285888,0.31781674,0.25143265
-5.90395198,1.45333224,0.00998694,0.14347871,0.01303137,0.00000000,0.01843419,0.81484567,0.33007407,0.25038867
-5.89794897,1.47547644,0.01033018,0.14556524,0.01330691,0.00000000,0.01903125,0.82792316,0.34323791,0.24982892
-5.89194597,1.49938788,0.01072537,0.14765539,0.01359820,0.00000000,0.01963077,0.84202714,0.35724029,0.24976222
-5.88594297,1.52498587,0.01117702,0.14974282,0.01390677,0.00000000,0.02023165,0.85709941,0.37200532,0.25019746
-5.87993997,1.55220194,0.01168893,0.15182439,0.01423434,0.00000000,0.02083295,0.87308903,0.38744960,0.25114460
-5.87393697,1.58097847,0.01226390,0.15390008,0.01458268,0.00000000,0.02143376,0.88995177,0.40348219,0.25261511
-5.86793397,1.61126419,0.01290340,0.15597252,0.01495348,0.00000000,0.02203306,0.90764771,0.42000413,0.25462155
-5.86193097,1.64300684,0.01360728,0.15804624,0.01534821,0.00000000,0.02262953,0.92613734,0.43690771,0.25717654
-5.85592796,1.67614350,0.01437350,0.16012656,0.01576793,0.00000000,0.02322145,0.94537638,0.45407550,0.26029094
-5.84992496,1.71058954,0.01519784,0.16221836,0.01621312,0.00000000,0.02380651,0.96530975,0.47137933,0.26397171
-5.84392196,1.74622676,0.01607379,0.16432466,0.01668351,0.00000000,0.02438179,0.98586514,0.48867945,0.26821933
-5.83791896,1.78289204,0.01699243,0.16644529,0.01717796,0.00000000,0.02494364,1.00694679,0.50582401,0.27302504
-5.83191596,1.82036711,0.01794244,0.16857554,0.01769426,0.00000000,0.02548772,1.02842995,0.52264902,0.27836829
-5.82591296,1.85837058,0.01891021,0.17070510,0.01822914,0.00000000,0.02600898,1.05015647,0.53897899,0.28421437
-5.81990995,1.89655283,0.01988011,0.17281717,0.01877816,0.00000000,0.02650176,1.07193207,0.55462835,0.29051254
-5.81390695,1.93449436,0.02083474,0.17488802,0.01933578,0.00000000,0.02695990,1.09352544,0.56940368,0.29719486
-5.80790395,1.97170814,0.02175546,0.17688681,0.01989537,0.00000000,0.02737688,1.11466955,0.58310683,0.30417567
-5.80190095,2.00764587,0.02262286,0.17877592,0.02044941,0.00000000,0.02774601,1.13506510,0.59553886,0.31135205
-5.79589795,2.04170823,0.02341739,0.18051163,0.02098959,0.00000000,0.02806061,1.15438624,0.60650466,0.31860509
-5.78989495,2.07325888,0.02411998,0.18204520,0.02150708,0.00000000,0.02831422,1.17228824,0.61581819,0.32580203
-5.78389195,2.10164146,0.02471269,0.18332427,0.02199275,0.00000000,0.02850084,1.18841687,0.62330803,0.33279924
-5.77788894,2.12619921,0.02517939,0.18429461,0.02243750,0.00000000,0.02861515,1.20241923,0.62882308,0.33944583
-5.77188594,2.14629617,0.02550631,0.18490196,0.02283250,0.00000000,0.02865267,1.21395538,0.63223815,0.34558790
-5.76588294,2.16133922,0.02568260,0.18509407,0.02316952,0.00000000,0.02860999,1.22271047,0.63345911,0.35107305
-5.75987994,2.17079995,0.02570074,0.18482275,0.02344121,0.00000000,0.02848493,1.22840673,0.63242747,0.35575521
-5.75387694,2.17423543,0.02555685,0.18404582,0.02364138,0.00000000,0.02827666,1.23081480,0.62912399,0.35949935
-5.74787394,2.17130702,0.02525087,0.18272896,0.02376520,0.00000000,0.02798579,1.22976404,0.62357128,0.36218610
-5.74187094,2.16179643,0.02478658,0.18084724,0.02380941,0.00000000,0.02761448,1.22515117,0.61583513,0.36371591
-5.73586793,2.14561833,0.02417152,0.17838647,0.02377248,0.00000000,0.02716643,1.21694710,0.60602449,0.36401271
-5.72986493,2.12282895,0.02341675,0.17534405,0.02365463,0.00000000,0.02664686,1.20520145,0.59429010,0.36302692
-5.72386193,2.09363045,0.02253645,0.17172957,0.02345793,0.00000000,0.02606249,1.19004468,0.58082172,0.36073761
-5.71785893,2.05837062,0.02154752,0.16756490,0.02318620,0.00000000,0.02542139,1.17168772,0.56584416,0.35715387
-5.71185593,2.01753823,0.02046902,0.16288388,0.02284496,0.00000000,0.02473289,1.15041905,0.54961202,0.35231526
-5.70585293,1.97175387,0.01932157,0.15773171,0.02244130,0.00000000,0.02400736,1.12659939,0.53240368,0.34629136
-5.69984992,1.92175689,0.01812677,0.15216380,0.02198363,0.00000000,0.02325602,1.10065416,0.51451442,0.33918045
