energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Li_s_up,Se_s_up,Se_p_up
-6.00000000,1.70617698,0.00733714,0.11286494,0.60438667,0.25160349,0.51021551,0.01182290,1.02643689
-5.99399700,1.61728655,0.00789991,0.10786188,0.56552574,0.24145778,0.48039752,0.01185687,0.97228588
-5.98799400,1.53258544,0.00856771,0.10335719,0.52775115,0.23200619,0.45027682,0.01206541,0.92020510
-5.98199100,1.45326692,0.00933977,0.09941319,0.49149882,0.22341851,0.42023969,0.01244892,0.87094127
-5.97598799,1.38034812,0.01021357,0.09607800,0.45714883,0.21583763,0.39064417,0.01300510,0.82514106
-5.96998499,1.31464685,0.01118446,0.09338409,0.42502053,0.20937515,0.36181314,0.01372877,0.78333691
-5.96398199,1.25676548,0.01224550,0.09134728,0.39536979,0.20410814,0.33402916,0.01461168,0.74593701
-5.95797899,1.20708211,0.01338722,0.08996627,0.36838838,0.20007716,0.30753091,0.01564245,0.71321961
-5.95197599,1.16574908,0.01459758,0.08922261,0.34420530,0.19728541,0.28251132,0.01680650,0.68533176
-5.94597299,1.13269878,0.01586196,0.08908129,0.32288983,0.19569933,0.25911726,0.01808619,0.66229227
-5.93996998,1.10765623,0.01716332,0.08949180,0.30445604,0.19525036,0.23745061,0.01946094,0.64399869
-5.93396698,1.09015797,0.01848242,0.09038965,0.28886850,0.19583798,0.21757055,0.02090755,0.63023794
-5.92796398,1.07957647,0.01979822,0.09169847,0.27604887,0.19733386,0.19949698,0.02240060,0.62070006
-5.92196098,1.07514903,0.02108830,0.09333239,0.26588309,0.19958690,0.18321468,0.02391297,0.61499467
-5.91595798,1.07601018,0.02232947,0.09519877,0.25822887,0.20242912,0.16867813,0.02541647,0.61266927
-5.90995498,1.08122642,0.02349838,0.09720119,0.25292318,0.20568204,0.15581675,0.02688253,0.61322891
-5.90395198,1.08983195,0.02457221,0.09924248,0.24978942,0.20916343,0.14454032,0.02828302,0.61615641
-5.89794897,1.10086422,0.02552939,0.10122783,0.24864418,0.21269400,0.13474438,0.02959108,0.62093242
-5.89194597,1.11339789,0.02635028,0.10306774,0.24930323,0.21610402,0.12631554,0.03078192,0.62705460
-5.88594297,1.12657626,0.02701785,0.10468080,0.25158670,0.21923938,0.11913639,0.03183372,0.63405529
-5.87993997,1.13963877,0.02751826,0.10599604,0.25532327,0.22196699,0.11308996,0.03272831,0.64151700
-5.87393697,1.15194395,0.02784135,0.10695498,0.26035337,0.22417926,0.10806369,0.03345194,0.64908533
-5.86793397,1.16298693,0.02798102,0.10751312,0.26653134,0.22579752,0.10395264,0.03399578,0.65647891
-5.86193097,1.17241114,0.02793548,0.10764091,0.27372666,0.22677427,0.10066206,0.03435634,0.66349599
-5.85592796,1.18001398,0.02770730,0.10732414,0.28182436,0.22709411,0.09810931,0.03453570,0.67001779
-5.84992496,1.18574651,0.02730336,0.10656380,0.29072473,0.22677351,0.09622491,0.03454157,0.67600852
-5.84392196,1.18970746,0.02673465,0.10537538,0.30034260,0.22585925,0.09495305,0.03438714,0.68151229
-5.83791896,1.19213224,0.02601591,0.10378771,0.31060629,0.22442589,0.09425136,0.03409073,0.68664724
-5.83191596,1.19337757,0.02516514,0.10184136,0.32145658,0.22257216,0.09409019,0.03367527,0.69159735
