energy_ev,total_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up,Ta_p_up,Ta_d_up
1.40770385,0.70516323,0.01578832,0.19393064,0.01689638,0.00450029,0.13587063,0.52075870
1.41370685,0.75893156,0.01717576,0.20944582,0.01824441,0.00477165,0.14286670,0.56153644
1.41970985,0.81235233,0.01855652,0.22489675,0.01960808,0.00503013,0.14947598,0.60219580
1.42571286,0.86488839,0.01991041,0.24011211,0.02097791,0.00527262,0.15564552,0.64233005
1.43171586,0.91602927,0.02121640,0.25492255,0.02234645,0.00549636,0.16134246,0.68155014
1.43771886,0.96530693,0.02245314,0.26916556,0.02370872,0.00569903,0.16655562,0.71949678
1.44372186,1.01231037,0.02359961,0.28269025,0.02506262,0.00587883,0.17129634,0.75585176
1.44972486,1.05669845,0.02463569,0.29536187,0.02640924,0.00603452,0.17559839,0.79034803
1.45572786,1.09820990,0.02554280,0.30706575,0.02775295,0.00616549,0.17951700,0.82277781
1.46173087,1.13666994,0.02630449,0.31771053,0.02910152,0.00627171,0.18312677,0.85299825
1.46773387,1.17199304,0.02690697,0.32723041,0.03046587,0.00635376,0.18651871,0.88093409
1.47373687,1.20418138,0.02733958,0.33558623,0.03185975,0.00641275,0.18979634,0.90657737
1.47973987,1.23331909,0.02759513,0.34276552,0.03329919,0.00645029,0.19307108,0.92998372
1.48574287,1.25956251,0.02767012,0.34878116,0.03480179,0.00646833,0.19645704,0.95126581
1.49174587,1.28312681,0.02756489,0.35366910,0.03638577,0.00646915,0.20006555,0.97058394
1.49774887,1.30426990,0.02728353,0.35748493,0.03806901,0.00645516,0.20399954,0.98813460
1.50375188,1.32327451,0.02683375,0.36029972,0.03986791,0.00642879,0.20834824,1.00413752
1.50975488,1.34042948,0.02622660,0.36219528,0.04179630,0.00639241,0.21318230,1.01882218
1.51575788,1.35601157,0.02547603,0.36325920,0.04386427,0.00634816,0.21854971,1.03241454
1.52176088,1.37026892,0.02459844,0.36357986,0.04607726,0.00629791,0.22447276,1.04512501
1.52776388,1.38340720,0.02361211,0.36324188,0.04843515,0.00624311,0.23094614,1.05713836
1.53376688,1.39557956,0.02253660,0.36232210,0.05093171,0.00618480,0.23793648,1.06860636
1.53976988,1.40688092,0.02139218,0.36088656,0.05355419,0.00612354,0.24538319,1.07964366
1.54577289,1.41734707,0.02019917,0.35898844,0.05628335,0.00605942,0.25320085,1.09032707
1.55177589,1.42695863,0.01897748,0.35666718,0.05909376,0.00599210,0.26128279,1.10069847
1.55777889,1.43564968,0.01774603,0.35394880,0.06195447,0.00592085,0.26950595,1.11077084
1.56378189,1.44332028,0.01652238,0.35084732,0.06482998,0.00584462,0.27773666,1.12053719
1.56978489,1.44985212,0.01532239,0.34736715,0.06768160,0.00576216,0.28583707,1.12998138
1.57578789,1.45512609,0.01415997,0.34350627,0.07046896,0.00567209,0.29367195,1.13909015
1.58179090,1.45904041,0.01304693,0.33925990,0.07315181,0.00557306,0.30111550,1.14786517
1.58779390,1.46152807,0.01199291,0.33462442,0.07569187,0.00546381,0.30805774,1.15633417
1.59379690,1.46257219,0.01100541,0.32960113,0.07805470,0.00534329,0.31441031,1.16456007
1.59979990,1.46221806,0.01008986,0.32419976,0.08021159,0.00521077,0.32011119,1.17264732
1.60580290,1.46058104,0.00924975,0.31844121,0.08214121,0.00506588,0.32512823,1.18074465
1.61180590,1.45784956,0.00848686,0.31235956,0.08383105,0.00490870,0.32946125,1.18904399
1.61780890,1.45428297,0.00780138,0.30600310,0.08527855,0.00473976,0.33314266,1.19777520
