energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,2.33440275,0.02588938,0.23110687,0.01665024,0.12550496,0.97366195,0.95006175,0.85614869
-5.99399700,2.44530355,0.02859677,0.23777445,0.01695940,0.13096258,1.01668480,0.96890052,0.90838686
-5.98799400,2.55569159,0.03139103,0.24430204,0.01747370,0.13608484,1.06008629,0.99438954,0.95857325
-5.98199100,2.66424544,0.03424688,0.25059413,0.01818505,0.14078780,1.10333646,1.02613052,1.00617927
-5.97598799,2.76982271,0.03713735,0.25658378,0.01908822,0.14499926,1.14596959,1.06370665,1.05076819
-5.96998499,2.87152817,0.04003469,0.26224013,0.02018122,0.14866192,1.18761156,1.10671902,1.09201915
-5.96398199,2.96877584,0.04291141,0.26757500,0.02146547,0.15173609,1.22800491,1.15482490,1.12974812
-5.95797899,3.06134180,0.04574137,0.27264826,0.02294579,0.15420176,1.26703004,1.20777636,1.16392468
-5.95197599,3.14940477,0.04850094,0.27757183,0.02463020,0.15605986,1.30472147,1.26545726,1.19468352
-5.94597299,3.23357171,0.05117002,0.28251171,0.02652955,0.15733272,1.34127796,1.32791692,1.22232982
-5.93996998,3.31488624,0.05373308,0.28768822,0.02865698,0.15806358,1.37706566,1.39539815,1.24733780
-5.93396698,3.39481836,0.05617999,0.29337394,0.03102723,0.15831527,1.41261371,1.46835793,1.27034222
-5.92796398,3.47523479,0.05850666,0.29988950,0.03365579,0.15816793,1.44860199,1.54747865,1.29212251
-5.92196098,3.55834978,0.06071540,0.30759717,0.03655801,0.15771603,1.48584103,1.63366849,1.31358018
-5.91595798,3.64665754,0.06281506,0.31689221,0.03974811,0.15706471,1.52524470,1.72804955,1.33570965
-5.90995498,3.74284792,0.06482077,0.32819230,0.04323818,0.15632565,1.56779633,1.83193310,1.35956387
-5.90395198,3.84970796,0.06675347,0.34192515,0.04703723,0.15561260,1.61450936,1.94678155,1.38621544
-5.89794897,3.97001270,0.06863909,0.35851469,0.05115025,0.15503685,1.66638422,2.07415767,1.41671504
-5.89194597,4.10640909,0.07050748,0.37836610,0.05557745,0.15470278,1.72436274,2.21566213,1.45204846
-5.88594297,4.26129747,0.07239108,0.40185023,0.06031357,0.15470371,1.78928232,2.37286089,1.49309398
-5.87993997,4.43671518,0.07432353,0.42928784,0.06534743,0.15511823,1.86183140,2.54720506,1.54058188
-5.87393697,4.63422712,0.07633802,0.46093407,0.07066167,0.15600721,1.94250853,2.73994597,1.59505767
-5.86793397,4.85482783,0.07846582,0.49696392,0.07623262,0.15741153,2.03158653,2.95204900,1.65685063
-5.86193097,5.09885937,0.08073466,0.53745902,0.08203053,0.15935064,2.12908367,3.18410980,1.72604899
-5.85592796,5.36594884,0.08316738,0.58239643,0.08801983,0.16182211,2.23474309,3.43627689,1.80248300
-5.84992496,5.65496845,0.08578071,0.63163987,0.09415974,0.16480195,2.34802154,3.70818464,1.88571668
-5.84392196,5.96402064,0.08858428,0.68493388,0.10040487,0.16824583,2.46808821,3.99890012,1.97504867
-5.83791896,6.29044930,0.09157995,0.74190134,0.10670608,0.17209104,2.59383383,4.30688734,2.06952260
-5.83191596,6.63087750,0.09476141,0.80204450,0.11301130,0.17625910,2.72388990,4.62999152,2.16794651
-5.82591296,6.98127086,0.09811414,0.86474991,0.11926646,0.18065886,2.85665748,4.96544518,2.26892096
-5.81990995,7.33702486,0.10161566,0.92929717,0.12541637,0.18518994,2.99034447,5.30989739,2.37087477
-5.81390695,7.69307314,0.10523601,0.99487137,0.13140559,0.18974633,3.12301011,5.65946588,2.47210729
-5.80790395,8.04401330,0.10893863,1.06057921,0.13717918,0.19422007,3.25261499,6.00981126,2.57083564
-5.80190095,8.38424570,0.11268128,1.12546811,0.14268339,0.19850464,3.37707472,6.35623119,2.66524527
-5.79589795,8.70812056,0.11641725,1.18854801,0.14786627,0.20249824,3.49431537,6.69377155,2.75354204
-5.78989495,9.01008804,0.12009659,1.24881516,0.15267816,0.20610659,3.60232843,7.01735078,2.83400395
-5.78389195,9.28484617,0.12366743,1.30527704,0.15707208,0.20924521,3.69922366,7.32189278,2.90503068
-5.77788894,9.52748145,0.12707734,1.35697773,0.16100409,0.21184128,3.78327765,7.60246367,2.96518927
-5.77188594,9.73359753,0.13027452,1.40302279,0.16443357,0.21383488,3.85297686,7.85440692,3.01325434
-5.76588294,9.89942773,0.13320902,1.44260273,0.16732355,0.21517972,3.90705355,8.07347199,3.04824175
-5.75987994,10.02192807,0.13583384,1.47501444,0.16964102,0.21584333,3.94451385,8.25593146,3.06943442
-5.75387694,10.09884834,0.13810580,1.49967959,0.17135722,0.21580688,3.96465720,8.39868240,3.07640008
-5.74787394,10.12877957,0.13998637,1.51615953,0.17244816,0.21506455,3.96708715,8.49932852,3.06900032
