energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,0.75614839,-2.53675494,0.48334416,-0.90849339,0.17576493,-0.74540715,0.00236275,-0.00772723,0.02177931,-0.39547026,0.48449971,-1.27700310,0.00000000,-0.00000000,0.28131054,-0.62020783,0.06772463,-0.13388432
-5.99399700,0.72210148,-2.50295098,0.46231977,-0.88689012,0.16951679,-0.74362242,0.00230615,-0.00696449,0.02015715,-0.38171855,0.46286004,-1.26724891,0.00000000,-0.00000000,0.27047925,-0.61727798,0.06458690,-0.13110215
-5.98799400,0.68777468,-2.46555892,0.44039837,-0.86425313,0.16305108,-0.74014632,0.00227473,-0.00624242,0.01870883,-0.36722723,0.44085152,-1.25612391,0.00000000,-0.00000000,0.25922269,-0.61359213,0.06139089,-0.12833316
-5.98199100,0.65329211,-2.42546802,0.41785763,-0.84085628,0.15634702,-0.73528857,0.00226754,-0.00556581,0.01744070,-0.35223745,0.41857271,-1.24394712,0.00000000,-0.00000000,0.24759157,-0.60928169,0.05815522,-0.12561923
-5.97598799,0.61885822,-2.38355490,0.39500262,-0.81694891,0.14941261,-0.72937228,0.00228413,-0.00493807,0.01636232,-0.33698337,0.39616856,-1.23103146,0.00000000,-0.00000000,0.23566575,-0.60448458,0.05490438,-0.12299857
-5.96998499,0.58474304,-2.34066122,0.37215604,-0.79275501,0.14228119,-0.72272162,0.00232446,-0.00436139,0.01548562,-0.32168720,0.37382141,-1.21767590,0.00000000,-0.00000000,0.22354951,-0.59934200,0.05166728,-0.12050529
-5.96398199,0.55126600,-2.29757146,0.34964837,-0.76847333,0.13500741,-0.71564921,0.00238882,-0.00383683,0.01482417,-0.30655476,0.35174110,-1.20415729,0.00000000,-0.00000000,0.21136606,-0.59399459,0.04847580,-0.11816909
-5.95797899,0.51877901,-2.25499181,0.32780833,-0.74427825,0.12766274,-0.70844388,0.00247772,-0.00336455,0.01439238,-0.29177153,0.33015478,-1.19072220,0.00000000,-0.00000000,0.19925179,-0.58857784,0.04536330,-0.11601489
-5.95197599,0.48764957,-2.21353102,0.30695383,-0.72032111,0.12033086,-0.70135933,0.00259177,-0.00294392,0.01420477,-0.27749942,0.30929669,-1.17757924,0.00000000,-0.00000000,0.18735032,-0.58321723,0.04236313,-0.11406247
-5.94597299,0.45824435,-2.17368394,0.28738363,-0.69673189,0.11310291,-0.69460430,0.00273152,-0.00257375,0.01427524,-0.26387417,0.28939839,-1.16489215,0.00000000,-0.00000000,0.17580669,-0.57802326,0.03950726,-0.11232616
