energy_ev,total_up,Ag_p_up,Ag_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,0.07036081,0.01740138,0.01866360,0.02021603,0.01177968,0.00191950,0.00594425,0.01343835,0.00000000
-5.99399700,0.07675789,0.01825251,0.02071521,0.02447362,0.01301714,0.00240759,0.00681424,0.01335898,0.00000000
-5.98799400,0.08542271,0.01959986,0.02341085,0.02968786,0.01465426,0.00299868,0.00791584,0.01355612,0.00000000
-5.98199100,0.09668056,0.02152198,0.02684155,0.03600252,0.01674890,0.00370866,0.00928290,0.01406846,0.00000000
-5.97598799,0.11086869,0.02410336,0.03110186,0.04356949,0.01936115,0.00455448,0.01095074,0.01493521,0.00000000
-5.96998499,0.12833131,0.02743461,0.03628824,0.05254613,0.02255238,0.00555387,0.01295554,0.01619589,0.00000000
-5.96398199,0.14941314,0.03161249,0.04249698,0.06309196,0.02638407,0.00672493,0.01533360,0.01789005,0.00000000
-5.95797899,0.17445138,0.03673985,0.04982171,0.07536455,0.03091633,0.00808573,0.01812031,0.02005690,0.00000000
-5.95197599,0.20376626,0.04292535,0.05835047,0.08951460,0.03620605,0.00965370,0.02134910,0.02273480,0.00000000
-5.94597299,0.23765020,0.05028309,0.06816237,0.10568047,0.04230496,0.01144503,0.02505009,0.02596066,0.00000000
-5.93996998,0.27635592,0.05893198,0.07932402,0.12398202,0.04925731,0.01347394,0.02924873,0.02976923,0.00000000
-5.93396698,0.32008389,0.06899500,0.09188574,0.14451437,0.05709753,0.01575190,0.03396432,0.03419233,0.00000000
-5.92796398,0.36896956,0.08059834,0.10587782,0.16734136,0.06584781,0.01828689,0.03920850,0.03925805,0.00000000
-5.92196098,0.42307109,0.09387030,0.12130688,0.19248941,0.07551564,0.02108254,0.04498385,0.04498992,0.00000000
-5.91595798,0.48235816,0.10894020,0.13815272,0.21994194,0.08609172,0.02413748,0.05128258,0.05140621,0.00000000
-5.90995498,0.54670267,0.12593715,0.15636570,0.24963468,0.09754800,0.02744456,0.05808548,0.05851926,0.00000000
-5.90395198,0.61587206,0.14498875,0.17586503,0.28145236,0.10983628,0.03099044,0.06536112,0.06633509,0.00000000
-5.89794897,0.68952588,0.16621971,0.19653809,0.31522703,0.12288733,0.03475510,0.07306554,0.07485309,0.00000000
-5.89194597,0.76721627,0.18975047,0.21824095,0.35073832,0.13661078,0.03871175,0.08114226,0.08406611,0.00000000
-5.88594297,0.84839279,0.21569560,0.24080032,0.38771589,0.15089566,0.04282685,0.08952294,0.09396072,0.00000000
-5.87993997,0.93241180,0.24416226,0.26401687,0.42584413,0.16561193,0.04706043,0.09812845,0.10451786,0.00000000
-5.87393697,1.01855038,0.27524832,0.28766996,0.46476918,0.18061270,0.05136673,0.10687058,0.11571367,0.00000000
-5.86793397,1.10602465,0.30904041,0.31152378,0.50410801,0.19573744,0.05569500,0.11565415,0.12752065,0.00000000
-5.86193097,1.19401176,0.34561161,0.33533451,0.54345945,0.21081576,0.05999067,0.12437971,0.13990896,0.00000000
-5.85592796,1.28167490,0.38501887,0.35885844,0.58241663,0.22567195,0.06419668,0.13294641,0.15284781,0.00000000
-5.84992496,1.36819017,0.42730005,0.38186060,0.62058029,0.24012990,0.06825506,0.14125526,0.16630693,0.00000000
-5.84392196,1.45277409,0.47247055,0.40412348,0.65757238,0.25401826,0.07210855,0.14921237,0.18025785,0.00000000
-5.83791896,1.53471036,0.52051962,0.42545540,0.69304921,0.26717561,0.07570245,0.15673216,0.19467505,0.00000000
-5.83191596,1.61337441,0.57140629,0.44569817,0.72671340,0.27945548,0.07898631,0.16374028,0.20953675,0.00000000
-5.82591296,1.68825433,0.62505498,0.46473330,0.75832392,0.29073072,0.08191565,0.17017616,0.22482530,0.00000000
-5.81990995,1.75896686,0.68135111,0.48248668,0.78770360,0.30089734,0.08445353,0.17599494,0.24052705,0.00000000
-5.81390695,1.82526745,0.74013661,0.49893113,0.81474354,0.30987734,0.08657190,0.18116877,0.25663172,0.00000000
-5.80790395,1.88705357,0.80120570,0.51408665,0.83940403,0.31762050,0.08825266,0.18568727,0.27313120,0.00000000
-5.80190095,1.94436079,0.86430121,0.52801830,0.86171191,0.32410502,0.08948847,0.18955722,0.29001775,0.00000000
-5.79589795,1.99735183,0.92911154,0.54083158,0.88175431,0.32933695,0.09028317,0.19280133,0.30728183,0.00000000
-5.78989495,2.04629880,0.99526875,0.55266560,0.89966899,0.33334843,0.09065182,0.19545631,0.32490944,0.00000000
-5.78389195,2.09155957,1.06234784,0.56368429,0.91563194,0.33619490,0.09062042,0.19757019,0.34287930,0.00000000
-5.77788894,2.13354956,1.12986771,0.57406592,0.92984271,0.33795133,0.09022525,0.19919916,0.36115993,0.00000000
-5.77188594,2.17271028,1.19729376,0.58399177,0.94250847,0.33870777,0.08951187,0.20040393,0.37970677,0.00000000
-5.76588294,2.20947656,1.26404249,0.59363426,0.95382760,0.33856438,0.08853387,0.20124606,0.39845968,0.00000000
-5.75987994,2.24424424,1.32948814,0.60314535,0.96397392,0.33762631,0.08735133,0.20178419,0.41734087,0.00000000
-5.75387694,2.27734027,1.39297124,0.61264589,0.97308244,0.33599862,0.08602915,0.20207063,0.43625347,0.00000000
-5.74787394,2.30899675,1.45380928,0.62221644,0.98123757,0.33378149,0.08463516,0.20214833,0.45508091,0.00000000
-5.74187094,2.33933079,1.51130896,0.63189024,0.98846460,0.33106608,0.08323825,0.20204858,0.47368721,0.00000000
-5.73586793,2.36833103,1.56478006,0.64164866,0.99472482,0.32793113,0.08190642,0.20178935,0.49191816,0.00000000
-5.72986493,2.39585187,1.61355042,0.65141950,0.99991494,0.32444048,0.08070485,0.20137458,0.50960352,0.00000000
-5.72386193,2.42161562,1.65698154,0.66107829,1.00387053,0.32064164,0.07969408,0.20079429,0.52656011,0.00000000
-5.71785893,2.44522254,1.69448448,0.67045253,1.00637362,0.31656539,0.07892829,0.20002563,0.54259567,0.00000000
-5.71185593,2.46616810,1.72553526,0.67932867,1.00716381,0.31222647,0.07845373,0.19903465,0.55751346,0.00000000
-5.70585293,2.48386656,1.74968947,0.68746145,1.00595240,0.30762505,0.07830733,0.19777884,0.57111722,0.00000000
-5.69984992,2.49767943,1.76659527,0.69458522,1.00243866,0.30274921,0.07851555,0.19621010,0.58321648,0.00000000
-5.69384692,2.50694728,1.77600438,0.70042649,0.99632729,0.29757786,0.07909345,0.19427815,0.59363185,0.00000000
-5.68784392,2.51102302,1.77778055,0.70471704,0.98734604,0.29208416,0.08004402,0.19193400,0.60220009,0.00000000
-5.68184092,2.50930492,1.77190510,0.70720706,0.97526261,0.28623914,0.08135787,0.18913341,0.60877878,0.00000000
-5.67583792,2.50126753,1.75847923,0.70767739,0.95989968,0.28001521,0.08301312,0.18584008,0.61325037,0.00000000
-5.66983492,2.48648897,1.73772293,0.70595037,0.94114752,0.27338953,0.08497576,0.18202836,0.61552539,0.00000000
-5.66383192,2.46467316,1.70997043,0.70189870,0.91897319,0.26634687,0.08720023,0.17768544,0.61554479,0.00000000
-5.65782891,2.43566602,1.67566230,0.69545192,0.89342621,0.25888201,0.08963040,0.17281281,0.61328134,0.00000000
-5.65182591,2.39946504,1.63533450,0.68660012,0.86464025,0.25100134,0.09220092,0.16742700,0.60874002,0.00000000
-5.64582291,2.35622189,1.58960456,0.67539492,0.83283089,0.24272382,0.09483884,0.16155954,0.60195741,0.00000000
-5.63981991,2.30623824,1.53915563,0.66194761,0.79828972,0.23408115,0.09746553,0.15525613,0.59300031,0.00000000
-5.63381691,2.24995534,1.48471882,0.64642468,0.76137514,0.22511719,0.09999890,0.14857526,0.58196350,0.00000000
