energy_ev,total_up,Hf_p_up,Hf_d_up,In_p_up,In_d_up,Te_p_up,Te_d_up
-6.00000000,0.28092342,0.16218408,0.08160471,0.03917903,0.00005017,0.17604121,0.00000000
-5.99399700,0.29861430,0.17286735,0.08717146,0.04167793,0.00005229,0.18636921,0.00000000
-5.98799400,0.31679973,0.18406649,0.09278771,0.04410336,0.00005763,0.19691844,0.00000000
-5.98199100,0.33511390,0.19559115,0.09835437,0.04641247,0.00006636,0.20740970,0.00000000
-5.97598799,0.35323067,0.20727624,0.10378119,0.04856668,0.00007875,0.21758436,0.00000000
-5.96998499,0.37087098,0.21898573,0.10898923,0.05053310,0.00009517,0.22720887,0.00000000
-5.96398199,0.38781012,0.23061616,0.11391335,0.05228583,0.00011608,0.23607931,0.00000000
-5.95797899,0.40388430,0.24209973,0.11850454,0.05380715,0.00014203,0.24402570,0.00000000
-5.95197599,0.41899617,0.25340653,0.12273189,0.05508855,0.00017365,0.25091602,0.00000000
-5.94597299,0.43311862,0.26454560,0.12658417,0.05613142,0.00021162,0.25665936,0.00000000
-5.93996998,0.44629654,0.27556479,0.13007074,0.05694754,0.00025670,0.26120826,0.00000000
-5.93396698,0.45864615,0.28654891,0.13322182,0.05755910,0.00030964,0.26455983,0.00000000
-5.92796398,0.47035154,0.29761619,0.13608786,0.05799840,0.00037122,0.26675545,0.00000000
-5.92196098,0.48165829,0.30891297,0.13873817,0.05830712,0.00044221,0.26787910,0.00000000
-5.91595798,0.49286416,0.32060669,0.14125856,0.05853515,0.00052331,0.26805411,0.00000000
-5.90995498,0.50430705,0.33287719,0.14374819,0.05873914,0.00061515,0.26743841,0.00000000
-5.90395198,0.51635037,0.34590685,0.14631567,0.05898054,0.00071824,0.26621845,0.00000000
-5.89794897,0.52936649,0.35986958,0.14907447,0.05932352,0.00083291,0.26460190,0.00000000
-5.89194597,0.54371878,0.37491947,0.15213788,0.05983255,0.00095933,0.26280945,0.00000000
-5.88594297,0.55974286,0.39117939,0.15561371,0.06056994,0.00109743,0.26106597,0.00000000
-5.87993997,0.57772817,0.40873013,0.15959888,0.06159326,0.00124686,0.25959144,0.00000000
-5.87393697,0.59790036,0.42760081,0.16417427,0.06295288,0.00140700,0.25859204,0.00000000
-5.86793397,0.62040563,0.44776096,0.16939995,0.06468971,0.00157690,0.25825170,0.00000000
-5.86193097,0.64529787,0.46911484,0.17531112,0.06683313,0.00175529,0.25872464,0.00000000
-5.85592796,0.67252906,0.49149850,0.18191497,0.06939939,0.00194057,0.26012910,0.00000000
-5.84992496,0.70194393,0.51467979,0.18918856,0.07239041,0.00213082,0.26254269,0.00000000
-5.84392196,0.73327912,0.53836154,0.19707802,0.07579310,0.00232383,0.26599946,0.00000000
-5.83791896,0.76616706,0.56218802,0.20549902,0.07957933,0.00251711,0.27048898,0.00000000
-5.83191596,0.80014481,0.58575441,0.21433862,0.08370643,0.00270796,0.27595737,0.00000000
-5.82591296,0.83466747,0.60861904,0.22345846,0.08811837,0.00289350,0.28231034,0.00000000
-5.81990995,0.86912585,0.63031800,0.23269917,0.09274743,0.00307079,0.28941813,0.00000000
-5.81390695,0.90286767,0.65038148,0.24188584,0.09751654,0.00323685,0.29712200,0.00000000
-5.80790395,0.93522149,0.66835114,0.25083438,0.10234193,0.00338878,0.30524220,0.00000000
-5.80190095,0.96552233,0.68379777,0.25935843,0.10713623,0.00352381,0.31358677,0.00000000
-5.79589795,0.99313789,0.69633848,0.26727655,0.11181171,0.00363944,0.32196110,0.00000000
-5.78989495,1.01749406,0.70565258,0.27441936,0.11628363,0.00373346,0.33017743,0.00000000
-5.78389195,1.03809870,0.71149542,0.28063633,0.12047348,0.00380406,0.33806407,0.00000000
-5.77788894,1.05456241,0.71370960,0.28580175,0.12431205,0.00384986,0.34547383,0.00000000
-5.77188594,1.06661532,0.71223297,0.28981984,0.12774200,0.00387000,0.35229115,0.00000000
-5.76588294,1.07411916,0.70710314,0.29262848,0.13071998,0.00386414,0.35843767,0.00000000
-5.75987994,1.07707380,0.69845815,0.29420153,0.13321814,0.00383246,0.36387590,0.00000000
-5.75387694,1.07561814,0.68653348,0.29454962,0.13522483,0.00377570,0.36861077,0.00000000
-5.74787394,1.07002508,0.67165537,0.29371924,0.13674462,0.00369511,0.37268902,0.00000000
-5.74187094,1.06069095,0.65423090,0.29179040,0.13779754,0.00359241,0.37619646,0.00000000
-5.73586793,1.04811975,0.63473520,0.28887273,0.13841759,0.00346973,0.37925317,0.00000000
-5.72986493,1.03290312,0.61369640,0.28510037,0.13865055,0.00332957,0.38200692,0.00000000
-5.72386193,1.01569678,0.59167895,0.28062597,0.13855135,0.00317470,0.38462521,0.00000000
-5.71785893,0.99719470,0.56926602,0.27561387,0.13818098,0.00300808,0.38728620,0.00000000
-5.71185593,0.97810228,0.54704164,0.27023312,0.13760318,0.00283278,0.39016920,0.00000000
-5.70585293,0.95910951,0.52557323,0.26465045,0.13688116,0.00265189,0.39344501,0.00000000
-5.69984992,0.94086559,0.50539528,0.25902364,0.13607433,0.00246843,0.39726675,0.00000000
