energy_ev,total_up,S_s_up,S_p_up,Si_p_up,Si_d_up,Ta_p_up,Ta_d_up
-6.00000000,0.14230033,0.01150158,0.00990562,0.08128470,0.00000000,0.03913583,0.06179449
-5.99399700,0.12047497,0.00973643,0.00839332,0.06880695,0.00000000,0.03315243,0.05230040
-5.98799400,0.10134917,0.00818652,0.00707127,0.05786749,0.00000000,0.02792147,0.04397678
-5.98199100,0.08475849,0.00683835,0.00592874,0.04837138,0.00000000,0.02340010,0.03675057
-5.97598799,0.07052300,0.00567695,0.00495418,0.04021443,0.00000000,0.01954202,0.03054168
-5.96998499,0.05845624,0.00468657,0.00413584,0.03328826,0.00000000,0.01630022,0.02526683
-5.96398199,0.04837360,0.00385132,0.00346250,0.02748495,0.00000000,0.01362951,0.02084304
-5.95797899,0.04009960,0.00315570,0.00292396,0.02270114,0.00000000,0.01148886,0.01719062
-5.95197599,0.03347427,0.00258507,0.00251165,0.01884153,0.00000000,0.00984345,0.01423586
-5.94597299,0.02835865,0.00212600,0.00221908,0.01582183,0.00000000,0.00866660,0.01191319
-5.93996998,0.02463932,0.00176659,0.00204227,0.01357125,0.00000000,0.00794140,0.01016699
-5.93396698,0.02223218,0.00149667,0.00198012,0.01203443,0.00000000,0.00766222,0.00895303
-5.92796398,0.02108547,0.00130797,0.00203474,0.01117301,0.00000000,0.00783604,0.00823960
-5.92196098,0.02118222,0.00119422,0.00221176,0.01096685,0.00000000,0.00848361,0.00800836
-5.91595798,0.02254208,0.00115121,0.00252058,0.01141482,0.00000000,0.00964046,0.00825495
-5.90995498,0.02522259,0.00117678,0.00297455,0.01253548,0.00000000,0.01135774,0.00898936
-5.90395198,0.02931998,0.00127086,0.00359111,0.01436727,0.00000000,0.01370291,0.01023616
-5.89794897,0.03496940,0.00143537,0.00439193,0.01696863,0.00000000,0.01676014,0.01203447
-5.89194597,0.04234448,0.00167419,0.00540284,0.02041768,0.00000000,0.02063047,0.01443779
-5.88594297,0.05165630,0.00199302,0.00665379,0.02481162,0.00000000,0.02543163,0.01751358
-5.87993997,0.06315136,0.00239930,0.00817863,0.03026573,0.00000000,0.03129740,0.02134252
-5.87393697,0.07710879,0.00290200,0.01001480,0.03691199,0.00000000,0.03837656,0.02601761
-5.86793397,0.09383636,0.00351145,0.01220281,0.04489711,0.00000000,0.04683118,0.03164284
-5.86193097,0.11366534,0.00423913,0.01478561,0.05438005,0.00000000,0.05683434,0.03833149
-5.85592796,0.13694401,0.00509732,0.01780779,0.06552895,0.00000000,0.06856711,0.04620406
-5.84992496,0.16402998,0.00609887,0.02131455,0.07851743,0.00000000,0.08221488,0.05538582
-5.84392196,0.19528099,0.00725676,0.02535053,0.09352022,0.00000000,0.09796289,0.06600382
-5.83791896,0.23104464,0.00858374,0.02995852,0.11070821,0.00000000,0.11599111,0.07818362
-5.83191596,0.27164682,0.01009189,0.03517793,0.13024301,0.00000000,0.13646846,0.09204559
-5.82591296,0.31737944,0.01179210,0.04104325,0.15227099,0.00000000,0.15954654,0.10770090
-5.81990995,0.36848745,0.01369364,0.04758239,0.17691704,0.00000000,0.18535297,0.12524738
-5.81390695,0.42515569,0.01580362,0.05481507,0.20427828,0.00000000,0.21398452,0.14476517
-5.80790395,0.48749602,0.01812653,0.06275120,0.23441773,0.00000000,0.24550031,0.16631252
-5.80190095,0.55553514,0.02066376,0.07138943,0.26735833,0.00000000,0.27991528,0.18992171
-5.79589795,0.62920368,0.02341322,0.08071584,0.30307757,0.00000000,0.31719423,0.21559528
-5.78989495,0.70832703,0.02636893,0.09070296,0.34150283,0.00000000,0.35724662,0.24330285
-5.78389195,0.79261849,0.02952081,0.10130901,0.38250777,0.00000000,0.39992254,0.27297851
-5.77788894,0.88167503,0.03285448,0.11247761,0.42590999,0.00000000,0.44501003,0.30451902
-5.77188594,0.97497621,0.03635119,0.12413778,0.47147012,0.00000000,0.49223386,0.33778286
-5.76588294,1.07188637,0.03998790,0.13620451,0.51889245,0.00000000,0.54125619,0.37259037
-5.75987994,1.17166030,0.04373743,0.14857966,0.56782722,0.00000000,0.59167893,0.40872478
-5.75387694,1.27345242,0.04756878,0.16115337,0.61787457,0.00000000,0.64304814,0.44593436
-5.74787394,1.37632927,0.05144756,0.17380586,0.66859018,0.00000000,0.69486018,0.48393559
-5.74187094,1.47928510,0.05533653,0.18640952,0.71949234,0.00000000,0.74656978,0.52241726
-5.73586793,1.58126012,0.05919619,0.19883144,0.77007041,0.00000000,0.79759962,0.56104540
-5.72986493,1.68116099,0.06298557,0.21093600,0.81979451,0.00000000,0.84735138,0.59946902
-5.72386193,1.77788278,0.06666294,0.22258773,0.86812590,0.00000000,0.89521792,0.63732633
-5.71785893,1.87033195,0.07018665,0.23365414,0.91452810,0.00000000,0.94059616,0.67425147
-5.71185593,1.95744946,0.07351594,0.24400854,0.95847815,0.00000000,0.98290046,0.70988141
-5.70585293,2.03823351,0.07661179,0.25353272,0.99947784,0.00000000,1.02157596,0.74386295
-5.69984992,2.11176101,0.07943769,0.26211941,1.03706452,0.00000000,1.05611154,0.77585961
-5.69384692,2.17720737,0.08196035,0.26967448,1.07082120,0.00000000,1.08605206,0.80555818
-5.68784392,2.23386395,0.08415041,0.27611878,1.10038565,0.00000000,1.11100934,0.83267501
-5.68184092,2.28115270,0.08598300,0.28138961,1.12545825,0.00000000,1.13067177,0.85696150
-5.67583792,2.31863774,0.08743822,0.28544179,1.14580844,0.00000000,1.14481208,0.87820917
-5.66983492,2.34603351,0.08850152,0.28824830,1.16127949,0.00000000,1.15329306,0.89625372
-5.66383192,2.36320946,0.08916400,0.28980046,1.17179163,0.00000000,1.15607117,0.91097836
-5.65782891,2.37019110,0.08942255,0.29010778,1.17734337,0.00000000,1.15319775,0.92231616
-5.65182591,2.36715773,0.08927991,0.28919738,1.17801106,0.00000000,1.14481790,0.93025137
-5.64582291,2.35443667,0.08874459,0.28711305,1.17394663,0.00000000,1.13116715,0.93481976
-5.63981991,2.33249452,0.08783076,0.28391398,1.16537377,0.00000000,1.11256579,0.93610785
-5.63381691,2.30192563,0.08655801,0.27967332,1.15258248,0.00000000,1.08941123,0.93425108
-5.62781391,2.26343805,0.08495096,0.27447637,1.13592223,0.00000000,1.06216863,0.92943100
-5.62181091,2.21783760,0.08303892,0.26841870,1.11579400,0.00000000,1.03135989,0.92187140
-5.61580790,2.16601027,0.08085539,0.26160406,1.09264130,0.00000000,0.99755169,0.91183354
-5.60980490,2.10890358,0.07843755,0.25414231,1.06694047,0.00000000,0.96134252,0.89961064
