energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,6.63607359,0.35270609,0.16552505,0.01402937,1.43425473,0.06562697,2.44241031,2.69726117,1.94517438
-5.99399700,6.63900839,0.35198481,0.16547720,0.01394352,1.42195034,0.06750249,2.45886954,2.67678427,1.94158685
-5.98799400,6.63496418,0.35025860,0.16511655,0.01391419,1.40868821,0.06929859,2.47236360,2.65486942,1.93685476
-5.98199100,6.62482734,0.34758088,0.16446244,0.01394214,1.39478290,0.07100119,2.48311001,2.63219793,1.93123617
-5.97598799,6.60959104,0.34403283,0.16354186,0.01402740,1.38053143,0.07259698,2.49140054,2.60947650,1.92497416
-5.96998499,6.59033412,0.33972196,0.16238893,0.01416927,1.36620755,0.07407367,2.49759451,2.58742535,1.91829195
-5.96398199,6.56819647,0.33477959,0.16104397,0.01436628,1.35205740,0.07542025,2.50210880,2.56676496,1.91138897
-5.95797899,6.54435168,0.32935747,0.15955233,0.01461627,1.33829668,0.07662730,2.50540508,2.54820211,1.90443814
-5.95197599,6.51997855,0.32362359,0.15796297,0.01491638,1.32510951,0.07768723,2.50797500,2.53241563,1.89758444
-5.94597299,6.49623243,0.31775737,0.15632685,0.01526308,1.31264882,0.07859455,2.51032387,2.52004263,1.89094470
-5.93996998,6.47421778,0.31194438,0.15469526,0.01565227,1.30103819,0.07934615,2.51295376,2.51166554,1.88460868
-5.93396698,6.45496301,0.30637097,0.15311813,0.01607935,1.29037489,0.07994150,2.51634671,2.50780071,1.87864116
-5.92796398,6.43939835,0.30121881,0.15164242,0.01653932,1.28073395,0.08038283,2.52094891,2.50888879,1.87308501
-5.92196098,6.42833760,0.29665971,0.15031070,0.01702688,1.27217263,0.08067526,2.52715638,2.51528732,1.86796485
-5.91595798,6.42246410,0.29285083,0.14915989,0.01753659,1.26473532,0.08082682,2.53530281,2.52726567,1.86329114
-5.90995498,6.42232112,0.28993050,0.14822031,0.01806293,1.25845815,0.08084839,2.54564999,2.54500245,1.85906439
-5.90395198,6.42830669,0.28801479,0.14751508,0.01860049,1.25337326,0.08075355,2.55838106,2.56858529,1.85527924
-5.89794897,6.44067258,0.28719479,0.14705972,0.01914403,1.24951227,0.08055832,2.57359671,2.59801287,1.85192823
-5.89194597,6.45952719,0.28753494,0.14686220,0.01968862,1.24690886,0.08028075,2.59131445,2.63319892,1.84900495
-5.88594297,6.48484176,0.28907207,0.14692323,0.02022970,1.24560035,0.07994051,2.61147058,2.67397796,1.84650662
-5.87993997,6.51645939,0.29181547,0.14723678,0.02076315,1.24562809,0.07955828,2.63392483,2.72011236,1.84443590
-5.87393697,6.55410636,0.29574766,0.14779089,0.02128535,1.24703694,0.07915518,2.65846712,2.77130034,1.84280196
-5.86793397,6.59740505,0.30082598,0.14856854,0.02179318,1.24987369,0.07875209,2.68482622,2.82718461,1.84162079
-5.86193097,6.64588793,0.30698469,0.14954874,0.02228404,1.25418483,0.07836903,2.71267958,2.88736120,1.84091487
-5.85592796,6.69901211,0.31413766,0.15070750,0.02275583,1.26001367,0.07802447,2.74166422,2.95138822,1.84071224
-5.84992496,6.75617396,0.32218138,0.15201893,0.02320692,1.26739710,0.07773483,2.77138781,3.01879411,1.84104509
-5.84392196,6.81672317,0.33099813,0.15345614,0.02363610,1.27636228,0.07751388,2.80143978,3.08908531,1.84194798
-5.83791896,6.87997613,0.34045934,0.15499212,0.02404253,1.28692333,0.07737241,2.83140194,3.16175288,1.84345566
-5.83191596,6.94522794,0.35042882,0.15660043,0.02442570,1.29907818,0.07731793,2.86085824,3.23627819,1.84560081
-5.82591296,7.01176300,0.36076593,0.15825572,0.02478534,1.31280584,0.07735446,2.88940343,3.31213725,1.84841143
-5.81990995,7.07886377,0.37132846,0.15993415,0.02512138,1.32806398,0.07748255,2.91665038,3.38880388,1.85190824
-5.81390695,7.14581761,0.38197534,0.16161363,0.02543391,1.34478706,0.07769935,2.94223599,3.46575158,1.85610188
