energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Ge_p_up,Ge_p_down,Ge_d_up,Ge_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.40018968,-0.63592878,1.35645770,-0.50869564,0.27341592,-0.12697661,0.20804152,-0.13081836,0.00000000,-0.00000000,0.73127217,-0.30539480,0.00000000,-0.00000000
-5.99399700,1.48725916,-0.67812041,1.43924803,-0.55074455,0.28975144,-0.13425929,0.22007296,-0.13726343,0.00000000,-0.00000000,0.77753772,-0.32876138,0.00000000,-0.00000000
-5.98799400,1.57487472,-0.72279491,1.52064640,-0.59663347,0.30658445,-0.14166543,0.23268525,-0.14355237,0.00000000,-0.00000000,0.82333204,-0.35417831,0.00000000,-0.00000000
-5.98199100,1.66182579,-0.76975901,1.59935040,-0.64624841,0.32370372,-0.14913660,0.24571395,-0.14961680,0.00000000,-0.00000000,0.86799164,-0.38158711,0.00000000,-0.00000000
-5.97598799,1.74691864,-0.81876291,1.67408843,-0.69939206,0.34089712,-0.15660983,0.25898821,-0.15538912,0.00000000,-0.00000000,0.91087395,-0.41088629,0.00000000,-0.00000000
-5.96998499,1.82901819,-0.86950061,1.74366189,-0.75578062,0.35795929,-0.16401884,0.27233636,-0.16080472,0.00000000,-0.00000000,0.95138022,-0.44192886,0.00000000,-0.00000000
-5.96398199,1.90708827,-0.92161176,1.80698617,-0.81504248,0.37469895,-0.17129533,0.28559148,-0.16580425,0.00000000,-0.00000000,0.98897755,-0.47452101,0.00000000,-0.00000000
-5.95797899,1.98022859,-0.97468519,1.86312851,-0.87671934,0.39094563,-0.17837047,0.29859660,-0.17033588,0.00000000,-0.00000000,1.02321897,-0.50842201,0.00000000,-0.00000000
-5.95197599,2.04770642,-1.02826422,1.91134111,-0.94026971,0.40655529,-0.18517649,0.31120931,-0.17435733,0.00000000,-0.00000000,1.05376056,-0.54334562,0.00000000,-0.00000000
-5.94597299,2.10898145,-1.08185380,1.95108775,-1.00507535,0.42141475,-0.19164827,0.32330550,-0.17783783,0.00000000,-0.00000000,1.08037480,-0.57896302,0.00000000,-0.00000000
-5.93996998,2.16372244,-1.13492954,1.98206271,-1.07045054,0.43544451,-0.19772506,0.33478227,-0.18075961,0.00000000,-0.00000000,1.10295918,-0.61490765,0.00000000,-0.00000000
-5.93396698,2.21181462,-1.18694856,2.00420092,-1.13565451,0.44859984,-0.20335205,0.34555962,-0.18311918,0.00000000,-0.00000000,1.12153976,-0.65078173,0.00000000,-0.00000000
-5.92796398,2.25335744,-1.23736205,2.01767874,-1.19990682,0.46087013,-0.20848203,0.35558107,-0.18492804,0.00000000,-0.00000000,1.13626910,-0.68616459,0.00000000,-0.00000000
-5.92196098,2.28865244,-1.28562946,2.02290524,-1.26240568,0.47227645,-0.21307689,0.36481308,-0.18621297,0.00000000,-0.00000000,1.14741870,-0.72062284,0.00000000,-0.00000000
