energy_ev,total_up,Ge_p_up,Ge_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,4.39729674,0.54039447,0.00000000,1.08289034,2.90923201,0.05281722,1.08525380
-5.99399700,4.55571222,0.55993320,0.00000000,1.13996764,3.01530095,0.05359266,1.11893302
-5.98799400,4.71520239,0.58019590,0.00000000,1.19728735,3.12362872,0.05420236,1.15151387
-5.98199100,4.87336977,0.60082193,0.00000000,1.25401530,3.23263710,0.05462960,1.18247439
-5.97598799,5.02778352,0.62143529,0.00000000,1.30932106,3.34067923,0.05486175,1.21131836
-5.96998499,5.17602892,0.64165343,0.00000000,1.36239895,3.44607140,0.05489051,1.23758567
-5.96398199,5.31575658,0.66109641,0.00000000,1.41248859,3.54712618,0.05471198,1.26086149
-5.95797899,5.44473026,0.67939609,0.00000000,1.45889441,3.64218633,0.05432655,1.28078413
-5.95197599,5.56087210,0.69620512,0.00000000,1.50100341,3.72965852,0.05373873,1.29705127
-5.94597299,5.66230435,0.71120547,0.00000000,1.53830050,3.80804624,0.05295680,1.30942460
-5.93996998,5.74738639,0.72411614,0.00000000,1.57038096,3.87598101,0.05199243,1.31773278
-5.93396698,5.81474640,0.73469996,0.00000000,1.59695928,3.93225103,0.05086015,1.32187275
-5.92796398,5.86330676,0.74276908,0.00000000,1.61787431,3.97582671,0.04957685,1.32180939
-5.92196098,5.89230269,0.74818901,0.00000000,1.63309031,4.00588228,0.04816120,1.31757380
-5.91595798,5.90129371,0.75088112,0.00000000,1.64269379,4.02181298,0.04663311,1.30926014
-5.90995498,5.89016774,0.75082344,0.00000000,1.64688645,4.02324732,0.04501318,1.29702133
-5.90395198,5.85913793,0.74804969,0.00000000,1.64597426,4.01005426,0.04332219,1.28106370
-5.89794897,5.80873230,0.74264669,0.00000000,1.64035330,3.98234494,0.04158069,1.26164089
-5.89194597,5.73977681,0.73475027,0.00000000,1.63049279,3.94046922,0.03980854,1.23904709
-5.88594297,5.65337242,0.72453968,0.00000000,1.61691621,3.88500698,0.03802465,1.21360991
-5.87993997,5.55086698,0.71223099,0.00000000,1.60018112,3.81675475,0.03624673,1.18568302
-5.87393697,5.43382292,0.69806951,0.00000000,1.58085874,3.73670781,0.03449108,1.15563881
-5.86793397,5.30398188,0.68232182,0.00000000,1.55951399,3.64603876,0.03277250,1.12386125
-5.86193097,5.16322728,0.66526743,0.00000000,1.53668699,3.54607291,0.03110424,1.09073912
-5.85592796,5.01354617,0.64719070,0.00000000,1.51287671,3.43826139,0.02949805,1.05665976
-5.84992496,4.85699137,0.62837313,0.00000000,1.48852749,3.32415280,0.02796417,1.02200353
-5.84392196,4.69564507,0.60908638,0.00000000,1.46401896,3.20536419,0.02651148,0.98713904
-5.83791896,4.53158475,0.58958628,0.00000000,1.43965966,3.08355211,0.02514758,0.95241937
-5.83191596,4.36685229,0.57010795,0.00000000,1.41568458,2.96038448,0.02387897,0.91817908
-5.82591296,4.20342676,0.55086223,0.00000000,1.39225660,2.83751396,0.02271115,0.88473235
-5.81990995,4.04320146,0.53203336,0.00000000,1.36947150,2.71655333,0.02164882,0.85237191
-5.81390695,3.88796507,0.51377796,0.00000000,1.34736623,2.59905322,0.02069593,0.82136891
-5.80790395,3.73938709,0.49622528,0.00000000,1.32592977,2.48648254,0.01985589,0.79197345
-5.80190095,3.59900702,0.47947835,0.00000000,1.30511581,2.38021167,0.01913158,0.76441572
-5.79589795,3.46822685,0.46361615,0.00000000,1.28485660,2.28149830,0.01852546,0.73890742
-5.78989495,3.34830611,0.44869629,0.00000000,1.26507686,2.19147588,0.01803957,0.71564335
-5.78389195,3.24035872,0.43475809,0.00000000,1.24570700,2.11114428,0.01767557,0.69480286
-5.77788894,3.14535060,0.42182577,0.00000000,1.22669491,2.04136231,0.01743463,0.67655089
-5.77188594,3.06409744,0.40991149,0.00000000,1.20801531,1.98284176,0.01731741,0.66103844
-5.76588294,2.99726163,0.39901805,0.00000000,1.18967636,1.93614248,0.01732397,0.64840231
-5.75987994,2.94534797,0.38914098,0.00000000,1.17172298,1.90166812,0.01745358,0.63876380
-5.75387694,2.90869759,0.38027003,0.00000000,1.15423666,1.87966241,0.01770463,0.63222658
-5.74787394,2.88748021,0.37238989,0.00000000,1.13733188,1.87020566,0.01807444,0.62887353
-5.74187094,2.88168483,0.36548011,0.00000000,1.12114932,1.87321157,0.01855914,0.62876267
-5.73586793,2.89110944,0.35951443,0.00000000,1.10584631,1.88842458,0.01915350,0.63192257
-5.72986493,2.91535056,0.35445948,0.00000000,1.09158517,1.91541793,0.01985079,0.63834720
-5.72386193,2.95379373,0.35027307,0.00000000,1.07852032,1.95359308,0.02064277,0.64799078
-5.71785893,3.00560609,0.34690240,0.00000000,1.06678481,2.00218092,0.02151956,0.66076290
-5.71185593,3.06973253,0.34428219,0.00000000,1.05647751,2.06024544,0.02246969,0.67652435
-5.70585293,3.14489648,0.34233320,0.00000000,1.04765158,2.12669057,0.02348019,0.69508397
-5.69984992,3.22960670,0.34096125,0.00000000,1.04030513,2.20027060,0.02453671,0.71619696
-5.69384692,3.32217088,0.34005692,0.00000000,1.03437489,2.27960472,0.02562369,0.73956495
