energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,1.63854111,0.00434520,0.36082290,0.07503379,0.00402813,0.52197287,1.74563552,0.46872451
-5.99399700,1.57575054,0.00416208,0.34284593,0.07862186,0.00393555,0.50654856,1.65231521,0.45116533
-5.98799400,1.51322337,0.00397650,0.32452454,0.08277172,0.00386191,0.49171646,1.55664230,0.43373250
-5.98199100,1.45235891,0.00379255,0.30620704,0.08750140,0.00380805,0.47786652,1.46035301,0.41682412
-5.97598799,1.39441292,0.00361395,0.28821423,0.09281304,0.00377460,0.46533994,1.36506271,0.40079582
-5.96998499,1.34045703,0.00344395,0.27083064,0.09869072,0.00376186,0.45441592,1.27222379,0.38594916
-5.96398199,1.29134697,0.00328528,0.25429778,0.10509891,0.00376971,0.44530133,1.18309217,0.37252260
-5.95797899,1.24770093,0.00314007,0.23880921,0.11198177,0.00379757,0.43812386,1.09870337,0.36068544
-5.95197599,1.20988873,0.00300984,0.22450795,0.11926320,0.00384436,0.43292872,1.01985838,0.35053475
-5.94597299,1.17803175,0.00289546,0.21148583,0.12684781,0.00390848,0.42967935,0.94711951,0.34209556
-5.93996998,1.15201352,0.00279725,0.19978498,0.13462291,0.00398790,0.42826162,0.88081547,0.33532402
-5.93396698,1.13150009,0.00271497,0.18940110,0.14246129,0.00408021,0.42849173,0.82105484,0.33011337
-5.92796398,1.11596896,0.00264790,0.18028831,0.15022496,0.00418274,0.43012707,0.76774683,0.32630249
-5.92196098,1.10474505,0.00259498,0.17236531,0.15776952,0.00429268,0.43287974,0.72062773,0.32368633
-5.91595798,1.09704199,0.00255486,0.16552246,0.16494914,0.00440726,0.43643200,0.67929163,0.32202802
-5.90995498,1.09200665,0.00252608,0.15962939,0.17162199,0.00452396,0.44045289,0.64322366,0.32107180
-5.90395198,1.08876501,0.00250709,0.15454291,0.17765570,0.00464061,0.44461546,0.61183424,0.32055637
-5.89794897,1.08646711,0.00249647,0.15011475,0.18293286,0.00475569,0.44861352,0.58449272,0.32022800
-5.89194597,1.08432940,0.00249295,0.14619884,0.18735616,0.00486843,0.45217748,0.56055923,0.31985281
-5.88594297,1.08167241,0.00249559,0.14265795,0.19085300,0.00497901,0.45508824,0.53941333,0.31922777
-5.87993997,1.07795252,0.00250376,0.13936931,0.19337930,0.00508872,0.45718883,0.52047881,0.31818993
-5.87393697,1.07278626,0.00251728,0.13622917,0.19492232,0.00520003,0.45839294,0.50324375,0.31662345
-5.86793397,1.06596651,0.00253642,0.13315616,0.19550246,0.00531672,0.45869028,0.48727547,0.31446436
-5.86193097,1.05746995,0.00256195,0.13009331,0.19517375,0.00544387,0.45814824,0.47223030,0.31170268
-5.85592796,1.04745561,0.00259506,0.12700888,0.19402308,0.00558785,0.45690993,0.45785816,0.30838205
-5.84992496,1.03625488,0.00263742,0.12389587,0.19216826,0.00575626,0.45518868,0.44400216,0.30459677
-5.84392196,1.02435349,0.00269107,0.12077055,0.18975477,0.00595777,0.45325914,0.43059392,0.30048660
-5.83791896,1.01236649,0.00275835,0.11766986,0.18695157,0.00620197,0.45144544,0.41764504,0.29622947
-5.83191596,1.00100740,0.00284188,0.11464814,0.18394588,0.00649912,0.45010692,0.40523550,0.29203250
-5.82591296,0.99105313,0.00294438,0.11177319,0.18093742,0.00685983,0.44962206,0.39349992,0.28812180
-5.81990995,0.98330615,0.00306867,0.10912192,0.17813209,0.00729478,0.45037135,0.38261246,0.28473144
-5.81390695,0.97855583,0.00321750,0.10677588,0.17573549,0.00781430,0.45271978,0.37277117,0.28209218
-5.80790395,0.97754057,0.00339352,0.10481672,0.17394660,0.00842798,0.45699996,0.36418280,0.28042037
-5.80190095,0.98091248,0.00359918,0.10332197,0.17295167,0.00914428,0.46349638,0.35704859,0.27990761
-5.79589795,0.98920623,0.00383669,0.10236118,0.17291884,0.00997009,0.47243175,0.35155193,0.28071154
-5.78989495,1.00281348,0.00410801,0.10199259,0.17399342,0.01091034,0.48395603,0.34784825,0.28294820
-5.78389195,1.02196390,0.00441482,0.10226055,0.17629431,0.01196765,0.49813865,0.34605770,0.28668631
-5.77788894,1.04671389,0.00475856,0.10319364,0.17991137,0.01314199,0.51496436,0.34626073,0.29194364
-5.77188594,1.07694327,0.00514048,0.10480365,0.18490410,0.01443042,0.53433303,0.34849682,0.29868572
-5.76588294,1.11236021,0.00556173,0.10708544,0.19130153,0.01582698,0.55606332,0.35276611,0.30682685
-5.75987994,1.15251425,0.00602345,0.11001756,0.19910326,0.01732258,0.57990027,0.35903392,0.31623347
-5.75387694,1.19681666,0.00652689,0.11356368,0.20828163,0.01890503,0.60552646,0.36723764,0.32672955
-5.74787394,1.24456730,0.00707354,0.11767470,0.21878484,0.02055923,0.63257616,0.37729563,0.33810401
-5.74187094,1.29498676,0.00766522,0.12229146,0.23054088,0.02226743,0.66065208,0.38911744,0.35011962
-5.73586793,1.34725219,0.00830422,0.12734777,0.24346191,0.02400962,0.68934364,0.40261481,0.36252306
-5.72986493,1.40053502,0.00899337,0.13277387,0.25744900,0.02576402,0.71824619,0.41771263,0.37505573
-5.72386193,1.45403901,0.00973606,0.13849980,0.27239681,0.02750769,0.74697995,0.43435931,0.38746469
