energy_ev,total_up,Pb_p_up,Pb_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,6.35442218,0.67973218,0.00802609,1.80930620,2.80671932,0.04695679,3.65372867
-5.99399700,6.30630904,0.67302207,0.00819159,1.78520862,2.77855977,0.04811865,3.60924480
-5.98799400,6.26618031,0.66663332,0.00835094,1.76396322,2.75518476,0.04950861,3.56910363
-5.98199100,6.23516598,0.66070073,0.00850260,1.74611407,2.73721851,0.05113325,3.53412162
-5.97598799,6.21414471,0.65532531,0.00864509,1.73211219,2.72516488,0.05299765,3.50497796
-5.96998499,6.20376336,0.65057510,0.00877696,1.72232109,2.71941421,0.05510570,3.48222381
-5.96398199,6.20446586,0.64648740,0.00889692,1.71702599,2.72025441,0.05746049,3.46629666
-5.95797899,6.21652862,0.64307227,0.00900384,1.71644558,2.72788469,0.06006464,3.45753826
-5.95197599,6.24009939,0.64031681,0.00909684,1.72074533,2.74243101,0.06292057,3.45621463
-5.94597299,6.27523627,0.63818988,0.00917534,1.73005116,2.76396183,0.06603058,3.46253650
-5.93996998,6.32194394,0.63664691,0.00923909,1.74446234,2.79250288,0.06939679,3.47667860
-5.93396698,6.38020408,0.63563433,0.00928818,1.76406267,2.82804992,0.07302092,3.49879629
-5.92796398,6.44999777,0.63509334,0.00932310,1.78892902,2.87057857,0.07690379,3.52903839
-5.92196098,6.53131818,0.63496270,0.00934468,1.81913669,2.92005048,0.08104471,3.56755517
-5.91595798,6.62417256,0.63518054,0.00935408,1.85476119,2.97641547,0.08544054,3.61450099
-5.90995498,6.72857358,0.63568485,0.00935278,1.89587637,3.03960955,0.09008479,3.67003136
-5.90395198,6.84452065,0.63641305,0.00934243,1.94254913,3.10954911,0.09496652,3.73429462
-5.89794897,6.97197286,0.63730052,0.00932486,1.99483122,3.18612164,0.10006927,3.80741883
-5.89194597,7.11081564,0.63827853,0.00930193,2.05274870,3.26917393,0.10537008,3.88949473
-5.88594297,7.26082390,0.63927180,0.00927550,2.11628996,3.35849849,0.11083860,3.98055603
-5.87993997,7.42162462,0.64019611,0.00924724,2.18539335,3.45381949,0.11643650,4.08055827
-5.87393697,7.59266198,0.64095630,0.00921863,2.25993518,3.55477918,0.12211717,4.18935778
-5.86793397,7.77316788,0.64144504,0.00919086,2.33971917,3.66092597,0.12782575,4.30669210
-5.86193097,7.96214043,0.64154262,0.00916474,2.42446811,3.77170523,0.13349963,4.43216329
-5.85592796,8.15833246,0.64111809,0.00914068,2.51381830,3.88645347,0.13906928,4.56522509
-5.84992496,8.36025119,0.64003169,0.00911869,2.60731730,4.00439666,0.14445955,4.70517489
-5.84392196,8.56616976,0.63813872,0.00909835,2.70442511,4.12465301,0.14959137,4.85115113
-5.83791896,8.77415022,0.63529469,0.00907886,2.80451886,4.24624013,0.15438372,5.00213619
-5.83191596,8.98207720,0.63136152,0.00905906,2.90690058,4.36808660,0.15875586,5.15696485
-5.82591296,9.18770033,0.62621450,0.00903755,3.01080793,4.48904730,0.16262976,5.31433783
-5.81990995,9.38868366,0.61974967,0.00901270,3.11542709,4.60792199,0.16593248,5.47283991
-5.81390695,9.58265946,0.61189118,0.00898281,3.21990744,4.72347635,0.16859863,5.63096176
-5.80790395,9.76728390,0.60259815,0.00894612,3.32337720,4.83446455,0.17057255,5.78712470
-5.80190095,9.94029241,0.59187079,0.00890097,3.42495972,4.93965263,0.17181030,5.93970756
-5.79589795,10.09955234,0.57975528,0.00884587,3.52378968,5.03784182,0.17228125,6.08707467
-5.78989495,10.24311131,0.56634716,0.00877952,3.61902906,5.12789116,0.17196935,6.22760449
-5.78389195,10.36924003,0.55179308,0.00870095,3.70988241,5.20873882,0.17087385,6.35971814
-5.77788894,10.47646864,0.53629069,0.00860952,3.79561146,5.27942189,0.16900964,6.48190749
-5.77188594,10.56361654,0.52008675,0.00850495,3.87554894,5.33909421,0.16640706,6.59276258
-5.76588294,10.62981572,0.50347343,0.00838738,3.94911165,5.38704236,0.16311129,6.69099812
-5.75987994,10.67452809,0.48678297,0.00825730,4.01581278,5.42269971,0.15918135,6.77547895
-5.75387694,10.69755739,0.47038091,0.00811562,4.07527355,5.44565867,0.15468871,6.84524447
-5.74787394,10.69905645,0.45465801,0.00796359,4.12723398,5.45568120,0.14971567,6.89953170
-5.74187094,10.67953020,0.44002130,0.00780283,4.17156265,5.45270761,0.14435350,6.93779682
-5.73586793,10.63983480,0.42688436,0.00763524,4.20826514,5.43686363,0.13870045,6.95973469
-5.72986493,10.58117295,0.41565712,0.00746302,4.23749057,5.40846554,0.13285969,6.96529569
-5.72386193,10.50508498,0.40673551,0.00728861,4.25953575,5.36802317,0.12693725,6.95469913
-5.71785893,10.41343509,0.40049117,0.00711469,4.27484610,5.31624019,0.12103997,6.92844238
-5.71185593,10.30839190,0.39726134,0.00694411,4.28401285,5.25401129,0.11527362,6.88730452
-5.70585293,10.19240223,0.39733927,0.00677989,4.28776559,5.18241566,0.10974104,6.83234354
