energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,3.95090968,0.01714288,0.29673942,0.13867100,2.35119995,1.14715033,0.05176158,1.51403134
-5.99399700,4.02930883,0.01844717,0.30125110,0.14163321,2.38992666,1.17731885,0.05401929,1.54120969
-5.98799400,4.13506708,0.01978801,0.30858398,0.14450162,2.44196136,1.21799041,0.05657695,1.57679330
-5.98199100,4.26727851,0.02115164,0.31888230,0.14723802,2.50777798,1.26865292,0.05941908,1.62034680
-5.97598799,4.42475924,0.02252301,0.33227281,0.14980750,2.58776908,1.32869532,0.06252713,1.67132053
-5.96998499,4.60605283,0.02388602,0.34885880,0.15217776,2.68222282,1.39741933,0.06587928,1.72905290
-5.96398199,4.80943267,0.02522390,0.36871310,0.15431842,2.79129397,1.47404986,0.06945011,1.79277328
-5.95797899,5.03290235,0.02651955,0.39187060,0.15620043,2.91497038,1.55774401,0.07321042,1.86160600
-5.95197599,5.27419489,0.02775594,0.41832030,0.15779573,3.05303638,1.64759838,0.07712706,1.93457579
-5.94597299,5.53077259,0.02891645,0.44799756,0.15907707,3.20503525,1.74265479,0.08116285,2.01061524
-5.93996998,5.79982893,0.02998529,0.48077678,0.16001818,3.37023295,1.84190466,0.08527667,2.08857461
-5.93396698,6.07829458,0.03094785,0.51646512,0.16059418,3.54758590,1.94429228,0.08942363,2.16723445
-5.92796398,6.36284922,0.03179102,0.55479761,0.16078224,3.73571516,2.04871769,0.09355547,2.24532102
-5.92196098,6.64994078,0.03250348,0.59543424,0.16056252,3.93288968,2.15403955,0.09762106,2.32152481
-5.91595798,6.93581369,0.03307593,0.63795922,0.15991923,4.13702079,2.25907880,0.10156710,2.39452175
-5.90995498,7.21654700,0.03350129,0.68188291,0.15884175,4.34566971,2.36262380,0.10533901,2.46299700
-5.90395198,7.48810300,0.03377480,0.72664663,0.15732580,4.55606956,2.46343749,0.10888184,2.52567068
-5.89794897,7.74638625,0.03389408,0.77163023,0.15537444,4.76516224,2.56026719,0.11214147,2.58132494
-5.89194597,7.98731253,0.03385914,0.81616274,0.15299900,4.96965037,2.65185746,0.11506574,2.62883146
-5.88594297,8.20688616,0.03367228,0.85953558,0.15021965,5.16606323,2.73696614,0.11760573,2.66717863
-5.87993997,8.40128410,0.03333802,0.90101822,0.14706573,5.35083504,2.81438358,0.11971701,2.69549729
-5.87393697,8.56694405,0.03286289,0.93987580,0.14357569,5.52039333,2.88295480,0.12136081,2.71308412
-5.86793397,8.70065375,0.03225525,0.97538802,0.13979677,5.67125420,2.94160396,0.12250522,2.71942169
-5.86193097,8.79963811,0.03152503,1.00686879,0.13578415,5.80012098,2.98936049,0.12312613,2.71419434
-5.85592796,8.86164060,0.03068351,1.03368571,0.13159993,5.90398234,3.02538564,0.12320807,2.69729917
-5.84992496,8.88499526,0.02974302,1.05527875,0.12731172,5.98020579,3.04899857,0.12274483,2.66885154
-5.84392196,8.86868606,0.02871671,1.07117727,0.12299097,6.02662247,3.05970043,0.12173985,2.62918462
-5.83791896,8.81239042,0.02761822,1.08101464,0.11871119,6.04159964,3.05719532,0.12020627,2.57884311
-5.83191596,8.71650442,0.02646150,1.08453992,0.11454599,6.02409733,3.04140685,0.11816680,2.51857086
-5.82591296,8.58214787,0.02526051,1.08162585,0.11056708,5.97370672,3.01248909,0.11565325,2.44929304
-5.81990995,8.41114818,0.02402905,1.07227311,0.10684229,5.89066836,2.97083119,0.11270579,2.37209321
-5.81390695,8.20600307,0.02278055,1.05661028,0.10343369,5.77586923,2.91705495,0.10937196,2.28818606
-5.80790395,7.96982285,0.02152788,1.03488978,0.10039585,5.63081882,2.85200512,0.10570549,2.19888684
-5.80190095,7.70625411,0.02028325,1.00747981,0.09777428,5.45760506,2.77673240,0.10176490,2.10557846
-5.79589795,7.41938744,0.01905805,0.97485262,0.09560412,5.25883219,2.69246983,0.09761199,2.00967736
-5.78989495,7.11365259,0.01786278,0.93756978,0.09390910,5.03754308,2.60060298,0.09331025,1.91259940
-5.78389195,6.79370476,0.01670698,0.89626486,0.09270087,4.79712938,2.50263543,0.08892324,1.81572689
-5.77788894,6.46430659,0.01559914,0.85162442,0.09197858,4.54123338,2.40015046,0.08451306,1.72037776
-5.77188594,6.13020984,0.01454673,0.80436806,0.09172888,4.27364546,2.29477078,0.08013885,1.62777788
-5.76588294,5.79604132,0.01355610,0.75522833,0.09192625,3.99820128,2.18811762,0.07585551,1.53903729
-5.75987994,5.46619682,0.01263254,0.70493117,0.09253369,3.71868261,2.08177077,0.07171253,1.45513089
-5.75387694,5.14474648,0.01178025,0.65417785,0.09350378,3.43872527,1.97723110,0.06775310,1.37688396
-5.74787394,4.83535440,0.01100236,0.60362871,0.09477996,3.16173729,1.87588675,0.06401349,1.30496270
-5.74187094,4.54121442,0.01030097,0.55388944,0.09629822,2.89082958,1.77898404,0.06052259,1.23986958
-5.73586793,4.26500320,0.00967714,0.50550009,0.09798893,2.62876085,1.68760386,0.05730180,1.18194336
-5.72986493,4.00885092,0.00913098,0.45892711,0.09977887,2.37789768,1.60264406,0.05436514,1.13136324
-5.72386193,3.77432930,0.00866166,0.41455839,0.10159333,2.14019000,1.52480795,0.05171950,1.08815658
-5.71785893,3.56245556,0.00826743,0.37270136,0.10335834,1.91716137,1.45459884,0.04936523,1.05220957
-5.71185593,3.37371088,0.00794574,0.33358368,0.10500267,1.70991319,1.39232034,0.04729673,1.02328011
-5.70585293,3.20807130,0.00769320,0.29735655,0.10645990,1.51914114,1.33808179,0.04550328,1.00101222
-5.69984992,3.06504877,0.00750574,0.26410000,0.10767012,1.34516203,1.29180833,0.04396987,0.98495146
-5.69384692,2.94373998,0.00737856,0.23382984,0.10858148,1.18794891,1.25325477,0.04267811,0.97456066
-5.68784392,2.84288094,0.00730630,0.20650579,0.10915138,1.04717230,1.22202258,0.04160717,0.96923570
-5.68184092,2.76090516,0.00728303,0.18204041,0.10934725,0.92224525,1.19757933,0.04073462,0.96832098
-5.67583792,2.69600359,0.00730239,0.16030830,0.10914709,0.81237029,1.17927986,0.04003735,0.97112446
-5.66983492,2.64618508,0.00735765,0.14115529,0.10853950,0.71658638,1.16638874,0.03949235,0.97693212
-5.66383192,2.60933604,0.00744184,0.12440726,0.10752349,0.63381419,1.15810336,0.03907747,0.98502203
-5.65782891,2.58327851,0.00754783,0.10987827,0.10610786,0.56289865,1.15357742,0.03877206,0.99467800
-5.65182591,2.56582600,0.00766849,0.09737791,0.10431041,0.50264755,1.15194437,0.03855760,1.00520291
-5.64582291,2.55483644,0.00779683,0.08671766,0.10215691,0.45186574,1.15234051,0.03841825,1.01593182
-5.63981991,2.54826203,0.00792614,0.07771620,0.09967994,0.40938434,1.15392736,0.03834124,1.02624484
-5.63381691,2.54419515,0.00805015,0.07020368,0.09691772,0.37408502,1.15591306,0.03831732,1.03557972
-5.62781391,2.54091014,0.00816320,0.06402483,0.09391285,0.34491922,1.15757237,0.03834100,1.04344387
-5.62181091,2.53689991,0.00826041,0.05904119,0.09071115,0.32092262,1.15826472,0.03841080,1.04942552
-5.61580790,2.53090686,0.00833784,0.05513231,0.08736065,0.30122519,1.15745000,0.03852930,1.05320375
-5.60980490,2.52194698,0.00839261,0.05219612,0.08391057,0.28505714,1.15470144,0.03870317,1.05455661
-5.60380190,2.50932635,0.00842306,0.05014851,0.08041062,0.27175129,1.14971510,0.03894300,1.05336707
-5.59779890,2.49264902,0.00842885,0.04892232,0.07691026,0.26074226,1.14231551,0.03926300,1.04962611
-5.59179590,2.47181561,0.00841100,0.04846565,0.07345817,0.25156298,1.13245691,0.03968053,1.04343246
-5.58579290,2.44701192,0.00837195,0.04873978,0.07010186,0.24383891,1.12022007,0.04021549,1.03498868
-5.57978989,2.41868758,0.00831552,0.04971667,0.06688723,0.23728038,1.10580428,0.04088951,1.02459329
-5.57378689,2.38752474,0.00824686,0.05137617,0.06385828,0.23167357,1.08951478,0.04172495,1.01262892
-5.56778389,2.35439760,0.00817236,0.05370310,0.06105670,0.22687032,1.07174587,0.04274382,0.99954672
-5.56178089,2.32032399,0.00809945,0.05668410,0.05852153,0.22277728,1.05296024,0.04396652,0.98584729
-5.55577789,2.28641054,0.00803641,0.06030464,0.05628869,0.21934475,1.03366534,0.04541055,0.97205892
-5.54977489,2.25379377,0.00799213,0.06454605,0.05439048,0.21655542,1.01438766,0.04708914,0.95871395
-5.54377189,2.22357938,0.00797579,0.06938280,0.05285498,0.21441352,0.99564616,0.04900998,0.94632417
-5.53776888,2.19678263,0.00799658,0.07478009,0.05170541,0.21293453,0.97792598,0.05117399,0.93535654
-5.53176588,2.17427247,0.00806334,0.08069190,0.05095944,0.21213589,0.96165379,0.05357431,0.92621024
-5.52576288,2.15672237,0.00818419,0.08705962,0.05062854,0.21202881,0.94717594,0.05619551,0.91919642
-5.51975988,2.14457019,0.00836623,0.09381124,0.05071729,0.21261161,0.93474059,0.05901305,0.91452155
-5.51375688,2.13798951,0.00861519,0.10086127,0.05122292,0.21386457,0.92448476,0.06199321,0.91227550
-5.50775388,2.13687383,0.00893512,0.10811149,0.05213482,0.21574654,0.91642703,0.06509330,0.91242492
-5.50175088,2.14083496,0.00932814,0.11545234,0.05343442,0.21819337,0.91046633,0.06826231,0.91481249
-5.49574787,2.14921582,0.00979427,0.12276520,0.05509520,0.22111811,0.90638706,0.07144199,0.91916222
-5.48974487,2.16111733,0.01033125,0.12992533,0.05708303,0.22441294,0.90387017,0.07456831,0.92509070
-5.48374187,2.17543844,0.01093451,0.13680542,0.05935681,0.22795272,0.90250991,0.07757325,0.93212382
-5.47773887,2.19092755,0.01159719,0.14327975,0.06186947,0.23159990,0.90183544,0.08038689,0.93971838
-5.47173587,2.20624297,0.01231028,0.14922861,0.06456926,0.23521060,0.90133621,0.08293965,0.94728753
-5.46573287,2.22001982,0.01306278,0.15454298,0.06740138,0.23864158,0.90049002,0.08516469,0.95422901
-5.45972986,2.23094044,0.01384205,0.15912925,0.07030984,0.24175769,0.89879243,0.08700028,0.95995492
-5.45372686,2.23780480,0.01463417,0.16291365,0.07323961,0.24443955,0.89578610,0.08839205,0.96392153
-5.44772386,2.23959825,0.01542437,0.16584644,0.07613891,0.24659103,0.89108891,0.08929504,0.96565809
-5.44172086,2.23555329,0.01619758,0.16790541,0.07896148,0.24814635,0.88441940,0.08967546,0.96479309
-5.43571786,2.22520279,0.01693893,0.16909869,0.08166899,0.24907631,0.87561855,0.08951199,0.96107703
-5.42971486,2.20842262,0.01763434,0.16946675,0.08423319,0.24939353,0.86466717,0.08879674,0.95440065
-5.42371186,2.18546179,0.01827112,0.16908335,0.08663789,0.24915638,0.85169786,0.08753561,0.94480793
-5.41770885,2.15695897,0.01883841,0.16805547,0.08888061,0.24847153,0.83700161,0.08574824,0.93250337
-5.41170585,2.12394508,0.01932776,0.16652225,0.09097377,0.24749491,0.82102846,0.08346744,0.91785321
-5.40570285,2.08783162,0.01973348,0.16465274,0.09294537,0.24643109,0.80438262,0.08073813,0.90138077
-5.39969985,2.05038556,0.02005292,0.16264281,0.09483909,0.24553104,0.78781210,0.07761594,0.88375589
-5.39369685,2.01369169,0.02028673,0.16071099,0.09671371,0.24508832,0.77219348,0.07416549,0.86577921
-5.38769385,1.98010366,0.02043888,0.15909357,0.09864188,0.24543372,0.75851239,0.07045837,0.84836148
-5.38169085,1.95218554,0.02051658,0.15803899,0.10070820,0.24692860,0.74784028,0.06657105,0.83249907
-5.37568784,1.93264560,0.02053008,0.15780165,0.10300662,0.24995695,0.74130836,0.06258269,0.81924606
-5.36968484,1.92426412,0.02049233,0.15863534,0.10563727,0.25491636,0.74007935,0.05857303,0.80968407
-5.36368184,1.92981739,0.02041852,0.16078639,0.10870274,0.26220816,0.74531780,0.05462035,0.80489055
-5.35767884,1.95199959,0.02032550,0.16448680,0.11230401,0.27222685,0.75815968,0.05079963,0.80590644
-5.35167584,1.99334445,0.02023113,0.16994736,0.11653607,0.28534908,0.77968183,0.04718099,0.81370406
-5.34567284,2.05614851,0.02015358,0.17735107,0.12148345,0.30192251,0.81087182,0.04382829,0.82915597
-5.33966983,2.14239762,0.02011057,0.18684690,0.12721581,0.32225458,0.85259884,0.04079813,0.85300565
-5.33366683,2.25369827,0.02011868,0.19854421,0.13378385,0.34660180,0.90558598,0.03813903,0.88584068
-5.32766383,2.39121535,0.02019259,0.21250781,0.14121558,0.37515951,0.97038453,0.03589091,0.92806905
-5.32166083,2.55561789,0.02034448,0.22875398,0.14951329,0.40805275,1.04735055,0.03408485,0.97989942
-5.31565783,2.74703417,0.02058347,0.24724750,0.15865128,0.44532835,1.13662448,0.03274296,1.04132562
-5.30965483,2.96501777,0.02091518,0.26789997,0.16857452,0.48694869,1.23811402,0.03187850,1.11211631
-5.30365183,3.20852587,0.02134139,0.29056940,0.17919840,0.53278748,1.35148102,0.03149607,1.19180997
-5.29764882,3.47591105,0.02185995,0.31506134,0.19040952,0.58262774,1.47613283,0.03159196,1.27971580
-5.29164582,3.76492781,0.02246468,0.34113157,0.20206771,0.63616256,1.61121865,0.03215447,1.37492085
-5.28564282,4.07275461,0.02314559,0.36849040,0.21400912,0.69299858,1.75563153,0.03316437,1.47630341
-5.27963982,4.39603194,0.02388908,0.39680856,0.22605035,0.75266251,1.90801628,0.03459536,1.58255287
-5.27363682,4.73091675,0.02467844,0.42572477,0.23799353,0.81461081,2.06678392,0.03641451,1.69219578
-5.26763382,5.07315275,0.02549433,0.45485460,0.24963218,0.87824234,2.23013266,0.03858283,1.80362770
-5.26163082,5.41815573,0.02631546,0.48380075,0.26075753,0.94291397,2.39607560,0.04105578,1.91515037
-5.25562781,5.76111245,0.02711925,0.51216421,0.27116523,1.00795875,2.56247497,0.04378396,2.02501322
-5.24962481,6.09709107,0.02788263,0.53955621,0.28066206,1.07270618,2.72708242,0.04671374,2.13145822
-5.24362181,6.42116014,0.02858278,0.56561039,0.28907242,1.13650399,2.88758479,0.04978810,2.23276686
-5.23761881,6.72851317,0.02919789,0.58999488,0.29624431,1.19874072,3.04165421,0.05294751,2.32730760
-5.23161581,7.01459475,0.02970789,0.61242381,0.30205454,1.25886813,3.18700154,0.05613089,2.41358248
-5.22561281,7.27522430,0.03009507,0.63266773,0.30641300,1.31642254,3.32143146,0.05927677,2.49027096
-5.21960980,7.50671290,0.03034468,0.65056247,0.30926572,1.37104413,3.44289761,0.06232445,2.55626954
-5.21360680,7.70596901,0.03044532,0.66601607,0.31059666,1.42249303,3.54955604,0.06521525,2.61072553
-5.20760380,7.87058876,0.03038935,0.67901332,0.31042813,1.47066139,3.63981496,0.06789380,2.65306342
-5.20160080,7.99892701,0.03017303,0.68961761,0.30881979,1.51558038,3.71237892,0.07030935,2.68300290
-5.19559780,8.09014605,0.02979664,0.69796984,0.30586635,1.55742158,3.76628580,0.07241695,2.70056739
-5.18959480,8.14423920,0.02926439,0.70428439,0.30169402,1.59649201,3.80093479,0.07417864,2.70608269
-5.18359180,8.16202808,0.02858429,0.70884202,0.29645588,1.63322279,3.81610427,0.07556440,2.70016564
-5.17758879,8.14513274,0.02776783,0.71197993,0.29032638,1.66815136,3.81195846,0.07655291,2.68370291
