energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,0.51461302,0.00306166,0.00989750,0.17236599,0.20842240,0.32006070,0.00000000,0.17098216,0.02291841
-5.99399700,0.46679526,0.00323582,0.00927953,0.15719569,0.18819475,0.29010856,0.00000000,0.15493127,0.02144915
-5.98799400,0.42462638,0.00349959,0.00878610,0.14399128,0.17011045,0.26369892,0.00000000,0.14056405,0.02032546
-5.98199100,0.38855007,0.00386354,0.00843269,0.13292421,0.15432144,0.24110518,0.00000000,0.12803635,0.01957993
-5.97598799,0.35893888,0.00433872,0.00823409,0.12414449,0.14094861,0.22255661,0.00000000,0.11747651,0.01924387
-5.96998499,0.33609826,0.00493636,0.00820438,0.11778165,0.13008360,0.20824108,0.00000000,0.10898694,0.01934714
-5.96398199,0.32027068,0.00566762,0.00835671,0.11394573,0.12179085,0.19830785,0.00000000,0.10264582,0.01991785
-5.95797899,0.31163920,0.00654321,0.00870319,0.11272786,0.11610955,0.19287000,0.00000000,0.09850888,0.02098195
-5.95197599,0.31032992,0.00757294,0.00925468,0.11420041,0.11305533,0.19200609,0.00000000,0.09661088,0.02256271
-5.94597299,0.31641282,0.00876530,0.01002045,0.11841646,0.11262159,0.19576077,0.00000000,0.09696664,0.02467994
-5.93996998,0.32990067,0.01012689,0.01100793,0.12540850,0.11478014,0.20414426,0.00000000,0.09957166,0.02734917
-5.93396698,0.35074607,0.01166192,0.01222232,0.13518643,0.11948130,0.21713044,0.00000000,0.10440207,0.03058062
-5.92796398,0.37883660,0.01337162,0.01366613,0.14773486,0.12665342,0.23465387,0.00000000,0.11141408,0.03437806
-5.92196098,0.41398852,0.01525376,0.01533879,0.16300985,0.13620187,0.25660574,0.00000000,0.12054293,0.03873766
-5.91595798,0.45593956,0.01730212,0.01723616,0.18093535,0.14800780,0.28282929,0.00000000,0.13170152,0.04364675
-5.90995498,0.50434142,0.01950608,0.01935018,0.20139962,0.16192660,0.31311493,0.00000000,0.14477890,0.04908280
-5.90395198,0.55875286,0.02185039,0.02166843,0.22425190,0.17778668,0.34719570,0.00000000,0.15963880,0.05501240
-5.89794897,0.61863415,0.02431491,0.02417391,0.24929973,0.19538847,0.38474358,0.00000000,0.17611852,0.06139056
-5.89194597,0.68334387,0.02687468,0.02684483,0.27630720,0.21450415,0.42536711,0.00000000,0.19402829,0.06816036
-5.88594297,0.75213860,0.02950005,0.02965466,0.30499450,0.23487819,0.46861098,0.00000000,0.21315152,0.07525288
-5.87993997,0.82417650,0.03215708,0.03257223,0.33503903,0.25622897,0.51395784,0.00000000,0.23324587,0.08258768
-5.87393697,0.89852488,0.03480813,0.03556209,0.36607823,0.27825161,0.56083267,0.00000000,0.25404553,0.09007371
-5.86793397,0.97417230,0.03741260,0.03858504,0.39771422,0.30062202,0.60861004,0.00000000,0.27526458,0.09761072
-5.86193097,1.05004499,0.03992788,0.04159886,0.42952028,0.32300212,0.65662397,0.00000000,0.29660151,0.10509118
-5.85592796,1.12502729,0.04231049,0.04455920,0.46104908,0.34504628,0.70418048,0.00000000,0.31774485,0.11240262
-5.84992496,1.19798566,0.04451728,0.04742060,0.49184234,0.36640854,0.75057227,0.00000000,0.33837966,0.11943035
-5.84392196,1.26779528,0.04650668,0.05013769,0.52144158,0.38675059,0.79509516,0.00000000,0.35819466,0.12606048
-5.83791896,1.33336818,0.04824009,0.05266638,0.54939971,0.40574995,0.83706558,0.00000000,0.37688984,0.13218307
-5.83191596,1.39368188,0.04968307,0.05496510,0.57529274,0.42310820,0.87583833,0.00000000,0.39418400,0.13769535
-5.82591296,1.44780701,0.05080659,0.05699606,0.59873121,0.43855873,0.91082395,0.00000000,0.40982212,0.14250480
-5.81990995,1.49493284,0.05158801,0.05872628,0.61937081,0.45187372,0.94150471,0.00000000,0.42358200,0.14653208
-5.81390695,1.53438943,0.05201194,0.06012866,0.63692173,0.46286996,0.96744867,0.00000000,0.43527999,0.14971344
-5.80790395,1.56566542,0.05207086,0.06118270,0.65115617,0.47141328,0.98832102,0.00000000,0.44477551,0.15200283
-5.80190095,1.58842062,0.05176543,0.06187510,0.66191384,0.47742137,1.00389228,0.00000000,0.45197415,0.15337327
-5.79589795,1.60249298,0.05110457,0.06220007,0.66910514,0.48086494,1.01404305,0.00000000,0.45682918,0.15381775
-5.78989495,1.60789969,0.05010526,0.06215941,0.67271195,0.48176704,1.01876504,0.00000000,0.45934158,0.15334935
-5.78389195,1.60483256,0.04879199,0.06176229,0.67278607,0.48020089,1.01815871,0.00000000,0.45955850,0.15200086
-5.77788894,1.59364821,0.04719608,0.06102484,0.66944548,0.47628622,1.01242758,0.00000000,0.45757036,0.14982364
-5.77188594,1.57485372,0.04535470,0.05996953,0.66286871,0.47018434,1.00186971,0.00000000,0.45350679,0.14688613
-5.76588294,1.54908868,0.04330978,0.05862432,0.65328769,0.46209250,0.98686704,0.00000000,0.44753170,0.14327184
-5.75987994,1.51710489,0.04110671,0.05702174,0.64097954,0.45223757,0.96787309,0.00000000,0.43983772,0.13907705
-5.75387694,1.47974461,0.03879311,0.05519790,0.62625776,0.44086970,0.94539989,0.00000000,0.43064042,0.13440835
-5.74787394,1.43791872,0.03641745,0.05319139,0.60946326,0.42825604,0.92000475,0.00000000,0.42017253,0.12938011
-5.74187094,1.39258570,0.03402780,0.05104235,0.59095568,0.41467503,0.89227748,0.00000000,0.40867840,0.12411203
-5.73586793,1.34473230,0.03167061,0.04879142,0.57110544,0.40041135,0.86282875,0.00000000,0.39640906,0.11872679
-5.72986493,1.29535658,0.02938963,0.04647896,0.55028660,0.38575172,0.83227975,0.00000000,0.38361793,0.11334804
-5.72386193,1.24545367,0.02722494,0.04414429,0.52887096,0.37098177,0.80125358,0.00000000,0.37055720,0.10809851
-5.71785893,1.19600439,0.02521218,0.04182505,0.50722326,0.35638369,0.77036834,0.00000000,0.35747509,0.10309860
-5.71185593,1.14796655,0.02338195,0.03955683,0.48569761,0.34223488,0.74023184,0.00000000,0.34461378,0.09846515
-5.70585293,1.10226868,0.02175930,0.03737275,0.46463489,0.32880724,0.71143770,0.00000000,0.33220793,0.09431050
-5.69984992,1.05980553,0.02036355,0.03530332,0.44436108,0.31636702,0.68456256,0.00000000,0.32048375,0.09074179
-5.69384692,1.02143489,0.01920806,0.03337628,0.42518620,0.30517487,0.66016393,0.00000000,0.30965828,0.08786037
-5.68784392,0.98797482,0.01830034,0.03161658,0.40740354,0.29548604,0.63877823,0.00000000,0.29993892,0.08576131
-5.68184092,0.96020093,0.01764214,0.03004639,0.39128914,0.28755028,0.62091872,0.00000000,0.29152284,0.08453289
-5.67583792,0.93884277,0.01722969,0.02868510,0.37710105,0.28161141,0.60707288,0.00000000,0.28459627,0.08425603
