energy_ev,total_up,Al_p_up,Al_d_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up
-6.00000000,3.71100257,0.09221053,0.00000000,1.58320981,1.41989441,0.01009281,2.10863106
-5.99399700,4.02493539,0.09764759,0.00000000,1.72484768,1.55213953,0.01079239,2.32161871
-5.98799400,4.35986138,0.10350635,0.00000000,1.87788102,1.69233546,0.01160002,2.54938807
-5.98199100,4.71393851,0.10976199,0.00000000,2.04157901,1.83968710,0.01251364,2.79070151
-5.97598799,5.08476951,0.11638112,0.00000000,2.21493758,1.99316091,0.01353030,3.04392357
-5.96998499,5.46940161,0.12332160,0.00000000,2.39667384,2.15148433,0.01464624,3.30702029
-5.96398199,5.86434855,0.13053266,0.00000000,2.58523079,2.31315542,0.01585697,3.57757442
-5.95797899,6.26563629,0.13795537,0.00000000,2.77879314,2.47646312,0.01715741,3.85281708
-5.95197599,6.66887248,0.14552352,0.00000000,2.97531481,2.63951826,0.01854198,4.12967610
-5.94597299,7.06933846,0.15316482,0.00000000,3.17255770,2.80029465,0.02000475,4.40484000
-5.93996998,7.46210104,0.16080251,0.00000000,3.36814102,2.95667899,0.02153959,4.67483579
-5.93396698,7.84213987,0.16835720,0.00000000,3.55959942,3.10652775,0.02314030,4.93611778
-5.92796398,8.20448521,0.17574895,0.00000000,3.74444778,3.24772880,0.02480068,5.18516384
-5.92196098,8.54435979,0.18289946,0.00000000,3.92024994,3.37826470,0.02651467,5.41857480
-5.91595798,8.85731798,0.18973423,0.00000000,4.08468809,3.49627508,0.02827638,5.63317263
-5.90995498,9.13937534,0.19618465,0.00000000,4.23562971,3.60011455,0.03008002,5.82609235
-5.90395198,9.38712186,0.20218980,0.00000000,4.37118854,3.68840360,0.03191992,5.99486355
-5.89794897,9.59781308,0.20769788,0.00000000,4.48977658,3.76006956,0.03379032,6.13747712
-5.89194597,9.76943441,0.21266729,0.00000000,4.59014446,3.81437559,0.03568525,6.25243421
-5.88594297,9.90073527,0.21706710,0.00000000,4.67140811,3.85093632,0.03759823,6.33877496
-5.87993997,9.99123191,0.22087707,0.00000000,4.73306044,3.86971920,0.03952201,6.39608591
-5.87393697,10.04117903,0.22408709,0.00000000,4.77496768,3.87103178,0.04144829,6.42448615
