energy_ev,total_up,Ir_p_up,Ir_d_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,2.19565273,0.67572662,0.85566426,0.09401730,0.00522097,0.44272745,0.01571876,0.62322397
-5.99399700,2.19247876,0.66947695,0.85855456,0.09409117,0.00525817,0.45272322,0.01643211,0.60139201
-5.98799400,2.19662350,0.66650441,0.86383903,0.09468566,0.00531064,0.46346319,0.01713903,0.58327742
-5.98199100,2.20647952,0.66639978,0.87083568,0.09578293,0.00537616,0.47455410,0.01782299,0.56857026
-5.97598799,2.22032763,0.66870611,0.87882426,0.09735670,0.00545248,0.48559083,0.01846768,0.55690685
-5.96998499,2.23640743,0.67293811,0.88707510,0.09937373,0.00553758,0.49617109,0.01905751,0.54788826
-5.96398199,2.25298660,0.67860129,0.89487731,0.10179546,0.00562981,0.50590975,0.01957809,0.54109857
-5.95797899,2.26842585,0.68520984,0.90156531,0.10457969,0.00572808,0.51445214,0.02001667,0.53612216
-5.95197599,2.28123704,0.69230286,0.90654249,0.10768216,0.00583197,0.52148581,0.02036255,0.53255935
-5.94597299,2.29013237,0.69945805,0.90930119,0.11105794,0.00594183,0.52675028,0.02060736,0.53003990
-5.93996998,2.29406268,0.70630268,0.90943835,0.11466278,0.00605884,0.53004453,0.02074532,0.52823376
-5.93396698,2.29224404,0.71252149,0.90666620,0.11845403,0.00618500,0.53123184,0.02077335,0.52685907
-5.92796398,2.28417193,0.71786139,0.90081793,0.12239147,0.00632310,0.53024206,0.02069109,0.52568704
-5.92196098,2.26962315,0.72213321,0.89184828,0.12643778,0.00647662,0.52707121,0.02050083,0.52454398
-5.91595798,2.24864617,0.72521045,0.87982926,0.13055876,0.00664956,0.52177864,0.02020738,0.52331049
-5.90995498,2.22154111,0.72702568,0.86494164,0.13472336,0.00684625,0.51448195,0.01981778,0.52191826
-5.90395198,2.18883103,0.72756482,0.84746264,0.13890346,0.00707117,0.50535011,0.01934101,0.52034479
-5.89794897,2.15122646,0.72685996,0.82775087,0.14307353,0.00732860,0.49459518,0.01878759,0.51860660
