energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.68907369,0.01851673,0.10920526,0.91590880,0.00000000,1.21480216,0.03347366,0.43086324,0.20899927
-5.99399700,1.61986029,0.01775352,0.10676358,0.87397944,0.00000000,1.15363185,0.03228209,0.39278835,0.20153928
-5.98799400,1.55508119,0.01708462,0.10401081,0.83574469,0.00000000,1.09690022,0.03114943,0.35715623,0.19454877
-5.98199100,1.49471673,0.01650567,0.10097288,0.80114425,0.00000000,1.04456691,0.03007408,0.32410120,0.18802301
-5.97598799,1.43862344,0.01600991,0.09767815,0.77002678,0.00000000,0.99648157,0.02905265,0.29369491,0.18194432
-5.96998499,1.38654979,0.01558861,0.09415692,0.74216144,0.00000000,0.95239973,0.02808023,0.26595121,0.17628365
-5.96398199,1.33815397,0.01523151,0.09044098,0.71725104,0.00000000,0.91200025,0.02715075,0.24083216,0.17100235
-5.95797899,1.29302310,0.01492729,0.08656323,0.69494599,0.00000000,0.87490336,0.02625733,0.21825482,0.16605425
-5.95197599,1.25069322,0.01466403,0.08255731,0.67485891,0.00000000,0.84068895,0.02539262,0.19809850,0.16138777
-5.94597299,1.21066945,0.01442965,0.07845733,0.65657921,0.00000000,0.80891440,0.02454916,0.18021227,0.15694815
-5.93996998,1.17244571,0.01421232,0.07429763,0.63968738,0.00000000,0.77913133,0.02371967,0.16442245,0.15267971
-5.93396698,1.13552350,0.01400081,0.07011257,0.62376851,0.00000000,0.75090098,0.02289736,0.15053983,0.14852814
-5.92796398,1.09942920,0.01378484,0.06593641,0.60842481,0.00000000,0.72380777,0.02207613,0.13836655,0.14444261
-5.92196098,1.06372951,0.01355528,0.06180321,0.59328676,0.00000000,0.69747084,0.02125081,0.12770224,0.14037785
-5.91595798,1.02804468,0.01330438,0.05774677,0.57802268,0.00000000,0.67155328,0.02041731,0.11834967,0.13629600
-5.90995498,0.99205918,0.01302591,0.05380058,0.56234652,0.00000000,0.64576915,0.01957268,0.11011947,0.13216821
-5.90395198,0.95552982,0.01271520,0.04999782,0.54602381,0.00000000,0.61988811,0.01871521,0.10283411,0.12797604
-5.89794897,0.91829098,0.01236921,0.04637136,0.52887564,0.00000000,0.59373781,0.01784439,0.09633106,0.12371246
-5.89194597,0.88025714,0.01198645,0.04295375,0.51078063,0.00000000,0.56720413,0.01696090,0.09046502,0.11938257
-5.88594297,0.84142262,0.01156695,0.03977723,0.49167507,0.00000000,0.54022957,0.01606653,0.08510946,0.11500391
-5.87993997,0.80185878,0.01111209,0.03687377,0.47155115,0.00000000,0.51280976,0.01516405,0.08015735,0.11060645
-5.87393697,0.76170883,0.01062452,0.03427498,0.45045360,0.00000000,0.48498869,0.01425707,0.07552121,0.10623212
-5.86793397,0.72118050,0.01010790,0.03201211,0.42847478,0.00000000,0.45685261,0.01334990,0.07113254,0.10193398
-5.86193097,0.68053695,0.00956681,0.03011591,0.40574858,0.00000000,0.42852313,0.01244735,0.06694074,0.09777506
-5.85592796,0.64008621,0.00900645,0.02861648,0.38244340,0.00000000,0.40014971,0.01155457,0.06291156,0.09382678
-5.84992496,0.60016961,0.00843248,0.02754301,0.35875429,0.00000000,0.37190188,0.01067688,0.05902530,0.09016708
-5.84392196,0.56114945,0.00785084,0.02692342,0.33489493,0.00000000,0.34396146,0.00981953,0.05527466,0.08687828
-5.83791896,0.52339653,0.00726750,0.02678388,0.31108934,0.00000000,0.31651498,0.00898764,0.05166252,0.08404465
-5.83191596,0.48727769,0.00668831,0.02714825,0.28756387,0.00000000,0.28974672,0.00818597,0.04819963,0.08174982
-5.82591296,0.45314391,0.00611885,0.02803729,0.26453972,0.00000000,0.26383231,0.00741884,0.04490233,0.08007405
-5.81990995,0.42131917,0.00556427,0.02946787,0.24222604,0.00000000,0.23893333,0.00668998,0.04179039,0.07909143
