energy_ev,total_up,Cd_p_up,Cd_d_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,1.65095088,0.17919615,0.28727985,0.80366707,0.32604738,0.04735666,0.04832626,0.01172166,0.81838264
-5.99399700,1.74290510,0.19064803,0.29545502,0.83999194,0.35417254,0.04755330,0.05191506,0.01227043,0.87088610
-5.98799400,1.83723465,0.20263294,0.30356697,0.87708565,0.38314718,0.04755255,0.05579833,0.01281104,0.92484554
-5.98199100,1.93324264,0.21505170,0.31153791,0.91464316,0.41279855,0.04734990,0.05994518,0.01333934,0.97988070
-5.97598799,2.03016910,0.22778853,0.31928856,0.95231686,0.44294725,0.04694504,0.06431559,0.01385194,1.03557469
-5.96998499,2.12720692,0.24071260,0.32673969,0.98972122,0.47341336,0.04634191,0.06886108,0.01434624,1.09148243
-5.96398199,2.22352101,0.25368029,0.33381378,1.02643955,0.50402320,0.04554857,0.07352569,0.01482041,1.14714116
-5.95797899,2.31827043,0.26653819,0.34043688,1.06203278,0.53461625,0.04457698,0.07824735,0.01527332,1.20208240
-5.95197599,2.41063246,0.27912669,0.34654042,1.09605006,0.56505204,0.04344263,0.08295946,0.01570452,1.25584537
-5.94597299,2.49982788,0.29128409,0.35206318,1.12804096,0.59521655,0.04216408,0.08759279,0.01611414,1.30799101
-5.93996998,2.58514617,0.30285111,0.35695309,1.15756882,0.62502769,0.04076239,0.09207757,0.01650286,1.35811614
-5.93396698,2.66596941,0.31367562,0.36116884,1.18422467,0.65443942,0.03926050,0.09634559,0.01687179,1.40586701
-5.92796398,2.74179334,0.32361738,0.36468135,1.20764122,0.68344416,0.03768256,0.10033242,0.01722240,1.45095136
-5.92196098,2.81224445,0.33255250,0.36747479,1.22750609,0.71207309,0.03605321,0.10397944,0.01755638,1.49314833
-5.91595798,2.87709156,0.34037746,0.36954718,1.24357371,0.74039414,0.03439690,0.10723571,0.01787558,1.53231541
-5.90995498,2.93625098,0.34701249,0.37091049,1.25567510,0.76850736,0.03273725,0.11005960,0.01818183,1.56839176
-5.90395198,2.98978432,0.35240401,0.37159018,1.26372495,0.79653789,0.03109640,0.11241998,0.01847688,1.60139753
-5.89794897,3.03788865,0.35652598,0.37162411,1.26772546,0.82462649,0.02949455,0.11429701,0.01876224,1.63142885
-5.89194597,3.08087909,0.35938020,0.37106087,1.26776665,0.85291805,0.02794947,0.11568246,0.01903906,1.65864850
-5.88594297,3.11916423,0.36099528,0.36995761,1.26402293,0.88154843,0.02647619,0.11657949,0.01930799,1.68327262
-5.87993997,3.15321568,0.36142453,0.36837735,1.25674607,0.91063046,0.02508677,0.11700202,0.01956909,1.70555399
-5.87393697,3.18353306,0.36074274,0.36638600,1.24625473,0.94023973,0.02379017,0.11697355,0.01982172,1.72576269
-5.86793397,3.21060659,0.35904200,0.36404919,1.23292121,0.97040092,0.02259226,0.11652568,0.02006444,1.74416534
-5.86193097,3.23487946,0.35642694,0.36142909,1.21715604,1.00107586,0.02149591,0.11569626,0.02029497,1.76100409
-5.85592796,3.25671230,0.35300945,0.35858143,1.19939126,1.03215391,0.02050116,0.11452740,0.02051020,1.77647672
-5.84992496,3.27635234,0.34890338,0.35555297,1.18006332,1.06344552,0.01960551,0.11306334,0.02070615,1.79071928
-5.84392196,3.29390937,0.34421935,0.35237942,1.15959664,1.09467980,0.01880421,0.11134838,0.02087812,1.80379243
-5.83791896,3.30934042,0.33906012,0.34908423,1.13838868,1.12550636,0.01809070,0.10942500,0.02102073,1.81567263
-5.83191596,3.32244457,0.33351672,0.34567809,1.11679744,1.15550176,0.01745701,0.10733210,0.02112814,1.82624898
-5.82591296,3.33286863,0.32766544,0.34215938,1.09513196,1.18418062,0.01689417,0.10510374,0.02119421,1.83532612
