energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-6.00000000,10.35609049,1.40529304,3.38666794,0.05164310,0.61922451,2.26934882,2.49377226,0.04696265,2.85870236
-5.99399700,10.55939734,1.40536458,3.49190759,0.05150343,0.63249093,2.30795307,2.54159364,0.04667513,2.88804503
-5.98799400,10.75119529,1.40007236,3.59358133,0.05125075,0.64599000,2.34481439,2.58811400,0.04644028,2.91269858
-5.98199100,10.92940220,1.38927855,3.69089419,0.05088890,0.65950100,2.37940560,2.63273681,0.04624987,2.93244259
-5.97598799,11.09231979,1.37296208,3.78315471,0.05042428,0.67280251,2.41124023,2.67494534,0.04609617,2.94721411
-5.96998499,11.23866132,1.35122061,3.86978196,0.04986565,0.68567901,2.43988172,2.71431542,0.04597202,2.95710411
-5.96398199,11.36755776,1.32426786,3.95030719,0.04922376,0.69792693,2.46494928,2.75052299,0.04587083,2.96234578
-5.95797899,11.47854404,1.29242640,4.02437068,0.04851091,0.70936012,2.48612095,2.78334617,0.04578645,2.96329561
-5.95197599,11.57152804,1.25611665,4.09171465,0.04774047,0.71981462,2.50313407,2.81266247,0.04571306,2.96040853
-5.94597299,11.64674612,1.21584277,4.15217344,0.04692625,0.72915263,2.51578422,2.83844149,0.04564501,2.95420884
-5.93996998,11.70470955,1.17217634,4.20566218,0.04608202,0.73726578,2.52392314,2.86073408,0.04557662,2.94525884
-5.93396698,11.74614650,1.12573880,4.25216526,0.04522090,0.74407774,2.52745656,2.87965894,0.04550203,2.93412712
-5.92796398,11.77194435,1.07718363,4.29172583,0.04435496,0.74954610,2.52634256,2.89538770,0.04541514,2.92135856
-5.92196098,11.78309639,1.02717899,4.32443748,0.04349478,0.75366365,2.52059095,2.90812953,0.04530953,2.90744762
-5.91595798,11.78065666,0.97639176,4.35043867,0.04264918,0.75645904,2.51026411,2.91811637,0.04517848,2.89281662
-5.90995498,11.76570535,0.92547343,4.36991065,0.04182508,0.75799682,2.49547923,2.92558954,0.04501513,2.87779989
-5.90395198,11.73932653,0.87504831,4.38307888,0.04102747,0.75837694,2.47641190,2.93078849,0.04481268,2.86263473
-5.89794897,11.70259844,0.82570424,4.39021764,0.04025948,0.75773354,2.45330061,2.93394229,0.04456461,2.84745913
-5.89194597,11.65659595,0.77798582,4.39165753,0.03952261,0.75623312,2.42645164,2.93526396,0.04426506,2.83231633
-5.88594297,11.60240327,0.73239006,4.38779471,0.03881699,0.75407198,2.39624358,2.93494783,0.04390912,2.81716544
-5.87993997,11.54113476,0.68936415,4.37910102,0.03814180,0.75147292,2.36313080,2.93316976,0.04349328,2.80189721
-5.87393697,11.47396053,0.64930502,4.36613364,0.03749565,0.74868117,2.32764501,2.93008989,0.04301569,2.78635378
-5.86793397,11.40213371,0.61256020,4.34954301,0.03687698,0.74595953,2.29039429,2.92585743,0.04247651,2.77035105
-5.86193097,11.32701569,0.57942964,4.33007782,0.03628449,0.74358283,2.25205904,2.92061687,0.04187809,2.75370205
-5.85592796,11.25009626,0.55016806,4.30858586,0.03571750,0.74183164,2.21338450,2.91451506,0.04122515,2.73624009
-5.84992496,11.17300568,0.52498734,4.28600989,0.03517622,0.74098548,2.17516971,2.90770836,0.04052473,2.71784005
-5.84392196,11.09751638,0.50405893,4.26337785,0.03466195,0.74131569,2.13825308,2.90036929,0.03978616,2.69843688
-5.83791896,11.02553297,0.48751572,4.24178715,0.03417720,0.74307802,2.10349494,2.89269205,0.03902080,2.67804012
-5.83191596,10.95906969,0.47545365,4.22238314,0.03372570,0.74650533,2.07175772,2.88489644,0.03824174,2.65674385
-5.82591296,10.90021569,0.46793265,4.20633210,0.03331223,0.75180071,2.04388450,2.87722985,0.03746339,2.63473157
-5.81990995,10.85108921,0.46497720,4.19478975,0.03294247,0.75913106,2.02067696,2.86996698,0.03670098,2.61227601
-5.81390695,10.81378242,0.46657654,4.18886632,0.03262270,0.76862168,2.00287360,2.86340734,0.03597002,2.58973381
-5.80790395,10.79029957,0.47268462,4.18958960,0.03235940,0.78035193,1.99112946,2.85787066,0.03528577,2.56753564
-5.80190095,10.78249146,0.48321993,4.19786764,0.03215887,0.79435236,1.98599793,2.85369016,0.03466266,2.54617237
-5.79589795,10.79198942,0.49806555,4.21445288,0.03202681,0.81060328,1.98791585,2.85120443,0.03411386,2.52617794
-5.78989495,10.82014226,0.51706923,4.23990928,0.03196783,0.82903503,1.99719209,2.85074801,0.03365077,2.50810996
-5.78389195,10.86795946,0.54004393,4.27458433,0.03198508,0.84952992,2.01400034,2.85264143,0.03328273,2.49252891
-5.77788894,10.93606355,0.56676870,4.31858728,0.03207991,0.87192576,2.03837597,2.85718108,0.03301680,2.47997700
-5.77188594,11.02465406,0.59699001,4.37177479,0.03225151,0.89602091,2.07021703,2.86462954,0.03285756,2.47095751
-5.76588294,11.13348497,0.63042354,4.43374494,0.03249675,0.92158057,2.10928901,2.87520691,0.03280720,2.46591545
-5.75987994,11.26185679,0.66675641,4.50384011,0.03281007,0.94834405,2.15523268,2.88908339,0.03286556,2.46522039
-5.75387694,11.40862357,0.70564976,4.58115867,0.03318346,0.97603278,2.20757471,2.90637364,0.03303034,2.46915191
-5.74787394,11.57221468,0.74674176,4.66457523,0.03360657,1.00435855,2.26573994,2.92713304,0.03329739,2.47788818
-5.74187094,11.75067017,0.78965091,4.75276882,0.03406696,1.03303179,2.32906495,2.95135595,0.03366099,2.49149794
