energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,7.44965757,0.01528788,1.20256372,1.46386891,0.26740299,2.80648521,3.43682750,0.09897652,1.84037834
-5.99399700,7.67436128,0.01565028,1.22878784,1.51616294,0.28392315,2.84738884,3.54867630,0.09876145,1.90619582
-5.98799400,7.91700564,0.01605466,1.25594609,1.57544822,0.30180184,2.89478260,3.66698049,0.09846577,1.97917295
-5.98199100,8.17729518,0.01650334,1.28386213,1.64175431,0.32100321,2.94896017,3.79147797,0.09810837,2.05931160
-5.97598799,8.45469446,0.01699845,1.31234070,1.71492827,0.34147132,3.01013208,3.92183731,0.09771200,2.14650848
-5.96998499,8.74839000,0.01754180,1.34116593,1.79462524,0.36312856,3.07840558,4.05764628,0.09730198,2.24054121
-5.96398199,9.05726084,0.01813464,1.37010072,1.88030584,0.38587456,3.15376741,4.19840299,0.09690468,2.34105791
-5.95797899,9.37986008,0.01877745,1.39888748,1.97124103,0.40958586,3.23607068,4.34351059,0.09654596,2.44757104
-5.95197599,9.71440963,0.01946975,1.42725028,2.06652454,0.43411638,3.32502681,4.49227593,0.09624967,2.55945645
-5.94597299,10.05880906,0.02020999,1.45489840,2.16509278,0.45929871,3.42020311,4.64391247,0.09603634,2.67595785
-5.93996998,10.41065889,0.02099534,1.48153118,2.26575174,0.48494633,3.52102624,4.79754745,0.09592193,2.79619683
-5.93396698,10.76729736,0.02182164,1.50684389,2.36720986,0.51085655,3.62679173,4.95223269,0.09591700,2.91918843
-5.92796398,11.12584926,0.02268336,1.53053445,2.46811576,0.53681422,3.73667882,5.10695863,0.09602611,3.04386127
-5.92196098,11.48328409,0.02357361,1.55231048,2.56709919,0.56259588,3.84977014,5.26067031,0.09624756,3.16908186
-5.91595798,11.83648078,0.02448420,1.57189634,2.66281356,0.58797443,3.96507518,5.41228463,0.09657342,3.29368155
-5.90995498,12.18229535,0.02540580,1.58903978,2.75397807,0.61272385,4.08155637,5.56070746,0.09698995,3.41648521
-5.90395198,12.51762829,0.02632805,1.60351775,2.83941752,0.63662394,4.19815642,5.70484981,0.09747819,3.53633996
