energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,0.94241129,0.01263515,0.02324403,0.51841624,0.21763295,0.21742815,0.07542708,0.00319300,0.60749335
-5.99399700,0.91260145,0.01309003,0.02177268,0.49505672,0.21663217,0.21061826,0.07101448,0.00314695,0.58749282
-5.98799400,0.88413503,0.01360583,0.02026427,0.47296197,0.21613284,0.20436223,0.06661498,0.00311464,0.56846610
-5.98199100,0.85754211,0.01418138,0.01873971,0.45243326,0.21620001,0.19877348,0.06228300,0.00309513,0.55076364
-5.97598799,0.83331597,0.01481387,0.01721938,0.43377047,0.21688146,0.19396018,0.05807212,0.00308740,0.53471560
-5.96998499,0.81189604,0.01549874,0.01572251,0.41726287,0.21820450,0.19002161,0.05403342,0.00309025,0.52062099
-5.96398199,0.79365438,0.01622971,0.01426672,0.40318106,0.22017395,0.18704517,0.05021410,0.00310229,0.50873878
-5.95797899,0.77888612,0.01699888,0.01286766,0.39177004,0.22277141,0.18510415,0.04665629,0.00312191,0.49928141
-5.95197599,0.76780398,0.01779686,0.01153870,0.38324379,0.22595571,0.18425611,0.04339626,0.00314727,0.49241085
-5.94597299,0.76053684,0.01861306,0.01029080,0.37778109,0.22966455,0.18454210,0.04046379,0.00317631,0.48823697
-5.93996998,0.75713188,0.01943600,0.00913240,0.37552274,0.23381731,0.18598640,0.03788194,0.00320681,0.48681809
-5.93396698,0.75755979,0.02025363,0.00806952,0.37656975,0.23831861,0.18859682,0.03566700,0.00323643,0.48816338
-5.92796398,0.76172225,0.02105374,0.00710581,0.38098224,0.24306253,0.19236532,0.03382876,0.00326280,0.49223658
-5.92196098,0.76946092,0.02182438,0.00624278,0.38877888,0.24793718,0.19726882,0.03237080,0.00328356,0.49896054
-5.91595798,0.78056709,0.02255419,0.00548004,0.39993654,0.25282937,0.20327001,0.03129109,0.00329647,0.50822220
-5.90995498,0.79479118,0.02323277,0.00481552,0.41438984,0.25762896,0.21031808,0.03058253,0.00329948,0.51987740
-5.90395198,0.81185158,0.02385099,0.00424584,0.43203065,0.26223288,0.21834921,0.03023364,0.00329081,0.53375530
-5.89794897,0.83144221,0.02440117,0.00376656,0.45270732,0.26654838,0.22728685,0.03022921,0.00326900,0.54966209
-5.89194597,0.85323859,0.02487722,0.00337247,0.47622394,0.27049553,0.23704167,0.03055096,0.00323299,0.56738387
-5.88594297,0.87690246,0.02527476,0.00305792,0.50233957,0.27400883,0.24751136,0.03117819,0.00318214,0.58668879
-5.87993997,0.90208491,0.02559101,0.00281703,0.53076796,0.27703793,0.25858041,0.03208842,0.00311625,0.60732858
-5.87393697,0.92842861,0.02582474,0.00264394,0.56117811,0.27954745,0.27011985,0.03325802,0.00303556,0.62903977
-5.86793397,0.95556951,0.02597608,0.00253299,0.59319585,0.28151621,0.28198734,0.03466283,0.00294074,0.65154489
-5.86193097,0.98313857,0.02604630,0.00247895,0.62640717,0.28293580,0.29402769,0.03627882,0.00283286,0.67455425
-5.85592796,1.01076431,0.02603760,0.00247710,0.66036347,0.28380883,0.30607398,0.03808278,0.00271332,0.69776848
-5.84992496,1.03807660,0.02595280,0.00252340,0.69458898,0.28414705,0.31794955,0.04005307,0.00258384,0.72088250
-5.84392196,1.06471228,0.02579512,0.00261453,0.72859066,0.28396953,0.32947082,0.04217044,0.00244636,0.74359085
-5.83791896,1.09032292,0.02556800,0.00274803,0.76187041,0.28330110,0.34045111,0.04441890,0.00230296,0.76559493
-5.83191596,1.11458477,0.02527486,0.00292232,0.79393942,0.28217123,0.35070533,0.04678662,0.00215584,0.78661184
-5.82591296,1.13721090,0.02491903,0.00313674,0.82433436,0.28061336,0.36005560,0.04926694,0.00200722,0.80638486
-5.81990995,1.15796508,0.02450368,0.00339157,0.85263476,0.27866489,0.36833732,0.05185927,0.00185926,0.82469511
-5.81390695,1.17667674,0.02403183,0.00368808,0.87848082,0.27636765,0.37540579,0.05457001,0.00171407,0.84137396
-5.80790395,1.19325645,0.02350639,0.00402848,0.90159087,0.27376895,0.38114276,0.05741339,0.00157359,0.85631556
-5.80190095,1.20771058,0.02293027,0.00441595,0.92177749,0.27092288,0.38546270,0.06041207,0.00143962,0.86948861
-5.79589795,1.22015447,0.02230656,0.00485456,0.93896134,0.26789201,0.38831842,0.06359761,0.00131378,0.88094674
-5.78989495,1.23082274,0.02163862,0.00534928,0.95318171,0.26474900,0.38970554,0.06701061,0.00119747,0.89083657
-5.78389195,1.24007586,0.02093027,0.00590586,0.96460306,0.26157811,0.38966559,0.07070054,0.00109191,0.89940278
-5.77788894,1.24840204,0.02018592,0.00653079,0.97351673,0.25847639,0.38828745,0.07472521,0.00099812,0.90698946
-5.77188594,1.25641374,0.01941067,0.00723116,0.98033744,0.25555436,0.38570680,0.07914975,0.00091692,0.91403732
-5.76588294,1.26483835,0.01861039,0.00801457,0.98559430,0.25293604,0.38210358,0.08404529,0.00084897,0.92107639
-5.75987994,1.27450286,0.01779168,0.00888892,0.98991632,0.25075822,0.37769740,0.08948709,0.00079480,0.92871420
-5.75387694,1.28631278,0.01696184,0.00986229,0.99401277,0.24916900,0.37274100,0.09555235,0.00075475,0.93761955
-5.74787394,1.30122557,0.01612878,0.01094268,0.99864894,0.24832552,0.36751199,0.10231757,0.00072909,0.94850228
-5.74187094,1.32021964,0.01530079,0.01213783,1.00461814,0.24839084,0.36230314,0.10985571,0.00071793,0.96208967
-5.73586793,1.34425980,0.01448639,0.01345492,1.01271093,0.24953036,0.35741159,0.11823301,0.00072130,0.97910024
-5.72986493,1.37426046,0.01369403,0.01490029,1.02368295,0.25190755,0.35312756,0.12750575,0.00073911,1.00021608
-5.72386193,1.41104819,0.01293185,0.01647920,1.03822245,0.25567938,0.34972287,0.13771699,0.00077117,1.02605463
-5.71785893,1.45532500,0.01220738,0.01819542,1.05691916,0.26099157,0.34743996,0.14889341,0.00081716,1.05714125
-5.71185593,1.50763414,0.01152731,0.02005100,1.08023573,0.26797383,0.34648184,0.16104243,0.00087663,1.09388373
-5.70585293,1.56832986,0.01089721,0.02204589,1.10848313,0.27673529,0.34700338,0.17414963,0.00094901,1.13654984
-5.69984992,1.63755261,0.01032139,0.02417764,1.14180113,0.28736034,0.34910453,0.18817681,0.00103355,1.18524919
-5.69384692,1.71521101,0.00980267,0.02644114,1.18014502,0.29990500,0.35282561,0.20306057,0.00112936,1.23992004
-5.68784392,1.80097158,0.00934236,0.02882836,1.22327907,0.31439397,0.35814502,0.21871173,0.00123536,1.30032210
-5.68184092,1.89425686,0.00894022,0.03132815,1.27077750,0.33081860,0.36497952,0.23501553,0.00135032,1.36603569
-5.67583792,1.99425265,0.00859447,0.03392613,1.32203286,0.34913569,0.37318700,0.25183278,0.00147283,1.43646754
-5.66983492,2.09992393,0.00830190,0.03660465,1.37627189,0.36926730,0.38257172,0.26900186,0.00160135,1.51086321
-5.66383192,2.21003965,0.00805805,0.03934286,1.43257831,0.39110165,0.39289181,0.28634171,0.00173420,1.58832599
-5.65782891,2.32320521,0.00785738,0.04211686,1.48992168,0.41449490,0.40386861,0.30365563,0.00186963,1.66784148
-5.65182591,2.43790188,0.00769355,0.04490002,1.54719137,0.43927407,0.41519763,0.32073587,0.00200586,1.74830716
-5.64582291,2.55253162,0.00755965,0.04766338,1.60323424,0.46524067,0.42656047,0.33736888,0.00214109,1.82856588
-5.63981991,2.66546561,0.00744853,0.05037617,1.65689461,0.49217524,0.43763731,0.35334098,0.00227365,1.90744187
-5.63381691,2.77509468,0.00735304,0.05300645,1.70705471,0.51984245,0.44811936,0.36844434,0.00240200,1.98377801
-5.62781391,2.87987953,0.00726635,0.05552186,1.75267409,0.54799666,0.45772075,0.38248303,0.00252480,2.05647269
-5.62181091,2.97839880,0.00718219,0.05789041,1.79282626,0.57638776,0.46618934,0.39527878,0.00264106,2.12451483
-5.61580790,3.06939288,0.00709508,0.06008132,1.82673088,0.60476697,0.47331602,0.40667640,0.00275011,2.18701556
-5.60980490,3.15180160,0.00700051,0.06206590,1.85378034,0.63289251,0.47894204,0.41654854,0.00285173,2.24323516
-5.60380190,3.22479435,0.00689509,0.06381840,1.87355938,0.66053484,0.48296419,0.42479948,0.00294619,2.29260424
-5.59779890,3.28779113,0.00677664,0.06531673,1.88585712,0.68748125,0.48533754,0.43136798,0.00303425,2.33473806
-5.59179590,3.34047393,0.00664425,0.06654323,1.89067092,0.71353965,0.48607572,0.43622887,0.00311726,2.36944368
-5.58579290,3.38278777,0.00649825,0.06748515,1.88820210,0.73854141,0.48524881,0.43939341,0.00319708,2.39671937
-5.57978989,3.41493157,0.00634017,0.06813510,1.87884375,0.76234309,0.48297892,0.44090838,0.00327613,2.41674673
-5.57378689,3.43733947,0.00617266,0.06849124,1.86316145,0.78482711,0.47943379,0.44085385,0.00335730,2.42987575
-5.56778389,3.45065345,0.00599931,0.06855730,1.84186772,0.80590123,0.47481879,0.43933985,0.00344395,2.43660369
-5.56178089,3.45568861,0.00582455,0.06834245,1.81579167,0.82549698,0.46936755,0.43650201,0.00353977,2.43754890
-5.55577789,3.45339298,0.00565342,0.06786087,1.78584525,0.84356722,0.46333192,0.43249640,0.00364871,2.43342072
-5.54977489,3.44480357,0.00549137,0.06713125,1.75298766,0.86008276,0.45697148,0.42749369,0.00377489,2.42498714
-5.54377189,3.43100087,0.00534406,0.06617606,1.71818955,0.87502858,0.45054331,0.42167308,0.00392243,2.41304153
-5.53776888,3.41306371,0.00521715,0.06502075,1.68239862,0.88839956,0.44429219,0.41521606,0.00409532,2.39837002
-5.53176588,3.39202646,0.00511610,0.06369279,1.64650789,0.90019622,0.43844183,0.40830039,0.00429729,2.38172091
-5.52576288,3.36884046,0.00504596,0.06222074,1.61132798,0.91042055,0.43318730,0.40109444,0.00453166,2.36377746
-5.51975988,3.34434087,0.00501121,0.06063328,1.57756412,0.91907232,0.42868894,0.39375221,0.00480118,2.34513484
-5.51375688,3.31922036,0.00501559,0.05895826,1.54579878,0.92614588,0.42506791,0.38640909,0.00510791,2.32628220
-5.50775388,3.29401015,0.00506199,0.05722190,1.51647990,0.93162789,0.42240341,0.37917858,0.00545309,2.30759024
-5.50175088,3.26906890,0.00515233,0.05544801,1.48991510,0.93549581,0.42073158,0.37214996,0.00583701,2.28930442
-5.49574787,3.24457935,0.00528751,0.05365746,1.46627125,0.93771749,0.42004598,0.36538706,0.00625895,2.27154373
-5.48974487,3.22055227,0.00546731,0.05186770,1.44557918,0.93825157,0.42029948,0.35892801,0.00671710,2.25430459
-5.48374187,3.19683718,0.00569045,0.05009257,1.42774272,0.93704902,0.42140741,0.35278595,0.00720854,2.23746945
-5.47773887,3.17313872,0.00595452,0.04834221,1.41255126,0.93405528,0.42325174,0.34695064,0.00772919,2.22081915
-5.47173587,3.14903771,0.00625606,0.04662317,1.39969509,0.92921332,0.42568596,0.34139078,0.00827388,2.20404839
-5.46573287,3.12401563,0.00659060,0.04493870,1.38878250,0.92246698,0.42854060,0.33605701,0.00883638,2.18678334
-5.45972986,3.09748142,0.00695279,0.04328913,1.37935796,0.91376485,0.43162899,0.33088525,0.00940953,2.16860057
-5.45372686,3.06879919,0.00733641,0.04167242,1.37092057,0.90306411,0.43475314,0.32580047,0.00998531,2.14904641
-5.44772386,3.03731611,0.00773461,0.04008469,1.36294215,0.89033433,0.43770959,0.32072055,0.01055504,2.12765616
-5.44172086,3.00238922,0.00813994,0.03852092,1.35488457,0.87556106,0.44029496,0.31556010,0.01110955,2.10397240
-5.43571786,2.96341056,0.00854461,0.03697555,1.34621586,0.85874889,0.44231126,0.31023426,0.01163939,2.07756192
-5.42971486,2.91982991,0.00894056,0.03544313,1.33642491,0.83992398,0.44357073,0.30466221,0.01213507,2.04803110
-5.42371186,2.87117474,0.00931974,0.03391886,1.32503451,0.81913599,0.44390016,0.29877035,0.01258729,2.01503915
-5.41770885,2.81706700,0.00967420,0.03239910,1.31161293,0.79645915,0.44314477,0.29249512,0.01298719,1.97830941
-5.41170585,2.75723665,0.00999631,0.03088177,1.29578364,0.77199272,0.44117148,0.28578536,0.01332659,1.93763843
-5.40570285,2.69153176,0.01027896,0.02936662,1.27723361,0.74586058,0.43787165,0.27860419,0.01359825,1.89290286
-5.39969985,2.61992526,0.01051569,0.02785545,1.25571984,0.71821018,0.43316321,0.27093036,0.01379604,1.84406431
-5.39369685,2.54251842,0.01070089,0.02635210,1.23107445,0.68921080,0.42699222,0.26275915,0.01391515,1.79117201
-5.38769385,2.45954104,0.01082990,0.02486250,1.20320808,0.65905129,0.41933387,0.25410270,0.01395223,1.73436356
-5.38169085,2.37134872,0.01089915,0.02339443,1.17211182,0.62793725,0.41019283,0.24498988,0.01390552,1.67386370
-5.37568784,2.27841713,0.01090623,0.02195738,1.13785743,0.59608784,0.39960304,0.23546571,0.01377488,1.60998124
-5.36968484,2.18133360,0.01085000,0.02056218,1.10059589,0.56373237,0.38762688,0.22559031,0.01356179,1.54310412
-5.36368184,2.08078626,0.01073054,0.01922070,1.06055437,0.53110662,0.37435376,0.21543750,0.01326937,1.47369287
-5.35767884,1.97755087,0.01054921,0.01794548,1.01803140,0.49844911,0.35989810,0.20509298,0.01290221,1.40227235
-5.35167584,1.87247567,0.01030857,0.01674929,0.97339042,0.46599736,0.34439685,0.19465227,0.01246629,1.32942210
-5.34567284,1.76646465,0.01001234,0.01564475,0.92705174,0.43398424,0.32800645,0.18421839,0.01196878,1.25576534
-5.33966983,1.66045951,0.00966523,0.01464399,0.87948315,0.40263449,0.31089941,0.17389933,0.01141784,1.18195693
-5.33366683,1.55542072,0.00927289,0.01375820,0.83118915,0.37216145,0.29326054,0.16380544,0.01082235,1.10867047
-5.32766383,1.45230830,0.00884169,0.01299740,0.78269943,0.34276411,0.27528298,0.15404674,0.01019170,1.03658495
-5.32166083,1.35206262,0.00837858,0.01237008,0.73455656,0.31462452,0.25716410,0.14473026,0.00953550,0.96637121
-5.31565783,1.25558581,0.00789089,0.01188297,0.68730353,0.28790551,0.23910138,0.13595748,0.00886334,0.89867858
-5.30965483,1.16372434,0.00738618,0.01154080,0.64147132,0.26274898,0.22128846,0.12782191,0.00818455,0.83412210
-5.30365183,1.07725305,0.00687202,0.01134620,0.59756710,0.23927446,0.20391139,0.12040689,0.00750795,0.77327066
-5.29764882,0.99686118,0.00635585,0.01129951,0.55606314,0.21757830,0.18714530,0.11378371,0.00684173,0.71663639
-5.29164582,0.92314081,0.00584480,0.01139876,0.51738705,0.19773319,0.17115135,0.10800998,0.00619320,0.66466559
-5.28564282,0.85657768,0.00534561,0.01163959,0.48191343,0.17978819,0.15607440,0.10312843,0.00556876,0.61773132
-5.27963982,0.79754484,0.00486445,0.01201529,0.44995720,0.16376916,0.14204099,0.09916610,0.00497375,0.57612801
-5.27363682,0.74629905,0.00440688,0.01251688,0.42176866,0.14967957,0.12915807,0.09613388,0.00441248,0.54006785
-5.26763382,0.70297980,0.00397782,0.01313318,0.39753048,0.13750163,0.11751211,0.09402652,0.00388817,0.50967930
-5.26163082,0.66761097,0.00358144,0.01385101,0.37735641,0.12719774,0.10716888,0.09282300,0.00340299,0.48500730
-5.25562781,0.64010472,0.00322125,0.01465533,0.36129167,0.11871208,0.09817352,0.09248729,0.00295817,0.46601529
-5.24962481,0.62026749,0.00290002,0.01552959,0.34931491,0.11197247,0.09055117,0.09296946,0.00255402,0.45258872
-5.24362181,0.60780757,0.00261989,0.01645590,0.34134148,0.10689221,0.08430776,0.09420705,0.00219007,0.44453979
-5.23761881,0.60234405,0.00238234,0.01741549,0.33722777,0.10337201,0.07943114,0.09612671,0.00186517,0.44161329
-5.23161581,0.60341671,0.00218829,0.01838896,0.33677641,0.10130192,0.07589227,0.09864603,0.00157761,0.44349319
-5.22561281,0.61049653,0.00203810,0.01935677,0.33974211,0.10056319,0.07364663,0.10167548,0.00132526,0.44980976
-5.21960980,0.62299645,0.00193167,0.02029958,0.34583783,0.10103000,0.07263548,0.10512049,0.00110566,0.46014704
-5.21360680,0.64028229,0.00186843,0.02119873,0.35474125,0.10257118,0.07278724,0.10888342,0.00091615,0.47405046
