energy_ev,total_up,Al_p_up,Al_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,7.43427352,0.17988500,0.00000000,2.69266716,3.29091837,0.04562629,4.58755951
-5.99399700,7.35346744,0.18038947,0.00000000,2.71694334,3.22524684,0.04643383,4.53325965
-5.98799400,7.26428608,0.18076938,0.00000000,2.73751778,3.15516314,0.04706053,4.47267367
-5.98199100,7.16748424,0.18102245,0.00000000,2.75396778,3.08123933,0.04749254,4.40650816
-5.97598799,7.06370513,0.18114078,0.00000000,2.76581752,3.00401620,0.04771891,4.33542072
-5.96998499,6.95348301,0.18111098,0.00000000,2.77255804,2.92399972,0.04773187,4.26001482
-5.96398199,6.83726064,0.18091469,0.00000000,2.77367282,2.84166402,0.04752710,4.18084333
-5.95797899,6.71541931,0.18052950,0.00000000,2.76866772,2.75746025,0.04710389,4.09841963
-5.95197599,6.58831827,0.17993023,0.00000000,2.75710323,2.67182997,0.04646519,4.01323439
-5.94597299,6.45633994,0.17909050,0.00000000,2.73862727,2.58522152,0.04561760,3.92577612
-5.93996998,6.31993662,0.17798428,0.00000000,2.71300631,2.49810761,0.04457130,3.83655293
-5.93396698,6.17967459,0.17658762,0.00000000,2.68015279,2.41100228,0.04333982,3.74611333
-5.92796398,6.03627162,0.17488020,0.00000000,2.64014698,2.32447533,0.04193982,3.65506357
-5.92196098,5.89062441,0.17284667,0.00000000,2.59325162,2.23916275,0.04039076,3.56407972
-5.91595798,5.74382323,0.17047777,0.00000000,2.53991826,2.15577171,0.03871448,3.47391292
-5.90995498,5.59715212,0.16777105,0.00000000,2.48078461,2.07507917,0.03693485,3.38538669
-5.90395198,5.45207376,0.16473128,0.00000000,2.41666259,1.99792366,0.03507728,3.29938618
-5.89794897,5.31019952,0.16137040,0.00000000,2.34851776,1.92519020,0.03316828,3.21683934
-5.89194597,5.17324605,0.15770719,0.00000000,2.27744071,1.85778877,0.03123498,3.13869107
-5.88594297,5.04298060,0.15376659,0.00000000,2.20461201,1.79662731,0.02930475,3.06587155
-5.87993997,4.92115845,0.14957879,0.00000000,2.13126239,1.74258059,0.02740475,2.99926086
-5.87393697,4.80945580,0.14517817,0.00000000,2.05863005,1.69645653,0.02556157,2.93965170
-5.86793397,4.70940213,0.14060208,0.00000000,1.98791744,1.65896176,0.02380089,2.88771273
-5.86193097,4.62231612,0.13588971,0.00000000,1.92024942,1.63066866,0.02214726,2.84395477
-5.85592796,4.54924869,0.13108100,0.00000000,1.85663508,1.61198541,0.02062381,2.80870205
-5.84992496,4.49093658,0.12621562,0.00000000,1.79793488,1.60313128,0.01925214,2.78207032
-5.84392196,4.44776918,0.12133225,0.00000000,1.74483466,1.60411850,0.01805218,2.76395351
-5.83791896,4.41977035,0.11646793,0.00000000,1.69782759,1.61474201,0.01704212,2.75401981
-5.83191596,4.40659651,0.11165772,0.00000000,1.65720483,1.63457800,0.01623841,2.75171781
-5.82591296,4.40755083,0.10693456,0.00000000,1.62305492,1.66299162,0.01565569,2.75629256
-5.81990995,4.42161301,0.10232918,0.00000000,1.59527183,1.69915369,0.01530692,2.76681109
-5.81390695,4.44748290,0.09787034,0.00000000,1.57357088,1.74206596,0.01520333,2.78219619
-5.80790395,4.48363570,0.09358501,0.00000000,1.55751158,1.79059372,0.01535456,2.80126704
-5.80190095,4.52838597,0.08949869,0.00000000,1.54652599,1.84350455,0.01576869,2.82278464
-5.79589795,4.57995710,0.08563569,0.00000000,1.53995116,1.89951120,0.01645235,2.84550026
