energy_ev,total_up,Ga_p_up,Ga_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
1.46773387,0.43715220,0.08384300,0.00000000,0.19193690,0.14352867,0.30922991,0.00000000
1.47373687,0.45055593,0.07473473,0.00000000,0.19244200,0.14896799,0.32695684,0.00000000
1.47973987,0.47046547,0.06707980,0.00000000,0.19579310,0.15647389,0.34910270,0.00000000
1.48574287,0.49638109,0.06075987,0.00000000,0.20173770,0.16587436,0.37535656,0.00000000
1.49174587,0.52772629,0.05564794,0.00000000,0.20999340,0.17697228,0.40534288,0.00000000
1.49774887,0.56385377,0.05161163,0.00000000,0.22025135,0.18954717,0.43862494,0.00000000
1.50375188,0.60405284,0.04851632,0.00000000,0.23218042,0.20335766,0.47470960,0.00000000
1.50975488,0.64755852,0.04622789,0.00000000,0.24543182,0.21814443,0.51305363,0.00000000
1.51575788,0.69356239,0.04461524,0.00000000,0.25964437,0.23363401,0.55307158,0.00000000
1.52176088,0.74122517,0.04355241,0.00000000,0.27445039,0.24954304,0.59414534,0.00000000
1.52776388,0.78969075,0.04292041,0.00000000,0.28948196,0.26558325,0.63563502,0.00000000
1.53376688,0.83810151,0.04260869,0.00000000,0.30437762,0.28146679,0.67689122,0.00000000
1.53976988,0.88561442,0.04251639,0.00000000,0.31878919,0.29691191,0.71726798,0.00000000
1.54577289,0.93141742,0.04255321,0.00000000,0.33238856,0.31164873,0.75613633,0.00000000
1.55177589,0.97474550,0.04264005,0.00000000,0.34487425,0.32542486,0.79289766,0.00000000
1.55777889,1.01489585,0.04270936,0.00000000,0.35597739,0.33801069,0.82699659,0.00000000
1.56378189,1.05124143,0.04270524,0.00000000,0.36546692,0.34920411,0.85793258,0.00000000
1.56978489,1.08324241,0.04258339,0.00000000,0.37315384,0.35883444,0.88527011,0.00000000
1.57578789,1.11045506,0.04231066,0.00000000,0.37889426,0.36676536,0.90864665,0.00000000
1.58179090,1.13253771,0.04186461,0.00000000,0.38259109,0.37289690,0.92777841,0.00000000
1.58779390,1.14925357,0.04123273,0.00000000,0.38419438,0.37716615,0.94246354,0.00000000
1.59379690,1.16047049,0.04041163,0.00000000,0.38370028,0.37954695,0.95258281,0.00000000
1.59979990,1.16615775,0.03940598,0.00000000,0.38114859,0.38004843,0.95809774,0.00000000
1.60580290,1.16638030,0.03822752,0.00000000,0.37661926,0.37871261,0.95904670,0.00000000
1.61180590,1.16129079,0.03689387,0.00000000,0.37022774,0.37561125,0.95553904,0.00000000
1.61780890,1.15112003,0.03542747,0.00000000,0.36211965,0.37084205,0.94774780,0.00000000
1.62381191,1.13616650,0.03385445,0.00000000,0.35246501,0.36452450,0.93590159,0.00000000
1.62981491,1.11678547,0.03220359,0.00000000,0.34145213,0.35679559,0.92027602,0.00000000
1.63581791,1.09337830,0.03050543,0.00000000,0.32928168,0.34780558,0.90118514,0.00000000
1.64182091,1.06638255,0.02879145,0.00000000,0.31616101,0.33771398,0.87897344,0.00000000
1.64782391,1.03626305,0.02709344,0.00000000,0.30229899,0.32668606,0.85400862,0.00000000
1.65382691,1.00350443,0.02544295,0.00000000,0.28790156,0.31488966,0.82667542,0.00000000
1.65982991,0.96860498,0.02387102,0.00000000,0.27316809,0.30249278,0.79737059,0.00000000
1.66583292,0.93207196,0.02240793,0.00000000,0.25828847,0.28966152,0.76649896,0.00000000
1.67183592,0.89441810,0.02108318,0.00000000,0.24344120,0.27655875,0.73447061,0.00000000
