energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-5.89194597,8.71342173,0.01375233,0.84103115,5.95494479,4.88026336,2.28711254,0.00000000,0.94282518,0.58424681
-5.88594297,8.64081824,0.01357698,0.82309047,5.86365713,4.83105110,2.29011833,0.00000000,0.94847733,0.59098426
-5.87993997,8.56857626,0.01342816,0.80597825,5.77734110,4.78230178,2.29159534,0.00000000,0.95325784,0.59755597
-5.87393697,8.49629973,0.01330779,0.78968281,5.69580436,4.73389177,2.29131133,0.00000000,0.95700349,0.60383300
-5.86793397,8.42355023,0.01321726,0.77419106,5.61882984,4.68565266,2.28904193,0.00000000,0.95957239,0.60968017
-5.86193097,8.34984806,0.01315732,0.75948895,5.54617965,4.63737101,2.28457144,0.00000000,0.96084704,0.61495763
-5.85592796,8.27467690,0.01312809,0.74556148,5.47759836,4.58879085,2.27769461,0.00000000,0.96073696,0.61952295
-5.84992496,8.19749275,0.01312902,0.73239253,5.41281568,4.53961943,2.26821964,0.00000000,0.95918111,0.62323384
-5.84392196,8.11773726,0.01315890,0.71996453,5.35154938,4.48953619,2.25597242,0.00000000,0.95614998,0.62595128
-5.83791896,8.03485551,0.01321590,0.70825814,5.29350847,4.43820486,2.24080182,0.00000000,0.95164713,0.62754315
-5.83191596,7.94831784,0.01329763,0.69725190,5.23839723,4.38528834,2.22258612,0.00000000,0.94571039,0.62788819
-5.82591296,7.85764493,0.01340122,0.68692215,5.18592018,4.33046590,2.20123991,0.00000000,0.93841239,0.62688010
-5.81990995,7.76243502,0.01352347,0.67724305,5.13578813,4.27345179,2.17672136,0.00000000,0.92986044,0.62443168
-5.81390695,7.66239209,0.01366092,0.66818690,5.08772529,4.21401462,2.14903936,0.00000000,0.92019566,0.62047873
-5.80790395,7.55735337,0.01380996,0.65972476,5.04147722,4.15199630,2.11825986,0.00000000,0.90959125,0.61498358
-5.80190095,7.44731450,0.01396703,0.65182727,4.99681944,4.08732965,2.08451122,0.00000000,0.89824989,0.60793804
-5.79589795,7.33245099,0.01412866,0.64446572,4.95356604,4.02005358,2.04798778,0.00000000,0.88640007,0.59936555
-5.78989495,7.21313409,0.01429163,0.63761325,4.91157820,3.95032497,2.00895152,0.00000000,0.87429157,0.58932241
-5.78389195,7.08994009,0.01445303,0.63124615,4.87077167,3.87842623,1.96773133,0.00000000,0.86218990,0.57789802
-5.77788894,6.96365183,0.01461039,0.62534508,4.83112303,3.80476816,1.92471969,0.00000000,0.85036990,0.56521397
-5.77188594,6.83525181,0.01476170,0.61989624,4.79267417,3.72988742,1.88036683,0.00000000,0.83910864,0.55142207
-5.76588294,6.70590664,0.01490543,0.61489234,4.75553447,3.65443852,1.83517224,0.00000000,0.82867766,0.53670128
-5.75987994,6.57694312,0.01504061,0.61033320,4.71988062,3.57918050,1.78967390,0.00000000,0.81933503,0.52125370
-5.75387694,6.44981645,0.01516678,0.60622614,4.68595389,3.50495849,1.74443553,0.00000000,0.81131725,0.50529972
-5.74787394,6.32607178,0.01528396,0.60258593,4.65405473,3.43268089,1.70003231,0.00000000,0.80483145,0.48907253
-5.74187094,6.20730046,0.01539265,0.59943431,4.62453505,3.36329297,1.65703572,0.00000000,0.80004819,0.47281220
-5.73586793,6.09509291,0.01549374,0.59679921,4.59778847,3.29774788,1.61599800,0.00000000,0.79709518,0.45675955
-5.72986493,5.99098987,0.01558848,0.59471355,4.57423876,3.23697637,1.57743708,0.00000000,0.79605216,0.44115018
-5.72386193,5.89643430,0.01567840,0.59321373,4.55432735,3.18185641,1.54182250,0.00000000,0.79694742,0.42620862
-5.71785893,5.81272605,0.01576526,0.59233791,4.53850005,3.13318398,1.50956311,0.00000000,0.79975589,0.41214321
-5.71185593,5.74098122,0.01585096,0.59212408,4.52719403,3.09164648,1.48099689,0.00000000,0.80439926,0.39914156
-5.70585293,5.68209811,0.01593751,0.59260800,4.52082516,3.05779968,1.45638361,0.00000000,0.81074791,0.38736697
-5.69984992,5.63673121,0.01602697,0.59382124,4.51977659,3.03204951,1.43590042,0.00000000,0.81862497,0.37695586
-5.69384692,5.60527445,0.01612141,0.59578914,4.52438874,3.01463929,1.41964071,0.00000000,0.82781204,0.36801623
-5.68784392,5.58785436,0.01622287,0.59852898,4.53495104,3.00564318,1.40761615,0.00000000,0.83805663,0.36062730
-5.68184092,5.58433339,0.01633335,0.60204840,4.55169559,3.00496597,1.39976177,0.00000000,0.84908098,0.35484008
-5.67583792,5.59432306,0.01645479,0.60634394,4.57479259,3.01234946,1.39594387,0.00000000,0.86059181,0.35067901
-5.66983492,5.61720634,0.01658903,0.61139996,4.60434759,3.02738494,1.39597019,0.00000000,0.87229065,0.34814437
-5.66383192,5.65216791,0.01673784,0.61718791,4.64039998,3.04953140,1.39960177,0.00000000,0.88388438,0.34721535
-5.65782891,5.69823083,0.01690289,0.62366581,4.68292258,3.07813854,1.40656604,0.00000000,0.89509533,0.34785357
-5.65182591,5.75429770,0.01708573,0.63077817,4.73182169,3.11247351,1.41657013,0.00000000,0.90567067,0.35000683
-5.64582291,5.81919423,0.01728774,0.63845617,4.78693719,3.15175032,1.42931404,0.00000000,0.91539058,0.35361284
-5.63981991,5.89171298,0.01751015,0.64661817,4.84804215,3.19516028,1.44450258,0.00000000,0.92407487,0.35860277
-5.63381691,5.97065513,0.01775395,0.65517044,4.91484167,3.24190233,1.46185592,0.00000000,0.93158777,0.36490432
-5.62781391,6.05486827,0.01801986,0.66400819,4.98697046,3.29121161,1.48111771,0.00000000,0.93784067,0.37244430
-5.62181091,6.14327817,0.01830821,0.67301676,5.06398930,3.34238509,1.50206087,0.00000000,0.94279284,0.38115034
-5.61580790,6.23491334,0.01861894,0.68207297,5.14538018,3.39480286,1.52449042,0.00000000,0.94644994,0.39095196
-5.60980490,6.32892105,0.01895144,0.69104662,5.23054055,3.44794432,1.54824352,0.00000000,0.94886063,0.40178066
-5.60380190,6.42457432,0.01930451,0.69980208,5.31877695,3.50139821,1.57318664,0.00000000,0.95011143,0.41356932
-5.59779890,6.52126977,0.01967627,0.70819996,5.40929888,3.55486635,1.59921022,0.00000000,0.95032007,0.42625074
-5.59179590,6.61851672,0.02006410,0.71609882,5.50121347,3.60816063,1.62622120,0.00000000,0.94962773,0.43975567
-5.58579290,6.71591852,0.02046455,0.72335692,5.59352190,3.66119372,1.65413393,0.00000000,0.94819060,0.45401037
