energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,3.89070989,0.02525203,0.50282346,1.76742516,0.57672005,1.89136239,0.98100311,1.83084585,0.00000000
-5.99399700,3.91163220,0.02538545,0.50394210,1.79282947,0.58333541,1.89960440,0.98527467,1.84433830,0.00000000
-5.98799400,3.92394623,0.02551564,0.50390804,1.81311280,0.58835924,1.90261542,0.98873672,1.85399482,0.00000000
-5.98199100,3.92787462,0.02563730,0.50275839,1.82831766,0.59178325,1.90044258,0.99148602,1.85987803,0.00000000
-5.97598799,3.92403677,0.02574814,0.50057961,1.83867352,0.59365601,1.89332495,0.99371704,1.86223260,0.00000000
-5.96998499,3.91341648,0.02584871,0.49750314,1.84458470,0.59407914,1.88167916,0.99571257,1.86147137,0.00000000
-5.96398199,3.89731648,0.02594229,0.49369956,1.84661204,0.59320154,1.86607929,0.99783098,1.85815544,0.00000000
-5.95797899,3.87730178,0.02603453,0.48937127,1.84544912,0.59121201,1.84723207,1.00049049,1.85296893,0.00000000
-5.95197599,3.85513390,0.02613306,0.48474416,1.84189392,0.58833055,1.82594816,1.00415100,1.84668948,0.00000000
-5.94597299,3.83269871,0.02624705,0.48005853,1.83681697,0.58479863,1.80311107,1.00929420,1.84015546,0.00000000
-5.93996998,3.81193044,0.02638666,0.47555965,1.83112723,0.58086893,1.77964443,1.01640264,1.83423138,0.00000000
-5.93396698,3.79473470,0.02656250,0.47148838,1.82573698,0.57679475,1.75647912,1.02593844,1.82977236,0.00000000
-5.92796398,3.78291319,0.02678506,0.46807200,1.82152684,0.57281974,1.73452111,1.03832251,1.82758934,0.00000000
-5.92196098,3.77809273,0.02706415,0.46551583,1.81931236,0.56916811,1.71462095,1.05391479,1.82841580,0.00000000
-5.91595798,3.78166098,0.02740844,0.46399572,1.81981308,0.56603577,1.69754598,1.07299638,1.83287751,0.00000000
-5.90995498,3.79471095,0.02782491,0.46365170,1.82362534,0.56358279,1.68395567,1.09575417,1.84146599,0.00000000
-5.90395198,3.81799605,0.02831854,0.46458309,1.83119951,0.56192718,1.67438093,1.12226832,1.85451679,0.00000000
-5.89794897,3.85189714,0.02889196,0.46684502,1.84282256,0.56114055,1.66920771,1.15250334,1.87219313,0.00000000
-5.89194597,3.89640247,0.02954529,0.47044652,1.85860637,0.56124545,1.66866525,1.18630286,1.89447555,0.00000000
-5.88594297,3.95110112,0.03027595,0.47535033,1.87848222,0.56221470,1.67281924,1.22338848,1.92115783,0.00000000
-5.87993997,4.01519017,0.03107878,0.48147414,1.90220154,0.56397254,1.68156996,1.26336275,1.95184938,0.00000000
-5.87393697,4.08749508,0.03194603,0.48869342,1.92934295,0.56639765,1.69465541,1.30571628,1.98598401,0.00000000
-5.86793397,4.16650279,0.03286767,0.49684561,1.95932524,0.56932786,1.71165939,1.34983875,2.02283478,0.00000000
-5.86193097,4.25040635,0.03383163,0.50573548,1.99142584,0.57256631,1.73202424,1.39503362,2.06153457,0.00000000
-5.85592796,4.33715959,0.03482420,0.51514160,2.02480421,0.57588892,1.75506802,1.44053602,2.10110163,0.00000000
-5.84992496,4.42454000,0.03583049,0.52482352,2.05852928,0.57905283,1.78000574,1.48553340,2.14046934,0.00000000
-5.84392196,4.51021793,0.03683492,0.53452950,2.09160992,0.58180541,1.80597401,1.52918810,2.17851913,0.00000000
-5.83791896,4.59182958,0.03782174,0.54400463,2.12302758,0.58389366,1.83205853,1.57066133,2.21411565,0.00000000
-5.83191596,4.66705151,0.03877553,0.55299888,2.15176971,0.58507356,1.85732376,1.60913760,2.24614273,0.00000000
-5.82591296,4.73367425,0.03968180,0.56127497,2.17686290,0.58511902,1.88084372,1.64384886,2.27353927,0.00000000
-5.81990995,4.78967233,0.04052739,0.56861581,2.19740453,0.58383013,1.90173328,1.67409756,2.29533339,0.00000000
-5.81390695,4.83326866,0.04130095,0.57483119,2.21259188,0.58104048,1.91917868,1.69927780,2.31067414,0.00000000
-5.80790395,4.86299101,0.04199327,0.57976365,2.22174739,0.57662314,1.93246646,1.71889387,2.31885920,0.00000000
-5.80190095,4.87771868,0.04259762,0.58329334,2.22433956,0.57049534,1.94100982,1.73257566,2.31935800,0.00000000
-5.79589795,4.87671811,0.04310990,0.58534162,2.21999843,0.56262152,1.94437135,1.74009034,2.31182921,0.00000000
-5.78989495,4.85966613,0.04352875,0.58587359,2.20852525,0.55301473,1.94228148,1.74135003,2.29613221,0.00000000
-5.78389195,4.82666045,0.04385556,0.58489929,2.18989618,0.54173649,1.93465179,1.73641532,2.27233197,0.00000000
-5.77788894,4.77821725,0.04409440,0.58247369,2.16425977,0.52889496,1.92158280,1.72549453,2.24069754,0.00000000
-5.77188594,4.71525606,0.04425181,0.57869552,2.13192863,0.51464179,1.90336585,1.70893895,2.20169405,0.00000000
