energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,4.43217477,1.06710070,2.50928467,0.00153721,0.45896735,1.69698770,0.83745291,0.01710192,0.39821295
-5.99399700,4.35486751,1.04665061,2.47067772,0.00146176,0.44913671,1.68179839,0.82004895,0.01713211,0.39192905
-5.98799400,4.27551100,1.02592424,2.43001715,0.00139747,0.43919652,1.66529738,0.80288088,0.01722276,0.38530622
-5.98199100,4.19441932,1.00482067,2.38744958,0.00134306,0.42924110,1.64755303,0.78600675,0.01737456,0.37832412
-5.97598799,4.11190186,0.98323798,2.34312115,0.00129715,0.41936618,1.62865553,0.76947698,0.01758688,0.37097018
-5.96998499,4.02826624,0.96108089,2.29717695,0.00125836,0.40966833,1.60872022,0.75333679,0.01785760,0.36324081
-5.96398199,3.94382025,0.93826780,2.24976040,0.00122533,0.40024432,1.58788985,0.73762829,0.01818308,0.35514208
-5.95797899,3.85887293,0.91473677,2.20101260,0.00119677,0.39119015,1.56633559,0.72239237,0.01855806,0.34669012
-5.95197599,3.77373483,0.89045044,2.15107212,0.00117152,0.38259998,1.54425647,0.70766994,0.01897577,0.33791094
-5.94597299,3.68871750,0.86539945,2.10007517,0.00114857,0.37456469,1.52187711,0.69350285,0.01942799,0.32883992
-5.93996998,3.60413244,0.83960456,2.04815650,0.00112708,0.36717026,1.49944355,0.67993408,0.01990523,0.31952103
-5.93396698,3.52028938,0.81311699,1.99545098,0.00110639,0.36049588,1.47721712,0.66700750,0.02039697,0.31000567
-5.92796398,3.43749406,0.78601749,1.94209565,0.00108606,0.35461181,1.45546655,0.65476701,0.02089196,0.30035140
-5.92196098,3.35604559,0.75841372,1.88823248,0.00106586,0.34957715,1.43445832,0.64325522,0.02137851,0.29062047
-5.91595798,3.27623328,0.73043650,1.83401121,0.00104577,0.34543743,1.41444575,0.63251175,0.02184491,0.28087831
-5.90995498,3.19833308,0.70223492,1.77959236,0.00102594,0.34222229,1.39565720,0.62257120,0.02227975,0.27119198
-5.90395198,3.12260386,0.67397068,1.72514996,0.00100675,0.33994322,1.37828398,0.61346107,0.02267233,0.26162872
-5.89794897,3.04928337,0.64581195,1.67087377,0.00098873,0.33859162,1.36246862,0.60519959,0.02301300,0.25225454
-5.89194597,2.97858437,0.61792716,1.61697071,0.00097257,0.33813721,1.34829428,0.59779377,0.02329347,0.24313301
-5.88594297,2.91069095,0.59047899,1.56366540,0.00095909,0.33852711,1.33577598,0.59123783,0.02350709,0.23432417
-5.87993997,2.84575539,0.56361895,1.51119946,0.00094924,0.33968548,1.32485429,0.58551206,0.02364905,0.22588378
-5.87393697,2.78389576,0.53748286,1.45982969,0.00094405,0.34151406,1.31539220,0.58058230,0.02371651,0.21786261
-5.86793397,2.72519451,0.51218743,1.40982498,0.00094462,0.34389358,1.30717549,0.57640018,0.02370866,0.21030614
-5.86193097,2.66969824,0.48782809,1.36146206,0.00095210,0.34668615,1.29991694,0.57290405,0.02362671,0.20325434
-5.85592796,2.61741885,0.46447827,1.31502022,0.00096767,0.34973850,1.29326440,0.57002074,0.02347382,0.19674176
-5.84992496,2.56833597,0.44218996,1.27077526,0.00099252,0.35288617,1.28681250,0.56766799,0.02325493,0.19079774
-5.84392196,2.52240080,0.42099555,1.22899277,0.00102783,0.35595843,1.28011768,0.56575755,0.02297656,0.18544679
-5.83791896,2.47954111,0.40091076,1.18992119,0.00107477,0.35878376,1.27271581,0.56419871,0.02264656,0.18070904
-5.83191596,2.43966725,0.38193845,1.15378487,0.00113447,0.36119574,1.26414167,0.56290227,0.02227384,0.17660080
-5.82591296,2.40267885,0.36407293,1.12077749,0.00120799,0.36303904,1.25394926,0.56178447,0.02186804,0.17313508
-5.81990995,2.36847185,0.34730455,1.09105610,0.00129636,0.36417524,1.24173197,0.56077095,0.02143926,0.17032216
-5.81390695,2.33694546,0.33162418,1.06473615,0.00140055,0.36448825,1.22714158,0.55980038,0.02099771,0.16817002
-5.80790395,2.30800876,0.31702734,1.04188772,0.00152145,0.36388896,1.20990501,0.55882748,0.02055346,0.16668471
-5.80190095,2.28158642,0.30351760,1.02253315,0.00165987,0.36231898,1.18983803,0.55782548,0.02011617,0.16587061
-5.79589795,2.25762330,0.29110911,1.00664620,0.00181658,0.35975324,1.16685510,0.55678765,0.01969485,0.16573050
-5.78989495,2.23608759,0.27982805,0.99415288,0.00199222,0.35620116,1.14097492,0.55572786,0.01929767,0.16626550
-5.78389195,2.21697239,0.26971290,0.98493385,0.00218739,0.35170652,1.11232127,0.55468018,0.01893182,0.16747486
-5.77788894,2.20029539,0.26081353,0.97882837,0.00240259,0.34634588,1.08111927,0.55369745,0.01860335,0.16935554
-5.77188594,2.18609684,0.25318908,0.97563954,0.00263822,0.34022554,1.04768708,0.55284880,0.01831716,0.17190162
-5.76588294,2.17443570,0.24690487,0.97514071,0.00289456,0.33347736,1.01242355,0.55221636,0.01807690,0.17510365
-5.75987994,2.16538408,0.24202832,0.97708267,0.00317179,0.32625339,0.97579253,0.55189115,0.01788498,0.17894775
-5.75387694,2.15902029,0.23862430,0.98120132,0.00346993,0.31871972,0.93830446,0.55196839,0.01774258,0.18341470
-5.74787394,2.15542065,0.23674997,0.98722541,0.00378883,0.31104972,0.90049627,0.55254246,0.01764971,0.18847892
-5.74187094,2.15465051,0.23644953,0.99488401,0.00412815,0.30341705,0.86291051,0.55370165,0.01760526,0.19410743
-5.73586793,2.15675468,0.23774902,1.00391339,0.00448727,0.29598865,0.82607468,0.55552305,0.01760706,0.20025890
-5.72986493,2.16174806,0.24065162,1.01406293,0.00486534,0.28891817,0.79048162,0.55806770,0.01765197,0.20688266
-5.72386193,2.16960658,0.24513351,1.02509991,0.00526113,0.28233993,0.75657197,0.56137645,0.01773603,0.21391807
-5.71785893,2.18025920,0.25114066,1.03681298,0.00567308,0.27636390,0.72471925,0.56546646,0.01785449,0.22129392
-5.71185593,2.19358136,0.25858674,1.04901423,0.00609920,0.27107164,0.69521817,0.57032886,0.01800199,0.22892829
-5.70585293,2.20939046,0.26735220,1.06153995,0.00653709,0.26651364,0.66827664,0.57592747,0.01817264,0.23672876
-5.69984992,2.22744362,0.27728467,1.07425012,0.00698387,0.26270797,0.64401161,0.58219889,0.01836019,0.24459300
-5.69384692,2.24743826,0.28820083,1.08702687,0.00743621,0.25964026,0.62244882,0.58905387,0.01855815,0.25240994
-5.68784392,2.26901555,0.29988944,1.09977219,0.00789033,0.25726517,0.60352633,0.59638007,0.01875990,0.26006142
-5.68184092,2.29176695,0.31211583,1.11240512,0.00834204,0.25550900,0.58710145,0.60404600,0.01895892,0.26742437
-5.67583792,2.31524371,0.32462732,1.12485877,0.00878679,0.25427353,0.57296076,0.61190619,0.01914886,0.27437349
-5.66983492,2.33896911,0.33715968,1.13707748,0.00921976,0.25344075,0.56083255,0.61980710,0.01932374,0.28078440
-5.66383192,2.36245295,0.34944423,1.14901428,0.00963593,0.25287823,0.55040110,0.62759380,0.01947807,0.28653708
-5.65782891,2.38520786,0.36121536,1.16062908,0.01003024,0.25244504,0.54132208,0.63511681,0.01960700,0.29151959
-5.65182591,2.40676659,0.37221821,1.17188743,0.01039769,0.25199770,0.53323841,0.64223893,0.01970644,0.29563189
-5.64582291,2.42669951,0.38221610,1.18276025,0.01073350,0.25139612,0.52579581,0.64884165,0.01977314,0.29878948
-5.63981991,2.44463150,0.39099756,1.19322422,0.01103323,0.25050912,0.51865740,0.65483071,0.01980475,0.30092687
-5.63381691,2.46025729,0.39838262,1.20326301,0.01129296,0.24921935,0.51151681,0.66014057,0.01979988,0.30200064
-5.62781391,2.47335450,0.40422806,1.21286908,0.01150937,0.24742745,0.50410922,0.66473753,0.01975810,0.30199177
-5.62181091,2.48379376,0.40843160,1.22204585,0.01167991,0.24505519,0.49622004,0.66862116,0.01967987,0.30090744
-5.61580790,2.49154518,0.41093468,1.23081025,0.01180280,0.24204763,0.48769093,0.67182423,0.01956646,0.29878178
-5.60980490,2.49668116,0.41172398,1.23919512,0.01187717,0.23837422,0.47842300,0.67441080,0.01941990,0.29567588
-5.60380190,2.49937511,0.41083143,1.24725160,0.01190301,0.23402877,0.46837735,0.67647284,0.01924273,0.29167677
-5.59779890,2.49989649,0.40833297,1.25505109,0.01188121,0.22902848,0.45757289,0.67812547,0.01903793,0.28689555
-5.59179590,2.49860230,0.40434603,1.26268674,0.01181346,0.22341210,0.44608193,0.67950112,0.01880867,0.28146462
-5.58579290,2.49592572,0.39902587,1.27027434,0.01170220,0.21723733,0.43402372,0.68074291,0.01855817,0.27553423
-5.57978989,2.49236234,0.39256105,1.27795255,0.01155052,0.21057774,0.42155643,0.68199778,0.01828950,0.26926841
-5.57378689,2.48845507,0.38516816,1.28588240,0.01136199,0.20351930,0.40886808,0.68340957,0.01800542,0.26284051
-5.56778389,2.48477810,0.37708600,1.29424607,0.01114054,0.19615683,0.39616692,0.68511263,0.01770827,0.25642841
-5.56178089,2.48192104,0.36856957,1.30324504,0.01089033,0.18859042,0.38367166,0.68722612,0.01739984,0.25020980
-5.55577789,2.48047367,0.35988382,1.31309752,0.01061558,0.18092216,0.37160209,0.68984942,0.01708138,0.24435748
-5.54977489,2.48101201,0.35129763,1.32403530,0.01032042,0.17325314,0.36017050,0.69305875,0.01675355,0.23903498
-5.54377189,2.48408599,0.34307797,1.33630003,0.01000882,0.16568098,0.34957411,0.69690512,0.01641650,0.23439260
-5.53776888,2.49020904,0.33548443,1.35013912,0.00968446,0.15829787,0.33998891,0.70141362,0.01606993,0.23056398
-5.53176588,2.49984971,0.32876432,1.36580106,0.00935069,0.15118915,0.33156491,0.70658396,0.01571325,0.22766328
-5.52576288,2.51342506,0.32314817,1.38353051,0.00901043,0.14443243,0.32442297,0.71239207,0.01534574,0.22578303
-5.51975988,2.53129592,0.31884598,1.40356306,0.00866625,0.13809723,0.31865306,0.71879260,0.01496673,0.22499266
-5.51375688,2.55376342,0.31604402,1.42611978,0.00832031,0.13224502,0.31431399,0.72572196,0.01457577,0.22533766
-5.50775388,2.58106667,0.31490223,1.45140168,0.00797442,0.12692955,0.31143432,0.73310178,0.01417284,0.22683943
-5.50175088,2.61338118,0.31555227,1.47958409,0.00763010,0.12219749,0.31001432,0.74084238,0.01375853,0.22949568
-5.49574787,2.65081770,0.31809615,1.51081111,0.00728865,0.11808905,0.31002861,0.74884607,0.01333414,0.23328136
-5.48974487,2.69342121,0.32260539,1.54519034,0.00695118,0.11463871,0.31142949,0.75701023,0.01290184,0.23815008
-5.48374187,2.74116991,0.32912077,1.58278778,0.00661873,0.11187577,0.31415034,0.76522982,0.01246467,0.24403584
-5.47773887,2.79397413,0.33765243,1.62362321,0.00629228,0.10982474,0.31810923,0.77339951,0.01202659,0.25085523
-5.47173587,2.85167511,0.34818059,1.66766615,0.00597284,0.10850557,0.32321229,0.78141518,0.01159243,0.25850968
-5.46573287,2.91404382,0.36065645,1.71483237,0.00566146,0.10793349,0.32935682,0.78917515,0.01116779,0.26688808
-5.45972986,2.98077988,0.37500356,1.76498122,0.00535925,0.10811868,0.33643395,0.79658093,0.01075889,0.27586943
-5.45372686,3.05151087,0.39111943,1.81791381,0.00506740,0.10906566,0.34433082,0.80353784,0.01037238,0.28532560
-5.44772386,3.12579223,0.40887736,1.87337206,0.00478712,0.11077245,0.35293232,0.80995553,0.01001517,0.29512407
-5.44172086,3.20310806,0.42812837,1.93103877,0.00451965,0.11322960,0.36212228,0.81574852,0.00969411,0.30513071
-5.43571786,3.28287299,0.44870334,1.99053879,0.00426620,0.11641914,0.37178431,0.82083698,0.00941581,0.31521239
-5.42971486,3.36443541,0.47041513,2.05144120,0.00402788,0.12031361,0.38180229,0.82514757,0.00918631,0.32523956
-5.42371186,3.44708230,0.49306077,2.11326277,0.00380569,0.12487508,0.39206068,0.82861470,0.00901088,0.33508854
-5.41770885,3.53004569,0.51642358,2.17547253,0.00360040,0.13005446,0.40244477,0.83118189,0.00889377,0.34464372
-5.41170585,3.61251105,0.54027539,2.23749770,0.00341257,0.13579111,0.41284092,0.83280343,0.00883800,0.35379939
-5.40570285,3.69362745,0.56437865,2.29873081,0.00324245,0.14201277,0.42313707,0.83344605,0.00884522,0.36246139
-5.39969985,3.77251974,0.58848864,2.35853827,0.00308998,0.14863592,0.43322338,0.83309067,0.00891554,0.37054837
-5.39369685,3.84830242,0.61235568,2.41627009,0.00295476,0.15556661,0.44299336,0.83173396,0.00904753,0.37799281
-5.38769385,3.92009524,0.63572754,2.47127098,0.00283607,0.16270177,0.45234525,0.82938976,0.00923817,0.38474165
-5.38169085,3.98704025,0.65835198,2.52289253,0.00273286,0.16993096,0.46118384,0.82609003,0.00948290,0.39075667
-5.37568784,4.04831985,0.67997946,2.57050634,0.00264378,0.17713854,0.46942264,0.82188545,0.00977573,0.39601451
-5.36968484,4.10317557,0.70036622,2.61351786,0.00256722,0.18420622,0.47698625,0.81684543,0.01010941,0.40050645
-5.36368184,4.15092683,0.71927754,2.65138050,0.00250141,0.19101586,0.48381291,0.81105761,0.01047558,0.40423789
-5.35767884,4.19098927,0.73649131,2.68360967,0.00244439,0.19745242,0.48985696,0.80462670,0.01086510,0.40722765
-5.35167584,4.22289166,0.75180179,2.70979607,0.00239418,0.20340697,0.49509125,0.79767281,0.01126827,0.40950695
-5.34567284,4.24629078,0.76502355,2.72961784,0.00234875,0.20877963,0.49950899,0.79032919,0.01167515,0.41111832
-5.33966983,4.26098341,0.77599531,2.74285073,0.00230617,0.21348221,0.50312517,0.78273948,0.01207590,0.41211428
-5.33366683,4.26691464,0.78458376,2.74937595,0.00226463,0.21744061,0.50597719,0.77505452,0.01246104,0.41255578
-5.32766383,4.26418187,0.79068698,2.74918489,0.00222249,0.22059668,0.50812463,0.76742890,0.01282178,0.41251067
-5.32166083,4.25303400,0.79423737,2.74238054,0.00217836,0.22290961,0.50964811,0.76001715,0.01315031,0.41205187
-5.31565783,4.23386539,0.79520393,2.72917517,0.00213112,0.22435659,0.51064702,0.75296991,0.01343997,0.41125554
-5.30965483,4.20720470,0.79359361,2.70988416,0.00207990,0.22493297,0.51123641,0.74643002,0.01368547,0.41019910
