energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,8.49764938,1.03305489,2.66642703,0.03705368,0.68492666,2.94768539,2.58345877,0.04625889,2.69932039
-5.99399700,8.41994302,1.00902199,2.66794516,0.03686369,0.67507005,2.89989340,2.55593613,0.04540712,2.66370692
-5.98799400,8.35026599,0.98650698,2.67120899,0.03669362,0.66565157,2.85641651,2.53057428,0.04461499,2.63156293
-5.98199100,8.28946907,0.96583495,2.67622058,0.03654776,0.65688641,2.81792999,2.50764056,0.04389849,2.60309421
-5.97598799,8.23808019,0.94726273,2.68292072,0.03642920,0.64896794,2.78493490,2.48730868,0.04327109,2.57836570
-5.96998499,8.19631899,0.93097479,2.69119998,0.03633987,0.64206476,2.75775472,2.46966342,0.04274342,2.55730846
-5.96398199,8.16412067,0.91708173,2.70091099,0.03628056,0.63631851,2.73653783,2.45470784,0.04232298,2.53973108
-5.95797899,8.14116748,0.90562117,2.71188111,0.03625095,0.63184238,2.72126532,2.44237276,0.04201397,2.52533469
-5.95197599,8.12692563,0.89656107,2.72392487,0.03624977,0.62872026,2.71176346,2.43252745,0.04181728,2.51373074
-5.94597299,8.12068570,0.88980508,2.73685542,0.03627485,0.62700650,2.70772020,2.42499138,0.04173050,2.50446092
-5.93996998,8.12160471,0.88519993,2.75049455,0.03632326,0.62672629,2.70870478,2.41954603,0.04174807,2.49701817
-5.93396698,8.12874808,0.88254423,2.76468068,0.03639144,0.62787659,2.71418966,2.41594674,0.04186148,2.49086821
-5.92796398,8.14113020,0.88159854,2.77927491,0.03647530,0.63042759,2.72357390,2.41393389,0.04205961,2.48547067
-5.92196098,8.15775242,0.88209629,2.79416463,0.03657040,0.63432470,2.73620726,2.41324340,0.04232909,2.48029937
-5.91595798,8.17763758,0.88375498,2.80926521,0.03667204,0.63949100,2.75141404,2.41361631,0.04265476,2.47486100
-5.90995498,8.19986073,0.88628745,2.82451958,0.03677537,0.64583011,2.76851614,2.41480734,0.04302015,2.46871193
-5.90395198,8.22357549,0.88941272,2.83989626,0.03687556,0.65322944,2.78685457,2.41659237,0.04340800,2.46147272
-5.89794897,8.24803597,0.89286605,2.85538618,0.03696791,0.66156375,2.80580892,2.41877502,0.04380080,2.45284004
-5.89194597,8.27261430,0.89640786,2.87099853,0.03704794,0.67069887,2.82481421,2.42119201,0.04418134,2.44259582
-5.88594297,8.29681356,0.89983129,2.88675635,0.03711156,0.68049558,2.84337484,2.42371758,0.04453323,2.43061350
-5.87993997,8.32027633,0.90296813,2.90269197,0.03715516,0.69081337,2.86107524,2.42626677,0.04484141,2.41686136
-5.87393697,8.34278869,0.90569291,2.91884268,0.03717574,0.70151413,2.87758705,2.42879745,0.04509258,2.40140279
-5.86793397,8.36427981,0.90792511,2.93524703,0.03717099,0.71246545,2.89267279,2.43131113,0.04527559,2.38439352
-5.86193097,8.38481692,0.90962947,2.95194158,0.03713942,0.72354353,2.90618586,2.43385225,0.04538178,2.36607605
-5.85592796,8.40459575,0.91081427,2.96895857,0.03708038,0.73463551,2.91806713,2.43650598,0.04540517,2.34677106
-5.84992496,8.42392643,0.91152793,2.98632406,0.03699413,0.74564118,2.92833827,2.43939427,0.04534265,2.32686622
-5.84392196,8.44321499,0.91185385,3.00405686,0.03688184,0.75647393,2.93709206,2.44267026,0.04519396,2.30680259
-5.83791896,8.46294078,0.91190386,3.02216788,0.03674555,0.76706102,2.94448026,2.44651096,0.04496168,2.28705875
-5.83191596,8.48363026,0.91181055,3.04065984,0.03658812,0.77734309,2.95069943,2.45110835,0.04465102,2.26813330
-5.82591296,8.50582797,0.91171873,3.05952732,0.03641310,0.78727305,2.95597534,2.45665919,0.04426958,2.25052602
-5.81990995,8.53006562,0.91177639,3.07875686,0.03622456,0.79681440,2.96054664,2.46335382,0.04382704,2.23471838
-5.81390695,8.55683050,0.91212571,3.09832725,0.03602694,0.80593913,2.96464850,2.47136443,0.04333469,2.22115409
