energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-5.66383192,4.01691675,0.75039411,1.12729604,0.00746930,0.71248147,0.09839302,0.98475925
-5.65782891,4.08360194,0.76521895,1.14852080,0.00815329,0.70912404,0.10126574,1.02300648
-5.65182591,4.14115097,0.77943132,1.16688866,0.00890877,0.70301559,0.10386769,1.06087295
-5.64582291,4.18949830,0.79314342,1.18232555,0.00972927,0.69428348,0.10615146,1.09818626
-5.63981991,4.22889305,0.80649794,1.19487028,0.01060826,0.68313109,0.10808263,1.13481169
-5.63381691,4.25990226,0.81966476,1.20467992,0.01153930,0.66983401,0.10964130,1.17065767
-5.62781391,4.28340872,0.83283820,1.21203253,0.01251620,0.65473449,0.11082323,1.20568144
-5.62181091,4.30060321,0.84623514,1.21732700,0.01353324,0.63823453,0.11164049,1.23989461
-5.61580790,4.31297056,0.86009396,1.22107965,0.01458534,0.62078759,0.11212145,1.27336815
-5.60980490,4.32226928,0.87467422,1.22391728,0.01566835,0.60288919,0.11231022,1.30623651
-5.60380190,4.33050393,0.89025684,1.22656668,0.01677921,0.58506637,0.11226540,1.33870028
-5.59779890,4.33989007,0.90714444,1.22984031,0.01791615,0.56786638,0.11205830,1.37102691
-5.59179590,4.35281113,0.92566142,1.23461840,0.01907884,0.55184469,0.11177047,1.40354880
-5.58579290,4.37176729,0.94615322,1.24182747,0.02026848,0.53755243,0.11149085,1.43665852
-5.57978989,4.39931637,0.96898428,1.25241581,0.02148782,0.52552369,0.11131247,1.47080045
-5.57378689,4.43800742,0.99453432,1.26732616,0.02274111,0.51626275,0.11132892,1.50645893
-5.56778389,4.49030784,1.02319247,1.28746658,0.02403389,0.51023159,0.11163060,1.54414247
-5.56178089,4.55852569,1.05534899,1.31367991,0.02537278,0.50783798,0.11230115,1.58436463
-5.55577789,4.64472898,1.09138463,1.34671321,0.02676509,0.50942440,0.11341391,1.62762152
-5.54977489,4.75066470,1.13165765,1.38718780,0.02821837,0.51525821,0.11502876,1.67436697
-5.54377189,4.87768014,1.17648887,1.43557132,0.02973991,0.52552327,0.11718945,1.72498609
-5.53776888,5.02664999,1.22614527,1.49215285,0.03133613,0.54031338,0.11992143,1.77976832
-5.53176588,5.19791245,1.28082286,1.55702222,0.03301197,0.55962786,0.12323048,1.83888152
-5.52576288,5.39121778,1.34062971,1.63005454,0.03477027,0.58336935,0.12710193,1.90234815
-5.51975988,5.60569260,1.40556994,1.71090103,0.03661125,0.61134415,0.13150084,1.97002540
-5.51375688,5.83982258,1.47552993,1.79898664,0.03853193,0.64326516,0.13637283,2.04159032
-5.50775388,6.09145605,1.55026742,1.89351528,0.04052575,0.67875740,0.14164574,2.11653134
-5.50175088,6.35782969,1.62940449,1.99348259,0.04258232,0.71736609,0.14723201,2.19414724
-5.49574787,6.63561726,1.71242518,2.09769640,0.04468727,0.75856710,0.15303162,2.27355412
-5.48974487,6.92100057,1.79867810,2.20480443,0.04682233,0.80177956,0.15893558,2.35370067
-5.48374187,7.20976143,1.88738435,2.31332837,0.04896552,0.84638019,0.16482977,2.43339171
-5.47773887,7.49739187,1.97765075,2.42170355,0.05109163,0.89171913,0.17059896,2.51131935
-5.47173587,7.77921919,2.06848800,2.52832269,0.05317274,0.93713646,0.17613095,2.58610067
-5.46573287,8.05054136,2.15883332,2.63158231,0.05517900,0.98197933,0.18132056,2.65632072
-5.45972986,8.30676776,2.24757669,2.72993010,0.05707943,1.02561874,0.18607337,2.72057881
-5.45372686,8.54356000,2.33358981,2.82191158,0.05884290,1.06746571,0.19030909,2.77753646
-5.44772386,8.75696708,2.41575677,2.90621418,0.06043907,1.10698623,0.19396437,2.82596457
-5.44172086,8.94354968,2.49300514,2.98170719,0.06183939,1.14371454,0.19699502,2.86478797
-5.43571786,9.10048868,2.56433659,3.04747612,0.06301801,1.17726432,0.19937746,2.89312527
-5.42971486,9.22567363,2.62885585,3.10285018,0.06395268,1.20733761,0.20110956,2.91032211
-5.42371186,9.31776791,2.68579721,3.14742191,0.06462541,1.23373102,0.20221054,2.91597664
-5.41770885,9.37624834,2.73454767,3.18105845,0.06502312,1.25633933,0.20272025,2.90995588
-5.41170585,9.40141809,2.77466627,3.20390408,0.06513804,1.27515630,0.20269766,2.89240259
-5.40570285,9.39439291,2.80589916,3.21637414,0.06496795,1.29027283,0.20221870,2.86373236
-5.39969985,9.35706192,2.82819014,3.21914069,0.06451625,1.30187257,0.20137360,2.82462137
-5.39369685,9.29202496,2.84168662,3.21311070,0.06379181,1.31022518,0.20026360,2.77598548
-5.38769385,9.20250957,2.84674107,3.19939758,0.06280872,1.31567756,0.19899750,2.71895183
-5.38169085,9.09227120,2.84390813,3.17928730,0.06158583,1.31864325,0.19768783,2.65482428
-5.37568784,8.96548083,2.83393755,3.15420025,0.06014621,1.31959039,0.19644695,2.58504449
-5.36968484,8.82660423,2.81776331,3.12565040,0.05851645,1.31902865,0.19538323,2.51115012
-5.36368184,8.68027739,2.79648919,3.09520289,0.05672597,1.31749527,0.19459731,2.43473204
-5.35767884,8.53118239,2.77137121,3.06443163,0.05480622,1.31554090,0.19417864,2.35739222
-5.35167584,8.38392762,2.74379713,3.03487818,0.05278987,1.31371522,0.19420248,2.28070374
-5.34567284,8.24293610,2.71526351,3.00801301,0.05071007,1.31255308,0.19472725,2.20617428
-5.33966983,8.11234488,2.68735072,2.98520036,0.04859962,1.31256116,0.19579254,2.13521418
-5.33366683,7.99591815,2.66169619,2.96766761,0.04649033,1.31420579,0.19741769,2.06910975
-5.32766383,7.89697590,2.63996648,2.95647980,0.04441232,1.31790199,0.19960112,2.00900252
