energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,7.95199102,1.35020203,0.49231615,0.00421505,2.16091288,0.15657844,2.45524016,2.54786310,1.59312412
-5.99399700,7.47471146,1.26608305,0.46307032,0.00396962,2.04057388,0.14485071,2.29767099,2.40227914,1.51015481
-5.98799400,6.99207742,1.18323521,0.43407624,0.00372259,1.91559709,0.13332112,2.14190818,2.25177033,1.42283929
-5.98199100,6.50885686,1.10225740,0.40552098,0.00347627,1.78754397,0.12208659,1.98916074,2.09819870,1.33234994
-5.97598799,6.02961966,1.02365965,0.37756997,0.00323291,1.65799457,0.11123227,1.84049063,1.94342846,1.23988647
-5.96998499,5.55866546,0.94786861,0.35036801,0.00299464,1.52850772,0.10083089,1.69681293,1.78928092,1.14664376
-5.96398199,5.09996317,0.87523550,0.32404070,0.00276348,1.40058372,0.09094237,1.55890060,1.63749303,1.05378136
-5.95797899,4.65710358,0.80604565,0.29869618,0.00254132,1.27563117,0.08161389,1.42739300,1.48968127,0.96239598
-5.95197599,4.23326565,0.74052872,0.27442689,0.00232991,1.15493926,0.07288025,1.30280692,1.34731203,0.87349787
-5.94597299,3.83119663,0.67886900,0.25131138,0.00213087,1.03965625,0.06476454,1.18554923,1.21167945,0.78799194
-5.93996998,3.45320575,0.62121504,0.22941590,0.00194567,0.93077486,0.05727906,1.07593029,1.08389115,0.70666415
-5.93396698,3.10117038,0.56768821,0.20879588,0.00177566,0.82912451,0.05042637,0.97417722,0.96486195,0.63017322
-5.92796398,2.77655336,0.51838970,0.18949702,0.00162204,0.73537039,0.04420056,0.88044650,0.85531496,0.55904765
-5.92196098,2.48042975,0.47340587,0.17155630,0.00148590,0.65001851,0.03858851,0.79483538,0.75578956,0.49368759
-5.91595798,2.21352095,0.43281183,0.15500256,0.00136818,0.57342613,0.03357126,0.71739176,0.66665503,0.43437108
-5.90995498,1.97623385,0.39667328,0.13985697,0.00126977,0.50581634,0.02912531,0.64812239,0.58812862,0.38126371
-5.90395198,1.76870293,0.36504667,0.12613331,0.00119139,0.44729556,0.02522392,0.58699930,0.52029673,0.33443110
-5.89794897,1.59083286,0.33797808,0.11383804,0.00113372,0.39787285,0.02183824,0.53396447,0.46313767,0.29385298
-5.89194597,1.44233947,0.31550074,0.10297035,0.00109731,0.35747962,0.01893843,0.48893286,0.41654455,0.25943820
-5.88594297,1.32278727,0.29763178,0.09352211,0.00108260,0.32598862,0.01649458,0.45179393,0.38034721,0.23103969
-5.87993997,1.23162181,0.28436824,0.08547783,0.00108995,0.30323113,0.01447750,0.42241190,0.35433174,0.20846859
-5.87393697,1.16819561,0.27568270,0.07881459,0.00111959,0.28901155,0.01285934,0.40062490,0.33825684,0.19150697
-5.86793397,1.13178678,0.27151885,0.07350203,0.00117161,0.28311866,0.01161414,0.38624319,0.33186634,0.17991860
-5.86193097,1.12160992,0.27178713,0.06950237,0.00124594,0.28533306,0.01071809,0.37904685,0.33489721,0.17345738
-5.85592796,1.13681920,0.27636070,0.06677047,0.00134235,0.29543078,0.01014976,0.37878302,0.34708319,0.17187338
-5.84992496,1.17650414,0.28507204,0.06525394,0.00146038,0.31318283,0.00989019,0.38516303,0.36815380,0.17491623
-5.84392196,1.23967887,0.29771024,0.06489328,0.00159936,0.33835116,0.00992278,0.39785966,0.39782934,0.18233624
-5.83791896,1.32526608,0.31401925,0.06562218,0.00175836,0.37068136,0.01023322,0.41650475,0.43581221,0.19388326
-5.83191596,1.43207723,0.33369728,0.06736780,0.00193615,0.40989274,0.01080919,0.44068753,0.48177542,0.20930376
-5.82591296,1.55879082,0.35639736,0.07005114,0.00213123,0.45566668,0.01164015,0.46995381,0.53534916,0.22833648
-5.81990995,1.70393059,0.38172933,0.07358762,0.00234177,0.50763397,0.01271698,0.50380632,0.59610647,0.25070717
-5.81390695,1.86584592,0.40926324,0.07788763,0.00256563,0.56536224,0.01403166,0.54170640,0.66354913,0.27612297
-5.80790395,2.04269627,0.43853418,0.08285738,0.00280036,0.62834445,0.01557694,0.58307726,0.73709486,0.30426694
-5.80190095,2.23244178,0.46904864,0.08839979,0.00304321,0.69598938,0.01734604,0.62730884,0.81606701,0.33479321
-5.79589795,2.43284162,0.50029215,0.09441558,0.00329117,0.76761511,0.01933232,0.67376433,0.89968772,0.36732342
-5.78989495,2.64146164,0.53173822,0.10080463,0.00354101,0.84244628,0.02152908,0.72178839,0.98707559,0.40144466
-5.78389195,2.85569220,0.56285829,0.10746733,0.00378931,0.91961575,0.02392933,0.77071682,1.07724837,0.43670947
-5.77788894,3.07277683,0.59313244,0.11430624,0.00403255,0.99817125,0.02652562,0.81988757,1.16913141,0.47263798
-5.77188594,3.28985158,0.62206059,0.12122781,0.00426715,1.07708713,0.02930990,0.86865271,1.26157197,0.50872248
-5.76588294,3.50399456,0.64917375,0.12814419,0.00448961,1.15528130,0.03227345,0.91639110,1.35335941,0.54443440
-5.75987994,3.71228445,0.67404510,0.13497504,0.00469651,1.23163702,0.03540680,0.96252108,1.44325083,0.57923353
-5.75387694,3.91186622,0.69630030,0.14164939,0.00488466,1.30502901,0.03869959,1.00651302,1.53000152,0.61257935
-5.74787394,4.10002191,0.71562680,0.14810735,0.00505116,1.37435304,0.04214055,1.04790097,1.61239923,0.64394404
-5.74187094,4.27424368,0.73178178,0.15430167,0.00519347,1.43855792,0.04571736,1.08629299,1.68930098,0.67282673
-5.73586793,4.43230634,0.74459834,0.16019911,0.00530951,1.49667866,0.04941652,1.12137986,1.75967091,0.69876837
-5.72986493,4.57233612,0.75398975,0.16578148,0.00539771,1.54786941,0.05322313,1.15294147,1.82261763,0.72136675
-5.72386193,4.69287259,0.75995161,0.17104637,0.00545702,1.59143462,0.05712073,1.18085088,1.87742917,0.74029075
-5.71785893,4.79292086,0.76256175,0.17600748,0.00548699,1.62685699,0.06109102,1.20507576,1.92360393,0.75529332
-5.71185593,4.87199119,0.76197793,0.18069455,0.00548776,1.65382077,0.06511361,1.22567693,1.96087597,0.76622256
-5.70585293,4.93012394,0.75843339,0.18515291,0.00546007,1.67222915,0.06916577,1.24280444,1.98923309,0.77303012
-5.69984992,4.96789817,0.75223038,0.18944247,0.00540521,1.68221469,0.07322222,1.25669087,2.00892663,0.77577662
-5.69384692,4.98642288,0.74373197,0.19363643,0.00532502,1.68414194,0.07725495,1.26764254,2.02047190,0.77463359
-5.68784392,4.98731058,0.73335231,0.19781957,0.00522179,1.67860189,0.08123322,1.27602864,2.02463903,0.76988174
-5.68184092,4.97263373,0.72154575,0.20208607,0.00509823,1.66639818,0.08512361,1.28226895,2.02243384,0.76190546
-5.67583792,4.94486525,0.70879508,0.20653721,0.00495737,1.64852517,0.08889028,1.28682040,2.01506936,0.75118363
-5.66983492,4.90680487,0.69559927,0.21127858,0.00480250,1.62613873,0.09249537,1.29016310,2.00392859,0.73827697
-5.66383192,4.86149389,0.68246113,0.21641725,0.00463706,1.60052058,0.09589964,1.29278620,1.99051988,0.72381232
-5.65782891,4.81212117,0.66987497,0.22205863,0.00446455,1.57303755,0.09906328,1.29517403,1.97642624,0.70846442
-5.65182591,4.76192374,0.65831492,0.22830334,0.00428847,1.54509714,0.10194686,1.29779292,1.96325063,0.69293570
-5.64582291,4.71408541,0.64822373,0.23524386,0.00411219,1.51810122,0.10451246,1.30107897,1.95255917,0.67793490
-5.63981991,4.67163693,0.64000272,0.24296131,0.00393894,1.49339954,0.10672489,1.30542694,1.94582446,0.66415524
-5.63381691,4.63736122,0.63400270,0.25152223,0.00377170,1.47224483,0.10855298,1.31118066,1.94437120,0.65225293
-5.62781391,4.61370687,0.63051626,0.26097547,0.00361317,1.45575134,0.10997078,1.31862483,1.94932636,0.64282677
-5.62181091,4.60271298,0.62977140,0.27134927,0.00346572,1.44485823,0.11095879,1.32797836,1.96157574,0.63639959
-5.61580790,4.60594769,0.63192676,0.28264871,0.00333135,1.44029941,0.11150494,1.33938950,1.98172887,0.63340219
-5.60980490,4.62446271,0.63706842,0.29485349,0.00321170,1.44258080,0.11160545,1.35293243,2.01009359,0.63416035
-5.60380190,4.65876526,0.64520837,0.30791620,0.00310801,1.45196599,0.11126536,1.36860572,2.04666157,0.63888534
-5.59779890,4.70880830,0.65628483,0.32176125,0.00302113,1.46847070,0.11049884,1.38633248,2.09110528,0.64766831
-5.59179590,4.77399967,0.67016421,0.33628452,0.00295155,1.49186632,0.10932914,1.40596232,2.14278689,0.66047872
-5.58579290,4.85322956,0.68664505,0.35135379,0.00289937,1.52169224,0.10778821,1.42727528,2.20077878,0.67716692
-5.57978989,4.94491562,0.70546363,0.36681018,0.00286436,1.55727653,0.10591611,1.44998758,2.26389502,0.69747067
-5.57378689,5.04706418,0.72630141,0.38247050,0.00284597,1.59776407,0.10376001,1.47375948,2.33073278,0.72102551
-5.56778389,5.15734541,0.74879402,0.39813066,0.00284337,1.64215095,0.10137308,1.49820497,2.39972216,0.74737850
-5.56178089,5.27317991,0.77254176,0.41357003,0.00285545,1.68932391,0.09881314,1.52290338,2.46918261,0.77600487
-5.55577789,5.39183354,0.79712121,0.42855681,0.00288088,1.73810300,0.09614123,1.54741261,2.53738375,0.80632692
-5.54977489,5.51051706,0.82209776,0.44285410,0.00291815,1.78728593,0.09342009,1.57128371,2.60260833,0.83773450
-5.54377189,5.62648686,0.84703862,0.45622667,0.00296560,1.83569230,0.09071273,1.59407641,2.66321484,0.86960629
-5.53776888,5.73714271,0.87152574,0.46844808,0.00302144,1.88220585,0.08808097,1.61537491,2.71769735,0.90133101
-5.53176588,5.84011883,0.89516831,0.47930796,0.00308382,1.92581315,0.08558412,1.63480351,2.76474009,0.93232772
-5.52576288,5.93336441,0.91761414,0.48861908,0.00315086,1.96563712,0.08327788,1.65204113,2.80326471,0.96206452
-5.51975988,6.01521027,0.93855955,0.49622386,0.00322066,2.00096417,0.08121322,1.66683408,2.83246830,0.99007473
-5.51375688,6.08441875,0.95775708,0.50200016,0.00329140,2.03126384,0.07943565,1.67900632,2.85185061,1.01597010
