energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-5.61580790,2.30177870,0.03132738,0.02832775,1.77510325,0.00000000,0.72698471,0.19458408
-5.60980490,2.26223034,0.03085357,0.02853568,1.74322269,0.00000000,0.72154952,0.18969339
-5.60380190,2.21147264,0.03019756,0.02859628,1.70274759,0.00000000,0.71226070,0.18388787
-5.59779890,2.15028593,0.02937068,0.02850645,1.65430248,0.00000000,0.69925219,0.17726052
-5.59179590,2.07959099,0.02838724,0.02826549,1.59861799,0.00000000,0.68271535,0.16991456
-5.58579290,2.00042650,0.02726414,0.02787515,1.53651294,0.00000000,0.66289466,0.16196081
-5.57978989,1.91392480,0.02602043,0.02733972,1.46887511,0.00000000,0.64008212,0.15351490
-5.57378689,1.82128645,0.02467675,0.02666592,1.39664132,0.00000000,0.61461052,0.14469467
-5.56778389,1.72375429,0.02325485,0.02586281,1.32077721,0.00000000,0.58684580,0.13561760
-5.56178089,1.62258780,0.02177703,0.02494164,1.24225741,0.00000000,0.55717879,0.12639834
-5.55577789,1.51903827,0.02026558,0.02391554,1.16204650,0.00000000,0.52601647,0.11714664
-5.54977489,1.41432553,0.01874238,0.02279930,1.08108123,0.00000000,0.49377311,0.10796547
-5.54377189,1.30961673,0.01722837,0.02160898,1.00025455,0.00000000,0.46086162,0.09894943
-5.53776888,1.20600767,0.01574325,0.02036157,0.92040154,0.00000000,0.42768521,0.09018360
-5.53176588,1.10450704,0.01430517,0.01907460,0.84228779,0.00000000,0.39462985,0.08174268
-5.52576288,1.00602394,0.01293053,0.01776578,0.76660029,0.00000000,0.36205755,0.07369053
-5.51975988,0.91135879,0.01163389,0.01645258,0.69394089,0.00000000,0.33030076,0.06608001
-5.51375688,0.82119769,0.01042796,0.01515193,0.62482256,0.00000000,0.29965797,0.05895315
-5.50775388,0.73611023,0.00932361,0.01387993,0.55966816,0.00000000,0.27039064,0.05234163
-5.50175088,0.65655054,0.00833005,0.01265156,0.49881168,0.00000000,0.24272140,0.04626752
-5.49574787,0.58286135,0.00745500,0.01148049,0.44250180,0.00000000,0.21683354,0.04074410
-5.48974487,0.51528059,0.00670491,0.01037900,0.39090732,0.00000000,0.19287176,0.03577704
-5.48374187,0.45395023,0.00608520,0.00935780,0.34412422,0.00000000,0.17094392,0.03136542
-5.47773887,0.39892680,0.00560053,0.00842613,0.30218396,0.00000000,0.15112368,0.02750306
-5.47173587,0.35019297,0.00525500,0.00759169,0.26506260,0.00000000,0.13345388,0.02417963
-5.46573287,0.30766985,0.00505238,0.00686076,0.23269034,0.00000000,0.11795039,0.02138185
-5.45972986,0.27122935,0.00499623,0.00623830,0.20496105,0.00000000,0.10460622,0.01909452
-5.45372686,0.24070613,0.00508999,0.00572807,0.18174158,0.00000000,0.09339570,0.01730150
-5.44772386,0.21590879,0.00533699,0.00533275,0.16288029,0.00000000,0.08427853,0.01598651
-5.44172086,0.19662986,0.00574039,0.00505411,0.14821484,0.00000000,0.07720349,0.01513375
-5.43571786,0.18265450,0.00630298,0.00489310,0.13757875,0.00000000,0.07211182,0.01472838
-5.42971486,0.17376748,0.00702702,0.00484997,0.13080690,0.00000000,0.06893999,0.01475685
-5.42371186,0.16975865,0.00791387,0.00492437,0.12773970,0.00000000,0.06762191,0.01520700
-5.41770885,0.17042673,0.00896368,0.00511540,0.12822603,0.00000000,0.06809058,0.01606808
-5.41170585,0.17558159,0.01017494,0.00542164,0.13212511,0.00000000,0.07027918,0.01733063
-5.40570285,0.18504525,0.01154413,0.00584118,0.13930724,0.00000000,0.07412158,0.01898622
-5.39969985,0.19865164,0.01306522,0.00637160,0.14965377,0.00000000,0.07955252,0.02102722
-5.39369685,0.21624562,0.01472940,0.00700998,0.16305632,0.00000000,0.08650736,0.02344638
-5.38769385,0.23768122,0.01652465,0.00775285,0.17941552,0.00000000,0.09492167,0.02623653
-5.38169085,0.26281968,0.01843560,0.00859619,0.19863948,0.00000000,0.10473066,0.02939025
-5.37568784,0.29152713,0.02044337,0.00953540,0.22064196,0.00000000,0.11586859,0.03289951
-5.36968484,0.32367239,0.02252562,0.01056528,0.24534054,0.00000000,0.12826818,0.03675544
-5.36368184,0.35912477,0.02465667,0.01168009,0.27265475,0.00000000,0.14186021,0.04094808
-5.35767884,0.39775196,0.02680787,0.01287355,0.30250414,0.00000000,0.15657309,0.04546625
-5.35167584,0.43941800,0.02894808,0.01413884,0.33480636,0.00000000,0.17233267,0.05029734
-5.34567284,0.48398120,0.03104429,0.01546872,0.36947500,0.00000000,0.18906201,0.05542722
-5.33966983,0.53129180,0.03306239,0.01685557,0.40641728,0.00000000,0.20668125,0.06084009
-5.33366683,0.58118938,0.03496805,0.01829139,0.44553128,0.00000000,0.22510738,0.06651835
-5.32766383,0.63349964,0.03672769,0.01976795,0.48670279,0.00000000,0.24425388,0.07244233
-5.32166083,0.68803062,0.03830942,0.02127674,0.52980149,0.00000000,0.26403017,0.07859006
-5.31565783,0.74456820,0.03968407,0.02280900,0.57467673,0.00000000,0.28434083,0.08493687
-5.30965483,0.80287099,0.04082609,0.02435574,0.62115268,0.00000000,0.30508454,0.09145498
-5.30365183,0.86266466,0.04171441,0.02590769,0.66902324,0.00000000,0.32615277,0.09811295
-5.29764882,0.92363613,0.04233313,0.02745520,0.71804681,0.00000000,0.34742834,0.10487521
-5.29164582,0.98542783,0.04267207,0.02898820,0.76794132,0.00000000,0.36878383,0.11170142
-5.28564282,1.04763272,0.04272707,0.03049608,0.81837999,0.00000000,0.39008015,0.11854607
-5.27963982,1.10979052,0.04250022,0.03196762,0.86898819,0.00000000,0.41116533,0.12535805
-5.27363682,1.17138575,0.04199971,0.03339090,0.91934199,0.00000000,0.43187381,0.13208049
-5.26763382,1.23184829,0.04123957,0.03475329,0.96896887,0.00000000,0.45202640,0.13865081
-5.26163082,1.29055694,0.04023921,0.03604140,1.01735097,0.00000000,0.47143112,0.14500111
-5.25562781,1.34684630,0.03902279,0.03724122,1.06393122,0.00000000,0.48988510,0.15105888
-5.24962481,1.40001743,0.03761844,0.03833823,1.10812258,0.00000000,0.50717761,0.15674816
-5.24362181,1.44935201,0.03605736,0.03931761,1.14932020,0.00000000,0.52309428,0.16199100
-5.23761881,1.49413001,0.03437298,0.04016458,1.18691651,0.00000000,0.53742240,0.16670937
-5.23161581,1.53365023,0.03259994,0.04086474,1.22031854,0.00000000,0.54995725,0.17082734
-5.22561281,1.56725301,0.03077321,0.04140456,1.24896705,0.00000000,0.56050912,0.17427354
-5.21960980,1.59434401,0.02892724,0.04177177,1.27235646,0.00000000,0.56891078,0.17698365
-5.21360680,1.61441802,0.02709516,0.04195597,1.29005473,0.00000000,0.57502495,0.17890304
-5.20760380,1.62708143,0.02530811,0.04194903,1.30172208,0.00000000,0.57875136,0.17998914
-5.20160080,1.63207208,0.02359466,0.04174560,1.30712738,0.00000000,0.58003296,0.18021363
-5.19559780,1.62927523,0.02198041,0.04134346,1.30616146,0.00000000,0.57886080,0.17956419
-5.18959480,1.61873444,0.02048761,0.04074384,1.29884607,0.00000000,0.57527733,0.17804567
-5.18359180,1.60065671,0.01913498,0.03995161,1.28533807,0.00000000,0.56937755,0.17568073
-5.17758879,1.57541104,0.01793756,0.03897527,1.26592833,0.00000000,0.56130808,0.17250971
-5.17158579,1.54352034,0.01690668,0.03782692,1.24103501,0.00000000,0.55126388,0.16858984
-5.16558279,1.50564682,0.01605000,0.03652198,1.21119158,0.00000000,0.53948278,0.16399368
-5.15957979,1.46257128,0.01537156,0.03507882,1.17702990,0.00000000,0.52623786,0.15880701
-5.15357679,1.41516739,0.01487190,0.03351828,1.13925904,0.00000000,0.51182820,0.15312605
-5.14757379,1.36437186,0.01454822,0.03186306,1.09864094,0.00000000,0.49656823,0.14705433
-5.14157079,1.31115222,0.01439456,0.03013708,1.05596403,0.00000000,0.48077631,0.14069928
-5.13556778,1.25647354,0.01440195,0.02836471,1.01201601,0.00000000,0.46476305,0.13416863
-5.12956478,1.20126583,0.01455865,0.02657016,0.96755724,0.00000000,0.44882005,0.12756695
-5.12356178,1.14639371,0.01485040,0.02477671,0.92329587,0.00000000,0.43320948,0.12099236
-5.11755878,1.09262968,0.01526064,0.02300611,0.87986603,0.00000000,0.41815520,0.11453361
-5.11155578,1.04063230,0.01577091,0.02127808,0.83780996,0.00000000,0.40383574,0.10826766
-5.10555278,0.99093014,0.01636111,0.01960979,0.79756482,0.00000000,0.39037957,0.10225793
-5.09954977,0.94391215,0.01700997,0.01801563,0.75945470,0.00000000,0.37786273,0.09655307
-5.09354677,0.89982456,0.01769546,0.01650696,0.72368801,0.00000000,0.36630909,0.09118652
-5.08754377,0.85877431,0.01839529,0.01509207,0.69036009,0.00000000,0.35569302,0.08617671
-5.08154077,0.82073844,0.01908745,0.01377621,0.65946063,0.00000000,0.34594426,0.08152790
-5.07553777,0.78557868,0.01975074,0.01256179,0.63088544,0.00000000,0.33695482,0.07723150
-5.06953477,0.75306025,0.02036535,0.01144863,0.60445150,0.00000000,0.32858730,0.07326796
-5.06353177,0.72287371,0.02091339,0.01043425,0.57991455,0.00000000,0.32068429,0.06960884
-5.05752876,0.69465846,0.02137937,0.00951432,0.55698804,0.00000000,0.31307829,0.06621920
-5.05152576,0.66802681,0.02175073,0.00868300,0.53536254,0.00000000,0.30560156,0.06306003
-5.04552276,0.64258718,0.02201811,0.00793339,0.51472444,0.00000000,0.29809548,0.06009054
-5.03951976,0.61796544,0.02217573,0.00725793,0.49477325,0.00000000,0.29041890,0.05727042
-5.03351676,0.59382342,0.02222145,0.00664876,0.47523649,0.00000000,0.28245507,0.05456177
-5.02751376,0.56987387,0.02215688,0.00609806,0.45588192,0.00000000,0.27411706,0.05193068
-5.02151076,0.54589146,0.02198719,0.00559833,0.43652643,0.00000000,0.26535111,0.04934851
-5.01550775,0.52171947,0.02172097,0.00514261,0.41704157,0.00000000,0.25613825,0.04679269
-5.00950475,0.49727236,0.02136978,0.00472464,0.39735570,0.00000000,0.24649391,0.04424716
-5.00350175,0.47253436,0.02094769,0.00433895,0.37745301,0.00000000,0.23646577,0.04170245
-4.99749875,0.44755447,0.02047073,0.00398094,0.35736966,0.00000000,0.22613011,0.03915536
-4.99149575,0.42243870,0.01995622,0.00364684,0.33718761,0.00000000,0.21558680,0.03660842
-4.98549275,0.39733990,0.01942203,0.00333370,0.31702659,0.00000000,0.20495345,0.03406908
-4.97948974,0.37244630,0.01888594,0.00303933,0.29703505,0.00000000,0.19435890,0.03154875
-4.97348674,0.34796918,0.01836490,0.00276215,0.27738032,0.00000000,0.18393652,0.02906181
-4.96748374,0.32413077,0.01787435,0.00250118,0.25823903,0.00000000,0.17381770,0.02662449
-4.96148074,0.30115269,0.01742769,0.00225583,0.23978790,0.00000000,0.16412575,0.02425388
-4.95547774,0.27924578,0.01703575,0.00202587,0.22219567,0.00000000,0.15497057,0.02196699
-4.94947474,0.25860161,0.01670643,0.00181130,0.20561639,0.00000000,0.14644432,0.01977997
-4.94347174,0.23938611,0.01644446,0.00161226,0.19018430,0.00000000,0.13861816,0.01770738
-4.93746873,0.22173535,0.01625128,0.00142896,0.17601057,0.00000000,0.13154024,0.01576179
-4.93146573,0.20575369,0.01612512,0.00126165,0.16318180,0.00000000,0.12523497,0.01395340
-4.92546273,0.19151407,0.01606110,0.00111057,0.15176032,0.00000000,0.11970340,0.01228992
-4.91945973,0.17906035,0.01605161,0.00097589,0.14178608,0.00000000,0.11492483,0.01077656
-4.91345673,0.16841138,0.01608667,0.00085779,0.13327991,0.00000000,0.11085925,0.00941621
-4.90745373,0.15956644,0.01615445,0.00075640,0.12624788,0.00000000,0.10745068,0.00820961
-4.90145073,0.15251166,0.01624186,0.00067182,0.12068644,0.00000000,0.10463104,0.00715576
-4.89544772,0.14722696,0.01633513,0.00060419,0.11658794,0.00000000,0.10232437,0.00625224
-4.88944472,0.14369309,0.01642047,0.00055367,0.11394622,0.00000000,0.10045115,0.00549562
-4.88344172,0.14189824,0.01648464,0.00052051,0.11276187,0.00000000,0.09893261,0.00488188
-4.87743872,0.14184402,0.01651559,0.00050504,0.11304686,0.00000000,0.09769466,0.00440677
-4.87143572,0.14355013,0.01650293,0.00050770,0.11482819,0.00000000,0.09667134,0.00406613
-4.86543272,0.14705765,0.01643835,0.00052907,0.11815037,0.00000000,0.09580770,0.00385617
-4.85942971,0.15243062,0.01631597,0.00056986,0.12307643,0.00000000,0.09506191,0.00377366
-4.85342671,0.15975560,0.01613255,0.00063089,0.12968742,0.00000000,0.09440647,0.00381604
-4.84742371,0.16913938,0.01588755,0.00071312,0.13808017,0.00000000,0.09382870,0.00398144
-4.84142071,0.18070459,0.01558318,0.00081755,0.14836346,0.00000000,0.09333026,0.00426867
-4.83541771,0.19458334,0.01522417,0.00094524,0.16065261,0.00000000,0.09292594,0.00467701
-4.82941471,0.21090925,0.01481759,0.00109718,0.17506262,0.00000000,0.09264171,0.00520605
-4.82341171,0.22980789,0.01437247,0.00127432,0.19170003,0.00000000,0.09251214,0.00585544
-4.81740870,0.25138611,0.01389944,0.00147740,0.21065400,0.00000000,0.09257738,0.00662449
-4.81140570,0.27572077,0.01341016,0.00170692,0.23198671,0.00000000,0.09287982,0.00751190
-4.80540270,0.30284723,0.01291694,0.00196306,0.25572376,0.00000000,0.09346061,0.00851532
-4.79939970,0.33274819,0.01243211,0.00224555,0.28184482,0.00000000,0.09435624,0.00963101
-4.79339670,0.36534359,0.01196760,0.00255363,0.31027516,0.00000000,0.09559528,0.01085348
-4.78739370,0.40048196,0.01153439,0.00288597,0.34087850,0.00000000,0.09719554,0.01217517
-4.78139070,0.43793387,0.01114214,0.00324059,0.37345163,0.00000000,0.09916169,0.01358620
-4.77538769,0.47738806,0.01079880,0.00361487,0.40772130,0.00000000,0.10148356,0.01507422
-4.76938469,0.51845048,0.01051032,0.00400546,0.44334360,0.00000000,0.10413511,0.01662430
-4.76338169,0.56064672,0.01028046,0.00440835,0.47990627,0.00000000,0.10707416,0.01821898
-4.75737869,0.60342791,0.01011066,0.00481884,0.51693388,0.00000000,0.11024295,0.01983839
-4.75137569,0.64618010,0.01000006,0.00523168,0.55389606,0.00000000,0.11356940,0.02146056
-4.74537269,0.68823706,0.00994553,0.00564108,0.59021852,0.00000000,0.11696914,0.02306174
-4.73936968,0.72889596,0.00994187,0.00604089,0.62529665,0.00000000,0.12034810,0.02461693
-4.73336668,0.76743570,0.00998201,0.00642470,0.65851123,0.00000000,0.12360563,0.02610045
-4.72736368,0.80313702,0.01005734,0.00678602,0.68924574,0.00000000,0.12663798,0.02748660
-4.72136068,0.83530382,0.01015804,0.00711847,0.71690455,0.00000000,0.12934200,0.02875036
-4.71535768,0.86328464,0.01027348,0.00741592,0.74093134,0.00000000,0.13161885,0.02986814
-4.70935468,0.88649360,0.01039264,0.00767273,0.76082697,0.00000000,0.13337758,0.03081850
-4.70335168,0.90442974,0.01050451,0.00788391,0.77616594,0.00000000,0.13453853,0.03158284
-4.69734867,0.91669408,0.01059847,0.00804526,0.78661090,0.00000000,0.13503614,0.03214605
-4.69134567,0.92300349,0.01066470,0.00815354,0.79192442,0.00000000,0.13482143,0.03249704
-4.68534267,0.92320095,0.01069451,0.00820659,0.79197758,0.00000000,0.13386369,0.03262912
-4.67933967,0.91726163,0.01068059,0.00820339,0.78675508,0.00000000,0.13215158,0.03254034
-4.67333667,0.90529462,0.01061725,0.00814409,0.77635655,0.00000000,0.12969350,0.03223361
-4.66733367,0.88754034,0.01050059,0.00803008,0.76099420,0.00000000,0.12651734,0.03171672
-4.66133067,0.86436381,0.01032852,0.00786388,0.74098691,0.00000000,0.12266949,0.03100213
-4.65532766,0.83624410,0.01010083,0.00764910,0.71675110,0.00000000,0.11821338,0.03010677
-4.64932466,0.80376070,0.00981912,0.00739037,0.68878902,0.00000000,0.11322753,0.02905162
-4.64332166,0.76757742,0.00948666,0.00709315,0.65767481,0.00000000,0.10780325,0.02786121
-4.63731866,0.72842456,0.00910824,0.00676362,0.62403933,0.00000000,0.10204221,0.02656307
