energy_ev,total_up,In_p_up,In_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-6.00000000,0.29281534,0.02957923,0.00084531,0.27110985,0.07098922,0.10087507,0.00000000
-5.99399700,0.31074928,0.03288992,0.00086805,0.28488841,0.07533475,0.10792824,0.00000000
-5.98799400,0.33369753,0.03725197,0.00089547,0.30047346,0.08123382,0.11737843,0.00000000
-5.98199100,0.36187509,0.04273590,0.00092699,0.31784757,0.08876195,0.12937682,0.00000000
-5.97598799,0.39552790,0.04941088,0.00096216,0.33702617,0.09800262,0.14408735,0.00000000
-5.96998499,0.43492406,0.05734209,0.00100066,0.35805549,0.10904463,0.16168250,0.00000000
-5.96398199,0.48034116,0.06658745,0.00104230,0.38100802,0.12197843,0.18233730,0.00000000
-5.95797899,0.53204986,0.07719393,0.00108704,0.40597532,0.13689134,0.20622166,0.00000000
-5.95197599,0.59029422,0.08919358,0.00113491,0.43305863,0.15386188,0.23349127,0.00000000
-5.94597299,0.65526959,0.10259927,0.00118606,0.46235742,0.17295343,0.26427729,0.00000000
-5.93996998,0.72709894,0.11740056,0.00124069,0.49395657,0.19420750,0.29867525,0.00000000
-5.93396698,0.80580867,0.13355974,0.00129907,0.52791260,0.21763674,0.33673370,0.00000000
-5.92796398,0.89130534,0.15100834,0.00136145,0.56423984,0.24321831,0.37844308,0.00000000
-5.92196098,0.98335447,0.16964442,0.00142810,0.60289725,0.27088783,0.42372541,0.00000000
-5.91595798,1.08156290,0.18933069,0.00149923,0.64377667,0.30053423,0.47242556,0.00000000
-5.90995498,1.18536603,0.20989381,0.00157500,0.68669337,0.33199609,0.52430451,0.00000000
-5.90395198,1.29402109,0.23112508,0.00165550,0.73137962,0.36505958,0.57903535,0.00000000
-5.89794897,1.40660729,0.25278243,0.00174073,0.77748185,0.39945840,0.63620240,0.00000000
-5.89194597,1.52203372,0.27459395,0.00183060,0.82456183,0.43487590,0.69530380,0.00000000
-5.88594297,1.63905510,0.29626296,0.00192493,0.87210224,0.47094939,0.75575787,0.00000000
-5.87993997,1.75629528,0.31747432,0.00202345,0.91951642,0.50727677,0.81691303,0.00000000
-5.87393697,1.87227800,0.33790203,0.00212583,0.96616225,0.54342512,0.87806139,0.00000000
-5.86793397,1.98546380,0.35721776,0.00223166,1.01135957,0.57894121,0.93845533,0.00000000
-5.86193097,2.09429174,0.37509999,0.00234051,1.05441045,0.61336330,0.99732663,0.00000000
-5.85592796,2.19722420,0.39124347,0.00245190,1.09462141,0.64623400,1.05390737,0.00000000
-5.84992496,2.29279266,0.40536847,0.00256536,1.13132653,0.67711341,1.10745171,0.00000000
-5.84392196,2.37964246,0.41722955,0.00268042,1.16391034,0.70559206,1.15725748,0.00000000
-5.83791896,2.45657437,0.42662334,0.00279662,1.19182934,0.73130301,1.20268672,0.00000000
-5.83191596,2.52258084,0.43339501,0.00291351,1.21463102,0.75393252,1.24318408,0.00000000
-5.82591296,2.57687538,0.43744314,0.00303065,1.23196954,0.77322880,1.27829221,0.00000000
-5.81990995,2.61891339,0.43872270,0.00314763,1.24361712,0.78900838,1.30766349,0.00000000
-5.81390695,2.64840376,0.43724603,0.00326398,1.24947080,0.80115991,1.33106753,0.00000000
-5.80790395,2.66531066,0.43308180,0.00337923,1.24955415,0.80964507,1.34839408,0.00000000
