energy_ev,total_up,S_s_up,S_p_up,Si_p_up,Si_d_up,W_p_up,W_d_up
-6.00000000,5.78732240,0.02702952,1.41745202,0.35085201,0.00000000,3.45605240,2.52314182
-5.99399700,5.93828721,0.02772593,1.44015190,0.35999202,0.00000000,3.57599979,2.59684822
-5.98799400,6.08907188,0.02846842,1.46306243,0.37116751,0.00000000,3.69446978,2.67016229
-5.98199100,6.23780425,0.02924140,1.48595752,0.38404343,0.00000000,3.81022834,2.74210140
-5.97598799,6.38275035,0.03003192,1.50865890,0.39831168,0.00000000,3.92204418,2.81173906
-5.96998499,6.52233137,0.03082984,1.53103149,0.41369364,0.00000000,4.02870759,2.87821971
-5.96398199,6.65513916,0.03162776,1.55297838,0.42994215,0.00000000,4.12905001,2.94077275
-5.95797899,6.77994918,0.03242095,1.57443528,0.44684265,0.00000000,4.22196351,2.99872516
-5.95197599,6.89573002,0.03320719,1.59536455,0.46421372,0.00000000,4.30641912,3.05151214
-5.94597299,7.00164870,0.03398655,1.61574882,0.48190701,0.00000000,4.38148347,3.09868515
-5.93996998,7.09707073,0.03476101,1.63558423,0.49980636,0.00000000,4.44633268,3.13991685
-5.93396698,7.18155458,0.03553412,1.65487325,0.51782644,0.00000000,4.50026311,3.17500254
-5.92796398,7.25484021,0.03631049,1.67361728,0.53591060,0.00000000,4.54269866,3.20385792
-5.92196098,7.31683197,0.03709533,1.69180920,0.55402814,0.00000000,4.57319434,3.22651308
-5.91595798,7.36757639,0.03789390,1.70942602,0.57217106,0.00000000,4.59143638,3.24310289
-5.90995498,7.40723586,0.03871094,1.72642208,0.59035013,0.00000000,4.59723927,3.25385431
-5.90395198,7.43605960,0.03955017,1.74272301,0.60859068,0.00000000,4.59054020,3.25907104
-5.89794897,7.45435342,0.04041378,1.75822093,0.62692788,0.00000000,4.57139175,3.25911623
-5.89194597,7.46245005,0.04130203,1.77277117,0.64540191,0.00000000,4.53995347,3.25439416
-5.88594297,7.46068165,0.04221288,1.78619093,0.66405300,0.00000000,4.49648323,3.24533161
-5.87993997,7.44935624,0.04314183,1.79826010,0.68291646,0.00000000,4.44132900,3.23235980
-5.87393697,7.42873918,0.04408178,1.80872428,0.70201795,0.00000000,4.37492160,3.21589771
-5.86793397,7.39904083,0.04502317,1.81730029,0.72136910,0.00000000,4.29776882,3.19633732
-5.86193097,7.36041094,0.04595417,1.82368380,0.74096357,0.00000000,4.21045109,3.17403139
-5.85592796,7.31293981,0.04686108,1.82755905,0.76077378,0.00000000,4.11361859,3.14928408
-5.84992496,7.25666607,0.04772886,1.82861015,0.78074831,0.00000000,4.00798960,3.12234463
-5.84392196,7.19159014,0.04854182,1.82653359,0.80081020,0.00000000,3.89434961,3.09340406
-5.83791896,7.11769256,0.04928435,1.82105141,0.82085623,0.00000000,3.77355073,3.06259485
-5.83191596,7.03495574,0.04994181,1.81192434,0.84075720,0.00000000,3.64651067,3.02999335
-5.82591296,6.94338774,0.05050139,1.79896437,0.86035930,0.00000000,3.51421089,2.99562457
-5.81990995,6.84304673,0.05095300,1.78204617,0.87948667,0.00000000,3.37769314,2.95946900
-5.81390695,6.73406450,0.05129003,1.76111674,0.89794500,0.00000000,3.23805422,2.92147115
-5.80790395,6.61666799,0.05151019,1.73620299,0.91552640,0.00000000,3.09643849,2.88154920
-5.80190095,6.49119771,0.05161602,1.70741676,0.93201512,0.00000000,2.95402822,2.83960557
-5.79589795,6.35812206,0.05161534,1.67495716,0.94719438,0.00000000,2.81203171,2.79553801
-5.78989495,6.21804732,0.05152151,1.63911006,0.96085375,0.00000000,2.67166944,2.74925069
-5.78389195,6.07172264,0.05135346,1.60024489,0.97279718,0.00000000,2.53415874,2.70066522
-5.77788894,5.92004016,0.05113543,1.55880872,0.98285119,0.00000000,2.40069733,2.64973105
-5.77188594,5.76403012,0.05089661,1.51531798,0.99087293,0.00000000,2.27244624,2.59643512
-5.76588294,5.60485137,0.05067046,1.47034806,0.99675775,0.00000000,2.15051275,2.54081030
-5.75987994,5.44377734,0.05049391,1.42452121,1.00044588,0.00000000,2.03593376,2.48294245
-5.75387694,5.28217798,0.05040628,1.37849300,1.00192783,0.00000000,1.92965997,2.42297572
-5.74787394,5.12149799,0.05044822,1.33293792,1.00124807,0.00000000,1.83254140,2.36111582
-5.74187094,4.96323172,0.05066042,1.28853435,0.99850672,0.00000000,1.74531430,2.29763105
-5.73586793,4.80889523,0.05108230,1.24594935,0.99385902,0.00000000,1.66858971,2.23285083
-5.72986493,4.65999587,0.05175073,1.20582364,0.98751232,0.00000000,1.60284376,2.16716172
-5.72386193,4.51800008,0.05269872,1.16875703,0.97972067,0.00000000,1.54840959,2.10100070
-5.71785893,4.38429979,0.05395419,1.13529463,0.97077700,0.00000000,1.50547108,2.03484603
-5.71185593,4.26017829,0.05553891,1.10591409,0.96100323,0.00000000,1.47405818,1.96920571
-5.70585293,4.14677627,0.05746750,1.08101418,0.95073857,0.00000000,1.45404386,1.90460389
-5.69984992,4.04505897,0.05974665,1.06090478,0.94032662,0.00000000,1.44514286,1.84156581
-5.69384692,3.95578547,0.06237451,1.04579864,0.93010170,0.00000000,1.44691206,1.78060169
-5.68784392,3.87948115,0.06534037,1.03580504,0.92037526,0.00000000,1.45875287,1.72219018
-5.68184092,3.81641447,0.06862442,1.03092548,0.91142283,0.00000000,1.47991571,1.66676233
-5.67583792,3.76657926,0.07219794,1.03105162,0.90347245,0.00000000,1.50950673,1.61468647
-5.66983492,3.72968339,0.07602352,1.03596557,0.89669496,0.00000000,1.54649727,1.56625502
-5.66383192,3.70514495,0.08005570,1.04534256,0.89119687,0.00000000,1.58973601,1.52167374
-5.65782891,3.69209651,0.08424169,1.05875619,0.88701620,0.00000000,1.63796416,1.48105400
-5.65182591,3.68939810,0.08852236,1.07568606,0.88412154,0.00000000,1.68983378,1.44440870
-5.64582291,3.69565897,0.09283340,1.09552789,0.88241451,0.00000000,1.74392911,1.41165195
-5.63981991,3.70926813,0.09710667,1.11760594,0.88173556,0.00000000,1.79879092,1.38260285
-5.63381691,3.72843319,0.10127156,1.14118749,0.88187291,0.00000000,1.85294338,1.35699330
-5.62781391,3.75122659,0.10525660,1.16549921,0.88257435,0.00000000,1.90492311,1.33447963
-5.62181091,3.77563824,0.10899102,1.18974495,0.88356130,0.00000000,1.95330977,1.31465774
-5.61580790,3.79963299,0.11240635,1.21312467,0.88454472,0.00000000,1.99675726,1.29708126
-5.60980490,3.82121124,0.11543798,1.23485398,0.88524201,0.00000000,2.03402477,1.28128209
-5.60380190,3.83847091,0.11802671,1.25418375,0.88539442,0.00000000,2.06400669,1.26679248
-5.59779890,3.84966854,0.12012008,1.27041929,0.88478413,0.00000000,2.08576029,1.25316791
-5.59179590,3.85327754,0.12167367,1.28293857,0.88325028,0.00000000,2.09853017,1.24000994
-5.58579290,3.84804157,0.12265215,1.29120882,0.88070342,0.00000000,2.10176861,1.22698790
-5.57978989,3.83302095,0.12303012,1.29480113,0.87713769,0.00000000,2.09515101,1.21385874
-5.57378689,3.80763037,0.12279270,1.29340246,0.87264017,0.00000000,2.07858571,1.20048411
-5.56778389,3.77166645,0.12193594,1.28682467,0.86739713,0.00000000,2.05221773,1.18684381
-5.56178089,3.72532376,0.12046686,1.27501034,0.86169656,0.00000000,2.01642630,1.17304503
-5.55577789,3.66919859,0.11840328,1.25803504,0.85592710,0.00000000,1.97181623,1.15932675
-5.54977489,3.60427992,0.11577340,1.23610602,0.85057280,0.00000000,1.91920316,1.14605894
-5.54377189,3.53192759,0.11261506,1.20955721,0.84620413,0.00000000,1.85959352,1.13373623
-5.53776888,3.45383810,0.10897489,1.17884087,0.84346489,0.00000000,1.79415972,1.12296615
-5.53176588,3.37199882,0.10490713,1.14451593,0.84305562,0.00000000,1.72421142,1.11445196
-5.52576288,3.28863201,0.10047242,1.10723342,0.84571358,0.00000000,1.65116409,1.10897048
-5.51975988,3.20613024,0.09573634,1.06771957,0.85218987,0.00000000,1.57650588,1.10734562
-5.51375688,3.12698525,0.09076798,1.02675696,0.86322430,0.00000000,1.50176384,1.11041822
-5.50775388,3.05371269,0.08563843,0.98516445,0.87951884,0.00000000,1.42847090,1.11901342
