energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,2.16612728,0.45856915,0.34813430,0.00299533,0.54927367,0.00387717,0.84334849,0.39390968,0.51261803
-5.99399700,2.14725780,0.44325758,0.34926093,0.00315067,0.55061407,0.00391166,0.82778223,0.38497239,0.51379091
-5.98799400,2.12767124,0.42817700,0.35111936,0.00333126,0.55066890,0.00397755,0.81300571,0.37598253,0.51386842
-5.98199100,2.10797396,0.41358611,0.35374822,0.00353532,0.54954076,0.00407182,0.79933757,0.36715183,0.51295621
-5.97598799,2.08874671,0.39972838,0.35715574,0.00376063,0.54735676,0.00419126,0.78705604,0.35868897,0.51118010
-5.96998499,2.07053610,0.38682896,0.36131982,0.00400460,0.54426584,0.00433243,0.77639582,0.35079633,0.50868331
-5.96398199,2.05384901,0.37509281,0.36618943,0.00426428,0.54043553,0.00449173,0.76754742,0.34366707,0.50562350
-5.95797899,2.03914989,0.36470401,0.37168758,0.00453649,0.53604807,0.00466542,0.76065903,0.33748275,0.50216933
-5.95197599,2.02686054,0.35582631,0.37771541,0.00481788,0.53129613,0.00484970,0.75584063,0.33241126,0.49849688
-5.94597299,2.01736204,0.34860467,0.38415746,0.00510501,0.52637796,0.00504078,0.75317000,0.32860530,0.49478577
-5.93996998,2.01099822,0.34316759,0.39088753,0.00539447,0.52149232,0.00523496,0.75270009,0.32620105,0.49121521
-5.93396698,2.00808010,0.33963007,0.39777514,0.00568299,0.51683310,0.00542876,0.75446738,0.32531713,0.48795997
-5.92796398,2.00889042,0.33809675,0.40469202,0.00596753,0.51258390,0.00561896,0.75850044,0.32605373,0.48518629
-5.92196098,2.01368785,0.33866501,0.41151835,0.00624533,0.50891270,0.00580272,0.76482819,0.32849180,0.48304797
-5.91595798,2.02270997,0.34142771,0.41814844,0.00651404,0.50596664,0.00597763,0.77348713,0.33269223,0.48168259
-5.90995498,2.03617454,0.34647526,0.42449551,0.00677173,0.50386740,0.00614178,0.78452711,0.33869505,0.48120790
-5.90395198,2.05427877,0.35389672,0.43049533,0.00701694,0.50270691,0.00629376,0.79801498,0.34651850,0.48171871
-5.89794897,2.07719604,0.36377973,0.43610848,0.00724866,0.50254402,0.00643270,0.81403592,0.35615807,0.48328401
-5.89194597,2.10507023,0.37620923,0.44132119,0.00746636,0.50340182,0.00655823,0.83269203,0.36758549,0.48594474
-5.88594297,2.13800765,0.39126471,0.44614466,0.00766993,0.50526618,0.00667045,0.85409820,0.38074774,0.48971201
-5.87993997,2.17606692,0.40901627,0.45061290,0.00785958,0.50808523,0.00676985,0.87837538,0.39556621,0.49456608
-5.87393697,2.21924728,0.42951934,0.45477929,0.00803583,0.51177015,0.00685726,0.90564128,0.41193595,0.50045596
-5.86793397,2.26747604,0.45280854,0.45871200,0.00819938,0.51619711,0.00693371,0.93599923,0.42972538,0.50729985
-5.86193097,2.32059603,0.47889075,0.46248854,0.00835099,0.52121045,0.00700039,0.96952543,0.44877628,0.51498632
-5.85592796,2.37835385,0.50773790,0.46618988,0.00849144,0.52662705,0.00705853,1.00625555,0.46890445,0.52337637
-5.84992496,2.44038996,0.53927987,0.46989426,0.00862137,0.53224176,0.00710931,1.04617124,0.48990092,0.53230627
-5.84392196,2.50623151,0.57339789,0.47367126,0.00874124,0.53783373,0.00715379,1.08918744,0.51153389,0.54159118
-5.83791896,2.57528869,0.60991904,0.47757642,0.00885120,0.54317351,0.00719283,1.13514140,0.53355146,0.55102951
-5.83191596,2.64685537,0.64861210,0.48164658,0.00895111,0.54803062,0.00722710,1.18378397,0.55568512,0.56040793
-5.82591296,2.72011443,0.68918535,0.48589643,0.00904041,0.55218140,0.00725702,1.23477407,0.57765397,0.56950682
-5.81990995,2.79414814,0.73128649,0.49031629,0.00911820,0.55541670,0.00728279,1.28767668,0.59916962,0.57810611
-5.81390695,2.86795347,0.77450503,0.49487132,0.00918319,0.55754930,0.00730440,1.34196496,0.61994173,0.58599125
-5.80790395,2.94046207,0.81837709,0.49950219,0.00923378,0.55842061,0.00732169,1.39702642,0.63968389,0.59295924
-5.80190095,3.01056436,0.86239283,0.50412711,0.00926808,0.55790638,0.00733439,1.45217335,0.65811987,0.59882424
-5.79589795,3.07713683,0.90600608,0.50864519,0.00928402,0.55592126,0.00734218,1.50665698,0.67498980,0.60342289
-5.78989495,3.13907151,0.94864611,0.51294084,0.00927943,0.55242187,0.00734477,1.55968517,0.69005638,0.60661890
-5.78389195,3.19530644,0.98973095,0.51688901,0.00925214,0.54740834,0.00734196,1.61044266,0.70311053,0.60830675
-5.77788894,3.24485571,1.02868186,0.52036099,0.00920010,0.54092418,0.00733367,1.65811331,0.71397656,0.60841448
-5.77188594,3.28683783,1.06493824,0.52323032,0.00912148,0.53305454,0.00731998,1.70190311,0.72251656,0.60690531
-5.76588294,3.32050101,1.09797248,0.52537868,0.00901477,0.52392289,0.00730119,1.74106313,0.72863378,0.60377810
-5.75987994,3.34524434,1.12730394,0.52670122,0.00887889,0.51368628,0.00727779,1.77491127,0.73227487,0.59906665
-5.75387694,3.36063381,1.15251156,0.52711126,0.00871324,0.50252948,0.00725046,1.80285188,0.73343105,0.59283777
-5.74787394,3.36641246,1.17324450,0.52654397,0.00851777,0.49065821,0.00722005,1.82439236,0.73213790,0.58518840
-5.74187094,3.36250444,1.18923040,0.52495888,0.00829304,0.47829180,0.00718754,1.83915606,0.72847402,0.57624175
-5.73586793,3.34901267,1.20028097,0.52234119,0.00804019,0.46565570,0.00715402,1.84689101,0.72255845,0.56614269
-5.72986493,3.32621067,1.20629465,0.51870178,0.00776098,0.45297407,0.00712064,1.84747417,0.71454709,0.55505273
-5.72386193,3.29452886,1.20725646,0.51407595,0.00745770,0.44046295,0.00708856,1.84091119,0.70462824,0.54314457
-5.71785893,3.25453648,1.20323513,0.50852110,0.00713317,0.42832419,0.00705894,1.82733201,0.69301742,0.53059674
-5.71185593,3.20692002,1.19437776,0.50211340,0.00679065,0.41674042,0.00703293,1.80698256,0.67995178,0.51758838
-5.70585293,3.15245936,1.18090251,0.49494380,0.00643372,0.40587129,0.00701166,1.78021329,0.66568429,0.50429445
-5.69984992,3.09200316,1.16308967,0.48711352,0.00606625,0.39585108,0.00699630,1.74746527,0.65047796,0.49088154
-5.69384692,3.02644436,1.14127177,0.47872943,0.00569224,0.38678769,0.00698806,1.70925464,0.63460028,0.47750444
-5.68784392,2.95669728,1.11582311,0.46989945,0.00531575,0.37876291,0.00698828,1.66615631,0.61831814,0.46430358
-5.68184092,2.88367710,1.08714942,0.46072837,0.00494077,0.37183402,0.00699850,1.61878758,0.60189333,0.45140334
-5.67583792,2.80828241,1.05567781,0.45131423,0.00457114,0.36603636,0.00702054,1.56779260,0.58557871,0.43891132
-5.66983492,2.73138145,1.02184768,0.44174545,0.00421050,0.36138666,0.00705659,1.51382805,0.56961516,0.42691834
-5.66383192,2.65380200,0.98610254,0.43209884,0.00386215,0.35788692,0.00710926,1.45755064,0.55422914,0.41549930
-5.65782891,2.57632490,0.94888312,0.42243862,0.00352906,0.35552847,0.00718168,1.39960650,0.53963100,0.40471458
-5.65182591,2.49968081,0.91062167,0.41281634,0.00321379,0.35429596,0.00727750,1.34062277,0.52601379,0.39461186
-5.64582291,2.42454961,0.87173739,0.40327172,0.00291851,0.35417093,0.00740092,1.28120111,0.51355245,0.38522820
-5.63981991,2.35156161,0.83263290,0.39383428,0.00264495,0.35513473,0.00755663,1.22191313,0.50240323,0.37659216
-5.63381691,2.28129994,0.79369156,0.38452559,0.00239444,0.35717062,0.00774978,1.16329728,0.49270324,0.36872585
-5.62781391,2.21430314,0.75527536,0.37536204,0.00216792,0.36026492,0.00798577,1.10585695,0.48456982,0.36164659
-5.62181091,2.15106735,0.71772322,0.36635772,0.00196597,0.36440701,0.00827018,1.05005945,0.47809986,0.35536826
-5.61580790,2.09204734,0.68134949,0.35752750,0.00178887,0.36958839,0.00860848,0.99633536,0.47336879,0.34990210
-5.60980490,2.03765611,0.64644248,0.34888979,0.00163658,0.37580070,0.00900583,0.94507812,0.47042931,0.34525694
-5.60380190,1.98826277,0.61326293,0.34046906,0.00150888,0.38303292,0.00946678,0.89664352,0.46930994,0.34143897
-5.59779890,1.94418872,0.58204245,0.33229779,0.00140532,0.39126804,0.00999498,0.85134895,0.47001345,0.33845094
-5.59179590,1.90570239,0.55298179,0.32441776,0.00132532,0.40047935,0.01059287,0.80947244,0.47251535,0.33629102
-5.58579290,1.87301302,0.52624922,0.31688076,0.00126815,0.41062665,0.01126144,0.77125131,0.47676262,0.33495135
-5.57978989,1.84626392,0.50197901,0.30974836,0.00123301,0.42165287,0.01199991,0.73688070,0.48267295,0.33441653
-5.57378689,1.82552610,0.48027020,0.30309118,0.00121901,0.43348119,0.01280557,0.70651207,0.49013466,0.33466209
-5.56778389,1.81079284,0.46118578,0.29698722,0.00122521,0.44601310,0.01367358,0.68025181,0.49900766,0.33565323
-5.56178089,1.80197599,0.44475250,0.29151985,0.00125059,0.45912758,0.01459693,0.65816012,0.50912541,0.33734400
-5.55577789,1.79890464,0.43096138,0.28677509,0.00129408,0.47268163,0.01556638,0.64025048,0.52029832,0.33967686
-5.54977489,1.80132662,0.41976904,0.28283873,0.00135453,0.48651224,0.01657061,0.62648969,0.53231839,0.34258300
-5.54377189,1.80891317,0.41109979,0.27979316,0.00143070,0.50043983,0.01759633,0.61679875,0.54496523,0.34598329
-5.53776888,1.82126690,0.40484870,0.27771420,0.00152128,0.51427302,0.01862862,0.61105455,0.55801334,0.34978992
-5.53176588,1.83793297,0.40088528,0.27666810,0.00162483,0.52781478,0.01965122,0.60909250,0.57124036,0.35390877
-5.52576288,1.85841318,0.39905797,0.27670879,0.00173979,0.54086942,0.02064700,0.61070999,0.58443612,0.35824233
-5.51975988,1.88218236,0.39919909,0.27787562,0.00186447,0.55325037,0.02159843,0.61567072,0.59741204,0.36269304
-5.51375688,1.90870657,0.40113006,0.28019157,0.00199704,0.56478819,0.02248814,0.62370972,0.61001051,0.36716706
-5.50775388,1.93746216,0.40466689,0.28366218,0.00213555,0.57533852,0.02329942,0.63453906,0.62211369,0.37157800
-5.50175088,1.96795485,0.40962549,0.28827515,0.00227790,0.58478937,0.02401682,0.64785397,0.63365138,0.37585064
-5.49574787,1.99973790,0.41582673,0.29400071,0.00242188,0.59306755,0.02462668,0.66333938,0.64460730,0.37992436
-5.48974487,2.03242854,0.42310105,0.30079266,0.00256521,0.60014365,0.02511756,0.68067664,0.65502350,0.38375591
-5.48374187,2.06572173,0.43129237,0.30859024,0.00270552,0.60603530,0.02548071,0.69955023,0.66500247,0.38732168
-5.47773887,2.09940056,0.44026124,0.31732045,0.00284044,0.61080851,0.02571037,0.71965441,0.67470659,0.39061898
-5.47173587,2.13334285,0.44988707,0.32690113,0.00296760,0.61457683,0.02580401,0.74069955,0.68435484,0.39366638
-5.46573287,2.16752333,0.46006941,0.33724423,0.00308471,0.61749828,0.02576244,0.76241806,0.69421666,0.39650308
-5.45972986,2.20201140,0.47072820,0.34825953,0.00318959,0.61977023,0.02558982,0.78456970,0.70460301,0.39918723
-5.45372686,2.23696443,0.48180304,0.35985831,0.00328022,0.62162213,0.02529355,0.80694610,0.71585492,0.40179321
-5.44772386,2.27261676,0.49325153,0.37195707,0.00335483,0.62330666,0.02488405,0.82937448,0.72832984,0.40440814
-5.44172086,2.30926492,0.50504674,0.38448091,0.00341190,0.62508940,0.02437448,0.85172018,0.74238623,0.40712753
-5.43571786,2.34724959,0.51717398,0.39736663,0.00345020,0.62723764,0.02378030,0.87388815,0.75836706,0.41005047
-5.42971486,2.38693517,0.52962698,0.41056510,0.00346887,0.63000870,0.02311880,0.89582313,0.77658287,0.41327447
-5.42371186,2.42868776,0.54240374,0.42404317,0.00346743,0.63363843,0.02240864,0.91750852,0.79729503,0.41689016
-5.41770885,2.47285260,0.55550210,0.43778464,0.00344575,0.63833030,0.02166925,0.93896388,0.82070027,0.42097630
-5.41170585,2.51973200,0.56891552,0.45179049,0.00340413,0.64424570,0.02092030,0.96024125,0.84691682,0.42559507
-5.40570285,2.56956485,0.58262894,0.46607824,0.00334324,0.65149589,0.02018117,0.98142009,0.87597332,0.43078814
-5.39969985,2.62250854,0.59661530,0.48068051,0.00326409,0.66013609,0.01947038,1.00260134,0.90780086,0.43657362
-5.39369685,2.67862437,0.61083261,0.49564268,0.00316807,0.67016196,0.01880515,1.02390043,0.94222879,0.44294399
-5.38769385,2.73786707,0.62522195,0.51101997,0.00305682,0.68150866,0.01820097,1.04543980,0.97898466,0.44986527
-5.38169085,2.80007894,0.63970637,0.52687380,0.00293225,0.69405276,0.01767121,1.06734096,1.01769854,0.45727749
-5.37568784,2.86498891,0.65419093,0.54326770,0.00279644,0.70761675,0.01722686,1.08971644,1.05791155,0.46509627
-5.36968484,2.93221661,0.66856378,0.56026283,0.00265162,0.72197610,0.01687626,1.11266202,1.09908858,0.47321574
-5.36368184,3.00128109,0.68269821,0.57791324,0.00250006,0.73686852,0.01662499,1.13624930,1.14063466,0.48151239
-5.35767884,3.07161373,0.69645569,0.59626115,0.00234405,0.75200503,0.01647579,1.16051908,1.18191431,0.48984990
-5.35167584,3.14257458,0.70968968,0.61533211,0.00218584,0.76708225,0.01642856,1.18547561,1.22227313,0.49808449
-5.34567284,3.21347128,0.72224992,0.63513051,0.00202754,0.78179543,0.01648041,1.21108195,1.26106068,0.50607075
-5.33966983,3.28357931,0.73398709,0.65563532,0.00187114,0.79585143,0.01662586,1.23725654,1.29765358,0.51366741
-5.33366683,3.35216263,0.74475746,0.67679631,0.00171843,0.80898125,0.01685700,1.26387111,1.33147781,0.52074299
-5.32766383,3.41849364,0.75442733,0.69853097,0.00157097,0.82095120,0.01716376,1.29074992,1.36202917,0.52718085
-5.32166083,3.48187132,0.76287703,0.72072207,0.00143009,0.83157248,0.01753424,1.31767046,1.38889098,0.53288351
-5.31565783,3.54163700,0.77000415,0.74321618,0.00129689,0.84070853,0.01795502,1.34436544,1.41174832,0.53777596
-5.30965483,3.59718709,0.77572607,0.76582331,0.00117218,0.84827997,0.01841163,1.37052626,1.43039805,0.54180793
-5.30365183,3.64798263,0.77998144,0.78831763,0.00105657,0.85426687,0.01888889,1.39580788,1.44475459,0.54495486
-5.29764882,3.69355556,0.78273085,0.81043958,0.00095041,0.85870848,0.01937138,1.41983491,1.45485109,0.54721783
-5.29164582,3.73351234,0.78395656,0.83189941,0.00085386,0.86170046,0.01984391,1.44220917,1.46083642,0.54862232
-5.28564282,3.76753527,0.78366157,0.85238216,0.00076688,0.86339000,0.02029187,1.46251844,1.46296829,0.54921603
-5.27963982,3.79538235,0.78186804,0.87155414,0.00068931,0.86396917,0.02070176,1.48034635,1.46160321,0.54906602
-5.27363682,3.81688675,0.77861551,0.88907083,0.00062083,0.86366707,0.02106149,1.49528346,1.45718408,0.54825531
-5.26763382,3.83195642,0.77395894,0.90458607,0.00056103,0.86274137,0.02136081,1.50693907,1.45022629,0.54687926
-5.26163082,3.84057498,0.76796690,0.91776231,0.00050947,0.86146966,0.02159157,1.51495378,1.44130329,0.54504207
-5.25562781,3.84280424,0.76072010,0.92828159,0.00046562,0.86014128,0.02174799,1.51901232,1.43103238,0.54285343
-5.24962481,3.83878879,0.75231049,0.93585695,0.00042898,0.85905013,0.02182689,1.51885631,1.42006162,0.54042579
-5.24362181,3.82876257,0.74284077,0.94024373,0.00039904,0.85848860,0.02182771,1.51429653,1.40905826,0.53787218
-5.23761881,3.81305723,0.73242469,0.94125031,0.00037534,0.85874301,0.02175264,1.50522415,1.39869918,0.53530475
-5.23161581,3.79211137,0.72118771,0.93874785,0.00035746,0.86009065,0.02160655,1.49162040,1.38966325,0.53283412
-5.22561281,3.76647989,0.70926816,0.93267834,0.00034502,0.86279819,0.02139686,1.47356414,1.38262565,0.53056921
-5.21960980,3.73684222,0.69681854,0.92306075,0.00033774,0.86712136,0.02113336,1.45123686,1.37825373,0.52861781
-5.21360680,3.70400795,0.68400685,0.90999467,0.00033540,0.87330555,0.02082792,1.42492467,1.37720378,0.52708731
-5.20760380,3.66891875,0.67101752,0.89366127,0.00033786,0.88158684,0.02049420,1.39501688,1.38011815,0.52608569
-5.20160080,3.63264520,0.65805186,0.87432145,0.00034506,0.89219306,0.02014721,1.36200109,1.38762196,0.52572231
-5.19559780,3.59637765,0.64532766,0.85231098,0.00035699,0.90534443,0.01980291,1.32645473,1.40031871,0.52610843
-5.18959480,3.56141034,0.63307782,0.82803299,0.00037372,0.92125319,0.01947770,1.28903307,1.41878426,0.52735716
-5.18359180,3.52911871,0.62154784,0.80194786,0.00039539,0.94012207,0.01918793,1.25045421,1.44355859,0.52958270
-5.17758879,3.50092993,0.61099218,0.77456102,0.00042217,0.96214127,0.01894941,1.21148139,1.47513535,0.53289876
-5.17158579,3.47828752,0.60166946,0.74640919,0.00045425,0.98748376,0.01877691,1.17290331,1.51394917,0.53741621
-5.16558279,3.46261121,0.59383670,0.71804550,0.00049187,1.01629921,0.01868366,1.13551326,1.56036097,0.54323982
-5.15957979,3.45525356,0.58774277,0.69002433,0.00053526,1.04870654,0.01868092,1.10008773,1.61464209,0.55046442
-5.15357679,3.45745533,0.58362133,0.66288632,0.00058465,1.08478551,0.01877760,1.06736563,1.67695777,0.55917050
-5.14757379,3.47030163,0.58168359,0.63714429,0.00064025,1.12456797,0.01897994,1.03802870,1.74735128,0.56941959
-5.14157079,3.49468106,0.58211130,0.61327057,0.00070226,1.16802916,0.01929125,1.01268402,1.82572955,0.58124957
-5.13556778,3.53124990,0.58505018,0.59168625,0.00077081,1.21507979,0.01971177,0.99184933,1.91185157,0.59467041
-5.12956478,3.58040318,0.59060431,0.57275260,0.00084601,1.26555945,0.02023860,0.97594156,2.00532048,0.60966045
-5.12356178,3.64225415,0.59883157,0.55676494,0.00092790,1.31923195,0.02086576,0.96526898,2.10558028,0.62616345
-5.11755878,3.71662315,0.60974060,0.54394903,0.00101649,1.37578304,0.02158430,0.96002710,2.21191776,0.64408689
-5.11155578,3.80303649,0.62328908,0.53445983,0.00111171,1.43482073,0.02238256,0.96029824,2.32347002,0.66330136
-5.10555278,3.90073513,0.63938373,0.52838257,0.00121341,1.49587855,0.02324649,0.96605456,2.43923750,0.68364133
-5.09954977,4.00869272,0.65788173,0.52573562,0.00132141,1.55842156,0.02416005,0.97716406,2.55810219,0.70490719
-5.09354677,4.12564174,0.67859354,0.52647504,0.00143545,1.62185498,0.02510565,0.99339906,2.67885037,0.72686857
-5.08754377,4.25010633,0.70128698,0.53050010,0.00155521,1.68553511,0.02606472,1.01444650,2.80019876,0.74926875
-5.08154077,4.38043985,0.72569214,0.53765956,0.00168029,1.74878200,0.02701820,1.03991928,2.92082311,0.77182983
-5.07553777,4.51486524,0.75150698,0.54775810,0.00181024,1.81089322,0.02794708,1.06936814,3.03938760,0.79425870
-5.06953477,4.65151615,0.77840327,0.56056266,0.00194454,1.87115830,0.02883295,1.10229318,3.15457387,0.81625321
-5.06353177,4.78847687,0.80603260,0.57580826,0.00208258,1.92887285,0.02965847,1.13815472,3.26510825,0.83750842
-5.05752876,4.92381949,0.83403213,0.59320315,0.00222368,1.98335215,0.03040782,1.17638297,3.36978608,0.85772268
-5.05152576,5.05563704,0.86203004,0.61243318,0.00236707,2.03394335,0.03106703,1.21638626,3.46749203,0.87660327
-5.04552276,5.18207159,0.88965042,0.63316534,0.00251188,2.08003612,0.03162429,1.25755782,3.55721596,0.89387139
-5.03951976,5.30133733,0.91651758,0.65505063,0.00265717,2.12107137,0.03207013,1.29928110,3.63806381,0.90926644
-5.03351676,5.41173835,0.94225983,0.67772628,0.00280184,2.15654803,0.03239752,1.34093401,3.70926373,0.92254956
-5.02751376,5.51168197,0.96651289,0.70081789,0.00294473,2.18602786,0.03260188,1.38189227,3.77016761,0.93350633
-5.02151076,5.59968842,0.98892290,0.72394134,0.00308455,2.20913857,0.03268102,1.42153251,3.82024878,0.94194883
-5.01550775,5.67439799,1.00914935,0.74670514,0.00321991,2.22557542,0.03263500,1.45923541,3.85909665,0.94771704
-5.00950475,5.73457694,1.02686808,0.76871331,0.00334930,2.23510174,0.03246593,1.49438954,3.88640932,0.95067989
-5.00350175,5.77912334,1.04177456,0.78956902,0.00347118,2.23754869,0.03217770,1.52639619,3.90198519,0.95073586
