energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.51083709,0.00218931,0.17246238,0.38400932,0.85081177,0.00931029,0.33344239,0.21422605,0.03881937
-5.99399700,1.61883034,0.00243399,0.18591184,0.40850399,0.90987832,0.00993615,0.35615035,0.23517846,0.04168712
-5.98799400,1.72975124,0.00270221,0.19961250,0.43329447,0.97010697,0.01057697,0.37948032,0.25795395,0.04473300
-5.98199100,1.84310791,0.00299400,0.21347009,0.45826456,1.03123796,0.01122610,0.40333545,0.28260257,0.04794568
-5.97598799,1.95842028,0.00330959,0.22738398,0.48330946,1.09302459,0.01187681,0.42762381,0.30916606,0.05131512
-5.96998499,2.07521986,0.00364939,0.24124780,0.50833434,1.15523603,0.01252241,0.45225729,0.33767202,0.05483209
-5.96398199,2.19304925,0.00401398,0.25495021,0.53325249,1.21766019,0.01315620,0.47715030,0.36812767,0.05848767
-5.95797899,2.31146152,0.00440414,0.26837600,0.55798289,1.28010620,0.01377151,0.50221839,0.40051362,0.06227270
-5.95197599,2.43001952,0.00482079,0.28140733,0.58244754,1.34240664,0.01436182,0.52737690,0.43477776,0.06617727
-5.94597299,2.54829513,0.00526495,0.29392522,0.60656860,1.40441903,0.01492076,0.55253963,0.47082970,0.07019016
-5.93996998,2.66586839,0.00573769,0.30581130,0.63026550,1.46602667,0.01544221,0.57761779,0.50853592,0.07429841
-5.93396698,2.78232653,0.00624009,0.31694967,0.65345225,1.52713827,0.01592042,0.60251906,0.54771617,0.07848682
-5.92796398,2.89726286,0.00677306,0.32722900,0.67603511,1.58768649,0.01635006,0.62714707,0.58814121,0.08273764
-5.92196098,3.01027548,0.00733734,0.33654468,0.69791079,1.64762496,0.01672635,0.65140119,0.62953224,0.08703032
-5.91595798,3.12096583,0.00793328,0.34480101,0.71896537,1.70692389,0.01704515,0.67517681,0.67156232,0.09134134
-5.90995498,3.22893701,0.00856078,0.35191335,0.73907395,1.76556406,0.01730299,0.69836595,0.71385977,0.09564425
-5.90395198,3.33379213,0.00921911,0.35781012,0.75810129,1.82352949,0.01749724,0.72085846,0.75601375,0.09990978
-5.89794897,3.43513259,0.00990683,0.36243467,0.77590327,1.88079886,0.01762607,0.74254352,0.79758189,0.10410618
-5.89194597,3.53255658,0.01062161,0.36574680,0.79232933,1.93733612,0.01768857,0.76331163,0.83809980,0.10819966
-5.88594297,3.62565812,0.01136022,0.36772393,0.80722576,1.99308063,0.01768473,0.78305689,0.87709240,0.11215500
-5.87993997,3.71402663,0.01211839,0.36836197,0.82043970,2.04793756,0.01761548,0.80167954,0.91408644,0.11593631
-5.87393697,3.79724765,0.01289083,0.36767566,0.83182376,2.10176900,0.01748265,0.81908867,0.94862398,0.11950788
-5.86793397,3.87490468,0.01367124,0.36569846,0.84124110,2.15438653,0.01728899,0.83520496,0.98027624,0.12283513
-5.86193097,3.94658263,0.01445240,0.36248207,0.84857065,2.20554588,0.01703811,0.84996340,1.00865729,0.12588559
-5.85592796,4.01187293,0.01522622,0.35809544,0.85371236,2.25494420,0.01673443,0.86331580,1.03343698,0.12862994
-5.84992496,4.07038042,0.01598400,0.35262339,0.85659221,2.30222047,0.01638315,0.87523301,1.05435259,0.13104297
-5.84392196,4.12173204,0.01671656,0.34616489,0.85716671,2.34695928,0.01599020,0.88570682,1.07121868,0.13310449
-5.83791896,4.16558717,0.01741456,0.33883111,0.85542675,2.38869814,0.01556215,0.89475129,1.08393465,0.13480017
-5.83191596,4.20164932,0.01806875,0.33074309,0.85140059,2.42693830,0.01510620,0.90240372,1.09248974,0.13612213
-5.82591296,4.22967881,0.01867029,0.32202944,0.84515577,2.46115857,0.01463008,0.90872488,1.09696522,0.13706954
-5.81990995,4.24950586,0.01921107,0.31282380,0.83679998,2.49083193,0.01414203,0.91379881,1.09753361,0.13764879
-5.81390695,4.26104348,0.01968401,0.30326238,0.82648067,2.51544387,0.01365075,0.91773202,1.09445502,0.13787369
-5.80790395,4.26429953,0.02008339,0.29348146,0.81438348,2.53451195,0.01316530,0.92065210,1.08807072,0.13776527
-5.80190095,4.25938711,0.02040508,0.28361506,0.80072942,2.54760545,0.01269512,0.92270590,1.07879422,0.13735146
-5.79589795,4.24653266,0.02064679,0.27379265,0.78577096,2.55436413,0.01224988,0.92405720,1.06710018,0.13666656
-5.78989495,4.22608097,0.02080824,0.26413710,0.76978712,2.55451520,0.01183948,0.92488406,1.05351160,0.13575048
-5.78389195,4.19849667,0.02089122,0.25476276,0.75307752,2.54788757,0.01147391,0.92537566,1.03858572,0.13464789
-5.77788894,4.16436157,0.02089969,0.24577380,0.73595588,2.53442256,0.01116318,0.92572892,1.02289906,0.13340711
-5.77188594,4.12436768,0.02083970,0.23726274,0.71874274,2.51418062,0.01091715,0.92614470,1.00703223,0.13207902
-5.76588294,4.07930559,0.02071932,0.22930922,0.70175796,2.48734346,0.01074542,0.92682376,0.99155468,0.13071577
-5.75987994,4.03004845,0.02054839,0.22197901,0.68531290,2.45421161,0.01065710,0.92796232,0.97701004,0.12936945
-5.75387694,3.97753172,0.02033834,0.21532327,0.66970268,2.41519744,0.01066063,0.92974735,0.96390221,0.12809082
-5.74787394,3.92272911,0.02010182,0.20937802,0.65519860,2.37081383,0.01076356,0.93235149,0.95268258,0.12692784
-5.74187094,3.86662557,0.01985238,0.20416395,0.64204091,2.32165914,0.01097223,0.93592775,0.94373853,0.12592442
-5.73586793,3.81018796,0.01960401,0.19968641,0.63043223,2.26839904,0.01129157,0.94060397,0.93738353,0.12511906
-5.72986493,3.75433462,0.01937073,0.19593572,0.62053165,2.21174617,0.01172479,0.94647715,0.93384888,0.12454365
-5.72386193,3.69990495,0.01916611,0.19288775,0.61244983,2.15243834,0.01227311,0.95360792,0.93327726,0.12422236
-5.71785893,3.64763018,0.01900281,0.19050476,0.60624519,2.09121644,0.01293551,0.96201516,0.93571825,0.12417065
-5.71185593,3.59810685,0.01889214,0.18873659,0.60192133,2.02880286,0.01370852,0.97167135,0.94112595,0.12439447
-5.70585293,3.55177410,0.01884362,0.18752211,0.59942591,1.96588147,0.01458603,0.98249854,0.94935872,0.12488972
-5.69984992,3.50889603,0.01886458,0.18679089,0.59865102,1.90307993,0.01555918,0.99436574,0.96018133,0.12564192
-5.69384692,3.46955040,0.01895987,0.18646527,0.59943514,1.84095500,0.01661635,1.00708763,0.97326932,0.12662618
-5.68784392,3.43362431,0.01913157,0.18646256,0.60156678,1.77998153,0.01774323,1.02042523,0.98821603,0.12780752
-5.68184092,3.40081760,0.01937881,0.18669745,0.60478972,1.72054536,0.01892291,1.03408860,1.00454184,0.12914150
-5.67583792,3.37065428,0.01969774,0.18708464,0.60880981,1.66294047,0.02013622,1.04774181,1.02170594,0.13057525
-5.66983492,3.34250174,0.02008147,0.18754145,0.61330324,1.60737017,0.02136206,1.06101027,1.03912025,0.13204883
-5.66383192,3.31559752,0.02052027,0.18799052,0.61792593,1.55395233,0.02257787,1.07349033,1.05616528,0.13349688
-5.65782891,3.28908238,0.02100176,0.18836234,0.62232400,1.50272808,0.02376016,1.08476091,1.07220757,0.13485060
-5.65182591,3.26203871,0.02151127,0.18859768,0.62614473,1.45367344,0.02488516,1.09439696,1.08661826,0.13603993
-5.64582291,3.23353248,0.02203221,0.18864964,0.62904788,1.40671322,0.02592950,1.10198404,1.09879207,0.13699592
-5.63981991,3.20265681,0.02254667,0.18848542,0.63071668,1.36173633,0.02687087,1.10713368,1.10816624,0.13765304
-5.63381691,3.16857516,0.02303591,0.18808745,0.63086832,1.31861160,0.02768871,1.10949851,1.11423848,0.13795164
-5.62781391,3.13056191,0.02348101,0.18745411,0.62926328,1.27720316,0.02836491,1.10878672,1.11658337,0.13784003
-5.62181091,3.08803819,0.02386351,0.18659969,0.62571329,1.23738465,0.02888432,1.10477488,1.11486635,0.13727649
-5.61580790,3.04060108,0.02416602,0.18555373,0.62008731,1.19905132,0.02923533,1.09731843,1.10885484,0.13623086
-5.60980490,2.98804450,0.02437285,0.18435964,0.61231556,1.16212935,0.02941015,1.08635928,1.09842568,0.13468568
-5.60380190,2.93037051,0.02447051,0.18307261,0.60239108,1.12658201,0.02940513,1.07192995,1.08356873,0.13263684
-5.59779890,2.86779033,0.02444819,0.18175693,0.59036901,1.09241216,0.02922078,1.05415395,1.06438636,0.13009377
-5.59179590,2.80071490,0.02429814,0.18048276,0.57636341,1.05966118,0.02886174,1.03324218,1.04108861,0.12707898
-5.58579290,2.72973526,0.02401588,0.17932245,0.56054187,1.02840428,0.02833655,1.00948564,1.01398452,0.12362714
-5.57978989,2.65559390,0.02360034,0.17834661,0.54311811,0.99874267,0.02765728,0.98324440,0.98346972,0.11978364
-5.57378689,2.57914836,0.02305388,0.17762006,0.52434298,0.97079302,0.02683905,0.95493374,0.95001101,0.11560280
-5.56778389,2.50132925,0.02238210,0.17719792,0.50449417,0.94467507,0.02589945,0.92500771,0.91412858,0.11114568
-5.56178089,2.42309470,0.02159365,0.17712195,0.48386523,0.92049808,0.02485789,0.89394127,0.87637667,0.10647772
-5.55577789,2.34538397,0.02069985,0.17741744,0.46275435,0.89834713,0.02373488,0.86221166,0.83732365,0.10166630
-5.54977489,2.26907256,0.01971424,0.17809066,0.44145347,0.87827017,0.02255136,0.83028010,0.79753236,0.09677826
-5.54377189,2.19493136,0.01865210,0.17912728,0.42023808,0.86026679,0.02132800,0.79857457,0.75754159,0.09187763
-5.53776888,2.12359190,0.01752993,0.18049162,0.39935834,0.84427934,0.02008460,0.76747469,0.71784951,0.08702358
-5.53176588,2.05551970,0.01636485,0.18212699,0.37903170,0.83018728,0.01883953,0.73729929,0.67889971,0.08226864
