energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-5.87393697,0.53416989,0.33341150,0.00000000,0.00019172,0.07199103,0.33497979,0.00000000,0.16312976,0.08666702
-5.86793397,0.52767172,0.32789720,0.00000000,0.00015865,0.07234513,0.33067896,0.00000000,0.15844365,0.08602006
-5.86193097,0.51996759,0.32188436,0.00000000,0.00013118,0.07230487,0.32566194,0.00000000,0.15388238,0.08509758
-5.85592796,0.51089866,0.31524904,0.00000000,0.00010881,0.07186882,0.31982507,0.00000000,0.14935118,0.08388174
-5.84992496,0.50040320,0.30792749,0.00000000,0.00009111,0.07104884,0.31312536,0.00000000,0.14478377,0.08237119
-5.84392196,0.48852066,0.29991917,0.00000000,0.00007771,0.06987035,0.30558308,0.00000000,0.14014420,0.08058182
-5.83791896,0.47539216,0.29128744,0.00000000,0.00006831,0.06837202,0.29728213,0.00000000,0.13542748,0.07854700
-5.83191596,0.46125768,0.28215805,0.00000000,0.00006273,0.06660530,0.28836818,0.00000000,0.13065902,0.07631733
-5.82591296,0.44645024,0.27271576,0.00000000,0.00006087,0.06463345,0.27904499,0.00000000,0.12589296,0.07396004
-5.81990995,0.43138749,0.26319929,0.00000000,0.00006275,0.06253037,0.26956912,0.00000000,0.12120963,0.07155791
-5.81390695,0.41656134,0.25389484,0.00000000,0.00006853,0.06037920,0.26024327,0.00000000,0.11671230,0.06920804
-5.80790395,0.40252585,0.24512870,0.00000000,0.00007846,0.05827071,0.25140863,0.00000000,0.11252332,0.06702029
-5.80190095,0.38988416,0.23725900,0.00000000,0.00009295,0.05630159,0.24343653,0.00000000,0.10877992,0.06511564
-5.79589795,0.37927469,0.23066700,0.00000000,0.00011253,0.05457276,0.23671969,0.00000000,0.10562979,0.06362434
-5.78989495,0.37135700,0.22574818,0.00000000,0.00013786,0.05318753,0.23166322,0.00000000,0.10322653,0.06268405
-5.78389195,0.36679776,0.22290321,0.00000000,0.00016974,0.05224982,0.22867569,0.00000000,0.10172524,0.06243785
-5.77788894,0.36625678,0.22252894,0.00000000,0.00020909,0.05186249,0.22816025,0.00000000,0.10127819,0.06303216
-5.77188594,0.37037351,0.22500958,0.00000000,0.00025695,0.05212554,0.23050614,0.00000000,0.10203069,0.06461457
-5.76588294,0.37975384,0.23070809,0.00000000,0.00031447,0.05313446,0.23608035,0.00000000,0.10411733,0.06733150
-5.75987994,0.39495749,0.23995771,0.00000000,0.00038290,0.05497857,0.24521975,0.00000000,0.10765846,0.07132568
-5.75387694,0.41648566,0.25305379,0.00000000,0.00046352,0.05773928,0.25822345,0.00000000,0.11275701,0.07673342
-5.74787394,0.44476925,0.27024590,0.00000000,0.00055769,0.06148846,0.27534565,0.00000000,0.11949573,0.08368156
-5.74187094,0.48015750,0.29173016,0.00000000,0.00066675,0.06628666,0.29678878,0.00000000,0.12793477,0.09228421
-5.73586793,0.52290712,0.31764214,0.00000000,0.00079200,0.07218137,0.32269714,0.00000000,0.13810962,0.10263919
-5.72986493,0.57317207,0.34805010,0.00000000,0.00093466,0.07920528,0.35315105,0.00000000,0.15002947,0.11482424
-5.72386193,0.63099418,0.38294909,0.00000000,0.00109584,0.08737447,0.38816164,0.00000000,0.16367601,0.12889305
-5.71785893,0.69629480,0.42225591,0.00000000,0.00127642,0.09668674,0.42766646,0.00000000,0.17900260,0.14487133
-5.71185593,0.76886796,0.46580525,0.00000000,0.00147707,0.10712002,0.47152604,0.00000000,0.19593399,0.16275283
-5.70585293,0.84837515,0.51334731,0.00000000,0.00169815,0.11863096,0.51952168,0.00000000,0.21436641,0.18249579
-5.69984992,0.93434249,0.56454724,0.00000000,0.00193967,0.13115385,0.57135466,0.00000000,0.23416825,0.20401974
-5.69384692,1.02616033,0.61898653,0.00000000,0.00220123,0.14459989,0.62664713,0.00000000,0.25518121,0.22720308
-5.68784392,1.12308599,0.67616675,0.00000000,0.00248201,0.15885693,0.68494474,0.00000000,0.27722200,0.25188154
-5.68184092,1.22424980,0.73551571,0.00000000,0.00278069,0.17378982,0.74572142,0.00000000,0.30008456,0.27784776
-5.67583792,1.32866474,0.79639623,0.00000000,0.00309549,0.18924138,0.80838610,0.00000000,0.32354281,0.30485221
-5.66983492,1.43523984,0.85811737,0.00000000,0.00342415,0.20503414,0.87229172,0.00000000,0.34735385,0.33260553
-5.66383192,1.54279737,0.91994819,0.00000000,0.00376390,0.22097276,0.93674618,0.00000000,0.37126175,0.36078248
-5.65782891,1.65009356,0.98113360,0.00000000,0.00411156,0.23684725,1.00102530,0.00000000,0.39500157,0.38902733
-5.65182591,1.75584263,1.04091207,0.00000000,0.00446359,0.25243692,1.06438745,0.00000000,0.41830397,0.41696090
-5.64582291,1.85874359,1.09853467,0.00000000,0.00481612,0.26751498,1.12608954,0.00000000,0.44089991,0.44418890
-5.63981991,1.95750921,1.15328480,0.00000000,0.00516507,0.28185362,1.18540397,0.00000000,0.46252572,0.47031137
-5.63381691,2.05089618,1.20449806,0.00000000,0.00550628,0.29522959,1.24163601,0.00000000,0.48292831,0.49493307
-5.62781391,2.13773584,1.25158140,0.00000000,0.00583560,0.30742988,1.29414116,0.00000000,0.50187033,0.51767432
-5.62181091,2.21696410,1.29403099,0.00000000,0.00614904,0.31825749,1.34234179,0.00000000,0.51913547,0.53818191
-5.61580790,2.28764986,1.33144784,0.00000000,0.00644293,0.32753696,1.38574256,0.00000000,0.53453346,0.55613966
-5.60980490,2.34902053,1.36355081,0.00000000,0.00671400,0.33511944,1.42394402,0.00000000,0.54790490,0.57127820
-5.60380190,2.40048384,1.39018606,0.00000000,0.00695958,0.34088717,1.45665379,0.00000000,0.55912573,0.58338345
-5.59779890,2.44164493,1.41133277,0.00000000,0.00717769,0.34475704,1.48369489,0.00000000,0.56811115,0.59230351
-5.59179590,2.47231793,1.42710455,0.00000000,0.00736715,0.34668319,1.50501079,0.00000000,0.57481892,0.59795355
-5.58579290,2.49253131,1.43774646,0.00000000,0.00752765,0.34665842,1.52066681,0.00000000,0.57925188,0.60031844
-5.57978989,2.50252679,1.44362757,0.00000000,0.00765985,0.34471442,1.53084781,0.00000000,0.58145949,0.59945305
-5.57378689,2.50275140,1.44522924,0.00000000,0.00776536,0.34092064,1.53585194,0.00000000,0.58153840,0.59548013
-5.56778389,2.49384302,1.44312930,0.00000000,0.00784675,0.33538211,1.53608074,0.00000000,0.57963174,0.58858574
-5.56178089,2.47660949,1.43798287,0.00000000,0.00790754,0.32823591,1.53202561,0.00000000,0.57592712,0.57901262
-5.55577789,2.45200225,1.43050018,0.00000000,0.00795206,0.31964683,1.52425124,0.00000000,0.57065335,0.56705157
-5.54977489,2.42108506,1.42142225,0.00000000,0.00798540,0.30980205,1.51337637,0.00000000,0.56407562,0.55303136
-5.54377189,2.38499914,1.41149538,0.00000000,0.00801326,0.29890530,1.50005260,0.00000000,0.55648950,0.53730748
-5.53776888,2.34492593,1.40144522,0.00000000,0.00804176,0.28717064,1.48494207,0.00000000,0.54821348,0.52025037
-5.53176588,2.30204884,1.39195142,0.00000000,0.00807727,0.27481612,1.46869469,0.00000000,0.53958051,0.50223350
-5.52576288,2.25751558,1.38362400,0.00000000,0.00812622,0.26205758,1.45192595,0.00000000,0.53092858,0.48362182
-5.51975988,2.21240245,1.37698201,0.00000000,0.00819486,0.24910287,1.43519616,0.00000000,0.52259064,0.46476116
-5.51375688,2.16768210,1.37243572,0.00000000,0.00828908,0.23614660,1.41899194,0.00000000,0.51488432,0.44596883
-5.50775388,2.12419599,1.37027276,0.00000000,0.00841421,0.22336571,1.40371080,0.00000000,0.50810167,0.42752589
-5.50175088,2.08263274,1.37064900,0.00000000,0.00857481,0.21091597,1.38964952,0.00000000,0.50249944,0.40967129
