energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
1.49174587,2.78472915,0.00724089,0.13556125,0.37280397,0.90992033,0.04216795,0.38891163,0.67379358,1.48806310
1.49774887,2.74426939,0.00706923,0.13420992,0.36496862,0.91018658,0.04159255,0.38123438,0.65809584,1.45537937
1.50375188,2.71838520,0.00693442,0.13386626,0.35822226,0.91746587,0.04113827,0.37468142,0.64570299,1.42831351
1.50975488,2.70801928,0.00683843,0.13456557,0.35271264,0.93209553,0.04082181,0.36940187,0.63682294,1.40734714
1.51575788,2.71394010,0.00678315,0.13632692,0.34857856,0.95433591,0.04065983,0.36552886,0.63163055,1.39288621
1.52176088,2.73670223,0.00677032,0.13915146,0.34594346,0.98435429,0.04066835,0.36317458,0.63025969,1.38524224
1.52776388,2.77661164,0.00680143,0.14302123,0.34490913,1.02221059,0.04086215,0.36242588,0.63279597,1.38461628
1.53376688,2.83369835,0.00687757,0.14789846,0.34555012,1.06784608,0.04125427,0.36334059,0.63927069,1.39108642
1.53976988,2.90769766,0.00699937,0.15372553,0.34790896,1.12107535,0.04185549,0.36594490,0.64965627,1.40459972
1.54577289,2.99804141,0.00716692,0.16042565,0.35199253,1.18158242,0.04267396,0.37023181,0.66386356,1.42496880
1.55177589,3.10385971,0.00737967,0.16790402,0.35776964,1.24892109,0.04371493,0.37616078,0.68174116,1.45187353
1.55777889,3.22399342,0.00763640,0.17604984,0.36517010,1.32251978,0.04498052,0.38365844,0.70307686,1.48486765
1.56378189,3.35701689,0.00793522,0.18473876,0.37408510,1.40169070,0.04646969,0.39262059,0.72760123,1.52339001
1.56978489,3.50126997,0.00827353,0.19383588,0.38436904,1.48564308,0.04817821,0.40291502,0.75499313,1.56677986
1.57578789,3.65489785,0.00864804,0.20319920,0.39584261,1.57349989,0.05009880,0.41438521,0.78488704,1.61429555
1.58179090,3.81589707,0.00905485,0.21268329,0.40829706,1.66431735,0.05222126,0.42685462,0.81688180,1.66513544
1.58779390,3.98216537,0.00948947,0.22214316,0.42149931,1.75710646,0.05453270,0.44013136,0.85055043,1.71846037
1.59379690,4.15155339,0.00994690,0.23143805,0.43519783,1.85085550,0.05701778,0.45401306,0.88545063,1.77341633
1.59979990,4.32191590,0.01042176,0.24043511,0.44912897,1.94455256,0.05965899,0.46829153,0.92113547,1.82915656
1.60580290,4.49116033,0.01090832,0.24901279,0.46302351,2.03720727,0.06243686,0.48275737,0.95716398,1.88486212
1.61180590,4.65729105,0.01140069,0.25706370,0.47661313,2.12787059,0.06533027,0.49720404,0.99311114,1.93976002
1.61780890,4.81844749,0.01189288,0.26449695,0.48963673,2.21565229,0.06831659,0.51143145,1.02857707,1.99313866
1.62381191,4.97293545,0.01237893,0.27123993,0.50184630,2.29973517,0.07137195,0.52524904,1.06319513,2.04435996
1.62981491,5.11925057,0.01285304,0.27723925,0.51301220,2.37938597,0.07447141,0.53847822,1.09663871,2.09286808
1.63581791,5.25609416,0.01330965,0.28246109,0.52292780,2.45396269,0.07758912,0.55095436,1.12862671,2.13819493
1.64182091,5.38238147,0.01374359,0.28689083,0.53141341,2.52291835,0.08069850,0.56252820,1.15892764,2.17996255
1.64782391,5.49724329,0.01415014,0.29053202,0.53831937,2.58580168,0.08377243,0.57306699,1.18736235,2.21788283
1.65382691,5.60002166,0.01452514,0.29340489,0.54352844,2.64225492,0.08678346,0.58245525,1.21380550,2.25175498
1.65982991,5.69026114,0.01486505,0.29554436,0.54695736,2.69200960,0.08970406,0.59059539,1.23818576,2.28146131
1.66583292,5.76769665,0.01516703,0.29699781,0.54855769,2.73488066,0.09250688,0.59740823,1.26048501,2.30696177
