energy_ev,total_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up,Sc_p_up,Sc_d_up
-6.00000000,4.66473258,0.00080987,3.06312430,0.50133414,0.00749670,2.96019891,1.53302417
-5.99399700,4.69823960,0.00085693,3.06776067,0.51628026,0.00772070,2.99060011,1.52373719
-5.98799400,4.72100482,0.00090255,3.06481689,0.53013612,0.00794153,3.01424034,1.50930422
-5.98199100,4.73273094,0.00094608,3.05434451,0.54272314,0.00815606,3.03083118,1.48991305
-5.97598799,4.73328538,0.00098690,3.03652231,0.55387087,0.00836123,3.04018193,1.46583942
-5.96998499,4.72269253,0.00102445,3.01164418,0.56342065,0.00855407,3.04219920,1.43743742
-5.96398199,4.70112435,0.00105823,2.98010550,0.57122952,0.00873179,3.03688544,1.40512856
-5.95797899,4.66889069,0.00108783,2.94238895,0.57717424,0.00889182,3.02433704,1.36939017
-5.95197599,4.62643006,0.00111296,2.89905080,0.58115530,0.00903182,3.00474246,1.33074364
-5.94597299,4.57430172,0.00113341,2.85070839,0.58310071,0.00914977,2.97838059,1.28974318
-5.93996998,4.51317949,0.00114912,2.79802946,0.58296949,0.00924398,2.94561965,1.24696535
-5.93396698,4.44384737,0.00116016,2.74172371,0.58075456,0.00931315,2.90691660,1.20299989
-5.92796398,4.36719696,0.00116672,2.68253673,0.57648490,0.00935641,2.86281687,1.15844189
-5.92196098,4.28422619,0.00116911,2.62124623,0.57022683,0.00937332,2.81395424,1.11388558
-5.91595798,4.19603875,0.00116780,2.55866021,0.56208428,0.00936392,2.76105051,1.06991942
-5.90995498,4.10384341,0.00116334,2.49561659,0.55219791,0.00932872,2.70491439,1.02712267
-5.90395198,4.00895233,0.00115641,2.43298362,0.54074312,0.00926870,2.64643930,0.98606292
-5.89794897,3.91277740,0.00114775,2.37166032,0.52792694,0.00918534,2.58659941,0.94729433
-5.89194597,3.81682362,0.00113819,2.31257609,0.51398379,0.00908052,2.52644364,0.91135634
-5.88594297,3.72267874,0.00112858,2.25668869,0.49917040,0.00895659,2.46708708,0.87877221
-5.87993997,3.63199853,0.00111980,2.20497989,0.48375989,0.00881623,2.40969954,0.85004720
-5.87393697,3.54648705,0.00111273,2.15844816,0.46803525,0.00866246,2.35549115,0.82566594
-5.86793397,3.46787188,0.00110819,2.11809785,0.45228251,0.00849855,2.30569484,0.80608875
-5.86193097,3.39787430,0.00110695,2.08492484,0.43678368,0.00832798,2.26154579,0.79174664
-5.85592796,3.33817489,0.00110967,2.05989845,0.42180985,0.00815432,2.22425825,0.78303499
-5.84992496,3.29037517,0.00111693,2.04394004,0.40761454,0.00798120,2.19499997,0.78030580
-5.84392196,3.25595644,0.00112913,2.03789878,0.39442749,0.00781219,2.17486500,0.78385881
-5.83791896,3.23623697,0.00114652,2.04252542,0.38244922,0.00765077,2.16484546,0.79393163
-5.83191596,3.23232931,0.00116919,2.05844506,0.37184630,0.00750020,2.16580326,0.81068925
-5.82591296,3.24509932,0.00119702,2.08613020,0.36274754,0.00736350,2.17844275,0.83421367
-5.81990995,3.27512882,0.00122974,2.12587533,0.35524130,0.00724335,2.20328534,0.86449378
-5.81390695,3.32268386,0.00126685,2.17777459,0.34937373,0.00714209,2.24064727,0.90141665
-5.80790395,3.38769034,0.00130770,2.24170389,0.34514815,0.00706163,2.29062161,0.94476033
-5.80190095,3.46971865,0.00135149,2.31730869,0.34252561,0.00700346,2.35306549,0.99418934
-5.79589795,3.56797886,0.00139724,2.40399874,0.34142643,0.00696862,2.42759357,1.04925291
-5.78989495,3.68132729,0.00144389,2.50095054,0.34173285,0.00695769,2.51357839,1.10938689
-5.78389195,3.80828519,0.00149031,2.60711816,0.34329266,0.00697086,2.61015818,1.17391936
-5.77788894,3.94706949,0.00153529,2.72125241,0.34592369,0.00700790,2.71625224,1.24208036
-5.77188594,4.09563507,0.00157767,2.84192837,0.34941913,0.00706818,2.83058384,1.31301557
-5.76588294,4.25172751,0.00161627,2.96758033,0.35355349,0.00715080,2.95171012,1.38580380
-5.75987994,4.41294457,0.00165004,3.09654313,0.35808903,0.00725454,3.07805813,1.45947789
-5.75387694,4.57680423,0.00167802,3.22709838,0.36278260,0.00737796,3.20796598,1.53304836
-5.74787394,4.74081669,0.00169941,3.35752371,0.36739253,0.00751944,3.33972738,1.60552894
-5.74187094,4.90255729,0.00171360,3.48614294,0.37168553,0.00767719,3.47163815,1.67596314
-5.73586793,5.05973743,0.00172015,3.61137498,0.37544328,0.00784935,3.60204251,1.74345063
-5.72986493,5.21027005,0.00171890,3.73177913,0.37846852,0.00803395,3.72937748,1.80717235
-5.72386193,5.35232706,0.00170987,3.84609471,0.38059053,0.00822898,3.85221314,1.86641325
-5.71785893,5.48438571,0.00169333,3.95327296,0.38166967,0.00843236,3.96928725,1.92058138
-5.71185593,5.60526184,0.00166978,4.05249978,0.38160091,0.00864197,4.07953229,1.96922263
-5.70585293,5.71412843,0.00163993,4.14320786,0.38031621,0.00885565,4.18209399,2.01203006
-5.69984992,5.81051845,0.00160464,4.22507783,0.37778563,0.00907118,4.27634025,2.04884747
-5.69384692,5.89431184,0.00156496,4.29802799,0.37401719,0.00928625,4.36186004,2.07966681
-5.68784392,5.96570738,0.00152205,4.36219343,0.36905536,0.00949849,4.43845260,2.10461946
-5.68184092,6.02518071,0.00147714,4.41789526,0.36297838,0.00970544,4.50610723,2.12396178
-5.67583792,6.07343075,0.00143149,4.46560168,0.35589446,0.00990455,4.56497503,2.13805546
-5.66983492,6.11131717,0.00138638,4.50588288,0.34793693,0.01009318,4.61533388,2.14734363
-5.66383192,6.13979221,0.00134302,4.53936202,0.33925869,0.01026866,4.65754877,2.15232391
-5.65782891,6.15983021,0.00130253,4.56666501,0.33002605,0.01042824,4.69202947,2.15351959
-5.65182591,6.17235876,0.00126593,4.58837161,0.32041232,0.01056920,4.71918794,2.15145055
-5.64582291,6.17819481,0.00123405,4.60497060,0.31059132,0.01068885,4.73939782,2.14660519
-5.63981991,6.17798915,0.00120756,4.61682133,0.30073112,0.01078460,4.75295828,2.13941500
-5.63381691,6.17218231,0.00118691,4.62412382,0.29098834,0.01085405,4.76006413,2.13023285
-5.62781391,6.16097399,0.00117235,4.62689905,0.28150310,0.01089497,4.76078408,2.11931624
-5.62181091,6.14430775,0.00116390,4.62498055,0.27239492,0.01090545,4.75504834,2.10681636
-5.61580790,6.12187179,0.00116135,4.61801785,0.26375971,0.01088393,4.74264620,2.09277332
-5.60980490,6.09311575,0.00116430,4.60549170,0.25566798,0.01082924,4.72323404,2.07711807
-5.60380190,6.05728271,0.00117214,4.58674027,0.24816419,0.01074066,4.69635328,2.05968044
-5.59779890,6.01345467,0.00118411,4.56099519,0.24126751,0.01061798,4.66145735,2.04020329
-5.59179590,5.96060933,0.00119931,4.52742542,0.23497354,0.01046148,4.61794639,2.01836152
-5.58579290,5.89768490,0.00121675,4.48518685,0.22925727,0.01027199,4.56520776,1.99378528
-5.57978989,5.82364992,0.00123534,4.43347498,0.22407673,0.01005088,4.50266029,1.96608585
-5.57378689,5.73757418,0.00125402,4.37157801,0.21937749,0.00980003,4.42979974,1.93488289
-5.56778389,5.63869716,0.00127171,4.29892762,0.21509740,0.00952182,4.34624321,1.89983167
-5.56178089,5.52649043,0.00128741,4.21514466,0.21117155,0.00921910,4.25176986,1.86064870
-5.55577789,5.40071063,0.00130021,4.12007751,0.20753717,0.00889512,4.14635594,1.81713462
-5.54977489,5.26144034,0.00130935,4.01383101,0.20413799,0.00855350,4.03020186,1.76919300
-5.54377189,5.10911458,0.00131419,3.89678446,0.20092816,0.00819812,3.90375009,1.71684427
-5.53776888,4.94453155,0.00131430,3.76959766,0.19787516,0.00783309,3.76769245,1.66023402
-5.53176588,4.76884686,0.00130943,3.63320457,0.19496187,0.00746266,3.62296660,1.59963537
-5.52576288,4.58355148,0.00129954,3.48879490,0.19218742,0.00709110,3.47074135,1.53544527
-5.51975988,4.39043431,0.00128476,3.33778438,0.18956700,0.00672265,3.31239171,1.46817515
-5.51375688,4.19153101,0.00126542,3.18177494,0.18713046,0.00636141,3.14946441,1.39843619
-5.50775388,3.98906156,0.00124201,3.02250689,0.18491994,0.00601129,2.98363571,1.32692035
-5.50175088,3.78535931,0.00121516,2.86180494,0.18298651,0.00567586,2.81666310,1.25437773
-5.49574787,3.58279471,0.00118560,2.70152074,0.18138615,0.00535834,2.65033327,1.18159172
-5.48974487,3.38369738,0.00115414,2.54347443,0.18017525,0.00506147,2.48640853,1.10935292
-5.48374187,3.19027959,0.00112160,2.38939765,0.17940581,0.00478751,2.32657403,1.03843314
-5.47773887,3.00456497,0.00108883,2.24088055,0.17912075,0.00453813,2.17238808,0.96956056
-5.47173587,2.82832500,0.00105663,2.09932499,0.17934951,0.00431442,2.02523757,0.90339718
-5.46573287,2.66302626,0.00102570,1.96590561,0.18010425,0.00411685,1.88630032,0.84051939
-5.45972986,2.50979027,0.00099667,1.84154046,0.18137680,0.00394524,1.75651577,0.78140248
-5.45372686,2.36936745,0.00097003,1.72687195,0.18313669,0.00379885,1.63656496,0.72640945
-5.44772386,2.24212585,0.00094612,1.62225862,0.18533022,0.00367632,1.52686047,0.67578461
-5.44172086,2.12805489,0.00092512,1.52777784,0.18788076,0.00357578,1.42754629,0.62965177
-5.43571786,2.02678333,0.00090707,1.44323874,0.19069032,0.00349488,1.33850736,0.58801713
-5.42971486,1.93761026,0.00089184,1.36820458,0.19364214,0.00343091,1.25938803,0.55077637
-5.42371186,1.85954757,0.00087917,1.30202316,0.19660449,0.00338083,1.18961823,0.51772539
-5.41770885,1.79137139,0.00086866,1.24386371,0.19943517,0.00334144,1.12844620,0.48857421
-5.41170585,1.73168024,0.00085983,1.19275848,0.20198677,0.00330941,1.07497588,0.46296314
-5.40570285,1.67895713,0.00085210,1.14764702,0.20411227,0.00328144,1.02820742,0.44048048
-5.39969985,1.63163285,0.00084485,1.10742129,0.20567082,0.00325437,0.98707904,0.42068095
-5.39369685,1.58814778,0.00083746,1.07096965,0.20653334,0.00322523,0.95050844,0.40310401
-5.38769385,1.54700981,0.00082930,1.03721813,0.20658769,0.00319137,0.91743211,0.38729142
-5.38169085,1.50684620,0.00081981,1.00516735,0.20574333,0.00315051,0.88684125,0.37280327
-5.37568784,1.46644754,0.00080845,0.97392392,0.20393497,0.00310082,0.85781298,0.35923209
-5.36968484,1.42480264,0.00079481,0.94272547,0.20112543,0.00304096,0.82953596,0.34621449
-5.36368184,1.38112334,0.00077856,0.91095864,0.19730728,0.00297009,0.80132978,0.33344014
-5.35767884,1.33485907,0.00075948,0.87816993,0.19250353,0.00288789,0.77265789,0.32065797
-5.35167584,1.28570124,0.00073749,0.84406942,0.18676709,0.00279457,0.74313394,0.30767950
-5.34567284,1.23357811,0.00071262,0.80852782,0.18017942,0.00269078,0.71252200,0.29437952
-5.33966983,1.17864100,0.00068500,0.77156750,0.17284817,0.00257764,0.68073092,0.28069429
-5.33366683,1.12124330,0.00065489,0.73334840,0.16490423,0.00245664,0.64780389,0.26661764
-5.32766383,1.06191368,0.00062263,0.69414982,0.15649818,0.00232959,0.61390380,0.25219526
-5.32166083,1.00132514,0.00058865,0.65434919,0.14779653,0.00219857,0.57929559,0.23751771
-5.31565783,0.94026149,0.00055343,0.61439897,0.13897774,0.00206583,0.54432649,0.22271257
-5.30965483,0.87958301,0.00051750,0.57480271,0.13022834,0.00193374,0.50940517,0.20793605
-5.30365183,0.82019251,0.00048142,0.53609142,0.12173930,0.00180472,0.47498089,0.19336461
-5.29764882,0.76300326,0.00044576,0.49880091,0.11370258,0.00168117,0.44152318,0.17918687
-5.29164582,0.70890954,0.00041107,0.46345108,0.10630820,0.00156543,0.40950312,0.16559603
-5.28564282,0.65876077,0.00037790,0.43052748,0.09974165,0.00145972,0.37937641,0.15278314
-5.27963982,0.61333947,0.00034676,0.40046571,0.09418163,0.00136611,0.35156880,0.14093126
-5.27363682,0.57334330,0.00031810,0.37363879,0.08979819,0.00128646,0.32646413,0.13021064
-5.26763382,0.53937119,0.00029235,0.35034752,0.08675101,0.00122244,0.30439473,0.12077479
-5.26163082,0.51191311,0.00026988,0.33081393,0.08518788,0.00117548,0.28563453,0.11275756
-5.25562781,0.49134331,0.00025097,0.31517744,0.08524301,0.00114675,0.27039428,0.10627102
