energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.20980903,0.01202114,0.00000000,0.00988632,0.46363537,0.01503987,0.91860679,0.55024715,0.54429608
-5.99399700,2.21941345,0.01250952,0.00000000,0.01020848,0.45462364,0.01481828,0.93620126,0.55749359,0.54048883
-5.98799400,2.22427790,0.01300248,0.00000000,0.01051199,0.44330639,0.01455557,0.95335485,0.56351959,0.53497030
-5.98199100,2.22494474,0.01349720,0.00000000,0.01079688,0.42994406,0.01425772,0.97011503,0.56836309,0.52796297
-5.97598799,2.22194678,0.01399008,0.00000000,0.01106324,0.41482644,0.01393080,0.98648945,0.57207392,0.51969631
-5.96998499,2.21577982,0.01447670,0.00000000,0.01131109,0.39826217,0.01358073,1.00244020,0.57470845,0.51039757
-5.96398199,2.20688001,0.01495193,0.00000000,0.01154030,0.38056811,0.01321312,1.01788141,0.57632518,0.50028347
-5.95797899,2.19560757,0.01540998,0.00000000,0.01175049,0.36205913,0.01283310,1.03268045,0.57698161,0.48955324
-5.95197599,2.18223767,0.01584463,0.00000000,0.01194096,0.34303881,0.01244520,1.04666292,0.57673272,0.47838325
-5.94597299,2.16695914,0.01624937,0.00000000,0.01211063,0.32379126,0.01205331,1.05962134,0.57563087,0.46692355
-5.93996998,2.14988070,0.01661772,0.00000000,0.01225805,0.30457453,0.01166059,1.07132712,0.57372745,0.45529627
-5.93396698,2.13104448,0.01694351,0.00000000,0.01238142,0.28561565,0.01126955,1.08154525,0.57107589,0.44359618
-5.92796398,2.11044566,0.01722119,0.00000000,0.01247861,0.26710756,0.01088205,1.09005098,0.56773577,0.43189279
-5.92196098,2.08805676,0.01744614,0.00000000,0.01254726,0.24920763,0.01049942,1.09664759,0.56377784,0.42023426
-5.91595798,2.06385506,0.01761500,0.00000000,0.01258493,0.23203803,0.01012254,1.10118416,0.55928931,0.40865231
-5.90995498,2.03785095,0.01772592,0.00000000,0.01258914,0.21568739,0.00975202,1.10357232,0.55437911,0.39716805
-5.90395198,2.01011532,0.01777877,0.00000000,0.01255760,0.20021379,0.00938832,1.10380084,0.54918246,0.38579810
-5.89794897,1.98080401,0.01777536,0.00000000,0.01248832,0.18564862,0.00903190,1.10194728,0.54386445,0.37456064
-5.89194597,1.95017749,0.01771947,0.00000000,0.01237975,0.17200102,0.00868336,1.09818564,0.53862206,0.36348086
-5.88594297,1.91861420,0.01761686,0.00000000,0.01223093,0.15926266,0.00834355,1.09278948,0.53368440,0.35259558
-5.87993997,1.88661662,0.01747522,0.00000000,0.01204161,0.14741255,0.00801373,1.08613014,0.52931094,0.34195651
-5.87393697,1.85480918,0.01730394,0.00000000,0.01181236,0.13642150,0.00769556,1.07866982,0.52578751,0.33163221
-5.86793397,1.82392795,0.01711386,0.00000000,0.01154459,0.12625622,0.00739124,1.07094967,0.52342022,0.32170838
-5.86193097,1.79480243,0.01691696,0.00000000,0.01124063,0.11688283,0.00710347,1.06357334,0.52252744,0.31228662
-5.85592796,1.76833020,0.01672590,0.00000000,0.01090371,0.10826961,0.00683545,1.05718647,0.52343000,0.30348175
-5.84992496,1.74544557,0.01655360,0.00000000,0.01053794,0.10038906,0.00659086,1.05245315,0.52644019,0.29541775
-5.84392196,1.72708395,0.01641275,0.00000000,0.01014823,0.09321928,0.00637379,1.05003020,0.53184981,0.28822275
-5.83791896,1.71414360,0.01631529,0.00000000,0.00974021,0.08674465,0.00618865,1.05054058,0.53991805,0.28202326
-5.83191596,1.70744673,0.01627194,0.00000000,0.00932012,0.08095602,0.00604010,1.05454693,0.55085958,0.27693812
-5.82591296,1.70770206,0.01629176,0.00000000,0.00889465,0.07585040,0.00593291,1.06252667,0.56483358,0.27307233
-5.81990995,1.71547068,0.01638173,0.00000000,0.00847082,0.07143039,0.00587190,1.07484969,0.58193425,0.27051146
-5.81390695,1.73113703,0.01654646,0.00000000,0.00805585,0.06770338,0.00586178,1.09175970,0.60218323,0.26931663
-5.80790395,1.75488656,0.01678790,0.00000000,0.00765696,0.06468071,0.00590708,1.11336019,0.62552462,0.26952058
-5.80190095,1.78669118,0.01710523,0.00000000,0.00728124,0.06237689,0.00601201,1.13960566,0.65182270,0.27112503
-5.79589795,1.82630347,0.01749485,0.00000000,0.00693554,0.06080879,0.00618042,1.17029861,0.68086275,0.27409934
-5.78989495,1.87325986,0.01795040,0.00000000,0.00662634,0.05999520,0.00641564,1.20509252,0.71235504,0.27838081
-5.78389195,1.92689294,0.01846300,0.00000000,0.00635958,0.05995636,0.00672043,1.24350071,0.74594191,0.28387638
-5.77788894,1.98635219,0.01902149,0.00000000,0.00614064,0.06071380,0.00709689,1.28491081,0.78120786,0.29046578
-5.77188594,2.05063246,0.01961283,0.00000000,0.00597424,0.06229031,0.00754638,1.32860430,0.81769216,0.29800601
-5.76588294,2.11860881,0.02022257,0.00000000,0.00586433,0.06471000,0.00806944,1.37378019,0.85490367,0.30633678
-5.75987994,2.18907608,0.02083531,0.00000000,0.00581408,0.06799848,0.00866568,1.41958194,0.89233716,0.31528683
-5.75387694,2.26079160,0.02143531,0.00000000,0.00582583,0.07218298,0.00933375,1.46512641,0.92949052,0.32468071
-5.74787394,2.33251886,0.02200700,0.00000000,0.00590105,0.07729251,0.01007122,1.50953365,0.96588209,0.33434570
-5.74187094,2.40307028,0.02253557,0.00000000,0.00604031,0.08335789,0.01087454,1.55195609,1.00106739,0.34411862
-5.73586793,2.47134721,0.02300744,0.00000000,0.00624328,0.09041159,0.01173895,1.59160601,1.03465435,0.35385208
-5.72986493,2.53637523,0.02341079,0.00000000,0.00650868,0.09848749,0.01265842,1.62778007,1.06631653,0.36342004
-5.72386193,2.59733337,0.02373589,0.00000000,0.00683434,0.10762038,0.01362566,1.65987982,1.09580356,0.37272224
-5.71785893,2.65357595,0.02397544,0.00000000,0.00721711,0.11784527,0.01463206,1.68742744,1.12294839,0.38168752
-5.71185593,2.70464631,0.02412475,0.00000000,0.00765297,0.12919655,0.01566775,1.71007608,1.14767100,0.39027567
-5.70585293,2.75028196,0.02418179,0.00000000,0.00813695,0.14170690,0.01672164,1.72761459,1.16997841,0.39847793
-5.69984992,2.79041119,0.02414725,0.00000000,0.00866325,0.15540606,0.01778150,1.73996652,1.18996095,0.40631599
-5.69384692,2.82514155,0.02402434,0.00000000,0.00922522,0.17031950,0.01883417,1.74718374,1.20778514,0.41383966
-5.68784392,2.85474114,0.02381857,0.00000000,0.00981546,0.18646684,0.01986569,1.74943516,1.22368333,0.42112324
-5.68184092,2.87961363,0.02353749,0.00000000,0.01042587,0.20386032,0.02086157,1.74699139,1.23794081,0.42826088
-5.67583792,2.90026858,0.02319024,0.00000000,0.01104779,0.22250301,0.02180708,1.74020617,1.25088084,0.43536093
-5.66983492,2.91728851,0.02278716,0.00000000,0.01167208,0.24238704,0.02268754,1.72949573,1.26284841,0.44253977
-5.66383192,2.93129429,0.02233932,0.00000000,0.01228929,0.26349167,0.02348869,1.71531697,1.27419339,0.44991520
