energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,2.03495210,0.01598629,0.07147081,0.28309756,0.14126005,1.27934332,0.00000000,0.46918065,0.38189467
-5.99399700,1.99380536,0.01570243,0.06874783,0.27897793,0.13663765,1.25687307,0.00000000,0.45879026,0.37408066
-5.98799400,1.94942172,0.01538594,0.06603955,0.27445404,0.13185815,1.23218035,0.00000000,0.44774235,0.36546066
-5.98199100,1.90228613,0.01504093,0.06336757,0.26960351,0.12695916,1.20555323,0.00000000,0.43612504,0.35619370
-5.97598799,1.85293209,0.01467208,0.06075153,0.26451167,0.12197848,1.17731759,0.00000000,0.42404467,0.34644579
-5.96998499,1.80193297,0.01428451,0.05820906,0.25926960,0.11695386,1.14783094,0.00000000,0.41162326,0.33638596
-5.96398199,1.74989146,0.01388366,0.05575571,0.25397180,0.11192281,1.11747486,0.00000000,0.39899550,0.32618218
-5.95797899,1.69742736,0.01347514,0.05340494,0.24871360,0.10692229,1.08664629,0.00000000,0.38630520,0.31599739
-5.95197599,1.64516391,0.01306462,0.05116811,0.24358834,0.10198836,1.05574769,0.00000000,0.37370139,0.30598559
-5.94597299,1.59371318,0.01265769,0.04905453,0.23868444,0.09715579,1.02517667,0.00000000,0.36133408,0.29628821
-5.93996998,1.54366106,0.01225968,0.04707142,0.23408258,0.09245757,0.99531523,0.00000000,0.34935009,0.28703089
-5.93396698,1.49555235,0.01187561,0.04522400,0.22985293,0.08792448,0.96651926,0.00000000,0.33788872,0.27832077
-5.92796398,1.44987689,0.01150999,0.04351550,0.22605279,0.08358453,0.93910872,0.00000000,0.32707786,0.27024442
-5.92196098,1.40705724,0.01116677,0.04194724,0.22272462,0.07946258,0.91335898,0.00000000,0.31703038,0.26286641
-5.91595798,1.36743857,0.01084921,0.04051876,0.21989463,0.07557986,0.88949372,0.00000000,0.30784116,0.25622882
-5.90995498,1.33128145,0.01055980,0.03922794,0.21757199,0.07195370,0.86767991,0.00000000,0.29958476,0.25035138
-5.90395198,1.29875772,0.01030023,0.03807118,0.21574884,0.06859730,0.84802494,0.00000000,0.29231391,0.24523263
-5.89794897,1.26994993,0.01007135,0.03704366,0.21440084,0.06551970,0.83057625,0.00000000,0.28605884,0.24085169
-5.89194597,1.24485413,0.00987314,0.03613962,0.21348860,0.06272580,0.81532327,0.00000000,0.28082749,0.23717081
-5.88594297,1.22338605,0.00970473,0.03535262,0.21295962,0.06021658,0.80220175,0.00000000,0.27660642,0.23413851
-5.87993997,1.20539012,0.00956448,0.03467594,0.21275081,0.05798945,0.79110012,0.00000000,0.27336264,0.23169310
-5.87393697,1.19065107,0.00944997,0.03410289,0.21279143,0.05603869,0.78186745,0.00000000,0.27104596,0.22976644
-5.86793397,1.17890714,0.00935817,0.03362713,0.21300630,0.05435596,0.77432281,0.00000000,0.26959181,0.22828786
-5.86193097,1.16986445,0.00928548,0.03324298,0.21331903,0.05293094,0.76826521,0.00000000,0.26892454,0.22718782
-5.85592796,1.16321161,0.00922789,0.03294569,0.21365534,0.05175189,0.76348391,0.00000000,0.26896075,0.22640136
-5.84992496,1.15863401,0.00918108,0.03273160,0.21394602,0.05080629,0.75976836,0.00000000,0.26961279,0.22587104
-5.84392196,1.15582689,0.00914060,0.03259822,0.21412965,0.05008136,0.75691748,0.00000000,0.27079203,0.22554933
