energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,6.28215034,0.05174375,1.46604847,0.62247131,0.36041662,2.03298933,0.00000000,3.32000393,2.27483405
-5.99399700,6.53047647,0.05410327,1.52780453,0.64273752,0.37133916,2.10713475,0.00000000,3.45695320,2.37757506
-5.98799400,6.77245304,0.05646600,1.58687321,0.66264334,0.38269187,2.18108364,0.00000000,3.59025924,2.47659526
-5.98199100,7.00463587,0.05881108,1.64229501,0.68183537,0.39440613,2.25392260,0.00000000,3.71825522,2.57034825
-5.97598799,7.22349520,0.06111658,1.69309556,0.69995255,0.40639686,2.32469025,0.00000000,3.83919801,2.65727106
-5.96998499,7.42549935,0.06335970,1.73831225,0.71663461,0.41856263,2.39239565,0.00000000,3.95130786,2.73582582
-5.96398199,7.60720760,0.06551702,1.77702321,0.73153133,0.43078646,2.45604000,0.00000000,4.05281512,2.80454441
-5.95797899,7.76536871,0.06756472,1.80837729,0.74431253,0.44293725,2.51464099,0.00000000,4.14201237,2.86207441
-5.95197599,7.89702106,0.06947893,1.83162386,0.75467813,0.45487179,2.56725890,0.00000000,4.21730945,2.90722425
-5.94597299,7.99958997,0.07123607,1.84614097,0.76236821,0.46643749,2.61302348,0.00000000,4.27728910,2.93900554
-5.93996998,8.07097799,0.07281327,1.85146046,0.76717219,0.47747552,2.65116059,0.00000000,4.32076047,2.95667060
-5.93396698,8.10964384,0.07418881,1.84728879,0.76893719,0.48782466,2.68101748,0.00000000,4.34680783,2.95974325
-5.92796398,8.11466654,0.07534255,1.83352254,0.76757479,0.49732539,2.70208573,0.00000000,4.35483231,2.94804144
-5.92196098,8.08579133,0.07625641,1.81025758,0.76306611,0.50582448,2.71402084,0.00000000,4.34458416,2.92169034
-5.91595798,8.02345541,0.07691484,1.77779152,0.75546485,0.51317963,2.71665768,0.00000000,4.31618426,2.88112525
-5.90995498,7.92879182,0.07730526,1.73661913,0.74489812,0.51926425,2.71002100,0.00000000,4.27013337,2.82708395
-5.90395198,7.80361118,0.07741851,1.68742089,0.73156501,0.52397206,2.69433050,0.00000000,4.20730872,2.76058885
-5.89794897,7.65036159,0.07724919,1.63104509,0.71573281,0.52722143,2.67000010,0.00000000,4.12894785,2.68291936
-5.89194597,7.47206828,0.07679600,1.56848423,0.69773108,0.52895911,2.63763114,0.00000000,4.03662018,2.59557592
-5.88594297,7.27225497,0.07606193,1.50084687,0.67794365,0.52916339,2.59799975,0.00000000,3.93218748,2.50023693
-5.87993997,7.05484996,0.07505444,1.42932592,0.65679886,0.52784627,2.55203845,0.00000000,3.81775467,2.39871046
-5.87393697,6.82408033,0.07378541,1.35516486,0.63475826,0.52505461,2.50081260,0.00000000,3.69561292,2.29288273
-5.86793397,6.58435799,0.07227105,1.27962318,0.61230428,0.52087019,2.44549220,0.00000000,3.56817711,2.18466530
-5.86193097,6.34016163,0.07053163,1.20394240,0.58992709,0.51540850,2.38732018,0.00000000,3.43792002,2.07594307
-5.85592796,6.09591856,0.06859114,1.12931393,0.56811115,0.50881629,2.32757782,0.00000000,3.30730571,1.96852487
-5.84992496,5.85589054,0.06647672,1.05684981,0.54732198,0.50126794,2.26754881,0.00000000,3.17872419,1.86409851
-5.84392196,5.62406704,0.06421809,0.98755730,0.52799334,0.49296082,2.20848299,0.00000000,3.05442994,1.76419151
-5.83791896,5.40406954,0.06184680,0.92231796,0.51051541,0.48410963,2.15156107,0.00000000,2.93648600,1.67013882
-5.83191596,5.19906951,0.05939547,0.86187164,0.49522431,0.47494021,2.09786177,0.00000000,2.82671558,1.58305816
