energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Hf_p_up,Hf_d_up,Te_p_up,Te_d_up
-6.00000000,1.38111135,0.03213016,0.02261614,1.00549046,0.37098533,0.63252934,0.18763790,0.95277140,0.00000000
-5.99399700,1.29990517,0.03120486,0.02065950,0.94131099,0.35054960,0.60021348,0.17438717,0.89568799,0.00000000
-5.98799400,1.21865627,0.03019079,0.01877208,0.87745161,0.33031970,0.56772857,0.16129044,0.83868604,0.00000000
-5.98199100,1.13827477,0.02910693,0.01696540,0.81461614,0.31053175,0.53552592,0.14846568,0.78240232,0.00000000
-5.97598799,1.05962476,0.02797274,0.01524925,0.75345731,0.29140404,0.50403535,0.13602289,0.72743833,0.00000000
-5.96998499,0.98350225,0.02680760,0.01363157,0.69456314,0.27313170,0.47365297,0.12406156,0.67434543,0.00000000
-5.96398199,0.91061662,0.02563023,0.01211834,0.63844632,0.25588237,0.44473057,0.11266876,0.62361241,0.00000000
-5.95797899,0.84157593,0.02445816,0.01071365,0.58553679,0.23979283,0.41756707,0.10191765,0.57565578,0.00000000
-5.95197599,0.77687654,0.02330729,0.00941974,0.53617754,0.22496680,0.39240208,0.09186677,0.53081315,0.00000000
-5.94597299,0.71689708,0.02219146,0.00823712,0.49062360,0.21147383,0.36941194,0.08255976,0.48933969,0.00000000
-5.93996998,0.66189690,0.02112215,0.00716479,0.44904414,0.19934932,0.34870826,0.07402573,0.45140761,0.00000000
-5.93396698,0.61201874,0.02010828,0.00620040,0.41152727,0.18859568,0.33033873,0.06628001,0.41710858,0.00000000
-5.92796398,0.56729522,0.01915609,0.00534051,0.37808729,0.17918455,0.31429037,0.05932546,0.38645879,0.00000000
-5.92196098,0.52765887,0.01826913,0.00458084,0.34867390,0.17105984,0.30049476,0.05315399,0.35940638,0.00000000
-5.91595798,0.49295490,0.01744833,0.00391652,0.32318296,0.16414176,0.28883507,0.04774840,0.33584071,0.00000000
-5.90995498,0.46295628,0.01669224,0.00334231,0.30146825,0.15833126,0.27915444,0.04308437,0.31560308,0.00000000
-5.90395198,0.43738019,0.01599724,0.00285288,0.28335373,0.15351512,0.27126546,0.03913246,0.29849842,0.00000000
-5.89794897,0.41590533,0.01535793,0.00244297,0.26864574,0.14957119,0.26496012,0.03586018,0.28430733,0.00000000
-5.89194597,0.39818916,0.01476747,0.00210761,0.25714470,0.14637372,0.26001995,0.03323385,0.27279812,0.00000000
-5.88594297,0.38388450,0.01421803,0.00184228,0.24865582,0.14379851,0.25622585,0.03122036,0.26373811,0.00000000
-5.87993997,0.37265473,0.01370122,0.00164305,0.24299835,0.14172775,0.25336716,0.02978863,0.25690405,0.00000000
-5.87393697,0.36418718,0.01320850,0.00150666,0.24001310,0.14005425,0.25124973,0.02891083,0.25209101,0.00000000
-5.86793397,0.35820399,0.01273161,0.00143062,0.23956789,0.13868508,0.24970252,0.02856318,0.24911951,0.00000000
-5.86193097,0.35447038,0.01226294,0.00141321,0.24156074,0.13754425,0.24858266,0.02872647,0.24784072,0.00000000
-5.85592796,0.35279988,0.01179577,0.00145355,0.24592076,0.13657458,0.24777864,0.02938620,0.24813951,0.00000000
-5.84992496,0.35305658,0.01132461,0.00155150,0.25260660,0.13573857,0.24721179,0.03053233,0.24993524,0.00000000
-5.84392196,0.35515434,0.01084531,0.00170768,0.26160277,0.13501828,0.24683587,0.03215872,0.25318060,0.00000000
-5.83791896,0.35905333,0.01035518,0.00192336,0.27291387,0.13441430,0.24663497,0.03426227,0.25785832,0.00000000
-5.83191596,0.36475410,0.00985305,0.00220038,0.28655711,0.13394392,0.24661999,0.03684182,0.26397628,0.00000000
-5.82591296,0.37228957,0.00933917,0.00254099,0.30255353,0.13363849,0.24682383,0.03989684,0.27156121,0.00000000
-5.81990995,0.38171573,0.00881518,0.00294777,0.32091841,0.13354036,0.24729579,0.04342599,0.28065140,0.00000000
-5.81390695,0.39310128,0.00828393,0.00342344,0.34165128,0.13369932,0.24809534,0.04742575,0.29128890,0.00000000
-5.80790395,0.40651718,0.00774933,0.00397073,0.36472633,0.13416897,0.24928589,0.05188891,0.30351160,0.00000000
-5.80190095,0.42202645,0.00721611,0.00459220,0.39008350,0.13500304,0.25092876,0.05680340,0.31734575,0.00000000
-5.79589795,0.43967503,0.00668963,0.00529014,0.41762109,0.13625196,0.25307770,0.06215110,0.33279927,0.00000000
-5.78989495,0.45948400,0.00617567,0.00606635,0.44719008,0.13795984,0.25577449,0.06790712,0.34985634,0.00000000
-5.78389195,0.48144379,0.00568021,0.00692208,0.47859084,0.14016196,0.25904555,0.07403929,0.36847340,0.00000000
-5.77788894,0.50551041,0.00520924,0.00785786,0.51157235,0.14288290,0.26289996,0.08050801,0.38857699,0.00000000
-5.77188594,0.53160411,0.00476863,0.00887348,0.54583413,0.14613537,0.26732889,0.08726655,0.41006341,0.00000000
-5.76588294,0.55961021,0.00436396,0.00996787,0.58103092,0.14991979,0.27230638,0.09426165,0.43280018,0.00000000
-5.75987994,0.58938208,0.00400046,0.01113908,0.61677995,0.15422453,0.27779138,0.10143458,0.45662923,0.00000000
-5.75387694,0.62074590,0.00368290,0.01238429,0.65267050,0.15902676,0.28373093,0.10872235,0.48137156,0.00000000
