energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,3.84591436,0.77973489,2.62262420,0.00703281,0.20149290,0.03350030,0.42281346,0.32056534,0.40798388
-5.99399700,3.80051561,0.77250751,2.58437802,0.00685043,0.19984409,0.03360560,0.41950248,0.31564623,0.41027412
-5.98799400,3.74616410,0.76427685,2.54056854,0.00664812,0.19768462,0.03352020,0.41552660,0.30981013,0.41079262
-5.98199100,3.68325821,0.75507357,2.49156856,0.00642580,0.19501842,0.03324488,0.41089442,0.30312424,0.40950441
-5.97598799,3.61230034,0.74492740,2.43779140,0.00618406,0.19186096,0.03278460,0.40562753,0.29567072,0.40641044
-5.96998499,3.53390272,0.73387131,2.37969436,0.00592412,0.18823931,0.03214822,0.39976225,0.28754620,0.40154825
-5.96398199,3.44879163,0.72194608,2.31778243,0.00564774,0.18419184,0.03134823,0.39335110,0.27886103,0.39499152
-5.95797899,3.35780949,0.70920499,2.25261186,0.00535722,0.17976738,0.03040032,0.38646376,0.26973822,0.38684848
-5.95197599,3.26191416,0.69571823,2.18479297,0.00505526,0.17502408,0.02932282,0.37918761,0.26031200,0.37725925
-5.94597299,3.16217490,0.68157660,2.11499177,0.00474489,0.17002776,0.02813617,0.37162760,0.25072609,0.36639232
-5.93996998,3.05976471,0.66689422,2.04392978,0.00442936,0.16485001,0.02686222,0.36390539,0.24113164,0.35444010
-5.93396698,2.95594860,0.65180990,1.97238173,0.00411202,0.15956603,0.02552364,0.35615775,0.23168481,0.34161393
-5.92796398,2.85206805,0.63648702,1.90117082,0.00379625,0.15425224,0.02414324,0.34853424,0.22254415,0.32813857
-5.92196098,2.74952154,0.62111179,1.83116128,0.00348532,0.14898388,0.02274336,0.34119408,0.21386766,0.31424650
-5.91595798,2.64974162,0.60588988,1.76324827,0.00318234,0.14383267,0.02134536,0.33430238,0.20580975,0.30017221
-5.90995498,2.55416904,0.59104159,1.69834516,0.00289016,0.13886448,0.01996904,0.32802592,0.19851803,0.28614658
-5.90395198,2.46422474,0.57679576,1.63736856,0.00261133,0.13413739,0.01863235,0.32252835,0.19213004,0.27239170
-5.89794897,2.38128038,0.56338269,1.58122134,0.00234803,0.12969991,0.01735094,0.31796533,0.18677001,0.25911612
-5.89194597,2.30662857,0.55102641,1.53077431,0.00210207,0.12558971,0.01613807,0.31447956,0.18254577,0.24651081
-5.88594297,2.24145365,0.53993689,1.48684715,0.00187486,0.12183277,0.01500436,0.31219602,0.17954583,0.23474578
-5.87993997,2.18680421,0.53030235,1.45018919,0.00166741,0.11844293,0.01395782,0.31121758,0.17783677,0.22396747
-5.87393697,2.14356811,0.52228230,1.42146081,0.00148035,0.11542203,0.01300390,0.31162126,0.17746104,0.21429704
-5.86793397,2.11245110,0.51600163,1.40121623,0.00131395,0.11276050,0.01214557,0.31345513,0.17843522,0.20582930
-5.86193097,2.09395962,0.51154593,1.38988808,0.00116815,0.11043836,0.01138349,0.31673628,0.18074894,0.19863245
-5.85592796,2.08838839,0.50895851,1.38777470,0.00104258,0.10842668,0.01071632,0.32144961,0.18436438,0.19274851
-5.84992496,2.09581323,0.50823908,1.39503020,0.00093664,0.10668930,0.01014089,0.32754786,0.18921651,0.18819425
-5.84392196,2.11608919,0.50934417,1.41165803,0.00084950,0.10518482,0.00965257,0.33495254,0.19521413,0.18496264
-5.83791896,2.14885395,0.51218932,1.43750791,0.00078017,0.10386872,0.00924552,0.34355606,0.20224169,0.18302468
-5.83191596,2.19353636,0.51665279,1.47227645,0.00072751,0.10269552,0.00891304,0.35322467,0.21016178,0.18233145
-5.82591296,2.24936967,0.52258073,1.51551124,0.00069030,0.10162088,0.00864783,0.36380229,0.21881848,0.18281637
-5.81990995,2.31540880,0.52979331,1.56661834,0.00066727,0.10060353,0.00844228,0.37511503,0.22804125,0.18439754
-5.81390695,2.39055133,0.53809173,1.62487287,0.00065710,0.09960699,0.00828873,0.38697613,0.23764943,0.18698008
-5.80790395,2.47356112,0.54726561,1.68943231,0.00065848,0.09860095,0.00817967,0.39919122,0.24745704,0.19045845
-5.80190095,2.56309417,0.55710053,1.75935221,0.00067013,0.09756230,0.00810796,0.41156362,0.25727795,0.19471875
-5.79589795,2.65772587,0.56738530,1.83360386,0.00069081,0.09647580,0.00806693,0.42389963,0.26693098,0.19964083
-5.78989495,2.75597895,0.57791869,1.91109349,0.00071935,0.09533427,0.00805054,0.43601330,0.27624494,0.20510049
-5.78389195,2.85635156,0.58851546,1.99068255,0.00075468,0.09413846,0.00805344,0.44773094,0.28506332,0.21097146
-5.77788894,2.95734494,0.59901139,2.07120872,0.00079584,0.09289653,0.00807100,0.45889484,0.29324843,0.21712741
-5.77188594,3.05749011,0.60926717,2.15150717,0.00084198,0.09162321,0.00809933,0.46936633,0.30068491,0.22344390
-5.76588294,3.15537327,0.61917111,2.23043182,0.00089243,0.09033868,0.00813530,0.47902801,0.30728237,0.22980029
-5.75987994,3.24965946,0.62864063,2.30687609,0.00094667,0.08906724,0.00817644,0.48778512,0.31297712,0.23608167
-5.75387694,3.33911409,0.63762251,2.37979283,0.00100436,0.08783592,0.00822094,0.49556610,0.31773292,0.24218064
-5.74787394,3.42262222,0.64609198,2.44821309,0.00106537,0.08667293,0.00826757,0.50232226,0.32154066,0.24799917
-5.74187094,3.49920507,0.65405071,2.51126335,0.00112975,0.08560622,0.00831561,0.50802671,0.32441712,0.25345030
-5.73586793,3.56803370,0.66152392,2.56818073,0.00119781,0.08466201,0.00836474,0.51267266,0.32640277,0.25845965
-5.72986493,3.62843944,0.66855657,2.61832601,0.00127003,0.08386356,0.00841504,0.51627112,0.32755875,0.26296685
-5.72386193,3.67992085,0.67520901,2.66119387,0.00134711,0.08323001,0.00846683,0.51884816,0.32796331,0.26692660
-5.71785893,3.72214711,0.68155204,2.69642015,0.00142995,0.08277552,0.00852066,0.52044188,0.32770759,0.27030947
-5.71185593,3.75495759,0.68766175,2.72378581,0.00151963,0.08250856,0.00857722,0.52109927,0.32689134,0.27310234
-5.70585293,3.77835753,0.69361417,2.74321731,0.00161734,0.08243148,0.00863729,0.52087304,0.32561839,0.27530838
-5.69984992,3.79250989,0.69948001,2.75478342,0.00172439,0.08254036,0.00870171,0.51981859,0.32399235,0.27694659
-5.69384692,3.79772355,0.70531968,2.75868823,0.00184214,0.08282503,0.00877129,0.51799131,0.32211260,0.27805096
-5.68784392,3.79443806,0.71117869,2.75526074,0.00197194,0.08326939,0.00884683,0.51544421,0.32007076,0.27866903
-5.68184092,3.78320544,0.71708370,2.74494106,0.00211508,0.08385189,0.00892905,0.51222612,0.31794779,0.27886017
-5.67583792,3.76466967,0.72303943,2.72826388,0.00227275,0.08454626,0.00901857,0.50838047,0.31581181,0.27869341
-5.66983492,3.73954439,0.72902642,2.70583953,0.00244593,0.08532233,0.00911588,0.50394467,0.31371665,0.27824498
-5.66383192,3.70858985,0.73500003,2.67833352,0.00263539,0.08614705,0.00922134,0.49895018,0.31170135,0.27759566
-5.65782891,3.67258988,0.74089058,2.64644522,0.00284162,0.08698561,0.00933513,0.49342330,0.30979024,0.27682797
