energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,6.96939720,1.32761527,2.06905948,0.03159763,0.56739515,0.06571384,2.47222785,1.19972718,1.15504741
-5.99399700,6.93811125,1.33168173,2.04759293,0.03197829,0.58187340,0.06472586,2.44490603,1.20291360,1.17706372
-5.98799400,6.90661816,1.33239572,2.02777682,0.03235366,0.59715649,0.06363287,2.41594555,1.20598480,1.20041364
-5.98199100,6.87678503,1.32999389,2.01033715,0.03273273,0.61329738,0.06246294,2.38599626,1.20911254,1.22524847
-5.97598799,6.85049811,1.32479575,1.99600760,0.03312524,0.63032358,0.06124574,2.35573635,1.21247453,1.25167745
-5.96998499,6.82960843,1.31719511,1.98551550,0.03354125,0.64823081,0.06001164,2.32585614,1.21624723,1.27975624
-5.96398199,6.81587530,1.30764895,1.97956612,0.03399054,0.66697733,0.05879070,2.29704092,1.22059823,1.30947664
-5.95797899,6.81090952,1.29666405,1.97882562,0.03448213,0.68647936,0.05761176,2.26995335,1.22567832,1.34075808
-5.95197599,6.81611844,1.28478162,1.98390318,0.03502361,0.70660782,0.05650150,2.24521588,1.23161384,1.37344134
-5.94597299,6.83265500,1.27256059,1.99533303,0.03562068,0.72718683,0.05548360,2.22339371,1.23849926,1.40728511
-5.93996998,6.86137286,1.26055998,2.01355702,0.03627661,0.74799397,0.05457803,2.20497881,1.24639072,1.44196565
-5.93396698,6.90278979,1.24932102,2.03890859,0.03699186,0.76876276,0.05380041,2.19037567,1.25530052,1.47707986
-5.92796398,6.95706113,1.23934962,2.07159893,0.03776376,0.78918709,0.05316160,2.17988918,1.26519321,1.51215184
-5.92196098,7.02396491,1.23109984,2.11170604,0.03858635,0.80892785,0.05266746,2.17371523,1.27598325,1.54664301
-5.91595798,7.10289977,1.22495895,2.15916744,0.03945034,0.82762141,0.05231876,2.17193440,1.28753464,1.57996539
-5.90995498,7.19289625,1.22123469,2.21377709,0.04034325,0.84488984,0.05211135,2.17450899,1.29966255,1.61149779
-5.90395198,7.29264153,1.22014515,2.27518681,0.04124970,0.86035244,0.05203647,2.18128368,1.31213701,1.64060436
-5.89794897,7.40051690,1.22181161,2.34291256,0.04215179,0.87363814,0.05208124,2.19198981,1.32468853,1.66665468
-5.89194597,7.51464702,1.22625474,2.41634539,0.04302973,0.88439834,0.05222933,2.20625307,1.33701554,1.68904478
-5.88594297,7.63295893,1.23339414,2.49476691,0.04386243,0.89231955,0.05246174,2.22360454,1.34879336,1.70721801
-5.87993997,7.75324871,1.24305142,2.57736881,0.04462832,0.89713537,0.05275760,2.24349455,1.35968426,1.72068500
-5.87393697,7.87325323,1.25495646,2.66327563,0.04530606,0.89863715,0.05309513,2.26530885,1.36934838,1.72904180
-5.86793397,7.99072381,1.26875688,2.75157000,0.04587541,0.89668295,0.05345250,2.28838662,1.37745485,1.73198533
-5.86193097,8.10349922,1.28403023,2.84131935,0.04631797,0.89120430,0.05380871,2.31203957,1.38369292,1.72932549
-5.85592796,8.20957462,1.30029850,2.93160292,0.04661788,0.88221053,0.05414437,2.33557143,1.38778236,1.72099336
-5.84992496,8.30716408,1.31704447,3.02153792,0.04676245,0.86979023,0.05444237,2.35829730,1.38948298,1.70704520
-5.84392196,8.39475389,1.33372930,3.11030381,0.04674266,0.85411016,0.05468846,2.37956200,1.38860279,1.68766194
-5.83791896,8.47114494,1.34981077,3.19716356,0.04655347,0.83541122,0.05487159,2.39875712,1.38500456,1.66314440
-5.83191596,8.53548261,1.36476160,3.28148101,0.04619407,0.81400195,0.05498418,2.41533598,1.37861058,1.63390429
-5.82591296,8.58727317,1.37808711,3.36273370,0.04566788,0.79024982,0.05502217,2.42882634,1.36940550,1.60045169
-5.81990995,8.62638669,1.38934171,3.44052049,0.04498248,0.76457051,0.05498495,2.43884051,1.35743728,1.56337929
-5.81390695,8.65304662,1.39814371,3.51456394,0.04414930,0.73741587,0.05487510,2.44508258,1.34281618,1.52334442
-5.80790395,8.66780699,1.40418779,3.58470736,0.04318332,0.70926101,0.05469810,2.44735286,1.32571205,1.48104945
-5.80190095,8.67151889,1.40725495,3.65090686,0.04210254,0.68059092,0.05446186,2.44554951,1.30635004,1.43722151
-5.79589795,8.66528781,1.40721941,3.71321907,0.04092743,0.65188737,0.05417622,2.43966749,1.28500488,1.39259238
-5.78989495,8.65042439,1.40405243,3.77178515,0.03968039,0.62361636,0.05385248,2.42979502,1.26199415,1.34787917
-5.78389195,8.62839081,1.39782286,3.82681231,0.03838509,0.59621680,0.05350284,2.41610794,1.23767071,1.30376674
-5.77788894,8.60074556,1.38869452,3.87855381,0.03706588,0.57009058,0.05313991,2.39886219,1.21241453,1.26089224
-5.77188594,8.56908892,1.37692052,3.92728869,0.03574723,0.54559440,0.05277630,2.37838494,1.18662436,1.21983230
-5.76588294,8.53501182,1.36283491,3.97330249,0.03445319,0.52303362,0.05242424,2.35506450,1.16070934,1.18109322
-5.75987994,8.50004997,1.34684185,4.01686995,0.03320694,0.50265817,0.05209528,2.32933977,1.13508092,1.14510426
-5.75387694,8.46564513,1.32940304,4.05824095,0.03203041,0.48466042,0.05180011,2.30168924,1.11014524,1.11221407
-5.74787394,8.43311498,1.31102360,4.09763010,0.03094398,0.46917518,0.05154842,2.27262016,1.08629613,1.08269016
-5.74187094,8.40363208,1.29223726,4.13521083,0.02996620,0.45628146,0.05134889,2.24265802,1.06390899,1.05672113
-5.73586793,8.37821258,1.27359127,4.17111404,0.02911371,0.44600585,0.05120919,2.21233668,1.04333544,1.03442134
-5.72986493,8.35771395,1.25563153,4.20543118,0.02840106,0.43832726,0.05113607,2.18218927,1.02489902,1.01583756
-5.72386193,8.34284121,1.23888855,4.23822144,0.02784075,0.43318266,0.05113548,2.15273998,1.00889175,1.00095717
-5.71785893,8.33416003,1.22386458,4.26952221,0.02744316,0.43047357,0.05121263,2.12449679,0.99557164,0.98971732
-5.71185593,8.33211504,1.21102220,4.29936187,0.02721664,0.43007288,0.05137218,2.09794510,0.98516095,0.98201454
-5.70585293,8.33705116,1.20077466,4.32777370,0.02716755,0.43183172,0.05161828,2.07354213,0.97784519,0.97771428
-5.69984992,8.34923574,1.19347800,4.35480961,0.02730030,0.43558603,0.05195463,2.05171200,0.97377258,0.97665989
-5.69384692,8.36887909,1.18942510,4.38055237,0.02761748,0.44116261,0.05238448,2.03284125,0.97305400,0.97868055
-5.68784392,8.39615132,1.18884134,4.40512506,0.02811986,0.44838442,0.05291059,2.01727468,0.97576303,0.98359792
-5.68184092,8.43119360,1.19188203,4.42869664,0.02880647,0.45707484,0.05353512,2.00531119,0.98193609,0.99123104
-5.67583792,8.47412238,1.19863116,4.45148293,0.02967468,0.46706095,0.05425948,1.99719972,0.99157253,1.00139957
-5.66983492,8.52502569,1.20910143,4.47374229,0.03072020,0.47817562,0.05508418,1.99313489,1.00463449,1.01392504
-5.66383192,8.58395146,1.22323517,4.49576616,0.03193711,0.49025858,0.05600854,1.99325255,1.02104660,1.02863045
